Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.0,0.0441294600297506,-0.25,0,0,0,false,false
1,-1.0,0.0344313599752663,-0.25,0,0,0,false,false
2,-1.0,0.03125,-0.25,0,0,0,false,false
3,-1.0,0.03125,-0.25,0,0,0,false,false
4,-1.0,0.03125,-0.25,0,0,0,false,false
5,-1.0,0.03125,-0.25,0,0,0,false,false
6,-1.0,0.03125,-0.25,0,0,0,false,false
7,-1.0,0.03125,-0.25,0,0,0,false,false
8,-1.0,0.03125,-0.25,0,0,0,false,false
9,-1.0,0.03125,-0.25,0,0,0,false,false
10,-1.0,0.03125,-0.25,0,0,0,false,false
11,-1.0,0.03125,-0.25,0,0,0,false,false
12,-1.0,0.03125,-0.25,0,0,0,false,false
13,-1.0,0.03125,-0.25,0,0,0,false,false
14,-1.0,0.03125,-0.25,0,0,0,false,false
15,-1.0,0.03125,-0.25,0,0,0,false,false
16,-1.0,0.03125,-0.25,0,0,0,false,false
17,-1.0,0.03125,-0.25,0,0,0,false,false
18,-1.0,0.03125,-0.25,0,0,0,false,false
19,-1.0,0.03125,-0.25,0,0,0,false,false
20,-1.0,0.03125,-0.25,0,0,0,false,false
21,-1.0,0.03125,-0.25,0,0,0,false,false
22,-1.0,0.03125,-0.25,0,0,0,false,false
23,-1.0,0.03125,-0.25,0,0,0,false,false
24,-1.0,0.03125,-0.25,0,0,0,false,false
25,-1.0,0.03125,-0.25,0,0,0,false,false
26,-1.0,0.03125,-0.25,0,0,0,false,false
27,-1.0,0.03125,-0.25,0,0,0,false,false
28,-1.0,0.03125,-0.25,0,0,0,false,false
29,-1.0,0.03125,-0.25,0,0,0,false,false
30,-1.0,0.03125,-0.25,0,0,0,false,false
31,-1.0,0.03125,-0.25,0,0,0,false,false
32,-1.0,0.03125,-0.25,0,0,0,false,false
33,-1.0,0.03125,-0.234463723782367,0,0,0,false,false
34,-1.0,0.03125,-0.234375,0,0,0,false,false
35,-1.0,0.03125,-0.249640222298055,0,0,0,false,false
36,-1.0,0.03125,-0.25,0,0,0,false,false
37,-1.0,0.03125,-0.25,0,0,0,false,false
38,-1.0,0.03125,-0.25,0,0,0,false,false
39,-1.0,0.03125,-0.25,0,0,0,false,false
40,-1.0,0.03125,-0.25,0,0,0,false,false
41,-1.0,0.03125,-0.25,0,0,0,false,false
42,-1.0,0.03125,-0.2369120556791,0,0,0,false,false
