Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.949674099866238,0.0273005784686371,-0.358174855295325,0,0,0,false,false
1,-0.94970703125,0.0271188434810947,-0.361304796635662,0,0,0,false,false
2,-0.951082058064159,0.0248961195543874,-0.361722771771014,0,0,0,false,false
3,-0.950639056084047,0.0259203414451246,-0.358969101173355,0,0,0,false,false
4,-0.952554011353389,0.0272637943007242,-0.3576259146932,0,0,0,false,false
5,-0.953446173524905,0.0271766422749046,-0.354839703092224,0,0,0,false,false
6,-0.95542488933189,0.0290868142423936,-0.355581370086777,0,0,0,false,false
7,-0.958735166966839,0.0297719972128952,-0.3564453125,0,0,0,false,false
8,-0.960129104967601,0.0292726257445459,-0.35709491225,0,0,0,false,false
9,-0.961009758978012,0.0281838133074338,-0.357261143359919,0,0,0,false,false
10,-0.959208892535619,0.0282575466105372,-0.358184315490479,0,0,0,false,false
11,-0.957017708838938,0.0287574836153558,-0.359205166430769,0,0,0,false,false
12,-0.955387972196784,0.0283247262734195,-0.359734761842833,0,0,0,false,false
13,-0.953686964404763,0.027236749698012,-0.359624115469018,0,0,0,false,false
14,-0.95235681353125,0.0263127351981004,-0.359020215422347,0,0,0,false,false
15,-0.951356819763528,0.026123046875,-0.359492016029678,0,0,0,false,false
16,-0.952069091852872,0.0265249627967018,-0.358666992112838,0,0,0,false,false
17,-0.951663195311473,0.0287255364601082,-0.35791015625,0,0,0,false,false
18,-0.949919473361061,0.0285168897807347,-0.356886030405735,0,0,0,false,false
19,-0.948929751154228,0.02783203125,-0.358229237628764,0,0,0,false,false
20,-0.949874912059853,0.0290385839662858,-0.359021649272292,0,0,0,false,false
21,-0.950117812723688,0.0310650793646388,-0.356389121763168,0,0,0,false,false
22,-0.949846824699389,0.0318517400802072,-0.355653579484373,0,0,0,false,false
23,-0.949951171875,0.0312533361201817,-0.356506416793797,0,0,0,false,false
24,-0.950729035557489,0.0302480531808586,-0.358336254151707,0,0,0,false,false
25,-0.953793930535665,0.0294144737718236,-0.361981182700831,0,0,0,false,false
26,-0.954579493020735,0.0305183417186668,-0.361575449605057,0,0,0,false,false
27,-0.952892053753513,0.0310802700286204,-0.359325967349578,0,0,0,false,false
28,-0.95163389876177,0.0314258716665039,-0.359649884255859,0,0,0,false,false
29,-0.950824991002249,0.0320333432930224,-0.360036002759853,0,0,0,false,false
30,-0.950509705816108,0.0314258325245452,-0.358671487524006,0,0,0,false,false
31,-0.951723372570412,0.03125,-0.358791066201501,0,0,0,false,false
32,-0.953386957490611,0.03125,-0.358397119802546,0,0,0,false,false
33,-0.953006599116123,0.0307952156522662,-0.355460111864264,0,0,0,false,false
34,-0.954073337172092,0.0292746991995787,-0.355580739838247,0,0,0,false,false
35,-0.955810546875,0.0298324092804011,-0.355964728243924,0,0,0,false,false
36,-0.955810546875,0.0327164427282903,-0.356510032977039,0,0,0,false,false
37,-0.956843164986646,0.0329883242420461,-0.359096340617308,0,0,0,false,false
38,-0.9580078125,0.0328099922220777,-0.358845413958767,0,0,0,false,false
39,-0.957338007356499,0.0329204891139345,-0.357871846256689,0,0,0,false,false
40,-0.957092010640227,0.0309432339845286,-0.359263952710699,0,0,0,false,false
41,-0.957198785850373,0.0300675992623134,-0.361986402745038,0,0,0,false,false
42,-0.956083207178994,0.0306364761396812,-0.361439183914968,0,0,0,false,false
43,-0.954429373016398,0.0310152960639113,-0.359375,0,0,0,false,false
44,-0.952406421040681,0.03125,-0.359070341024897,0,0,0,false,false
45,-0.950917401038072,0.0317179121360933,-0.357900786759163,0,0,0,false,false
46,-0.949462890625,0.0345659584409655,-0.357307560479046,0,0,0,false,false
47,-0.949266496404371,0.0353210819548944,-0.356832254330581,0,0,0,false,false
48,-0.949429625449007,0.0311761727461522,-0.356569580467019,0,0,0,false,false
49,-0.950862387291494,0.0288124763543284,-0.357405393135707,0,0,0,false,false
50,-0.952142613723683,0.027998331189659,-0.356694254717526,0,0,0,false,false
51,-0.952478616853762,0.0276189886404808,-0.355384162334775,0,0,0,false,false
52,-0.950667428418452,0.0275363658311178,-0.357723937189081,0,0,0,false,false
