Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.975148270385543,0.0499605330704414,-0.210855678499659,0,0,0,false,false
1,-0.978073580894056,0.0512431826940173,-0.209175545625323,0,0,0,false,false
2,-0.978368362187236,0.0524940329844812,-0.210000600245933,0,0,0,false,false
3,-0.973638119521467,0.0534024919838551,-0.2124689741051,0,0,0,false,false
4,-0.974218666926419,0.050139194625262,-0.21344987339761,0,0,0,false,false
5,-0.97527779626261,0.0484154673095738,-0.214490209849238,0,0,0,false,false
6,-0.974573047229395,0.0491635433345332,-0.211780769091217,0,0,0,false,false
7,-0.974141739466787,0.04931640625,-0.210954986600474,0,0,0,false,false
8,-0.974794633206243,0.0496763495946331,-0.214797113697018,0,0,0,false,false
9,-0.975799777076823,0.0500232889476763,-0.214908944068156,0,0,0,false,false
10,-0.977134194936057,0.0498483372087898,-0.21391433696997,0,0,0,false,false
11,-0.975901097823892,0.0504216900925375,-0.212364327216993,0,0,0,false,false
12,-0.976071884308286,0.0522335130789223,-0.212158203125,0,0,0,false,false
13,-0.976948545578108,0.0523584075084993,-0.212502500944895,0,0,0,false,false
14,-0.975104112854356,0.050584707299576,-0.212812946571288,0,0,0,false,false
15,-0.97518883038447,0.049613688861936,-0.213210946906931,0,0,0,false,false
16,-0.974575310260726,0.0508391144611076,-0.213904446058958,0,0,0,false,false
17,-0.974784499563056,0.0514871321635833,-0.214529229070156,0,0,0,false,false
18,-0.976483800858635,0.0503838642578125,-0.2115867890625,0,0,0,false,false
19,-0.975311086034287,0.0515443827157133,-0.212565593072172,0,0,0,false,false
20,-0.975224230564294,0.0508898083071187,-0.215465552437442,0,0,0,false,false
21,-0.975341796875,0.0507208667304997,-0.212328922745506,0,0,0,false,false
22,-0.977163240362093,0.0502348169538721,-0.211881399566757,0,0,0,false,false
23,-0.976519571408887,0.0505036288093011,-0.213771943520413,0,0,0,false,false
24,-0.97607421875,0.0510680132877375,-0.212743723222408,0,0,0,false,false
25,-0.97542311569917,0.0527480786695181,-0.211995423227743,0,0,0,false,false
26,-0.974891066509521,0.05322265625,-0.211537071851357,0,0,0,false,false
27,-0.976764021057129,0.0527557668234201,-0.213683651306152,0,0,0,false,false
28,-0.975818115767747,0.0522878189772558,-0.21405510052935,0,0,0,false,false
29,-0.97714541725,0.0524167405,-0.212858085035174,0,0,0,false,false
30,-0.977664336505402,0.0520135813035012,-0.21275792322551,0,0,0,false,false
31,-0.976378363608627,0.0502453063968844,-0.213402509908972,0,0,0,false,false
32,-0.975063856265132,0.0472812621804658,-0.215306584211927,0,0,0,false,false
33,-0.975671792678662,0.0485409516923059,-0.215382658469165,0,0,0,false,false
34,-0.973967543556152,0.0504207751286311,-0.214891968581531,0,0,0,false,false
35,-0.974662251349378,0.0518525931074957,-0.216012097505439,0,0,0,false,false
36,-0.975010320397806,0.0517708510878914,-0.217188553235062,0,0,0,false,false
37,-0.972965676847557,0.0528605451243301,-0.216920218332528,0,0,0,false,false
38,-0.973127318726188,0.0539092055370589,-0.216016037141662,0,0,0,false,false
39,-0.973765266422963,0.0534342762847398,-0.216126942744985,0,0,0,false,false
40,-0.975133082956605,0.0526091092386687,-0.214187959069336,0,0,0,false,false
41,-0.975830078125,0.0527893066592906,-0.214624589888366,0,0,0,false,false
42,-0.975091366035183,0.0520920611172194,-0.216721557573387,0,0,0,false,false
43,-0.975340893460189,0.0518062792590758,-0.217402918431014,0,0,0,false,false
44,-0.97540287010643,0.0511887387271881,-0.215284067560675,0,0,0,false,false
45,-0.97402284655569,0.0494250943130032,-0.21343029392664,0,0,0,false,false
46,-0.974194890113576,0.0505054085528884,-0.214274996548924,0,0,0,false,false
47,-0.974609375,0.0520490710600608,-0.216352875140851,0,0,0,false,false
48,-0.974334878449286,0.0527245320055651,-0.215973385347857,0,0,0,false,false
49,-0.974662800056843,0.052978515625,-0.215505198800094,0,0,0,false,false
50,-0.973496756587891,0.052978515625,-0.216706365762859,0,0,0,false,false
51,-0.972427832369878,0.0538983850539441,-0.216496696739476,0,0,0,false,false
52,-0.973693346737005,0.0545270118118786,-0.216597798093852,0,0,0,false,false
53,-0.975854405228715,0.0535046136192912,-0.21728515625,0,0,0,false,false
54,-0.976207071690881,0.0504441158845163,-0.217032585831849,0,0,0,false,false
55,-0.974695544883707,0.05006640540625,-0.216921142472656,0,0,0,false,false
56,-0.974255627808082,0.051025390625,-0.217041015625,0,0,0,false,false
57,-0.976887792693054,0.0519730965928721,-0.216198070316824,0,0,0,false,false
58,-0.978061194106558,0.0537191459520574,-0.216045759476337,0,0,0,false,false
59,-0.975485617468195,0.053818219748081,-0.216446040902344,0,0,0,false,false
60,-0.97531321835454,0.0524607777116881,-0.216423707046131,0,0,0,false,false
61,-0.975745775786593,0.0507861667492511,-0.217490187747052,0,0,0,false,false
62,-0.975442133403197,0.0506711428346431,-0.217567606868311,0,0,0,false,false
63,-0.976443530429279,0.0518972971070128,-0.215903810202659,0,0,0,false,false
64,-0.976701392226562,0.0521934695507813,-0.214975978020531,0,0,0,false,false
65,-0.975618817488869,0.0517803379037119,-0.215901831800649,0,0,0,false,false
66,-0.976228313568174,0.0535972457392827,-0.217621948623917,0,0,0,false,false
67,-0.976264801110918,0.0553933884006879,-0.218159185339101,0,0,0,false,false
68,-0.975050723807784,0.0549564660211218,-0.218523004181342,0,0,0,false,false
69,-0.973472191493166,0.0540541992416992,-0.218643554549805,0,0,0,false,false
70,-0.973582906209851,0.05419921875,-0.218841726341682,0,0,0,false,false
71,-0.973114382504776,0.0541505804315947,-0.219791735082304,0,0,0,false,false
72,-0.972859136996134,0.0530102683412916,-0.219778839758247,0,0,0,false,false
73,-0.974365234375,0.0506982042309855,-0.220146109505598,0,0,0,false,false
74,-0.974005836938881,0.05110455725,-0.218197931125,0,0,0,false,false
75,-0.972748568202641,0.0522252156890352,-0.218505859375,0,0,0,false,false
76,-0.972664205491955,0.051969460612686,-0.219372271445312,0,0,0,false,false
77,-0.973870063342078,0.0537870048800882,-0.220778947099304,0,0,0,false,false
78,-0.974318382765888,0.0545913938959961,-0.219664700545092,0,0,0,false,false
79,-0.973738232148098,0.053677712563504,-0.219681160875727,0,0,0,false,false
80,-0.97314453125,0.0543324263446322,-0.221958202843541,0,0,0,false,false
81,-0.973612920384286,0.0540530350964284,-0.220694682549285,0,0,0,false,false
82,-0.974561121732484,0.0533760355465575,-0.217262465075827,0,0,0,false,false
83,-0.974230212030607,0.0530361262775916,-0.218427533220205,0,0,0,false,false
84,-0.973329418477077,0.051513671875,-0.219086192001672,0,0,0,false,false
85,-0.972412109375,0.0522283363671875,-0.220418785601988,0,0,0,false,false
86,-0.972899111671369,0.0534680758286308,-0.223781358036071,0,0,0,false,false
87,-0.973916383330324,0.05224609375,-0.222346936779473,0,0,0,false,false
88,-0.973388671875,0.052370232772558,-0.219105000652153,0,0,0,false,false
89,-0.973469222503413,0.0535127532434893,-0.222519804434483,0,0,0,false,false
90,-0.974226586612654,0.0543800636574074,-0.220172646604938,0,0,0,false,false
91,-0.974113443691174,0.054630927378065,-0.217659621858557,0,0,0,false,false
92,-0.972735370951783,0.0555184268843671,-0.22066093515204,0,0,0,false,false
93,-0.975467658495051,0.0535286909368951,-0.221277367242619,0,0,0,false,false
94,-0.97535750366041,0.0530922767326808,-0.221510933057155,0,0,0,false,false
95,-0.973431671754716,0.0533561766821088,-0.218643462211061,0,0,0,false,false
96,-0.972597998406733,0.0530860230391833,-0.218223075552329,0,0,0,false,false
97,-0.974091561406331,0.0532042020178431,-0.221800183121038,0,0,0,false,false
98,-0.973670313073338,0.0522709755914648,-0.22158098928254,0,0,0,false,false
99,-0.973193917935059,0.0528984067859994,-0.219666847212903,0,0,0,false,false
100,-0.973197967169722,0.0541123801654734,-0.219668202424256,0,0,0,false,false
101,-0.972486453361057,0.0530476320227194,-0.22185376691531,0,0,0,false,false
102,-0.972992788416593,0.052155396852205,-0.222443415492939,0,0,0,false,false
103,-0.973026899755887,0.0536150462000792,-0.222881366617599,0,0,0,false,false
104,-0.971848092031827,0.0550247283101691,-0.221722366316004,0,0,0,false,false
105,-0.970724091804788,0.0550125246881827,-0.222582814072611,0,0,0,false,false
106,-0.970053348055837,0.0519151006152951,-0.225230809143611,0,0,0,false,false
107,-0.970490877077334,0.0526961592711333,-0.226385841176884,0,0,0,false,false
108,-0.974572525628069,0.0527113306065842,-0.223525209559026,0,0,0,false,false
109,-0.974365234375,0.053671578125,-0.220289640625,0,0,0,false,false
110,-0.97419568580319,0.0522549954853946,-0.22216796875,0,0,0,false,false
111,-0.973177135728105,0.0540467894773687,-0.222722244877779,0,0,0,false,false
112,-0.973388671875,0.05404134585502,-0.225907889848052,0,0,0,false,false
113,-0.973354440125045,0.0533118747612585,-0.223417279634211,0,0,0,false,false
114,-0.972662648748344,0.055451671512218,-0.225196513346105,0,0,0,false,false
115,-0.971864746306295,0.0531784037241889,-0.22412109375,0,0,0,false,false
116,-0.973850895585814,0.052490234375,-0.224067750600324,0,0,0,false,false
117,-0.974226001262168,0.0524133580581055,-0.223717932453847,0,0,0,false,false
118,-0.972435348487405,0.0518549112932665,-0.225167438358226,0,0,0,false,false
119,-0.971428680998781,0.0525030329861124,-0.226248956770834,0,0,0,false,false
120,-0.970468493823721,0.0503165356446553,-0.22560795394106,0,0,0,false,false
121,-0.970990023710805,0.0509612792101011,-0.225660967325154,0,0,0,false,false
122,-0.973328595375,0.0525054310436317,-0.224017131625,0,0,0,false,false
123,-0.972919989528312,0.0534291197995269,-0.225417114758945,0,0,0,false,false
124,-0.9757870335625,0.0529964646992188,-0.223032078602067,0,0,0,false,false
125,-0.972196223429302,0.0530884038955595,-0.222453034885387,0,0,0,false,false
126,-0.9731264128245,0.05126953125,-0.221038170654966,0,0,0,false,false
127,-0.974233194516647,0.0511942951533294,-0.22281306808988,0,0,0,false,false
128,-0.968830605819129,0.0500549350097124,-0.223219238947628,0,0,0,false,false
129,-0.97407433870027,0.0504574577447468,-0.220538342800621,0,0,0,false,false
130,-0.972330605509221,0.0524780410242038,-0.222269134999192,0,0,0,false,false
131,-0.970115373837745,0.0522999683335622,-0.222586417875,0,0,0,false,false
132,-0.973536955474457,0.0542161329158955,-0.221258818491545,0,0,0,false,false
133,-0.973976573885432,0.0557876037844802,-0.223307261173744,0,0,0,false,false
134,-0.970411908955817,0.0523146368445324,-0.22412109375,0,0,0,false,false
135,-0.970173110604295,0.051547161672668,-0.224028996806413,0,0,0,false,false
136,-0.969690963304863,0.0524870763555507,-0.221458482066346,0,0,0,false,false
137,-0.969482421875,0.0521162674609143,-0.222834794140145,0,0,0,false,false
138,-0.969557523123619,0.0490749137169331,-0.225010041212707,0,0,0,false,false
139,-0.973052006744122,0.0494110727152984,-0.226015916008814,0,0,0,false,false
140,-0.974332303850664,0.0520366419739334,-0.223643256833008,0,0,0,false,false
141,-0.977736302692972,0.0523068169486671,-0.22408377665281,0,0,0,false,false
142,-0.974434621065065,0.0542815447450054,-0.222209245158073,0,0,0,false,false
143,-0.972902129489504,0.0549021481512051,-0.224607714586238,0,0,0,false,false
144,-0.973179921621816,0.0523962106593514,-0.224330297654211,0,0,0,false,false
145,-0.974118394691406,0.0515271671679687,-0.223074516700704,0,0,0,false,false
146,-0.973895338843831,0.0527315791907104,-0.222175709032405,0,0,0,false,false
147,-0.975810231333008,0.0522122579805609,-0.223456674459652,0,0,0,false,false
148,-0.973391818696709,0.051513671875,-0.224591432449194,0,0,0,false,false
149,-0.973876953125,0.051513671875,-0.221384701922538,0,0,0,false,false
150,-0.973875019596256,0.0515126390129097,-0.220710520872468,0,0,0,false,false
151,-0.973115550994779,0.0512726576696876,-0.223758584287902,0,0,0,false,false
152,-0.972171036890533,0.0522427060423493,-0.228263364632408,0,0,0,false,false
153,-0.973642391939536,0.0507818134708382,-0.224599122906972,0,0,0,false,false
154,-0.973874843011719,0.0515355886011416,-0.22435828680707,0,0,0,false,false
155,-0.971681905040368,0.053954092551503,-0.223628045587513,0,0,0,false,false
156,-0.976074140024005,0.0520028376782227,-0.22338878981543,0,0,0,false,false
157,-0.975584467528831,0.0556640490105487,-0.223876918157387,0,0,0,false,false
158,-0.975097660161133,0.0546903677075432,-0.222170467602077,0,0,0,false,false
159,-0.975341761082427,0.05200227701319,-0.221191488823912,0,0,0,false,false
160,-0.974862048836988,0.0544426289268519,-0.223143946891482,0,0,0,false,false
161,-0.971437928301568,0.0522687110961538,-0.222900576125,0,0,0,false,false
162,-0.975317914214159,0.0512840047822986,-0.223875555953125,0,0,0,false,false
163,-0.97582967471971,0.050793851424802,-0.222415040194301,0,0,0,false,false
164,-0.97536084932072,0.0502939522653537,-0.2236291425,0,0,0,false,false
165,-0.974643182982053,0.0507635623796374,-0.222944318213941,0,0,0,false,false
166,-0.97315014031712,0.0512384478618655,-0.218282429706251,0,0,0,false,false
167,-0.97314453125,0.0532126161471796,-0.219475200164543,0,0,0,false,false
168,-0.974598333450195,0.0523073031036055,-0.218028619674805,0,0,0,false,false
169,-0.973157824057307,0.0507910688351688,-0.219469129067693,0,0,0,false,false
170,-0.97405337262566,0.0514866312419104,-0.219240817464318,0,0,0,false,false
171,-0.975331260676284,0.0517562957839904,-0.21923828125,0,0,0,false,false
172,-0.974180474279994,0.0507949622871445,-0.21786497482719,0,0,0,false,false
173,-0.973637120607138,0.0516713085082513,-0.216870080354827,0,0,0,false,false
174,-0.975789085172645,0.0529622932576947,-0.215925246502562,0,0,0,false,false
175,-0.97559083505315,0.0523198255341725,-0.213658357488302,0,0,0,false,false
176,-0.976301629394531,0.0513584798436988,-0.215292994628906,0,0,0,false,false
177,-0.975896802052103,0.0503097952098354,-0.214380282545681,0,0,0,false,false
178,-0.974764557384356,0.0512421346893554,-0.214592760234839,0,0,0,false,false
179,-0.972464311191327,0.0491399832415125,-0.214126376484225,0,0,0,false,false
180,-0.975007319824219,0.0494930466130434,-0.214310780133955,0,0,0,false,false
181,-0.97509765625,0.0502729530820716,-0.21577145153681,0,0,0,false,false
182,-0.974056554337008,0.050058413774925,-0.215585757524925,0,0,0,false,false
183,-0.972221193456372,0.050048828125,-0.216745122456168,0,0,0,false,false
184,-0.973987912858587,0.0494224259506765,-0.2161344267517,0,0,0,false,false
185,-0.97435999498201,0.0486085779201802,-0.215826608660421,0,0,0,false,false
