Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.01730346044636,0.105947677733569,-0.0671944702082652,0,0,0,false,false
1,-1.01997198880408,0.105368755184179,-0.0689203630006303,0,0,0,false,false
2,-1.01794234301126,0.103586433290663,-0.0694099738857769,0,0,0,false,false
3,-1.01708984375,0.102102606869358,-0.0703077885800584,0,0,0,false,false
4,-1.01706506227587,0.104718783327777,-0.0700907960903433,0,0,0,false,false
5,-1.01450896039676,0.102931442785556,-0.0720960539913957,0,0,0,false,false
6,-1.01234266800559,0.101506290930822,-0.0730963890313381,0,0,0,false,false
7,-1.01019390032795,0.10054939882106,-0.0771301004919095,0,0,0,false,false
8,-1.00903570592069,0.0995767612405589,-0.0727587237332595,0,0,0,false,false
9,-1.01127674726032,0.0978691116019171,-0.075193225802003,0,0,0,false,false
10,-1.01513668983992,0.0957032289381775,-0.0720167549390117,0,0,0,false,false
11,-1.01393057638913,0.0978999759772805,-0.0712891260484693,0,0,0,false,false
12,-1.01030619332089,0.097900390625,-0.0741779758889601,0,0,0,false,false
13,-1.00834027567689,0.100566320024209,-0.0756696863888151,0,0,0,false,false
14,-1.00732687653544,0.100829608088814,-0.0759272180623688,0,0,0,false,false
15,-1.00853511435451,0.100345719883195,-0.0730611889900316,0,0,0,false,false
16,-1.00784146406802,0.101241586281131,-0.072512276330379,0,0,0,false,false
17,-1.00757039617975,0.1027182529191,-0.0746713046251276,0,0,0,false,false
18,-1.01115460978937,0.103242994480368,-0.0717718754807092,0,0,0,false,false
19,-1.00909169530127,0.103511915140869,-0.0696113502133758,0,0,0,false,false
20,-1.00974126930959,0.103515625,-0.0721763208018197,0,0,0,false,false
21,-1.00906249746594,0.103281249155312,-0.0710937457765595,0,0,0,false,false
22,-1.00941232823742,0.103459747573546,-0.0715098563005893,0,0,0,false,false
23,-1.01294929812395,0.105830513551737,-0.071533203125,0,0,0,false,false
24,-1.01342139503665,0.105270931963416,-0.0710758036006106,0,0,0,false,false
25,-1.01320151021185,0.106626045195271,-0.071044921875,0,0,0,false,false
26,-1.01481645585014,0.108316849052895,-0.0723871389200021,0,0,0,false,false
27,-1.01605991799375,0.10750971153465,-0.0718454362919892,0,0,0,false,false
28,-1.01316730666171,0.104467681861076,-0.0724338728368285,0,0,0,false,false
29,-1.00773214724891,0.103264490354141,-0.0697000405810096,0,0,0,false,false
30,-1.00732421875,0.101056236452694,-0.0710416821174022,0,0,0,false,false
31,-1.00711388191367,0.10115503925256,-0.0710787256636701,0,0,0,false,false
32,-1.00867709103979,0.102386179906495,-0.071756730037881,0,0,0,false,false
33,-1.00920341466339,0.101478511326455,-0.0726754372111252,0,0,0,false,false
34,-1.01010224974271,0.10020837748538,-0.07275390625,0,0,0,false,false
35,-1.0090680844455,0.100492930184834,-0.0695917147713291,0,0,0,false,false
36,-1.00898334998374,0.0994202125975459,-0.0720235046469313,0,0,0,false,false
37,-1.00750563137415,0.0996694695637892,-0.0745273767649902,0,0,0,false,false
38,-1.00720160736268,0.102231148398996,-0.0739491481299899,0,0,0,false,false
39,-1.00898064366112,0.103706039296597,-0.0724804619037392,0,0,0,false,false
40,-1.01183241529034,0.104849357331467,-0.0726255856455047,0,0,0,false,false
41,-1.01424121982208,0.105717585632661,-0.07275390625,0,0,0,false,false
42,-1.01578243167022,0.10642741379482,-0.073099353653642,0,0,0,false,false
43,-1.0165112012872,0.107259386075221,-0.0722280747588925,0,0,0,false,false
44,-1.01575468782517,0.107049373366041,-0.0724682144638712,0,0,0,false,false
45,-1.01456252717147,0.105967312536277,-0.0735665351368183,0,0,0,false,false
46,-1.014404296875,0.105813969175416,-0.0734161639651694,0,0,0,false,false
47,-1.01419109304604,0.106607913022302,-0.0737007819767954,0,0,0,false,false
48,-1.01325223308928,0.104970864654806,-0.0734403322498109,0,0,0,false,false
49,-1.01308433720275,0.1015334807816,-0.0714330391496779,0,0,0,false,false
50,-1.01318359375,0.0994809503406575,-0.0717137675125276,0,0,0,false,false
51,-1.01206139973024,0.098629151077481,-0.0748019681556615,0,0,0,false,false
52,-1.01062705171785,0.0969240395558576,-0.0772036741744542,0,0,0,false,false
53,-1.01088390686743,0.0946083661369875,-0.0769936187626217,0,0,0,false,false
54,-1.01085715262345,0.0963581039661344,-0.0766648930426974,0,0,0,false,false
55,-1.0108587975907,0.0997222534130444,-0.0765575680851328,0,0,0,false,false
56,-1.01123046875,0.10009765625,-0.0752082557497441,0,0,0,false,false
57,-1.01042596315129,0.0997614773926427,-0.0755524160166766,0,0,0,false,false
58,-1.00895691369215,0.0996889395271839,-0.0768261804443199,0,0,0,false,false
59,-1.0087890625,0.0997913733047086,-0.0759707213035922,0,0,0,false,false
60,-1.00977005915309,0.0985875332576491,-0.0748908966445068,0,0,0,false,false
61,-1.01322178207294,0.09814453125,-0.0763515191619774,0,0,0,false,false
62,-1.01529765226964,0.0985674920346683,-0.0754799713849415,0,0,0,false,false
63,-1.01705392151103,0.100850365843009,-0.0697908360724332,0,0,0,false,false
64,-1.01722531434614,0.104922600060253,-0.0690359098768185,0,0,0,false,false
65,-1.01515409027547,0.108467456985273,-0.070262265662906,0,0,0,false,false
66,-1.01467976821598,0.108850971214403,-0.0713510801465735,0,0,0,false,false
67,-1.01326926213393,0.107689636517834,-0.0721798923827207,0,0,0,false,false
68,-1.01126787597732,0.103739549048946,-0.07080078125,0,0,0,false,false
69,-1.01063280495545,0.101144096070825,-0.0709293204180831,0,0,0,false,false
70,-1.010009765625,0.0975488477855385,-0.0709259872425318,0,0,0,false,false
71,-1.01006637046692,0.0928512784631409,-0.0702046207173765,0,0,0,false,false
72,-1.01022636671354,0.0914911508643184,-0.0725996621819353,0,0,0,false,false
73,-1.00969986090805,0.0929541699922331,-0.0741126471340678,0,0,0,false,false
74,-1.00882183848993,0.0942769491539206,-0.0743350019893354,0,0,0,false,false
