Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.0232983414314,0.0392175135783605,0.0562037897323559,0,0,0,false,false
1,-1.02358656756857,0.0401139919534738,0.0593160036060951,0,0,0,false,false
2,-1.02620385656299,0.0409568065261995,0.0605729651160466,0,0,0,false,false
3,-1.02671899513688,0.0397137124456188,0.0649450754078451,0,0,0,false,false
4,-1.02612879566198,0.0380195672024284,0.072327206002945,0,0,0,false,false
5,-1.02526775438751,0.037841796875,0.0787560330030906,0,0,0,false,false
6,-1.02783015366235,0.0380280076389662,0.0804494989812821,0,0,0,false,false
7,-1.03138704481798,0.0358184382719237,0.0838561910506027,0,0,0,false,false
8,-1.03247874211531,0.0317994005155995,0.0911980010270808,0,0,0,false,false
9,-1.03337421694877,0.0320971980899812,0.105104909805552,0,0,0,false,false
10,-1.03927118737631,0.0326328752539914,0.11368318231696,0,0,0,false,false
11,-1.04573240591896,0.0329846732813389,0.117399212407285,0,0,0,false,false
12,-1.0506811102952,0.0343525416611936,0.12301264901649,0,0,0,false,false
13,-1.05521356006841,0.035520535912954,0.128542024199657,0,0,0,false,false
14,-1.05568498174972,0.0344019564951356,0.130423272662253,0,0,0,false,false
15,-1.05374650783208,0.0317131385965989,0.132719106803417,0,0,0,false,false
16,-1.04807882700841,0.0324484109525439,0.133094061287342,0,0,0,false,false
17,-1.04129223083677,0.0315010263340943,0.128280711526246,0,0,0,false,false
18,-1.03414031419881,0.0298428378989449,0.119653379582324,0,0,0,false,false
19,-1.02598586549144,0.0244257136514226,0.114650759623921,0,0,0,false,false
20,-1.01990133620151,0.0209608887830897,0.107790090023566,0,0,0,false,false
21,-1.0151819733504,0.020751953125,0.10595703125,0,0,0,false,false
22,-1.00865346039833,0.0221348177049926,0.103200542749026,0,0,0,false,false
23,-1.00331245799871,0.0238924779338518,0.0983964789360733,0,0,0,false,false
24,-1.00223913472833,0.0262232250404585,0.0949038814617497,0,0,0,false,false
25,-1.00248038457418,0.0292698400247581,0.0888293085993214,0,0,0,false,false
26,-1.00614433066657,0.0313088252685891,0.0812392198711312,0,0,0,false,false
27,-1.01154696697807,0.0361736518349482,0.0730346731098126,0,0,0,false,false
28,-1.01169098209621,0.0407004241156827,0.0711309281698651,0,0,0,false,false
29,-1.01316241861882,0.041259765625,0.0744923930380797,0,0,0,false,false
30,-1.0168431826361,0.0402191022886793,0.0761525511905386,0,0,0,false,false
31,-1.02009537409439,0.0409374740299998,0.0722912281782071,0,0,0,false,false
32,-1.02184738918392,0.0428826478540497,0.0690879853419722,0,0,0,false,false
33,-1.02289912013048,0.0453405733062835,0.0676920795216293,0,0,0,false,false
34,-1.02293433700235,0.0531964137159121,0.0636670550034067,0,0,0,false,false
