Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.03125,0.0,-0.15625,0,0,0,false,false
1,-1.0177086331355,0.0,-0.15625,0,0,0,false,false
2,-1.02865684805792,0.0,-0.169281848057921,0,0,0,false,false
3,-1.01879487716868,0.0,-0.159419877168683,0,0,0,false,false
4,-1.015625,0.0,-0.15625,0,0,0,false,false
5,-1.015625,0.0,-0.15625,0,0,0,false,false
6,-1.015625,0.0,-0.15625,0,0,0,false,false
7,-1.015625,0.0,-0.15625,0,0,0,false,false
8,-1.015625,0.0,-0.15625,0,0,0,false,false
9,-1.015625,0.00845148472465943,-0.164701484724659,0,0,0,false,false
10,-1.015625,0.015625,-0.164131163764978,0,0,0,false,false
11,-1.015625,0.0085880440660219,-0.15625,0,0,0,false,false
12,-1.015625,0.0,-0.15625,0,0,0,false,false
13,-1.02127011646359,0.0,-0.15625,0,0,0,false,false
14,-1.02630079768736,0.0,-0.15625,0,0,0,false,false
15,-1.01990104275701,0.0,-0.15625,0,0,0,false,false
16,-1.03125,0.0,-0.15625,0,0,0,false,false
17,-1.03125,0.0,-0.15625,0,0,0,false,false
18,-1.03125,0.0,-0.15625,0,0,0,false,false
19,-1.03125,0.0,-0.15625,0,0,0,false,false
20,-1.03125,0.0,-0.15625,0,0,0,false,false
21,-1.03015530117314,0.0,-0.15625,0,0,0,false,false
22,-1.01636673510251,0.0,-0.15625,0,0,0,false,false
23,-1.03080007222762,0.0,-0.156699927772377,0,0,0,false,false
24,-1.015625,0.0,-0.171648958786624,0,0,0,false,false
25,-1.015625,0.0,-0.156322859714672,0,0,0,false,false
26,-1.015625,0.0,-0.171875,0,0,0,false,false
27,-1.015625,0.0,-0.171875,0,0,0,false,false
28,-1.015625,0.0,-0.156366785988212,0,0,0,false,false
29,-1.015625,0.0,-0.171577950035508,0,0,0,false,false
30,-1.015625,0.0,-0.171875,0,0,0,false,false
31,-1.015625,0.0,-0.157110730807736,0,0,0,false,false
32,-1.015625,0.0,-0.15625,0,0,0,false,false
33,-1.02956906022964,0.0,-0.15625,0,0,0,false,false
34,-1.03125,0.0,-0.15625,0,0,0,false,false
35,-1.03125,0.0,-0.15625,0,0,0,false,false
36,-1.01889490444132,0.0,-0.15625,0,0,0,false,false
37,-1.02736055244487,0.0,-0.15625,0,0,0,false,false
38,-1.02017140501671,0.0,-0.15625,0,0,0,false,false
39,-1.015625,0.0,-0.15625,0,0,0,false,false
40,-1.015625,0.0,-0.15625,0,0,0,false,false
41,-1.015625,-0.00905399151202101,-0.15625,0,0,0,false,false
42,-1.02396255000724,-0.00728744999275845,-0.15625,0,0,0,false,false
43,-1.03125,0.0,-0.15625,0,0,0,false,false
44,-1.02434939091635,0.0,-0.15625,0,0,0,false,false
45,-1.02181319856067,0.0,-0.15625,0,0,0,false,false
46,-1.0257368389054,0.0,-0.15625,0,0,0,false,false
47,-1.015625,0.0,-0.15625,0,0,0,false,false
48,-1.015625,0.0,-0.15625,0,0,0,false,false
49,-1.015625,0.0,-0.15625,0,0,0,false,false
50,-1.015625,0.0,-0.15625,0,0,0,false,false
51,-1.0180279333875,0.0,-0.15625,0,0,0,false,false
52,-1.02935646405074,0.0,-0.15625,0,0,0,false,false
53,-1.01705044845548,0.0,-0.15625,0,0,0,false,false
54,-1.03125,0.0,-0.15625,0,0,0,false,false
55,-1.03125,0.0,-0.15625,0,0,0,false,false
56,-1.03125,0.0,-0.15625,0,0,0,false,false
57,-1.03125,0.0,-0.15625,0,0,0,false,false
58,-1.03119956410963,0.0,-0.15625,0,0,0,false,false
59,-1.015625,0.0,-0.15625,0,0,0,false,false
60,-1.015625,0.0,-0.15625,0,0,0,false,false
61,-1.015625,0.0,-0.15625,0,0,0,false,false
62,-1.015625,0.0,-0.15625,0,0,0,false,false
63,-1.015625,0.0,-0.15625,0,0,0,false,false
