Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.0,-0.03125,-0.309742531040683,0,0,0,false,false
1,-1.0,-0.03125,-0.296875,0,0,0,false,false
2,-1.0,-0.0294942957342385,-0.296875,0,0,0,false,false
3,-1.0,-0.016927928918617,-0.298177928918617,0,0,0,false,false
4,-1.0,-0.0303309189330321,-0.311580918933032,0,0,0,false,false
5,-1.0,-0.015625,-0.296875,0,0,0,false,false
6,-0.999659762626776,-0.015625,-0.296875,0,0,0,false,false
7,-0.984524349501603,-0.015625,-0.296875,0,0,0,false,false
8,-1.0,-0.0156594086438417,-0.296875,0,0,0,false,false
9,-1.0,-0.0312498214188963,-0.296875,0,0,0,false,false
10,-1.0,-0.015675338732187,-0.296875,0,0,0,false,false
11,-0.984550141277695,-0.015625,-0.296875,0,0,0,false,false
12,-0.999622217829109,-0.015625,-0.296875,0,0,0,false,false
13,-1.0,-0.015625,-0.296875,0,0,0,false,false
14,-1.0,-0.015625,-0.311512552211953,0,0,0,false,false
15,-1.0,-0.0298659014523875,-0.3125,0,0,0,false,false
16,-1.0,-0.03125,-0.298694704241088,0,0,0,false,false
17,-1.0,-0.0445567431987348,-0.310181743198735,0,0,0,false,false
18,-1.0,-0.0341108987101174,-0.299735898710117,0,0,0,false,false
19,-1.0,-0.03125,-0.309044095839156,0,0,0,false,false
20,-1.01158085410134,-0.03125,-0.300919145898661,0,0,0,false,false
21,-1.015625,-0.03125,-0.296875,0,0,0,false,false
22,-1.00534678865658,-0.03125,-0.296875,0,0,0,false,false
23,-1.0,-0.03125,-0.296875,0,0,0,false,false
24,-1.0,-0.0223647770180833,-0.296875,0,0,0,false,false
25,-1.0,-0.0238374969167598,-0.30508749691676,0,0,0,false,false
26,-1.0,-0.03125,-0.3125,0,0,0,false,false
27,-1.0,-0.0244875235948712,-0.3125,0,0,0,false,false
28,-1.0,-0.0217012537978265,-0.306423746202173,0,0,0,false,false
29,-1.0,-0.0258595293887204,-0.296875,0,0,0,false,false
30,-1.0,-0.015625,-0.301611128260387,0,0,0,false,false
31,-1.0,-0.0197098756034393,-0.308415124396561,0,0,0,false,false
32,-1.0,-0.03125,-0.296875,0,0,0,false,false
