Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.921875,0.046875,-0.281043306676782,0,0,0,false,false
1,-0.921875,0.046875,-0.265625,0,0,0,false,false
2,-0.921875,0.046875,-0.265625,0,0,0,false,false
3,-0.921875,0.0313122327214391,-0.265625,0,0,0,false,false
4,-0.921875,0.03125,-0.265625,0,0,0,false,false
5,-0.921875,0.03125,-0.265625,0,0,0,false,false
6,-0.936647171365767,0.03125,-0.265625,0,0,0,false,false
7,-0.923166150831818,0.03125,-0.265625,0,0,0,false,false
8,-0.921875,0.03125,-0.265625,0,0,0,false,false
9,-0.921875,0.03125,-0.265625,0,0,0,false,false
10,-0.921875,0.03125,-0.265625,0,0,0,false,false
11,-0.921875,0.03125,-0.265625,0,0,0,false,false
12,-0.921875,0.03125,-0.265625,0,0,0,false,false
13,-0.921875,0.03125,-0.265625,0,0,0,false,false
14,-0.921875,0.03125,-0.265625,0,0,0,false,false
15,-0.921875,0.03125,-0.265625,0,0,0,false,false
16,-0.921875,0.03125,-0.265625,0,0,0,false,false
17,-0.921875,0.03125,-0.265625,0,0,0,false,false
18,-0.921875,0.03125,-0.265625,0,0,0,false,false
19,-0.921875,0.036859440647115,-0.265625,0,0,0,false,false
20,-0.921875,0.042050678356623,-0.265625,0,0,0,false,false
21,-0.925939416821402,0.0353144168214019,-0.265625,0,0,0,false,false
22,-0.934144096375398,0.046875,-0.265625,0,0,0,false,false
23,-0.921875,0.046875,-0.265625,0,0,0,false,false
24,-0.921875,0.046875,-0.265625,0,0,0,false,false
25,-0.921875,0.0453364180852125,-0.265625,0,0,0,false,false
26,-0.921875,0.03125,-0.265625,0,0,0,false,false
27,-0.921875,0.03125,-0.265625,0,0,0,false,false
28,-0.921875,0.03125,-0.265625,0,0,0,false,false
29,-0.921875,0.03125,-0.265625,0,0,0,false,false
30,-0.921875,0.03125,-0.265625,0,0,0,false,false
31,-0.921875,0.03125,-0.265625,0,0,0,false,false
32,-0.921875,0.03125,-0.265625,0,0,0,false,false
33,-0.921875,0.03125,-0.265625,0,0,0,false,false
34,-0.921875,0.0462513087212658,-0.265625,0,0,0,false,false
35,-0.921875,0.046875,-0.265625,0,0,0,false,false
36,-0.921875,0.046875,-0.265625,0,0,0,false,false
37,-0.921875,0.046875,-0.265625,0,0,0,false,false
38,-0.921875,0.046875,-0.265625,0,0,0,false,false
39,-0.921875,0.046875,-0.265625,0,0,0,false,false
40,-0.921875,0.046875,-0.265625,0,0,0,false,false
41,-0.921875,0.046875,-0.265625,0,0,0,false,false
42,-0.921875,0.03675,-0.265625,0,0,0,false,false
43,-0.921875,0.03125,-0.265625,0,0,0,false,false
44,-0.921875,0.03125,-0.265625,0,0,0,false,false
45,-0.921875,0.03125,-0.265625,0,0,0,false,false
46,-0.921875,0.03125,-0.265625,0,0,0,false,false
47,-0.921875,0.0373234322250663,-0.265625,0,0,0,false,false
48,-0.921875,0.046875,-0.265625,0,0,0,false,false
49,-0.921875,0.046875,-0.265625,0,0,0,false,false
50,-0.921875,0.046875,-0.269422388025353,0,0,0,false,false
51,-0.921875,0.046875,-0.27815763806971,0,0,0,false,false
52,-0.921875,0.046875,-0.265625,0,0,0,false,false
53,-0.921875,0.046875,-0.265625,0,0,0,false,false
54,-0.921875,0.0455193847342822,-0.265625,0,0,0,false,false
55,-0.921875,0.03125,-0.265625,0,0,0,false,false
56,-0.921875,0.0317818481880653,-0.265625,0,0,0,false,false
57,-0.921875,0.046875,-0.265625,0,0,0,false,false
58,-0.921875,0.046875,-0.265625,0,0,0,false,false
59,-0.921875,0.046875,-0.265627155215804,0,0,0,false,false
60,-0.921875,0.046875,-0.28121353858283,0,0,0,false,false
61,-0.921875,0.046875,-0.265808895164063,0,0,0,false,false
62,-0.937078741876974,0.046875,-0.265625,0,0,0,false,false
63,-0.922630756927394,0.0320057569273936,-0.265625,0,0,0,false,false
64,-0.921875,0.0457006848462608,-0.265625,0,0,0,false,false
65,-0.921875,0.046875,-0.265625,0,0,0,false,false
66,-0.921875,0.046875,-0.265625,0,0,0,false,false
67,-0.921875,0.046875,-0.265625,0,0,0,false,false
68,-0.921875,0.046875,-0.265625,0,0,0,false,false
69,-0.921875,0.046875,-0.265625,0,0,0,false,false
70,-0.921875,0.046875,-0.276234099914114,0,0,0,false,false
71,-0.921875,0.046875,-0.271432478789304,0,0,0,false,false
72,-0.921875,0.046875,-0.265625,0,0,0,false,false
73,-0.921875,0.0386530794059266,-0.265625,0,0,0,false,false
74,-0.921875,0.0386530794059266,-0.265625,0,0,0,false,false
75,-0.921875,0.046875,-0.265625,0,0,0,false,false
76,-0.921875,0.046875,-0.271388359009158,0,0,0,false,false
77,-0.921875,0.046875,-0.276247404543861,0,0,0,false,false
78,-0.921875,0.046875,-0.265625,0,0,0,false,false
79,-0.921875,0.046875,-0.269140600871216,0,0,0,false,false
80,-0.921875,0.046875,-0.278395710227715,0,0,0,false,false
81,-0.921875,0.046875,-0.267852667490446,0,0,0,false,false
82,-0.921875,0.0452090560381551,-0.28125,0,0,0,false,false
83,-0.923036624541171,0.03125,-0.280088375458829,0,0,0,false,false
84,-0.936756082229631,0.03125,-0.266368917770369,0,0,0,false,false
85,-0.921875,0.0316553003975375,-0.280844699602462,0,0,0,false,false
86,-0.921875,0.046875,-0.265793216134954,0,0,0,false,false
87,-0.921875,0.046875,-0.281216052727639,0,0,0,false,false
88,-0.921875,0.046875,-0.265628551192127,0,0,0,false,false
89,-0.921875,0.046875,-0.265625,0,0,0,false,false
90,-0.921875,0.046875,-0.265625,0,0,0,false,false
91,-0.921875,0.0318090340725543,-0.265625,0,0,0,false,false
92,-0.921875,0.03125,-0.265625,0,0,0,false,false
93,-0.936128379732541,0.0455033797325407,-0.265625,0,0,0,false,false
94,-0.9237826830876,0.046875,-0.265625,0,0,0,false,false
95,-0.921875,0.046875,-0.265625,0,0,0,false,false
96,-0.921875,0.046875,-0.265625,0,0,0,false,false
97,-0.921875,0.046875,-0.265625,0,0,0,false,false
98,-0.921875,0.046875,-0.276657285959399,0,0,0,false,false
99,-0.921875,0.046875,-0.270994256342161,0,0,0,false,false
100,-0.921875,0.0373997813411079,-0.265625,0,0,0,false,false
