Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.818398085397724,-0.015625,-0.546875,0,0,0,false,false
1,-0.821809592676388,-0.015625,-0.537565407323612,0,0,0,false,false
2,-0.819191599131047,-0.015625,-0.53125,0,0,0,false,false
3,-0.81896454597469,-0.015625,-0.539779548891958,0,0,0,false,false
4,-0.838140198196179,-0.015625,-0.538761491638036,0,0,0,false,false
5,-0.84375,-0.015625,-0.53125,0,0,0,false,false
6,-0.84375,-0.015625,-0.53125,0,0,0,false,false
7,-0.84375,-0.00873695370515769,-0.524361953705158,0,0,0,false,false
8,-0.84375,-0.00647512698467489,-0.515625,0,0,0,false,false
9,-0.837684392686997,-0.015625,-0.515625,0,0,0,false,false
10,-0.83378554234005,-0.015625,-0.515625,0,0,0,false,false
11,-0.84375,-0.015625,-0.515625,0,0,0,false,false
12,-0.84375,-0.0107353606344139,-0.515625,0,0,0,false,false
13,-0.84375,0.0,-0.515625,0,0,0,false,false
14,-0.84375,0.0,-0.515625,0,0,0,false,false
15,-0.84375,0.0,-0.515625,0,0,0,false,false
16,-0.84375,0.0,-0.515625,0,0,0,false,false
17,-0.84375,0.0,-0.515625,0,0,0,false,false
18,-0.84375,0.0,-0.518368156579327,0,0,0,false,false
19,-0.846174059476382,-0.00242405947638169,-0.53125,0,0,0,false,false
20,-0.859375,-0.015625,-0.53125,0,0,0,false,false
21,-0.859375,-0.015625,-0.53125,0,0,0,false,false
22,-0.859375,-0.015625,-0.53125,0,0,0,false,false
23,-0.858464749400866,-0.015625,-0.53125,0,0,0,false,false
24,-0.840893260528255,-0.015625,-0.530164517095154,0,0,0,false,false
25,-0.828125,-0.015625,-0.515625,0,0,0,false,false
26,-0.828125,-0.015625,-0.515625,0,0,0,false,false
27,-0.828125,-0.015625,-0.515625,0,0,0,false,false
28,-0.828496611585811,-0.015625,-0.515625,0,0,0,false,false
29,-0.84375,-0.015380264290521,-0.515869735709479,0,0,0,false,false
30,-0.843893122664038,0.0,-0.53125,0,0,0,false,false
31,-0.859303697804786,0.0,-0.53125,0,0,0,false,false
32,-0.84375,-0.0000218315936549684,-0.53125,0,0,0,false,false
33,-0.84375,-0.0156242696108014,-0.531249269610801,0,0,0,false,false
34,-0.84375,-8.8881708025651e-6,-0.515633888170803,0,0,0,false,false
35,-0.828170880405775,0.0,-0.515625,0,0,0,false,false
36,-0.828125,0.0,-0.515625,0,0,0,false,false
37,-0.843553985846193,0.0,-0.515625,0,0,0,false,false
38,-0.84375,0.0153128290212782,-0.515625,0,0,0,false,false
39,-0.84375,0.000452625870884436,-0.530797374129116,0,0,0,false,false
40,-0.84375,0.0,-0.53125,0,0,0,false,false
41,-0.84375,0.0,-0.516407995730646,0,0,0,false,false
42,-0.84375,-0.0146376577164517,-0.515625,0,0,0,false,false
43,-0.84375,-0.015625,-0.515625,0,0,0,false,false
44,-0.84375,-0.015625,-0.515625,0,0,0,false,false
45,-0.84375,-0.015625,-0.515625,0,0,0,false,false
46,-0.84375,-0.00198970126529885,-0.515625,0,0,0,false,false
47,-0.84375,0.0,-0.515625,0,0,0,false,false
48,-0.84375,0.0,-0.515625,0,0,0,false,false
49,-0.831051477514248,0.0,-0.515625,0,0,0,false,false
