Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.96875,0.0625,-0.171875,0,0,0,false,false
1,-0.96875,0.0625,-0.171875,0,0,0,false,false
2,-0.96875,0.0625,-0.171875,0,0,0,false,false
3,-0.96875,0.0625,-0.171875,0,0,0,false,false
4,-0.96875,0.0698821140734976,-0.171875,0,0,0,false,false
5,-0.96875,0.0710323871526704,-0.16478238715267,0,0,0,false,false
6,-0.96875,0.0625,-0.163029478036966,0,0,0,false,false
7,-0.96875,0.0689698669169727,-0.171875,0,0,0,false,false
8,-0.96875,0.078125,-0.171875,0,0,0,false,false
9,-0.96875,0.0722701384031892,-0.171875,0,0,0,false,false
10,-0.96875,0.0625,-0.171875,0,0,0,false,false
11,-0.96875,0.0677733137622764,-0.171875,0,0,0,false,false
12,-0.96875,0.078125,-0.171875,0,0,0,false,false
13,-0.96875,0.078125,-0.171875,0,0,0,false,false
14,-0.96875,0.0737321843786798,-0.171875,0,0,0,false,false
15,-0.96875,0.0666338419783331,-0.167741158021667,0,0,0,false,false
16,-0.96875,0.078125,-0.16009581434042,0,0,0,false,false
17,-0.96875,0.074554666076113,-0.168304666076113,0,0,0,false,false
18,-0.96875,0.0658088082724139,-0.159558808272414,0,0,0,false,false
19,-0.96875,0.078125,-0.171875,0,0,0,false,false
20,-0.96875,0.0753025119510104,-0.171875,0,0,0,false,false
21,-0.96875,0.0650777901341659,-0.171875,0,0,0,false,false
22,-0.96875,0.0758003588126655,-0.171875,0,0,0,false,false
23,-0.96875,0.0646021048042968,-0.171875,0,0,0,false,false
24,-0.96875,0.0762452281182452,-0.171875,0,0,0,false,false
25,-0.96875,0.0641941042586643,-0.171875,0,0,0,false,false
26,-0.96875,0.07662590954507,-0.171875,0,0,0,false,false
27,-0.96875,0.0638055960959152,-0.171875,0,0,0,false,false
28,-0.96875,0.0769911944131406,-0.170741194413141,0,0,0,false,false
29,-0.96875,0.0634706680698228,-0.157220668069823,0,0,0,false,false
30,-0.96875,0.078125,-0.171054499957133,0,0,0,false,false
31,-0.96875,0.078125,-0.15692138671875,0,0,0,false,false
32,-0.96875,0.0775891632373114,-0.171339163237311,0,0,0,false,false
33,-0.96875,0.0625,-0.15625,0,0,0,false,false
34,-0.96875,0.0628151858290396,-0.15656518582904,0,0,0,false,false
35,-0.96875,0.078125,-0.171641022045717,0,0,0,false,false
36,-0.96875,0.0779703739458293,-0.15625,0,0,0,false,false
37,-0.96875,0.0625948345634583,-0.156344834563458,0,0,0,false,false
38,-0.96875,0.078125,-0.171875,0,0,0,false,false
39,-0.96875,0.0781067905327548,-0.171875,0,0,0,false,false
40,-0.96875,0.0625,-0.171875,0,0,0,false,false
41,-0.96875,0.0625,-0.171875,0,0,0,false,false
42,-0.96875,0.0781048979334219,-0.156270102066578,0,0,0,false,false
43,-0.96875,0.078125,-0.171822766046824,0,0,0,false,false
44,-0.96875,0.078125,-0.171875,0,0,0,false,false
45,-0.96875,0.062659491499973,-0.171875,0,0,0,false,false
46,-0.96875,0.0625,-0.171875,0,0,0,false,false
47,-0.96875,0.0777959046128527,-0.171875,0,0,0,false,false
48,-0.96875,0.0629316529372784,-0.171875,0,0,0,false,false
49,-0.96875,0.0775799416128225,-0.156795058387177,0,0,0,false,false
50,-0.96875,0.078125,-0.171202339911122,0,0,0,false,false
51,-0.96875,0.0633205000428669,-0.171875,0,0,0,false,false
52,-0.96875,0.0771423256119256,-0.171875,0,0,0,false,false
53,-0.96875,0.0636574074074074,-0.171875,0,0,0,false,false
54,-0.96875,0.0768057670222768,-0.171875,0,0,0,false,false
55,-0.96875,0.078125,-0.171875,0,0,0,false,false
56,-0.96875,0.078125,-0.171875,0,0,0,false,false
57,-0.96875,0.078125,-0.171875,0,0,0,false,false
58,-0.96875,0.078125,-0.171875,0,0,0,false,false
59,-0.96875,0.064854793657435,-0.171875,0,0,0,false,false
60,-0.96875,0.0755380263687128,-0.171875,0,0,0,false,false
61,-0.96875,0.078125,-0.171875,0,0,0,false,false
62,-0.96875,0.065597667638484,-0.171875,0,0,0,false,false
63,-0.96875,0.0625,-0.171875,0,0,0,false,false
64,-0.980784740771489,0.0745347407714892,-0.171875,0,0,0,false,false
65,-0.97261618187973,0.0663661818797304,-0.171875,0,0,0,false,false
66,-0.96875,0.0625,-0.160404646508244,0,0,0,false,false
67,-0.96875,0.0625,-0.167453564189683,0,0,0,false,false
68,-0.96875,0.0625,-0.160955502847154,0,0,0,false,false
69,-0.96875,0.0731375099137612,-0.166887509913761,0,0,0,false,false
70,-0.96875,0.067795447571091,-0.171875,0,0,0,false,false
71,-0.96875,0.0725443644784416,-0.171875,0,0,0,false,false
72,-0.96875,0.078125,-0.171875,0,0,0,false,false
73,-0.96875,0.078125,-0.171875,0,0,0,false,false
74,-0.96875,0.0689928157581082,-0.162742815758108,0,0,0,false,false
75,-0.96875,0.071322425133975,-0.165072425133975,0,0,0,false,false
76,-0.96875,0.0696034936550533,-0.171875,0,0,0,false,false
77,-0.96875,0.0625,-0.171875,0,0,0,false,false
78,-0.96875,0.0704055039996231,-0.171875,0,0,0,false,false
79,-0.96875,0.0705335822524635,-0.171875,0,0,0,false,false
80,-0.96875,0.0697891705814045,-0.164585829418595,0,0,0,false,false
81,-0.96875,0.0711481300109329,-0.163226869989067,0,0,0,false,false
82,-0.96875,0.0691537395754754,-0.171875,0,0,0,false,false
83,-0.96875,0.0717596897277536,-0.171875,0,0,0,false,false
84,-0.96875,0.0685684398705819,-0.171875,0,0,0,false,false
85,-0.96875,0.078125,-0.166110372537805,0,0,0,false,false
86,-0.96875,0.078125,-0.15625,0,0,0,false,false
87,-0.96875,0.0729756001406939,-0.161399399859306,0,0,0,false,false
88,-0.96875,0.0673866505588851,-0.171875,0,0,0,false,false
89,-0.973348152881243,0.078125,-0.171875,0,0,0,false,false
90,-0.980073896498083,0.0738238964980834,-0.167573896498083,0,0,0,false,false
91,-0.96875,0.0625,-0.160259651703058,0,0,0,false,false
92,-0.96875,0.0625,-0.168137872708219,0,0,0,false,false
93,-0.96875,0.0660047013151274,-0.15625,0,0,0,false,false
94,-0.96875,0.078125,-0.159481491631185,0,0,0,false,false
95,-0.96875,0.078125,-0.171875,0,0,0,false,false
96,-0.96875,0.078125,-0.169148795729528,0,0,0,false,false
97,-0.96875,0.075644201239796,-0.158730798760204,0,0,0,false,false
98,-0.96875,0.0625,-0.171875,0,0,0,false,false
99,-0.96875,0.0625,-0.169834725142231,0,0,0,false,false
100,-0.96875,0.0625,-0.15625,0,0,0,false,false
101,-0.96875,0.0625,-0.15625,0,0,0,false,false
102,-0.96875,0.0625,-0.15625,0,0,0,false,false
103,-0.96875,0.0625,-0.15625,0,0,0,false,false
104,-0.96875,0.0625,-0.15625,0,0,0,false,false
105,-0.96875,0.0625,-0.15625,0,0,0,false,false
106,-0.96875,0.0625,-0.15700639286318,0,0,0,false,false
107,-0.96875,0.0625,-0.171252426111684,0,0,0,false,false
108,-0.96875,0.0625,-0.156758603204619,0,0,0,false,false
109,-0.96875,0.0625,-0.171484052271338,0,0,0,false,false
110,-0.96875,0.0625,-0.15625,0,0,0,false,false
111,-0.96875,0.0625,-0.156454124557958,0,0,0,false,false
112,-0.96875,0.0626390468454249,-0.171735953154575,0,0,0,false,false
113,-0.96875,0.078125,-0.156325596016975,0,0,0,false,false
114,-0.96875,0.078089430941089,-0.171839430941089,0,0,0,false,false
115,-0.96875,0.0625,-0.15625,0,0,0,false,false
116,-0.96875,0.062500046194974,-0.15625,0,0,0,false,false
117,-0.96875,0.0781194474375673,-0.15625,0,0,0,false,false
118,-0.96875,0.0625262028787358,-0.171848797121264,0,0,0,false,false
119,-0.96875,0.0625,-0.171875,0,0,0,false,false
120,-0.96875,0.0780045441300785,-0.156370455869921,0,0,0,false,false
121,-0.96875,0.0626921872574675,-0.15625,0,0,0,false,false
122,-0.96875,0.0625,-0.15625,0,0,0,false,false
123,-0.96875,0.0625,-0.15625,0,0,0,false,false
124,-0.96875,0.0625,-0.171401694968895,0,0,0,false,false
125,-0.96875,0.0775316364989798,-0.15684336350102,0,0,0,false,false
126,-0.96875,0.0632336608998758,-0.15625,0,0,0,false,false
127,-0.96875,0.0772578460030082,-0.15625,0,0,0,false,false
128,-0.96875,0.0635313385790503,-0.15625,0,0,0,false,false
129,-0.96875,0.076926338521061,-0.15625,0,0,0,false,false
130,-0.96875,0.078125,-0.15625,0,0,0,false,false
131,-0.96875,0.078125,-0.170291408119903,0,0,0,false,false
132,-0.96875,0.0642705280210233,-0.171875,0,0,0,false,false
133,-0.96875,0.0625,-0.171875,0,0,0,false,false
134,-0.96875,0.0759191635181829,-0.158455836481817,0,0,0,false,false
135,-0.96875,0.06494140625,-0.15625,0,0,0,false,false
136,-0.96875,0.0625,-0.169198316081061,0,0,0,false,false
137,-0.96875,0.0625,-0.171875,0,0,0,false,false
138,-0.96875,0.0625,-0.159396703193877,0,0,0,false,false
139,-0.980968702883858,0.0625,-0.15625,0,0,0,false,false
140,-0.972434062523199,0.0625,-0.15625,0,0,0,false,false
141,-0.96875,0.0625,-0.167920281797913,0,0,0,false,false
142,-0.96875,0.0739077615908209,-0.160467238409179,0,0,0,false,false
143,-0.96875,0.0670127397396946,-0.15625,0,0,0,false,false
144,-0.96875,0.0625,-0.15625,0,0,0,false,false
