Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.782623217908302,-0.212219092066604,0.625396655408302,0,0,0,false,false
1,-0.781494140625,-0.210019053265204,0.624267578125,0,0,0,false,false
2,-0.781638490622478,-0.210652116518578,0.624352374626982,0,0,0,false,false
3,-0.783010373379195,-0.210312568408762,0.625616438616364,0,0,0,false,false
4,-0.780630261778498,-0.211329274627986,0.6259765625,0,0,0,false,false
5,-0.780165732461971,-0.209677800627279,0.625813180248708,0,0,0,false,false
6,-0.779828345339933,-0.208856769274611,0.624331864068209,0,0,0,false,false
7,-0.780783406568135,-0.210407432962562,0.625511751233919,0,0,0,false,false
8,-0.782050456534182,-0.210803364438114,0.626330708188114,0,0,0,false,false
9,-0.782388979265348,-0.209730411406878,0.62525917394205,0,0,0,false,false
10,-0.783056787780779,-0.210158706992048,0.625623086513233,0,0,0,false,false
11,-0.781602730140555,-0.211166349983724,0.626071455768503,0,0,0,false,false
12,-0.781076911745542,-0.210759453219623,0.625313237510261,0,0,0,false,false
13,-0.780517578125,-0.21013015005969,0.627214887001407,0,0,0,false,false
14,-0.780751871076407,-0.212032251382425,0.625732421875,0,0,0,false,false
15,-0.782087608775265,-0.21283514478702,0.625676642295343,0,0,0,false,false
16,-0.781321763212438,-0.212341723020246,0.624484695857572,0,0,0,false,false
17,-0.781690374157339,-0.211419119678566,0.62261850278769,0,0,0,false,false
18,-0.781051745877551,-0.208203333888276,0.623112035083261,0,0,0,false,false
19,-0.780708585416582,-0.212238218353769,0.62349458667453,0,0,0,false,false
20,-0.782215472940012,-0.213707685895094,0.62481115838518,0,0,0,false,false
21,-0.78288332817542,-0.21238851563817,0.62558650404109,0,0,0,false,false
22,-0.782895215796561,-0.212069133945761,0.625732421875,0,0,0,false,false
23,-0.781539301575387,-0.212992237028869,0.62591306567655,0,0,0,false,false
24,-0.781439913321659,-0.213058724523673,0.626590245720428,0,0,0,false,false
25,-0.779404162694308,-0.211759780640661,0.625875391227352,0,0,0,false,false
26,-0.779005141882902,-0.210157485632902,0.626087214973199,0,0,0,false,false
27,-0.779734365498036,-0.210683546240181,0.628970140545209,0,0,0,false,false
28,-0.779696430341639,-0.210027626308279,0.630037434775432,0,0,0,false,false
29,-0.7802734375,-0.210915944473604,0.628082761539943,0,0,0,false,false
30,-0.780245285523563,-0.210032051606518,0.627110413683696,0,0,0,false,false
31,-0.779687825500985,-0.210680090964417,0.625482517721836,0,0,0,false,false
32,-0.779387410734084,-0.211293670042315,0.624229359195465,0,0,0,false,false
33,-0.780420034430027,-0.211188648230008,0.625721392923658,0,0,0,false,false
34,-0.778201222182851,-0.21063060545598,0.62628345704402,0,0,0,false,false
35,-0.779777715359275,-0.211062021271846,0.625732421875,0,0,0,false,false
36,-0.779953546734861,-0.209993737184042,0.626052193514013,0,0,0,false,false
37,-0.779110820384233,-0.209266016227898,0.626756954510119,0,0,0,false,false
38,-0.778921756844094,-0.209656261922289,0.626955801767782,0,0,0,false,false
39,-0.780381451717504,-0.21060844188169,0.628527874625477,0,0,0,false,false
40,-0.780796533298524,-0.211770318208712,0.626766058606012,0,0,0,false,false
41,-0.782091139720202,-0.212158203125,0.626091394325089,0,0,0,false,false
42,-0.779949743772343,-0.211281862393786,0.626268676077071,0,0,0,false,false
43,-0.779210096571181,-0.20935573815026,0.626729926215278,0,0,0,false,false
44,-0.778960404324745,-0.210885265565077,0.627207471860842,0,0,0,false,false
45,-0.779296875,-0.211937296845,0.628942411429199,0,0,0,false,false
46,-0.778820590397223,-0.211096261534259,0.627297786617905,0,0,0,false,false
47,-0.778722993672166,-0.21142578125,0.627034121583833,0,0,0,false,false
48,-0.779940765435931,-0.211508183062724,0.627153691735939,0,0,0,false,false
49,-0.77880859375,-0.211573554283188,0.626457899729249,0,0,0,false,false
50,-0.778208523857178,-0.210472140660237,0.625211310854108,0,0,0,false,false
51,-0.777538193083717,-0.210010979026688,0.625191657843929,0,0,0,false,false
52,-0.7783203125,-0.212158368769302,0.62600786753816,0,0,0,false,false
53,-0.778138859478468,-0.213040862712702,0.627148013286114,0,0,0,false,false
54,-0.779032906707832,-0.212528247186483,0.627098312183039,0,0,0,false,false
55,-0.780952277306241,-0.210622845043153,0.625732421875,0,0,0,false,false
56,-0.780324473199192,-0.210300702743473,0.625445548019581,0,0,0,false,false
57,-0.780076850372959,-0.210060293252721,0.625486156871598,0,0,0,false,false
58,-0.780517578125,-0.209868223492675,0.625231785018313,0,0,0,false,false
59,-0.779815135316456,-0.209847124914105,0.625485229410036,0,0,0,false,false
