Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.986782580272444,-0.0411396000642231,0.0327134626709457,0,0,0,false,false
1,-0.986292951922111,-0.0402118717788343,0.0352393157432411,0,0,0,false,false
2,-0.983690534313584,-0.0401446557054628,0.035888671875,0,0,0,false,false
3,-0.982292108392667,-0.040283203125,0.0357750141023576,0,0,0,false,false
4,-0.982408681200121,-0.0397250180379085,0.0345573740349349,0,0,0,false,false
5,-0.984366585688406,-0.0387000295314181,0.0354092764241375,0,0,0,false,false
6,-0.985395408676868,-0.0371811855504115,0.0342942259414207,0,0,0,false,false
7,-0.988485274285449,-0.0375662389846328,0.0328296070950731,0,0,0,false,false
8,-0.988358599476956,-0.039064833217128,0.0331905869701185,0,0,0,false,false
9,-0.986280807701225,-0.0382453826511951,0.0335925106872591,0,0,0,false,false
10,-0.985498600334959,-0.037841796875,0.0346090972087547,0,0,0,false,false
11,-0.984958980015834,-0.0394377148131553,0.0347347851596494,0,0,0,false,false
12,-0.985395908723554,-0.0379920535187213,0.0374406119570185,0,0,0,false,false
13,-0.985347712942826,-0.0358388560110818,0.0387298730702722,0,0,0,false,false
14,-0.984178535458097,-0.0374836806565298,0.0394169810274995,0,0,0,false,false
15,-0.982648912926735,-0.0386467151096813,0.0405830496482531,0,0,0,false,false
16,-0.982730771875122,-0.0395233729960821,0.0395217167124042,0,0,0,false,false
17,-0.983048557292228,-0.041949848770805,0.0395984525029485,0,0,0,false,false
18,-0.98480035812734,-0.0396339379855782,0.0396157221728387,0,0,0,false,false
19,-0.985237114561722,-0.035520418724536,0.0400893703969119,0,0,0,false,false
20,-0.983457536456903,-0.0336363859150608,0.0392053581524364,0,0,0,false,false
21,-0.98291015625,-0.0323855601968014,0.0398341599769804,0,0,0,false,false
22,-0.983562536593616,-0.0311710333237033,0.0404946661342938,0,0,0,false,false
23,-0.986239489728232,-0.029769076113252,0.0403470453362508,0,0,0,false,false
24,-0.986147519394826,-0.0306228061074952,0.0416732390352648,0,0,0,false,false
25,-0.983854337189494,-0.0308253425302309,0.0434997896853274,0,0,0,false,false
26,-0.984302662037037,-0.0311958011270484,0.0434578189754667,0,0,0,false,false
27,-0.984075297281172,-0.0319155636930384,0.0415224900617283,0,0,0,false,false
28,-0.984923638329713,-0.0346733571588426,0.041015625,0,0,0,false,false
29,-0.986801023755924,-0.0337659214222207,0.0422868788243839,0,0,0,false,false
30,-0.985424111865056,-0.0339304294488642,0.041662681327316,0,0,0,false,false
31,-0.986699290624748,-0.0331398406267535,0.0400020087285783,0,0,0,false,false
32,-0.989421248858949,-0.031262585770482,0.039794921875,0,0,0,false,false
33,-0.98974609375,-0.0324717588082045,0.0380335524187672,0,0,0,false,false
34,-0.990283847194856,-0.0354506503049024,0.0371387645473318,0,0,0,false,false
35,-0.992008938673497,-0.0350629415783862,0.037109375,0,0,0,false,false
36,-0.994087366684543,-0.0326696726623365,0.0334511960764393,0,0,0,false,false
37,-0.991721353106626,-0.0311490581391617,0.0335013571014749,0,0,0,false,false
38,-0.98817818190826,-0.031005859375,0.0350073046144855,0,0,0,false,false
39,-0.988200018267897,-0.0307505584761732,0.0336852139044343,0,0,0,false,false
40,-0.989697949934437,-0.0291765353564533,0.033203125,0,0,0,false,false
41,-0.989863949465341,-0.0289926915546663,0.0334556948193189,0,0,0,false,false
42,-0.989076951744619,-0.0289356802716444,0.0352225388744126,0,0,0,false,false
43,-0.988462823133352,-0.0263687162847442,0.0319496876792184,0,0,0,false,false
44,-0.987354490584441,-0.024751693092172,0.0322015482495453,0,0,0,false,false
45,-0.985411046385728,-0.0263594421977788,0.0355803828075286,0,0,0,false,false
46,-0.985724163396057,-0.0286246084988819,0.0371637722070215,0,0,0,false,false
47,-0.986698864391726,-0.0314274439806464,0.0375661818688385,0,0,0,false,false
48,-0.98642570210977,-0.0349105223551434,0.0372742195903342,0,0,0,false,false
49,-0.984146372401806,-0.0341931063132649,0.0369009935580505,0,0,0,false,false
50,-0.984065516186026,-0.029334147261165,0.037423611639835,0,0,0,false,false
51,-0.985369278961997,-0.0246886606610983,0.0363762827780388,0,0,0,false,false
52,-0.983914838850641,-0.0246436074120703,0.0345770285248293,0,0,0,false,false
53,-0.983585200197151,-0.0252073837386922,0.0305366451745031,0,0,0,false,false
54,-0.983388876555699,-0.02638888870019,0.0291075637202302,0,0,0,false,false
55,-0.981523353402088,-0.0275105584189492,0.0315487664895694,0,0,0,false,false
56,-0.979265809597781,-0.0287755064822329,0.0328163958801689,0,0,0,false,false
57,-0.979843124546042,-0.0311054394254359,0.0334753276060051,0,0,0,false,false
58,-0.982733977001625,-0.0310157831295283,0.0339987552763091,0,0,0,false,false
59,-0.983830380487096,-0.0303464684230494,0.0353572212550327,0,0,0,false,false
60,-0.98388671875,-0.0311117185414331,0.0347744973160833,0,0,0,false,false
61,-0.986029787819131,-0.0318216958253956,0.0327054535773383,0,0,0,false,false
62,-0.987249503585322,-0.0327817446243771,0.0299393204131493,0,0,0,false,false
63,-0.987012494381875,-0.0325572415318362,0.0308982610266846,0,0,0,false,false
64,-0.986210302036478,-0.0302601424770702,0.0321315316183125,0,0,0,false,false
65,-0.986462995604789,-0.0326277404734169,0.0305210119659499,0,0,0,false,false
66,-0.984546688087244,-0.0325024903503922,0.0307403487132641,0,0,0,false,false
67,-0.98372166601798,-0.0309456739689195,0.0330908819557986,0,0,0,false,false
68,-0.983047815723839,-0.03076171875,0.0343348626882099,0,0,0,false,false
69,-0.983169573012112,-0.0302440447337606,0.0327405859338775,0,0,0,false,false
70,-0.985549332468919,-0.0298152232839129,0.0292708185061981,0,0,0,false,false
71,-0.985954405083487,-0.0307409486562939,0.0291909107125176,0,0,0,false,false
72,-0.984664045920319,-0.028898345158522,0.0290402571687357,0,0,0,false,false
73,-0.984375,-0.0290149105190901,0.0261469189406651,0,0,0,false,false
74,-0.983224336854027,-0.0317875112502896,0.024072971179127,0,0,0,false,false
75,-0.984710577293495,-0.0364565581601925,0.0258457189180468,0,0,0,false,false
76,-0.985786998320348,-0.0366747589062269,0.0250189184415096,0,0,0,false,false
77,-0.984222822581479,-0.0351605478983521,0.0265852108605125,0,0,0,false,false
78,-0.983207720018722,-0.0354049947358097,0.0259803766499509,0,0,0,false,false
79,-0.985183874761532,-0.0360664659787515,0.0241972722043529,0,0,0,false,false
80,-0.987190869048309,-0.0337448425790302,0.0237070163069795,0,0,0,false,false
81,-0.988251293495188,-0.0326396336851226,0.025036972967381,0,0,0,false,false
82,-0.989359666291547,-0.0304832525980811,0.0215139296362083,0,0,0,false,false
83,-0.98883579197536,-0.030029296875,0.0214049084292891,0,0,0,false,false
84,-0.982523698771024,-0.0326364551355085,0.0236863250283443,0,0,0,false,false
85,-0.983442456978221,-0.0347689560871752,0.0263021162905524,0,0,0,false,false
86,-0.986922055415,-0.036119247401411,0.0254423213310624,0,0,0,false,false
87,-0.99011026456188,-0.0392750566937073,0.0263167830852413,0,0,0,false,false
88,-0.988897984385152,-0.0366554703872854,0.025243864319952,0,0,0,false,false
89,-0.985737232527609,-0.0351276405399743,0.0255891276304563,0,0,0,false,false
90,-0.985485932686506,-0.033682215020211,0.0262604445493773,0,0,0,false,false
91,-0.986653433573208,-0.0342310834046013,0.0265820389182249,0,0,0,false,false
92,-0.987705703388572,-0.0341497694565933,0.0249089675584128,0,0,0,false,false
93,-0.987353263020826,-0.0320437422828862,0.0241923811267838,0,0,0,false,false
94,-0.985929581445299,-0.0310543184170375,0.0249949175497542,0,0,0,false,false
95,-0.983066127774402,-0.0323919934207449,0.026240249820177,0,0,0,false,false
96,-0.983474541225616,-0.033679684983611,0.0222270017842562,0,0,0,false,false
97,-0.984942107772183,-0.0346221261854746,0.0218319403490652,0,0,0,false,false
98,-0.985107421875,-0.0359613413272947,0.0212450273763016,0,0,0,false,false
99,-0.983982585337236,-0.0353423506576086,0.0178839416519618,0,0,0,false,false
100,-0.983421092561216,-0.036133861039851,0.0183252675271155,0,0,0,false,false
101,-0.983993698226861,-0.0376999292527042,0.0183562672577131,0,0,0,false,false
102,-0.981868347661363,-0.0389464613391416,0.019549795675709,0,0,0,false,false
103,-0.980842095103521,-0.040571457332711,0.0229167777921349,0,0,0,false,false
104,-0.980083786915217,-0.041853341012598,0.0236025073285707,0,0,0,false,false
105,-0.982709189353543,-0.0442555690772129,0.0247012337219101,0,0,0,false,false
106,-0.984739580480542,-0.0449013335369507,0.0246184368691025,0,0,0,false,false
107,-0.983664438264956,-0.0434005858092269,0.0229471241727824,0,0,0,false,false
108,-0.983798635234054,-0.0381014130157433,0.0194765711830197,0,0,0,false,false
109,-0.981695620167738,-0.0374921676229945,0.0198436795173466,0,0,0,false,false
110,-0.980076907485091,-0.0390249842102621,0.0198831817174653,0,0,0,false,false
111,-0.98299501694136,-0.0368154631503761,0.0175412076854069,0,0,0,false,false
112,-0.983502874924979,-0.0356863162760164,0.0184866522508772,0,0,0,false,false
113,-0.981967334810802,-0.0402064196877716,0.0223660421368086,0,0,0,false,false
114,-0.982153368905176,-0.0414854981250868,0.0256723611060855,0,0,0,false,false
115,-0.983350625561666,-0.0402538795806622,0.0283131381265946,0,0,0,false,false
116,-0.988654590383875,-0.0365629435619484,0.0246864372240829,0,0,0,false,false
117,-0.989208688744624,-0.0353499910398219,0.0218900968208434,0,0,0,false,false
118,-0.987506278040745,-0.0340972612840731,0.0219309983838116,0,0,0,false,false
119,-0.986529191975876,-0.0355975762701174,0.0206461548954202,0,0,0,false,false
120,-0.985504902839888,-0.0382997419257777,0.0180868416488371,0,0,0,false,false
121,-0.98316930490496,-0.0420933580832421,0.0189482494728623,0,0,0,false,false
122,-0.98004961286856,-0.043395833193832,0.021873890344018,0,0,0,false,false
123,-0.980050991389254,-0.0423557098251126,0.0197733749746103,0,0,0,false,false
124,-0.980933332269673,-0.0392092693456769,0.0199483276152097,0,0,0,false,false
125,-0.98194770302319,-0.0363323184105006,0.0213384621207158,0,0,0,false,false
126,-0.982728661004727,-0.033052910217368,0.0196423314727874,0,0,0,false,false
127,-0.983396924034331,-0.0339721327565665,0.0215392798409535,0,0,0,false,false
128,-0.985952316228573,-0.0351277722630342,0.0211696006718902,0,0,0,false,false
129,-0.986033110898876,-0.0366109273791665,0.0188314088235502,0,0,0,false,false
130,-0.983744331957104,-0.0390651195373107,0.0204061351676253,0,0,0,false,false
131,-0.983810148303389,-0.0404398642598912,0.0203402423216106,0,0,0,false,false
132,-0.983680863348305,-0.0389839977917509,0.0205654127604477,0,0,0,false,false
133,-0.985291080346719,-0.0364344705375241,0.0223760212148516,0,0,0,false,false
134,-0.985451619810841,-0.0359060080394921,0.0228973339025711,0,0,0,false,false
135,-0.983262996154713,-0.0363023136932642,0.0231672422990435,0,0,0,false,false
136,-0.983531024840913,-0.0357560845340872,0.0205651690115763,0,0,0,false,false
137,-0.983021090829493,-0.0391662925912065,0.0166833450806156,0,0,0,false,false
138,-0.983060521172214,-0.038551544731485,0.016357421875,0,0,0,false,false
139,-0.984210180442813,-0.0394812207751414,0.0176024344519177,0,0,0,false,false
140,-0.982921045834983,-0.0426284638219706,0.0174068501492809,0,0,0,false,false
141,-0.98287399487514,-0.0418554307288706,0.0191394353023776,0,0,0,false,false
142,-0.982077156258226,-0.0374022546683757,0.0238858966810375,0,0,0,false,false
143,-0.983183485278422,-0.038070184077773,0.0267903196556074,0,0,0,false,false
