Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.84375,0.09375,-0.671875,0,0,0,false,false
1,-0.84375,0.09375,-0.671875,0,0,0,false,false
2,-0.84375,0.09375,-0.671875,0,0,0,false,false
3,-0.842421939186403,0.09375,-0.671875,0,0,0,false,false
4,-0.828125,0.09375,-0.671875,0,0,0,false,false
5,-0.828125,0.09375,-0.671875,0,0,0,false,false
6,-0.828125,0.09375,-0.671875,0,0,0,false,false
7,-0.828125,0.09375,-0.671875,0,0,0,false,false
8,-0.828125,0.09375,-0.671875,0,0,0,false,false
9,-0.828125,0.09375,-0.671875,0,0,0,false,false
10,-0.828125,0.09375,-0.671875,0,0,0,false,false
11,-0.828125,0.09375,-0.671875,0,0,0,false,false
12,-0.828125,0.09375,-0.671875,0,0,0,false,false
13,-0.828125,0.09375,-0.660300925925926,0,0,0,false,false
14,-0.828125,0.09375,-0.666720449757037,0,0,0,false,false
15,-0.828125,0.09375,-0.671875,0,0,0,false,false
16,-0.828125,0.09375,-0.671875,0,0,0,false,false
17,-0.828125,0.09375,-0.671875,0,0,0,false,false
18,-0.828125,0.09375,-0.671875,0,0,0,false,false
19,-0.828125,0.09375,-0.671875,0,0,0,false,false
20,-0.831643746094256,0.09375,-0.671875,0,0,0,false,false
21,-0.84375,0.09375,-0.671875,0,0,0,false,false
22,-0.842046967479288,0.09375,-0.671875,0,0,0,false,false
23,-0.828125,0.09375,-0.671875,0,0,0,false,false
24,-0.828125,0.09375,-0.671875,0,0,0,false,false
25,-0.828125,0.09375,-0.671875,0,0,0,false,false
26,-0.828125,0.09375,-0.671875,0,0,0,false,false
27,-0.828125,0.09375,-0.671875,0,0,0,false,false
28,-0.828125,0.09375,-0.671875,0,0,0,false,false
29,-0.828125,0.09375,-0.671875,0,0,0,false,false
30,-0.842043970964153,0.09375,-0.671875,0,0,0,false,false
31,-0.84375,0.09375,-0.671875,0,0,0,false,false
32,-0.84375,0.09375,-0.671875,0,0,0,false,false
33,-0.832715637956826,0.09375,-0.671875,0,0,0,false,false
34,-0.828125,0.09375,-0.671875,0,0,0,false,false
35,-0.828125,0.09375,-0.671875,0,0,0,false,false
36,-0.828125,0.09375,-0.671875,0,0,0,false,false
37,-0.834447275856554,0.09375,-0.671875,0,0,0,false,false
38,-0.838595449757037,0.09375,-0.666720449757037,0,0,0,false,false
39,-0.828125,0.09375,-0.660294301129365,0,0,0,false,false
40,-0.831142179185176,0.09375,-0.671875,0,0,0,false,false
41,-0.84375,0.09375,-0.671875,0,0,0,false,false
42,-0.84375,0.09375,-0.671875,0,0,0,false,false
43,-0.84375,0.09375,-0.671875,0,0,0,false,false
44,-0.84375,0.09375,-0.671615752264922,0,0,0,false,false
45,-0.84375,0.0937216258827351,-0.656278374117265,0,0,0,false,false
46,-0.84375,0.078155578923033,-0.671844421076967,0,0,0,false,false
47,-0.84375,0.078125,-0.656515591306265,0,0,0,false,false
48,-0.84375,0.093038965818796,-0.65625,0,0,0,false,false
49,-0.84375,0.09375,-0.65625,0,0,0,false,false
50,-0.84375,0.09375,-0.65625,0,0,0,false,false
51,-0.84375,0.09375,-0.668857820814824,0,0,0,false,false
52,-0.84375,0.09375,-0.660307547564065,0,0,0,false,false
53,-0.84375,0.09375,-0.666712299181452,0,0,0,false,false
54,-0.84375,0.09375,-0.671875,0,0,0,false,false
55,-0.84375,0.09375,-0.663749478124926,0,0,0,false,false
56,-0.84375,0.09375,-0.663169676516653,0,0,0,false,false
57,-0.84375,0.09375,-0.671875,0,0,0,false,false
58,-0.839146173372426,0.0983538266275743,-0.671875,0,0,0,false,false
59,-0.828125,0.105856253905744,-0.671875,0,0,0,false,false
60,-0.828125,0.09375,-0.671875,0,0,0,false,false
61,-0.828125,0.09375,-0.670160368106588,0,0,0,false,false
62,-0.828125,0.0927552205412671,-0.657244779458733,0,0,0,false,false
63,-0.828125,0.0785877611491337,-0.671875,0,0,0,false,false
64,-0.828125,0.0936339379023325,-0.671758937902333,0,0,0,false,false
65,-0.828125,0.078125,-0.65625004265229,0,0,0,false,false
66,-0.828125,0.078125,-0.67175915542868,0,0,0,false,false
67,-0.828125,0.078125,-0.671875,0,0,0,false,false
68,-0.828125,0.078125,-0.671875,0,0,0,false,false
69,-0.828125,0.078125,-0.671875,0,0,0,false,false
70,-0.828125,0.0912071932641962,-0.671875,0,0,0,false,false
71,-0.828125,0.09375,-0.671875,0,0,0,false,false
72,-0.839159362043174,0.09375,-0.671875,0,0,0,false,false
73,-0.84375,0.0838578316540984,-0.671875,0,0,0,false,false
74,-0.84375,0.0868303234833465,-0.671875,0,0,0,false,false
75,-0.84375,0.09375,-0.671875,0,0,0,false,false
76,-0.84375,0.09375,-0.665540328655574,0,0,0,false,false
77,-0.838595449757037,0.09375,-0.661404550242963,0,0,0,false,false
78,-0.832175925925926,0.09375,-0.671875,0,0,0,false,false
79,-0.84375,0.09375,-0.668844823763414,0,0,0,false,false
80,-0.84375,0.0958683721947494,-0.658368372194749,0,0,0,false,false
81,-0.84375,0.109375,-0.671875,0,0,0,false,false
82,-0.84375,0.109375,-0.671172695900165,0,0,0,false,false
83,-0.84375,0.109375,-0.65625,0,0,0,false,false
84,-0.84375,0.109375,-0.65625,0,0,0,false,false
85,-0.84375,0.109375,-0.65625,0,0,0,false,false
86,-0.859115752264922,0.109375,-0.65625,0,0,0,false,false
87,-0.844451026856995,0.124298973143005,-0.671173973143005,0,0,0,false,false
88,-0.84375,0.110703060813597,-0.671875,0,0,0,false,false
89,-0.84375,0.109375,-0.658348835079816,0,0,0,false,false
90,-0.84375,0.121982820814824,-0.65625,0,0,0,false,false
91,-0.84375,0.113419301129365,-0.667830698870635,0,0,0,false,false
92,-0.84375,0.109375,-0.661391511358103,0,0,0,false,false
93,-0.84375,0.109375,-0.665562306774822,0,0,0,false,false
94,-0.835612994897977,0.101237994897977,-0.671875,0,0,0,false,false
95,-0.828125,0.100691913455292,-0.671875,0,0,0,false,false
96,-0.828125,0.103620516376233,-0.666120516376233,0,0,0,false,false
97,-0.828125,0.09375,-0.65625,0,0,0,false,false
98,-0.828125,0.09375,-0.659781931709492,0,0,0,false,false
99,-0.828125,0.09375,-0.671875,0,0,0,false,false
100,-0.828125,0.09375,-0.671875,0,0,0,false,false
101,-0.828125,0.09375,-0.671875,0,0,0,false,false
102,-0.82858861209911,0.09375,-0.671875,0,0,0,false,false
103,-0.84375,0.0938701781363471,-0.671875,0,0,0,false,false
104,-0.84375,0.109375,-0.671875,0,0,0,false,false
105,-0.84375,0.109375,-0.671875,0,0,0,false,false
106,-0.84375,0.109375,-0.656705377274862,0,0,0,false,false
107,-0.84375,0.109375,-0.670882009852201,0,0,0,false,false
108,-0.84375,0.109375,-0.671875,0,0,0,false,false
109,-0.84375,0.0962928067358038,-0.658792806735804,0,0,0,false,false
110,-0.84375,0.105856253905744,-0.65625,0,0,0,false,false
111,-0.84375,0.0983406379568265,-0.667284362043174,0,0,0,false,false
112,-0.84375,0.09375,-0.661982831654098,0,0,0,false,false
113,-0.84375,0.102455323483347,-0.65625,0,0,0,false,false
114,-0.84375,0.109375,-0.65625,0,0,0,false,false
115,-0.84375,0.109375,-0.65625,0,0,0,false,false
116,-0.84375,0.109375,-0.661404550242963,0,0,0,false,false
117,-0.84375,0.109375,-0.671875,0,0,0,false,false
118,-0.84375,0.109375,-0.671875,0,0,0,false,false
119,-0.84375,0.109375,-0.671875,0,0,0,false,false
120,-0.84375,0.108046939186403,-0.671875,0,0,0,false,false
121,-0.84375,0.09375,-0.671875,0,0,0,false,false
122,-0.84375,0.09375,-0.671875,0,0,0,false,false
123,-0.843719478841814,0.09375,-0.671875,0,0,0,false,false
124,-0.828155521158186,0.09375,-0.671875,0,0,0,false,false
125,-0.828125,0.09375,-0.671875,0,0,0,false,false
126,-0.828125,0.09375,-0.671875,0,0,0,false,false
127,-0.828125,0.09375,-0.671875,0,0,0,false,false
128,-0.814626919158253,0.09375,-0.671875,0,0,0,false,false
129,-0.825084582395044,0.09375,-0.671875,0,0,0,false,false
130,-0.828125,0.09375,-0.671875,0,0,0,false,false
131,-0.828125,0.09375,-0.671875,0,0,0,false,false
132,-0.837405720312743,0.09375,-0.671875,0,0,0,false,false
133,-0.835646827300719,0.09375,-0.671875,0,0,0,false,false
134,-0.828125,0.09375,-0.671875,0,0,0,false,false
