Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.90625,0.046875,-0.3125,0,0,0,false,false
1,-0.90625,0.046875,-0.3125,0,0,0,false,false
2,-0.906444576537403,0.046875,-0.3125,0,0,0,false,false
3,-0.921836155886824,0.046875,-0.3125,0,0,0,false,false
4,-0.906252802280628,0.046875,-0.3125,0,0,0,false,false
5,-0.90625,0.046875,-0.3125,0,0,0,false,false
6,-0.90625,0.046875,-0.3125,0,0,0,false,false
7,-0.90625,0.046875,-0.3125,0,0,0,false,false
8,-0.90625,0.046875,-0.3125,0,0,0,false,false
9,-0.90625,0.046875,-0.3125,0,0,0,false,false
10,-0.90625,0.046875,-0.3125,0,0,0,false,false
11,-0.90625,0.046875,-0.3125,0,0,0,false,false
12,-0.90625,0.046875,-0.3125,0,0,0,false,false
13,-0.90625,0.046875,-0.3125,0,0,0,false,false
14,-0.90625,0.046875,-0.3125,0,0,0,false,false
15,-0.90625,0.046875,-0.3125,0,0,0,false,false
16,-0.90625,0.046875,-0.3125,0,0,0,false,false
17,-0.90625,0.046875,-0.3125,0,0,0,false,false
18,-0.90625,0.046875,-0.3125,0,0,0,false,false
19,-0.90625,0.046875,-0.3125,0,0,0,false,false
20,-0.90625,0.046875,-0.3125,0,0,0,false,false
21,-0.90625,0.046875,-0.3125,0,0,0,false,false
22,-0.90625,0.046875,-0.3125,0,0,0,false,false
23,-0.90625,0.046875,-0.3125,0,0,0,false,false
24,-0.90625,0.046875,-0.3125,0,0,0,false,false
25,-0.90625,0.046875,-0.3125,0,0,0,false,false
26,-0.90625,0.046875,-0.3125,0,0,0,false,false
27,-0.90625,0.046875,-0.3125,0,0,0,false,false
28,-0.90625,0.046875,-0.3125,0,0,0,false,false
29,-0.90625,0.046875,-0.3125,0,0,0,false,false
30,-0.90625,0.046875,-0.3125,0,0,0,false,false
31,-0.90625,0.046875,-0.3125,0,0,0,false,false
32,-0.90625,0.046875,-0.3125,0,0,0,false,false
33,-0.90625,0.046875,-0.3125,0,0,0,false,false
34,-0.90625,0.046875,-0.3125,0,0,0,false,false
35,-0.90625,0.046875,-0.3125,0,0,0,false,false
36,-0.90625,0.046875,-0.3125,0,0,0,false,false
37,-0.90625,0.046875,-0.3125,0,0,0,false,false
38,-0.919283036069557,0.046875,-0.3125,0,0,0,false,false
39,-0.909537620933831,0.046875,-0.3125,0,0,0,false,false
40,-0.90625,0.0352807532868878,-0.3125,0,0,0,false,false
41,-0.90625,0.0420930026071299,-0.3125,0,0,0,false,false
42,-0.90625,0.046875,-0.3125,0,0,0,false,false
43,-0.90625,0.046875,-0.3125,0,0,0,false,false
44,-0.90625,0.046875,-0.3125,0,0,0,false,false
45,-0.913688262636145,0.046875,-0.3125,0,0,0,false,false
46,-0.915284403761225,0.046875,-0.3125,0,0,0,false,false
47,-0.90625,0.0411297496982562,-0.3125,0,0,0,false,false
48,-0.90625,0.03125,-0.3125,0,0,0,false,false
49,-0.90625,0.0353819081967625,-0.3125,0,0,0,false,false
50,-0.90625,0.046875,-0.3125,0,0,0,false,false
51,-0.90625,0.0441862422592392,-0.3125,0,0,0,false,false
52,-0.90625,0.03125,-0.3125,0,0,0,false,false
53,-0.907738054313898,0.0327380543138977,-0.3125,0,0,0,false,false
54,-0.920888402742331,0.0458884027423307,-0.3125,0,0,0,false,false
55,-0.90625,0.0318440262591509,-0.3125,0,0,0,false,false
56,-0.90625,0.046875,-0.3125,0,0,0,false,false
57,-0.90625,0.046875,-0.3125,0,0,0,false,false
58,-0.906252142744109,0.046875,-0.3125,0,0,0,false,false
59,-0.921830946774367,0.046875,-0.3125,0,0,0,false,false
60,-0.90644494548449,0.046875,-0.3125,0,0,0,false,false
61,-0.90625,0.046875,-0.3125,0,0,0,false,false
62,-0.90625,0.046875,-0.3125,0,0,0,false,false
63,-0.90625,0.046875,-0.3125,0,0,0,false,false
64,-0.90625,0.046875,-0.3125,0,0,0,false,false
65,-0.90625,0.0336956700245777,-0.3125,0,0,0,false,false
66,-0.90625,0.03125,-0.3125,0,0,0,false,false
67,-0.90625,0.03125,-0.3125,0,0,0,false,false
68,-0.90625,0.03125,-0.3125,0,0,0,false,false
69,-0.90625,0.0414142154997457,-0.3125,0,0,0,false,false
70,-0.90625,0.046875,-0.3125,0,0,0,false,false
71,-0.90625,0.0384045815150626,-0.3125,0,0,0,false,false
72,-0.90625,0.03125,-0.3125,0,0,0,false,false
73,-0.90625,0.0379980463962012,-0.3125,0,0,0,false,false
74,-0.90625,0.046875,-0.3125,0,0,0,false,false
75,-0.911343416399409,0.046875,-0.3125,0,0,0,false,false
76,-0.917579762514505,0.046875,-0.3125,0,0,0,false,false
77,-0.90625,0.046875,-0.3125,0,0,0,false,false
78,-0.90625,0.046875,-0.3125,0,0,0,false,false
79,-0.90625,0.046875,-0.3125,0,0,0,false,false
80,-0.90625,0.046875,-0.3125,0,0,0,false,false
81,-0.90733079766234,0.046875,-0.3125,0,0,0,false,false
82,-0.921223352925851,0.046875,-0.3125,0,0,0,false,false
83,-0.906578583865947,0.046875,-0.3125,0,0,0,false,false
84,-0.921875,0.046875,-0.3125,0,0,0,false,false
85,-0.921866451451878,0.046875,-0.3125,0,0,0,false,false
86,-0.906274958494221,0.046875,-0.3125,0,0,0,false,false
87,-0.90625,0.046875,-0.3125,0,0,0,false,false
88,-0.90625,0.046875,-0.3125,0,0,0,false,false
89,-0.90625,0.046875,-0.3125,0,0,0,false,false
90,-0.920677305831126,0.046875,-0.3125,0,0,0,false,false
91,-0.907983885825163,0.046875,-0.3125,0,0,0,false,false
92,-0.90625,0.046875,-0.3125,0,0,0,false,false
93,-0.90625,0.046875,-0.3125,0,0,0,false,false
94,-0.918162879213122,0.046875,-0.3125,0,0,0,false,false
95,-0.910731066648189,0.046875,-0.3125,0,0,0,false,false
96,-0.90625,0.046875,-0.3125,0,0,0,false,false
97,-0.9157315745081,0.046875,-0.3125,0,0,0,false,false
98,-0.913246239324839,0.046875,-0.3125,0,0,0,false,false
99,-0.90625,0.046875,-0.3125,0,0,0,false,false
