Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.90625,0.046875,-0.465331856481158,0,0,0,false,false
1,-0.90625,0.046875,-0.456310021443732,0,0,0,false,false
2,-0.90625,0.046875,-0.465797708128836,0,0,0,false,false
3,-0.90625,0.046875,-0.45583787586788,0,0,0,false,false
4,-0.90625,0.046875,-0.46875,0,0,0,false,false
5,-0.90625,0.046875,-0.46875,0,0,0,false,false
6,-0.90625,0.046875,-0.46875,0,0,0,false,false
7,-0.90814558930711,0.046875,-0.46875,0,0,0,false,false
8,-0.920180895741336,0.046875,-0.46875,0,0,0,false,false
9,-0.90625,0.046875,-0.46875,0,0,0,false,false
10,-0.904917070740373,0.046875,-0.46875,0,0,0,false,false
11,-0.891786725228627,0.0480367252286274,-0.46875,0,0,0,false,false
12,-0.90625,0.0614893446651058,-0.467739344665106,0,0,0,false,false
13,-0.90625,0.046875,-0.453993787802809,0,0,0,false,false
14,-0.90625,0.046875,-0.46875,0,0,0,false,false
15,-0.90625,0.0474889327727417,-0.46875,0,0,0,false,false
16,-0.90625,0.0619993756253646,-0.46875,0,0,0,false,false
17,-0.90625,0.046875,-0.46875,0,0,0,false,false
18,-0.90625,0.046875,-0.46875,0,0,0,false,false
19,-0.90625,0.046875,-0.46875,0,0,0,false,false
20,-0.90625,0.0467254681390529,-0.46875,0,0,0,false,false
21,-0.90625,0.0313409959752255,-0.46875,0,0,0,false,false
22,-0.90625,0.046875,-0.46875,0,0,0,false,false
23,-0.90625,0.046875,-0.46875,0,0,0,false,false
24,-0.90625,0.046875,-0.46875,0,0,0,false,false
25,-0.90625,0.046875,-0.46875,0,0,0,false,false
26,-0.90625,0.046875,-0.46875,0,0,0,false,false
27,-0.90625,0.0624617955641761,-0.46875,0,0,0,false,false
28,-0.90625,0.0625,-0.46875,0,0,0,false,false
29,-0.90625,0.0625,-0.46875,0,0,0,false,false
30,-0.90625,0.0625,-0.46875,0,0,0,false,false
31,-0.90625,0.0625,-0.46875,0,0,0,false,false
32,-0.90625,0.0472347325957837,-0.46875,0,0,0,false,false
33,-0.90625,0.046875,-0.46875,0,0,0,false,false
34,-0.90625,0.046875,-0.46875,0,0,0,false,false
35,-0.90625,0.046875,-0.46875,0,0,0,false,false
36,-0.90625,0.046875,-0.46875,0,0,0,false,false
37,-0.90625,0.046875,-0.46875,0,0,0,false,false
38,-0.90625,0.046875,-0.46875,0,0,0,false,false
39,-0.90625,0.046875,-0.46875,0,0,0,false,false
40,-0.90625,0.046875,-0.46875,0,0,0,false,false
41,-0.90625,0.046875,-0.46875,0,0,0,false,false
42,-0.90625,0.0606829717569955,-0.46875,0,0,0,false,false
43,-0.90625,0.0625,-0.46875,0,0,0,false,false
44,-0.90625,0.0625,-0.46875,0,0,0,false,false
45,-0.90625,0.0625,-0.46875,0,0,0,false,false
46,-0.90625,0.0625,-0.46875,0,0,0,false,false
47,-0.90625,0.0497394195348483,-0.46875,0,0,0,false,false
48,-0.90625,0.046875,-0.46875,0,0,0,false,false
49,-0.90625,0.046875,-0.46875,0,0,0,false,false
50,-0.90625,0.046875,-0.46875,0,0,0,false,false
51,-0.90625,0.046875,-0.46875,0,0,0,false,false
52,-0.90625,0.046875,-0.46875,0,0,0,false,false
53,-0.90625,0.046875,-0.46875,0,0,0,false,false
54,-0.90625,0.046875,-0.46875,0,0,0,false,false
55,-0.90625,0.046875,-0.479523767663024,0,0,0,false,false
56,-0.90625,0.046875,-0.473890944055496,0,0,0,false,false
57,-0.90625,0.046875,-0.46875,0,0,0,false,false
58,-0.90625,0.0568294982947078,-0.46875,0,0,0,false,false
59,-0.90625,0.0528298607515448,-0.46875,0,0,0,false,false
60,-0.90625,0.046875,-0.46875,0,0,0,false,false
61,-0.90625,0.0559637675097595,-0.46875,0,0,0,false,false
62,-0.90625,0.0625,-0.46875,0,0,0,false,false
63,-0.90625,0.0625,-0.46875,0,0,0,false,false
64,-0.90625,0.0625,-0.46875,0,0,0,false,false
65,-0.90625,0.0625,-0.46875,0,0,0,false,false
66,-0.90625,0.0548387763524005,-0.46875,0,0,0,false,false
67,-0.90625,0.046875,-0.46875,0,0,0,false,false
68,-0.90625,0.0539770861633271,-0.46875,0,0,0,false,false
69,-0.90625,0.0556743203175773,-0.46875,0,0,0,false,false
70,-0.899724007403846,0.046875,-0.46875,0,0,0,false,false
71,-0.896853027745429,0.0531030277454289,-0.46875,0,0,0,false,false
72,-0.90625,0.0625,-0.46875,0,0,0,false,false
73,-0.90625,0.0568069884699762,-0.46875,0,0,0,false,false
