Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.0,-0.03125,-0.283373518235749,0,0,0,false,false
1,-1.0,-0.03125,-0.295220624860347,0,0,0,false,false
2,-1.0,-0.03125,-0.282486868429071,0,0,0,false,false
3,-1.0,-0.0303876756224781,-0.296012675622478,0,0,0,false,false
4,-1.0,-0.015625,-0.281805061708333,0,0,0,false,false
5,-1.0,-0.0159301092789974,-0.296569890721003,0,0,0,false,false
6,-1.0,-0.0311198636845084,-0.28125,0,0,0,false,false
7,-1.0,-0.015625,-0.281277484929888,0,0,0,false,false
8,-1.0,-0.015625,-0.296873886050889,0,0,0,false,false
9,-1.0,-0.015625,-0.281306468826628,0,0,0,false,false
10,-1.0,-0.015625,-0.28125,0,0,0,false,false
11,-1.0,-0.000394052796764299,-0.296480947203236,0,0,0,false,false
12,-1.0,-0.0149735060986131,-0.281901493901387,0,0,0,false,false
13,-1.0,-0.015625,-0.295897586271167,0,0,0,false,false
14,-1.01425457198822,-0.015625,-0.296875,0,0,0,false,false
15,-1.00181970424109,-0.015625,-0.283069704241088,0,0,0,false,false
16,-1.01331947743893,-0.015625,-0.28125,0,0,0,false,false
17,-1.00282466006007,-0.015625,-0.294050339939931,0,0,0,false,false
18,-1.0,-0.015625,-0.284653851032341,0,0,0,false,false
19,-1.0,-0.015625,-0.292871464363998,0,0,0,false,false
20,-1.0,-0.015625,-0.296875,0,0,0,false,false
21,-1.0,-0.015625,-0.286531409149606,0,0,0,false,false
22,-1.0,-0.015625,-0.290932638455623,0,0,0,false,false
23,-1.0,-0.015625,-0.287876406684518,0,0,0,false,false
24,-1.0,-0.015625,-0.28125,0,0,0,false,false
25,-1.0,-0.015625,-0.28125,0,0,0,false,false
26,-1.0,-0.015625,-0.28125,0,0,0,false,false
27,-1.0,-0.015625,-0.28125,0,0,0,false,false
28,-1.00557480924181,-0.015625,-0.28125,0,0,0,false,false
29,-1.0107185958234,-0.015625,-0.28125,0,0,0,false,false
30,-1.0,-0.015625,-0.28125,0,0,0,false,false
31,-1.0,-0.015625,-0.28125,0,0,0,false,false
32,-1.0,-0.015625,-0.28125,0,0,0,false,false
