Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.986368970428573,-0.0463617722147871,-0.0364141395335673,0,0,0,false,false
1,-1.02890749462043,-0.0547024862880884,-0.0389053900497938,0,0,0,false,false
2,-1.01152713040465,-0.0418396515137813,-0.011096697966508,0,0,0,false,false
3,-0.93733785509059,-0.0160377693320281,0.0605872385774346,0,0,0,false,false
4,-0.999120352861368,-0.0474521348183229,0.10194670659449,0,0,0,false,false
5,-0.939503473954284,-0.0497760161143765,0.123000871177181,0,0,0,false,false
6,-0.872172755374485,-0.0464341955002283,0.160567748478225,0,0,0,false,false
7,-0.842287113229515,-0.0518787235466608,0.0715900840166797,0,0,0,false,false
8,-0.771563373836123,-0.119980611511725,-0.273013481521307,0,0,0,false,false
9,-0.690811341312892,-0.164614518213824,-0.597919759363791,0,0,0,false,false
10,-1.18097251645801,0.0200332587122093,-0.846392547502862,0,0,0,false,false
11,-1.53929933963226,0.287682629223334,-0.680783283273943,0,0,0,false,false
12,-1.55506756202143,0.709448791054977,-0.541057036650428,0,0,0,false,false
13,-1.5113999411628,1.62939047590249,-0.522161391714786,0,0,0,false,false
14,-1.7090327110389,1.9590109958142,-0.385969107294865,0,0,0,false,false
15,-1.31314416057228,1.00883626229375,-0.338592471072334,0,0,0,false,false
16,-0.933814922688791,0.459700907151142,-0.531688906128751,0,0,0,false,false
17,-0.903459751659478,0.120820673189171,-0.671403720301522,0,0,0,false,false
18,-0.788437189741008,-0.115517466865071,-0.62209984442872,0,0,0,false,false
19,-0.632570638855499,-0.256665019348913,-0.408459340138899,0,0,0,false,false
20,-0.559579139879121,-0.375606957693779,-0.257936449904567,0,0,0,false,false
21,-0.562824698632683,-0.44442049746229,-0.228838368184758,0,0,0,false,false
22,-0.653658232746386,-0.482944122895524,-0.176121172399001,0,0,0,false,false
23,-0.577350421610874,-0.483331762024664,-0.110766601646456,0,0,0,false,false
