Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.890625,0.0625,-0.375,0,0,0,false,false
1,-0.890625,0.0761513724379465,-0.375,0,0,0,false,false
2,-0.890625,0.0650447945099019,-0.375,0,0,0,false,false
3,-0.890625,0.0625,-0.375,0,0,0,false,false
4,-0.890625,0.0625,-0.375,0,0,0,false,false
5,-0.890625,0.0735666208256957,-0.375,0,0,0,false,false
6,-0.890625,0.0677994113945766,-0.375,0,0,0,false,false
7,-0.890625,0.0625,-0.375,0,0,0,false,false
8,-0.890625,0.0625,-0.375,0,0,0,false,false
9,-0.890625,0.0625,-0.375,0,0,0,false,false
10,-0.890625,0.0625,-0.375,0,0,0,false,false
11,-0.89703351477542,0.0625,-0.38140851477542,0,0,0,false,false
12,-0.90625,0.0625,-0.390625,0,0,0,false,false
13,-0.90625,0.0625,-0.385742451228526,0,0,0,false,false
14,-0.90625,0.0625,-0.379172928134221,0,0,0,false,false
15,-0.90625,0.0625,-0.387148103789935,0,0,0,false,false
16,-0.90625,0.0625,-0.375,0,0,0,false,false
17,-0.90625,0.0647190129354713,-0.375,0,0,0,false,false
18,-0.904578081714007,0.076453081714007,-0.375,0,0,0,false,false
19,-0.891827056265609,0.0625,-0.375,0,0,0,false,false
20,-0.905461008388732,0.0625,-0.375,0,0,0,false,false
21,-0.890625,0.0625,-0.375,0,0,0,false,false
22,-0.89083749686564,0.0625,-0.375,0,0,0,false,false
23,-0.90625,0.0625,-0.375,0,0,0,false,false
24,-0.90625,0.0625,-0.375,0,0,0,false,false
25,-0.90625,0.0625,-0.375,0,0,0,false,false
26,-0.90625,0.0625,-0.375,0,0,0,false,false
27,-0.90625,0.0625,-0.375,0,0,0,false,false
28,-0.90625,0.0476533147150702,-0.375,0,0,0,false,false
29,-0.89180145452237,0.046875,-0.375,0,0,0,false,false
30,-0.904592801774178,0.046875,-0.375,0,0,0,false,false
31,-0.90625,0.0602974448015267,-0.375,0,0,0,false,false
32,-0.90625,0.0625,-0.375,0,0,0,false,false
33,-0.894076737259169,0.0625,-0.362826737259169,0,0,0,false,false
34,-0.890625,0.0625,-0.370867855027621,0,0,0,false,false
35,-0.890625,0.0625,-0.364236271057114,0,0,0,false,false
36,-0.890625,0.0625,-0.359375,0,0,0,false,false
37,-0.890625,0.0625,-0.359375,0,0,0,false,false
38,-0.899063270129708,0.0625,-0.359375,0,0,0,false,false
39,-0.898585542414851,0.0625,-0.359375,0,0,0,false,false
40,-0.890625,0.0625,-0.359375,0,0,0,false,false
41,-0.890625,0.0625,-0.359375,0,0,0,false,false
42,-0.890625,0.0625,-0.359375,0,0,0,false,false
43,-0.890625,0.0625,-0.359375,0,0,0,false,false
44,-0.890625,0.0625,-0.359375,0,0,0,false,false
45,-0.893829425716579,0.0625,-0.359375,0,0,0,false,false
46,-0.90625,0.0625,-0.359375,0,0,0,false,false
47,-0.90625,0.0625,-0.359375,0,0,0,false,false
48,-0.90625,0.0625,-0.359375,0,0,0,false,false
49,-0.90625,0.0625,-0.359375,0,0,0,false,false
50,-0.90625,0.0625,-0.359375,0,0,0,false,false
51,-0.90625,0.0625,-0.359375,0,0,0,false,false
52,-0.906120608119339,0.0625,-0.359375,0,0,0,false,false
53,-0.890625,0.0625,-0.359375,0,0,0,false,false
54,-0.890625,0.0625,-0.359375,0,0,0,false,false
55,-0.890625,0.0625,-0.359375,0,0,0,false,false
56,-0.890625,0.0625,-0.359375,0,0,0,false,false
57,-0.890625,0.0625,-0.359375,0,0,0,false,false
58,-0.890625,0.0625,-0.359375,0,0,0,false,false
59,-0.890625,0.0625,-0.359375,0,0,0,false,false
60,-0.890625,0.0625,-0.359375,0,0,0,false,false
61,-0.890625,0.07568359375,-0.359375,0,0,0,false,false
62,-0.890625,0.078125,-0.359375,0,0,0,false,false
63,-0.890625,0.0662111462322085,-0.347461146232209,0,0,0,false,false
64,-0.890625,0.0625,-0.354955028687375,0,0,0,false,false
65,-0.890625,0.0729505850958199,-0.359375,0,0,0,false,false
66,-0.890625,0.0684366203569929,-0.359375,0,0,0,false,false
67,-0.890625,0.0625,-0.359375,0,0,0,false,false
68,-0.898767678595437,0.0625,-0.359375,0,0,0,false,false
69,-0.90625,0.0625,-0.359375,0,0,0,false,false
