Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.03529036722956,0.121326188749015,-0.183682053685557,0,0,0,false,false
1,-1.03788706470348,0.116788409494783,-0.189828139037518,0,0,0,false,false
2,-1.01481767150047,0.125752007491675,-0.17429420160081,0,0,0,false,false
3,-1.00014592079899,0.1283550863648,-0.156082425191202,0,0,0,false,false
4,-0.985992458819897,0.117344210732759,-0.141497320436192,0,0,0,false,false
5,-0.97778773836576,0.105945524251074,-0.124575167115958,0,0,0,false,false
6,-0.979649974650328,0.0960250799595133,-0.113552094772361,0,0,0,false,false
7,-0.99460708186381,0.086037490034521,-0.122173994742376,0,0,0,false,false
8,-1.01641840924037,0.0755148384719551,-0.131090985154945,0,0,0,false,false
9,-1.01729585324122,0.0609531417160947,-0.127200557251889,0,0,0,false,false
10,-1.001953125,0.0517709989934711,-0.12998901819589,0,0,0,false,false
11,-1.001953125,0.0417601831284434,-0.1387744032001,0,0,0,false,false
12,-1.0019527197643,0.0283954387380489,-0.142380101277368,0,0,0,false,false
13,-1.00071172922839,0.0186822363323688,-0.145062929668212,0,0,0,false,false
14,-0.996786469552678,0.00726143533161653,-0.151616752753441,0,0,0,false,false
15,-0.979492200907931,-0.00219726394322695,-0.152100261202374,0,0,0,false,false
16,-0.988968104207045,-0.000740568389063936,-0.153071691630581,0,0,0,false,false
17,-1.0262353522611,0.0176727375555678,-0.156249606679369,0,0,0,false,false
18,-1.03857115475604,0.0424892620473319,-0.138458107379512,0,0,0,false,false
19,-1.02406331669128,0.0566337372440714,-0.113395571940373,0,0,0,false,false
20,-1.01880257417627,0.0526230822656777,-0.109931783486638,0,0,0,false,false
21,-1.02115130759632,0.0417631018090519,-0.106999394220574,0,0,0,false,false
22,-1.02684353265838,0.0329379869440612,-0.104739965271694,0,0,0,false,false
23,-1.02385600336326,0.0263966201643003,-0.105198074488863,0,0,0,false,false
24,-1.01240844926566,0.0261378793267152,-0.10682217888372,0,0,0,false,false
25,-1.00235179587898,0.0251514934643944,-0.115190856233715,0,0,0,false,false
26,-0.994546904888638,0.0296204216479772,-0.102973283154953,0,0,0,false,false
27,-0.985158780873861,0.0319724498051358,-0.0969488695444183,0,0,0,false,false
28,-0.992604536589528,0.019263527594195,-0.106868678893516,0,0,0,false,false
29,-0.983298625517631,-0.000932767751386471,-0.115178604263873,0,0,0,false,false
30,-0.963092094256593,-0.00922574163296169,-0.110791613590827,0,0,0,false,false
31,-0.942108949982822,-0.00707705354054196,-0.101662880069197,0,0,0,false,false
32,-0.927865450055262,-0.00203109120532266,-0.0863373036913078,0,0,0,false,false
33,-0.93197462405072,0.01048686191464,-0.0723348787637594,0,0,0,false,false
34,-0.954337915455008,0.0280727249844267,-0.068635806017775,0,0,0,false,false
35,-0.963045644354116,0.0397866321729267,-0.0268984925184139,0,0,0,false,false
36,-0.956469008338865,0.0431770582008551,0.0340571857530339,0,0,0,false,false
37,-0.994007602879034,0.0341027956486852,0.0791722820304161,0,0,0,false,false
38,-1.02464762102528,0.0000867585343597641,0.104111313661729,0,0,0,false,false
39,-1.00809115726973,-0.043418444981481,0.0809371504026422,0,0,0,false,false
40,-0.956879836836142,-0.0818307986187739,0.0373125762455401,0,0,0,false,false
41,-0.886699691574804,-0.0981049842959712,0.0110348142713464,0,0,0,false,false
42,-0.804226127106791,-0.0840021562151632,-0.0559312332397812,0,0,0,false,false
43,-0.791673801384932,-0.0383632555917446,-0.48833664698409,0,0,0,false,false
44,-2.14902964113046,0.369897868383839,-0.694246306016906,0,0,0,false,false
45,-2.52671922531075,1.01271520088244,-0.64858547285652,0,0,0,false,false
46,-0.606398870645059,0.711008891925353,-0.00481009884383543,0,0,0,false,false
47,-0.54390690841732,0.538474168891734,0.175597061807423,0,0,0,false,false
48,-0.760741845499457,0.352281758895083,-0.0894591838995188,0,0,0,false,false
49,-0.822604777295768,0.0680732954210043,-0.219562060966181,0,0,0,false,false
50,-1.15367979705085,-0.226221437143726,-0.192293792185439,0,0,0,false,false
51,-1.48100308226873,-0.498615551742022,-0.138010052829898,0,0,0,false,false
52,-1.12315482624694,-0.371402378652048,-0.11588307615497,0,0,0,false,false
53,-0.583471640023276,-0.0946887801931297,-0.00628096344122578,0,0,0,false,false
54,-0.410989612433149,0.0229692320097649,0.114728536589328,0,0,0,false,false
55,-0.483146559307634,0.0469113002264665,0.111973892577661,0,0,0,false,false
56,-0.708526826337133,0.0396464353771225,0.0442911194316309,0,0,0,false,false
57,-1.07844865797004,0.0214810280847877,-0.199778704946397,0,0,0,false,false
58,-1.52935804597416,0.0631483495245909,-0.551098133529095,0,0,0,false,false
59,-1.4145999762028,0.287500820180127,-0.383504972842672,0,0,0,false,false
60,-0.923386148274287,0.480636198693349,-0.0275710836550302,0,0,0,false,false
61,-0.88423576882291,0.392889635430883,-0.0281514075573692,0,0,0,false,false
62,-0.975658501002023,0.252393329751352,-0.0814001092562724,0,0,0,false,false
63,-0.991992654412591,0.24429209880675,-0.119461612922904,0,0,0,false,false
64,-0.953901728133097,0.280494433550177,-0.137200515643291,0,0,0,false,false
65,-0.887666182288696,0.334814806993276,-0.125066637152606,0,0,0,false,false
66,-0.883541882564664,0.34376227817747,-0.104646980419488,0,0,0,false,false
67,-0.893841870283954,0.300427430500147,-0.106386823927953,0,0,0,false,false
68,-0.964335495736152,0.201967228664296,-0.0927461476091425,0,0,0,false,false
69,-1.18418841908031,0.0577659605484349,-0.112182540383119,0,0,0,false,false
70,-1.23953597992888,-0.151967001654446,-0.127117711329834,0,0,0,false,false
71,-1.0876525823433,-0.272653625942414,-0.113781438087482,0,0,0,false,false
72,-0.919092625239347,-0.18776783787848,-0.0850892872687126,0,0,0,false,false
73,-0.918360968226523,-0.0787491475562482,-0.0484068241717263,0,0,0,false,false
74,-0.972378816426681,-0.00182397026744787,-0.068967478091626,0,0,0,false,false
75,-1.04936131919466,0.123658547459452,-0.105953825330641,0,0,0,false,false
76,-1.09971757423468,0.251150795422261,-0.137188421162468,0,0,0,false,false
77,-1.07752025577013,0.313636112339373,-0.126798269195458,0,0,0,false,false
78,-1.01685760990308,0.324936221005009,-0.0828925494137924,0,0,0,false,false
79,-0.985726933392001,0.30687173733019,-0.0536731728229639,0,0,0,false,false
80,-0.990070269801912,0.257922744628646,-0.0532092417832112,0,0,0,false,false
81,-1.01482954359646,0.195534700168017,-0.0624939237541098,0,0,0,false,false
82,-1.04042759755315,0.129229133915929,-0.0696681040208912,0,0,0,false,false
83,-1.05549615884518,0.0791412637898629,-0.0809332634164081,0,0,0,false,false
84,-1.06628732742453,0.0531316805057347,-0.103917039948406,0,0,0,false,false
85,-1.06679508152781,0.0352703458582659,-0.126366336799005,0,0,0,false,false
86,-1.05208419204945,0.023718223830506,-0.139248779421962,0,0,0,false,false
87,-1.01326698678325,0.0147638072761731,-0.136969436514889,0,0,0,false,false
88,-0.979886276596318,0.00336656917095001,-0.134859471780869,0,0,0,false,false
89,-0.978350485258317,-0.0011640866073141,-0.136476678527351,0,0,0,false,false
90,-0.986670793700341,0.0110389895690737,-0.14309068962746,0,0,0,false,false
91,-0.993150059909887,0.044350345276727,-0.139947079358911,0,0,0,false,false
92,-0.990405918044634,0.078137752976959,-0.129326448720239,0,0,0,false,false
93,-0.973921562325019,0.102548055030951,-0.109942981316236,0,0,0,false,false
94,-0.936343081659682,0.116719606377313,-0.0885413154699919,0,0,0,false,false
95,-0.907608737813107,0.12349425807574,-0.0756620501991421,0,0,0,false,false
96,-0.900205499275807,0.128335146626903,-0.0662829388023779,0,0,0,false,false
97,-0.902596553374538,0.134089192271213,-0.0612329823886665,0,0,0,false,false
98,-0.917663029644356,0.133287623460939,-0.0585060021995383,0,0,0,false,false
99,-0.945293357004114,0.112625311548611,-0.04805168524825,0,0,0,false,false
100,-0.964469112088341,0.0678207030843478,-0.0262718802101322,0,0,0,false,false
101,-0.979596552971834,0.0157662443459437,0.00594190775436931,0,0,0,false,false
102,-1.01118071268867,-0.037385139346537,0.0448540905365842,0,0,0,false,false
103,-1.03965971294694,-0.086419309290548,0.0418986735822844,0,0,0,false,false
104,-1.05564004564502,-0.0957720707293162,-0.0126578416428058,0,0,0,false,false
105,-1.1131710197329,-0.0747728990262152,-0.084839324539317,0,0,0,false,false
106,-1.24858701814841,0.0272105220711501,-0.103312847688296,0,0,0,false,false
107,-1.30701295024852,0.158629196069608,-0.129780505128932,0,0,0,false,false
108,-1.28402618581744,0.20831641108352,-0.156140428725542,0,0,0,false,false
109,-1.20718570541185,0.211562112600623,-0.135506332747638,0,0,0,false,false
110,-1.11958382670766,0.19740264386225,-0.0855389813409154,0,0,0,false,false
111,-1.07521938309326,0.151017461273886,-0.0877229362934166,0,0,0,false,false
112,-1.07318807023041,0.0818252559398857,-0.101219538086468,0,0,0,false,false
113,-1.0549782350286,0.0544150600811919,-0.0965837782615262,0,0,0,false,false
114,-0.996821084891697,0.072965267269189,-0.0851018841024917,0,0,0,false,false
