Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.946397381570353,-0.125,0.0,0,0,0,false,false
1,-0.945131179850169,-0.125,0.0,0,0,0,false,false
2,-0.944600065751623,-0.125,0.0,0,0,0,false,false
3,-0.953125,-0.131191039206829,0.0,0,0,0,false,false
4,-0.953125,-0.140625,0.0,0,0,0,false,false
5,-0.953125,-0.140625,0.0,0,0,0,false,false
6,-0.953125,-0.137993290766051,0.0,0,0,0,false,false
7,-0.95606302113263,-0.119797887453641,-0.00293802113263034,0,0,0,false,false
8,-0.966517614817134,-0.111607385182866,-0.0133926148171338,0,0,0,false,false
9,-0.953125,-0.123383702993345,0.0,0,0,0,false,false
10,-0.953125,-0.110466082117355,-0.00109108211735524,0,0,0,false,false
11,-0.953125,-0.125,-0.015625,0,0,0,false,false
12,-0.952805343387627,-0.124680343387627,-0.015625,0,0,0,false,false
13,-0.9375,-0.109469093419915,-0.015625,0,0,0,false,false
14,-0.9375,-0.125,-0.015625,0,0,0,false,false
15,-0.9375,-0.125,-0.015625,0,0,0,false,false
16,-0.9375,-0.125,-0.015625,0,0,0,false,false
17,-0.9375,-0.125,-0.015625,0,0,0,false,false
18,-0.950539271733036,-0.125,-0.015625,0,0,0,false,false
19,-0.967780201751703,-0.125,-0.015625,0,0,0,false,false
20,-0.96875,-0.111366068934629,-0.015625,0,0,0,false,false
21,-0.955777687949921,-0.109375,-0.015625,0,0,0,false,false
22,-0.953125,-0.109375,-0.015625,0,0,0,false,false
23,-0.953125,-0.109375,-0.0270708892123249,0,0,0,false,false
24,-0.953125,-0.109375,-0.03125,0,0,0,false,false
25,-0.953125,-0.109375,-0.0214932697109606,0,0,0,false,false
26,-0.953125,-0.109375,-0.015625,0,0,0,false,false
27,-0.953125,-0.109375,-0.015625,0,0,0,false,false
28,-0.946059489467652,-0.116440510532348,-0.0226905105323483,0,0,0,false,false
29,-0.943668818130215,-0.118831181869785,-0.03125,0,0,0,false,false
30,-0.953125,-0.109375,-0.03125,0,0,0,false,false
31,-0.953125,-0.109375,-0.03125,0,0,0,false,false
32,-0.953125,-0.109375,-0.03125,0,0,0,false,false
33,-0.953125,-0.109375,-0.03125,0,0,0,false,false
34,-0.953125,-0.109375,-0.03125,0,0,0,false,false
35,-0.953125,-0.109375,-0.03125,0,0,0,false,false
36,-0.953125,-0.108296166671007,-0.03125,0,0,0,false,false
37,-0.953125,-0.09375,-0.03125,0,0,0,false,false
38,-0.953125,-0.09375,-0.03125,0,0,0,false,false
39,-0.953125,-0.09375,-0.03125,0,0,0,false,false
40,-0.953125,-0.09375,-0.03125,0,0,0,false,false
41,-0.953125,-0.09375,-0.03125,0,0,0,false,false
42,-0.937722642751079,-0.09375,-0.03125,0,0,0,false,false
43,-0.952605955996018,-0.09375,-0.03125,0,0,0,false,false
44,-0.953125,-0.09375,-0.03125,0,0,0,false,false
45,-0.953125,-0.0795411534657757,-0.03125,0,0,0,false,false
46,-0.953125,-0.0917309354256375,-0.03125,0,0,0,false,false
47,-0.953125,-0.09375,-0.0183174308204299,0,0,0,false,false
48,-0.953125,-0.09375,-0.015625,0,0,0,false,false
49,-0.953125,-0.0823244548414128,-0.015625,0,0,0,false,false
50,-0.953125,-0.078125,-0.015625,0,0,0,false,false
51,-0.953125,-0.078125,-0.015625,0,0,0,false,false
52,-0.953125,-0.078125,-0.015625,0,0,0,false,false
53,-0.953125,-0.078125,-0.015625,0,0,0,false,false
54,-0.953125,-0.078125,-0.015625,0,0,0,false,false
55,-0.953125,-0.078125,-0.015625,0,0,0,false,false
56,-0.953125,-0.078125,-0.015625,0,0,0,false,false
57,-0.953125,-0.0736999508779365,-0.015625,0,0,0,false,false
