Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.96875,0.040770745988426,-0.078125,0,0,0,false,false
1,-0.96875,0.0376740012721358,-0.078125,0,0,0,false,false
2,-0.96875,0.0401521521095147,-0.078125,0,0,0,false,false
3,-0.96875,0.046875,-0.078125,0,0,0,false,false
4,-0.96875,0.046875,-0.078125,0,0,0,false,false
5,-0.96875,0.046875,-0.078125,0,0,0,false,false
6,-0.961123496282699,0.046875,-0.0704984962826989,0,0,0,false,false
7,-0.960449501320168,0.046875,-0.0625,0,0,0,false,false
8,-0.96875,0.046875,-0.0625,0,0,0,false,false
9,-0.96875,0.046875,-0.0625,0,0,0,false,false
10,-0.96875,0.046875,-0.0625,0,0,0,false,false
11,-0.96875,0.046875,-0.0564412191289288,0,0,0,false,false
12,-0.96875,0.046875,-0.046875,0,0,0,false,false
13,-0.96875,0.046875,-0.046875,0,0,0,false,false
14,-0.963587046807075,0.046875,-0.0417120468070753,0,0,0,false,false
15,-0.953125,0.046875,-0.03125,0,0,0,false,false
16,-0.953125,0.046875,-0.03125,0,0,0,false,false
17,-0.953125,0.0425738964980834,-0.03125,0,0,0,false,false
18,-0.953125,0.03125,-0.03125,0,0,0,false,false
19,-0.953125,0.03125,-0.03125,0,0,0,false,false
20,-0.953125,0.03125,-0.03125,0,0,0,false,false
21,-0.953125,0.03125,-0.03125,0,0,0,false,false
22,-0.953125,0.03125,-0.03125,0,0,0,false,false
23,-0.953125,0.03125,-0.03125,0,0,0,false,false
24,-0.953125,0.03125,-0.03125,0,0,0,false,false
25,-0.953125,0.03125,-0.03125,0,0,0,false,false
26,-0.95512913176815,0.03125,-0.0292458682318505,0,0,0,false,false
27,-0.96875,0.03125,-0.0174077214889851,0,0,0,false,false
28,-0.970321788732234,0.03125,-0.029678211267766,0,0,0,false,false
29,-0.983000627330257,0.03125,-0.0169993726697431,0,0,0,false,false
30,-0.969946435867176,0.03125,-0.03125,0,0,0,false,false
31,-0.984375,0.03125,-0.03125,0,0,0,false,false
32,-0.984375,0.03125,-0.03125,0,0,0,false,false
33,-0.984375,0.03125,-0.03125,0,0,0,false,false
34,-0.983792341137766,0.0306673411377665,-0.03125,0,0,0,false,false
35,-0.96875,0.015625,-0.03125,0,0,0,false,false
36,-0.96875,0.015625,-0.03125,0,0,0,false,false
37,-0.96875,0.0153719245313131,-0.03125,0,0,0,false,false
38,-0.96875,0.0,-0.03125,0,0,0,false,false
39,-0.96875,0.0,-0.03125,0,0,0,false,false
40,-0.968805205838343,0.0,-0.03125,0,0,0,false,false
41,-0.984375,0.000022047320256309,-0.03125,0,0,0,false,false
42,-0.984375,0.0156212853968317,-0.0312462853968317,0,0,0,false,false
43,-0.984375,1.14953364353278e-6,-0.0156261495336435,0,0,0,false,false
44,-0.999985201388807,0.0,-0.015625,0,0,0,false,false
45,-1.0,0.0,-0.015625,0,0,0,false,false
46,-1.0,0.0,-0.015625,0,0,0,false,false
47,-0.984529325631557,0.0,-0.015625,0,0,0,false,false
48,-0.999771789055128,0.0,-0.015625,0,0,0,false,false
49,-1.0,0.0,-0.000321799120905896,0,0,0,false,false
50,-1.0,0.0,-0.01519417279239,0,0,0,false,false
51,-1.0,0.0,-0.000545058387177505,0,0,0,false,false
52,-0.985056593814709,-0.0149434061852915,0.0,0,0,0,false,false
53,-0.984375,-0.015625,0.0,0,0,0,false,false
