Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.0,0.015625,-0.217575484917867,0,0,0,false,false
1,-1.0,0.015625,-0.21875,0,0,0,false,false
2,-1.0,0.015625,-0.21875,0,0,0,false,false
3,-1.0,0.015625,-0.205337492164954,0,0,0,false,false
4,-1.0,0.015625,-0.203125,0,0,0,false,false
5,-1.0,0.015625,-0.203125,0,0,0,false,false
6,-1.0,0.015625,-0.203125,0,0,0,false,false
7,-1.0,0.015625,-0.214767121997688,0,0,0,false,false
8,-1.0,0.00445900980789519,-0.21875,0,0,0,false,false
9,-1.0,0.0106676445719727,-0.21875,0,0,0,false,false
10,-1.0,0.015625,-0.208611754974064,0,0,0,false,false
11,-1.0,0.015625,-0.212732217930464,0,0,0,false,false
12,-1.0,0.015625,-0.20967615862662,0,0,0,false,false
13,-1.0,0.015625,-0.21168546613598,0,0,0,false,false
14,-1.0,0.015625,-0.210730313833741,0,0,0,false,false
15,-1.0,0.015625,-0.210592253705289,0,0,0,false,false
16,-1.0,0.015625,-0.21875,0,0,0,false,false
17,-1.0,0.00925554756111691,-0.21875,0,0,0,false,false
18,-1.0,0.00586065957930469,-0.212889340420695,0,0,0,false,false
19,-1.0,0.015625,-0.203125,0,0,0,false,false
20,-1.0,0.015625,-0.203125,0,0,0,false,false
21,-1.0,0.015625,-0.203125,0,0,0,false,false
22,-1.0,0.015625,-0.203125,0,0,0,false,false
23,-1.0,0.0122383898584136,-0.203125,0,0,0,false,false
24,-1.0,0.0,-0.203125,0,0,0,false,false
25,-1.0,0.00251956443479089,-0.203125,0,0,0,false,false
26,-1.0,0.015625,-0.203125,0,0,0,false,false
27,-1.0,0.0139014788990996,-0.203125,0,0,0,false,false
28,-1.0,0.0,-0.203125,0,0,0,false,false
29,-1.0,0.00108790883743276,-0.204212908837433,0,0,0,false,false
30,-1.0,0.015625,-0.217933778287675,0,0,0,false,false
31,-1.0,0.015625,-0.203696738613082,0,0,0,false,false
32,-1.0,0.015625,-0.218382614732989,0,0,0,false,false
33,-1.0,0.015625,-0.203125,0,0,0,false,false
34,-1.0,0.015625,-0.203125,0,0,0,false,false
35,-1.0,0.015625,-0.203125,0,0,0,false,false
36,-1.0,0.015625,-0.203125,0,0,0,false,false
37,-1.0,0.015625,-0.203125,0,0,0,false,false
38,-1.0,0.015625,-0.203125,0,0,0,false,false
39,-1.0,0.015625,-0.203125,0,0,0,false,false
40,-1.0,0.000382822025022418,-0.203125,0,0,0,false,false
41,-1.0,0.0,-0.203125,0,0,0,false,false
42,-1.01480725415091,0.0,-0.203125,0,0,0,false,false
43,-1.00109837764108,0.0145266223589237,-0.203125,0,0,0,false,false
44,-1.0,0.0014157494756724,-0.203125,0,0,0,false,false
45,-1.0,0.0138591197075504,-0.203125,0,0,0,false,false
46,-1.0,0.015625,-0.203125,0,0,0,false,false
47,-1.0,0.00251956443479089,-0.203125,0,0,0,false,false
48,-1.0,0.0,-0.203125,0,0,0,false,false
49,-1.0,0.0122190107782284,-0.215344010778228,0,0,0,false,false
50,-1.0,0.015625,-0.206992805468725,0,0,0,false,false
51,-1.0,0.015625,-0.203125,0,0,0,false,false
52,-1.0,0.015625,-0.203125,0,0,0,false,false
53,-1.0,0.015625,-0.203125,0,0,0,false,false
54,-1.0,0.015625,-0.203125,0,0,0,false,false
55,-1.0,0.015625,-0.203125,0,0,0,false,false
56,-1.0,0.015625,-0.203125,0,0,0,false,false
57,-1.0,0.00746725370528923,-0.203125,0,0,0,false,false
58,-1.0,0.0,-0.203125,0,0,0,false,false
59,-1.0,0.00705380271914567,-0.203125,0,0,0,false,false
60,-1.0,0.015625,-0.203125,0,0,0,false,false
61,-1.0,0.00963918056289547,-0.203125,0,0,0,false,false
62,-1.0,0.00548230670125327,-0.203125,0,0,0,false,false
63,-1.0,0.015625,-0.203125,0,0,0,false,false
64,-1.0,0.0111659901921048,-0.203125,0,0,0,false,false
65,-1.0,0.00396922919181035,-0.203125,0,0,0,false,false
66,-1.0,0.015625,-0.203125,0,0,0,false,false
67,-1.0,0.015625,-0.203125,0,0,0,false,false
68,-1.0,0.015625,-0.203125,0,0,0,false,false
69,-1.0,0.015625,-0.203125,0,0,0,false,false
70,-1.0,0.015625,-0.203125,0,0,0,false,false
71,-1.0,0.015625,-0.203125,0,0,0,false,false
72,-1.0,0.015625,-0.203125,0,0,0,false,false
73,-1.0,0.015625,-0.203125,0,0,0,false,false
74,-1.0,0.015625,-0.203125,0,0,0,false,false
75,-1.0,0.015625,-0.203125,0,0,0,false,false
76,-1.0,0.015625,-0.203125,0,0,0,false,false
77,-1.0,0.015625,-0.203125,0,0,0,false,false
