Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.931873241701348,-0.0492676033675417,-0.359531275867973,0,0,0,false,false
1,-0.936124043429139,-0.0475960669874205,-0.355935063625718,0,0,0,false,false
2,-0.936672518924868,-0.0466269062158071,-0.354889054967211,0,0,0,false,false
3,-0.93524291401654,-0.0462822087875633,-0.357231621385715,0,0,0,false,false
4,-0.93306633733484,-0.0490374768654152,-0.359816532657947,0,0,0,false,false
5,-0.928481539045827,-0.048431477608292,-0.362105680051606,0,0,0,false,false
6,-0.926961342005993,-0.0471825802778343,-0.364836560756126,0,0,0,false,false
7,-0.92843842776543,-0.0449170539713427,-0.362506646282657,0,0,0,false,false
8,-0.927547288471311,-0.0437072085923824,-0.360324152042679,0,0,0,false,false
9,-0.925318592838921,-0.0409549280043016,-0.359435239738298,0,0,0,false,false
10,-0.926475235741618,-0.0394401030305271,-0.358809446106847,0,0,0,false,false
11,-0.930635288495807,-0.0354475832985945,-0.358923114699401,0,0,0,false,false
12,-0.930477469883387,-0.0337201802541933,-0.362362177905085,0,0,0,false,false
13,-0.930536670878864,-0.0333275507588347,-0.364307497061225,0,0,0,false,false
14,-0.927840379235625,-0.0268048210467269,-0.3656987681583,0,0,0,false,false
15,-0.929675913352802,-0.0247668467056732,-0.367374692192439,0,0,0,false,false
16,-0.93188363247048,-0.0240406240946469,-0.366943359375,0,0,0,false,false
17,-0.933181604531228,-0.0200982936116265,-0.36683023809311,0,0,0,false,false
18,-0.935734842496852,-0.0163926813580061,-0.366360008772039,0,0,0,false,false
19,-0.935473725063911,-0.0154088412888848,-0.369328696114532,0,0,0,false,false
20,-0.938081565528576,-0.0162244179630946,-0.368973771247203,0,0,0,false,false
21,-0.939898150655933,-0.01795524606983,-0.370112275020333,0,0,0,false,false
22,-0.938841622169294,-0.0171631678997309,-0.370432758699362,0,0,0,false,false
23,-0.936021663686912,-0.0183462886866832,-0.367463471491536,0,0,0,false,false
24,-0.933190578036029,-0.0190939293309245,-0.369550569620788,0,0,0,false,false
25,-0.929599444717919,-0.0177899564470328,-0.367852124062195,0,0,0,false,false
26,-0.929459500467531,-0.0213659170479748,-0.365724614523533,0,0,0,false,false
27,-0.929784676518065,-0.0249313029401232,-0.369422061796891,0,0,0,false,false
28,-0.929973720064906,-0.0259881612977709,-0.371716959068215,0,0,0,false,false
29,-0.926227178982289,-0.0270882699771959,-0.370861286031846,0,0,0,false,false
30,-0.922516698644755,-0.0230598900601721,-0.371504615804064,0,0,0,false,false
31,-0.92589713767868,-0.0197984476206435,-0.374183932904504,0,0,0,false,false
32,-0.930633649404124,-0.0191732716228871,-0.372685752161097,0,0,0,false,false
33,-0.930011735615822,-0.0186817710357522,-0.370764520280268,0,0,0,false,false
34,-0.928438769671684,-0.0186399250407789,-0.369873046875,0,0,0,false,false
35,-0.924950684025503,-0.0224037088068837,-0.369899675563433,0,0,0,false,false
36,-0.923863543444076,-0.0231244131770905,-0.37001086980448,0,0,0,false,false
37,-0.929408837886189,-0.0183995080871968,-0.369353654507462,0,0,0,false,false
38,-0.931262891976398,-0.0144724049078149,-0.370849239240888,0,0,0,false,false
39,-0.933356690842173,-0.0126953125,-0.368153667222504,0,0,0,false,false
40,-0.931441204872616,-0.012784753495231,-0.367201124435826,0,0,0,false,false
41,-0.932443925632365,-0.0146608526777808,-0.365976423933042,0,0,0,false,false
42,-0.933822448178993,-0.0185672221051253,-0.364518879975271,0,0,0,false,false
43,-0.9335282532342,-0.0223027268300918,-0.362574929389836,0,0,0,false,false
44,-0.932552604378919,-0.0224372167561782,-0.362404296102419,0,0,0,false,false
45,-0.929177807788491,-0.021574739637207,-0.359302722899904,0,0,0,false,false
46,-0.932039972151653,-0.0177006664572066,-0.362178012523832,0,0,0,false,false
47,-0.933044265643307,-0.0151613557163669,-0.364794126609115,0,0,0,false,false
48,-0.931833435976885,-0.0134907145611956,-0.36537525311827,0,0,0,false,false
49,-0.929600028648405,-0.012630239637304,-0.364625238843847,0,0,0,false,false
50,-0.926592618422963,-0.0115719889446934,-0.367765864598717,0,0,0,false,false
51,-0.925567412249462,-0.0147326201729003,-0.373537294880065,0,0,0,false,false
52,-0.9261799650465,-0.0148156982615531,-0.37397808284168,0,0,0,false,false
53,-0.927228515625,-0.0143125,-0.373051193247115,0,0,0,false,false
54,-0.927954708368573,-0.0155997977218806,-0.371575730855983,0,0,0,false,false
55,-0.927127394601156,-0.0154060616531194,-0.370849609375,0,0,0,false,false
56,-0.924271421524078,-0.015548828125,-0.37082421875,0,0,0,false,false
57,-0.92386069505774,-0.014904454894968,-0.370925304687951,0,0,0,false,false
58,-0.926256862343023,-0.0152783238432408,-0.374974827359975,0,0,0,false,false
59,-0.925875923871756,-0.0171353223403332,-0.376990575626718,0,0,0,false,false
60,-0.925197231595067,-0.0196132523663191,-0.3786836447949,0,0,0,false,false
61,-0.926461629007754,-0.0194527348851415,-0.376708984375,0,0,0,false,false
62,-0.925059093250996,-0.0161987313826181,-0.376509613983311,0,0,0,false,false
63,-0.921747053356996,-0.0158916607134341,-0.374879299250097,0,0,0,false,false
64,-0.920458554512907,-0.016720845264327,-0.375731551761825,0,0,0,false,false
65,-0.918956163724893,-0.020741307837551,-0.373833600002961,0,0,0,false,false
66,-0.914577125575899,-0.0244726236816847,-0.378067132810345,0,0,0,false,false
67,-0.915256265277609,-0.027099609375,-0.37978480820473,0,0,0,false,false
68,-0.91662012204769,-0.0270045740258951,-0.37905171103264,0,0,0,false,false
69,-0.917265613949358,-0.0252294391775525,-0.381675382472413,0,0,0,false,false
70,-0.920357091045431,-0.0237813896429115,-0.383476567151467,0,0,0,false,false
71,-0.924273592287249,-0.0254362387935687,-0.380687906435485,0,0,0,false,false
72,-0.927206086902549,-0.0268869909645118,-0.381333503607279,0,0,0,false,false
73,-0.928376167722807,-0.0278934927989413,-0.381014481737732,0,0,0,false,false
74,-0.926607450281012,-0.0284667437953772,-0.380739042085471,0,0,0,false,false
75,-0.924539630566008,-0.0314564012833155,-0.382622103483867,0,0,0,false,false
76,-0.92404239679728,-0.0309547001090331,-0.383396762317024,0,0,0,false,false
77,-0.925918023761136,-0.0304198638464179,-0.380857493929677,0,0,0,false,false
78,-0.924319529157192,-0.0279967753053555,-0.379501082266237,0,0,0,false,false
79,-0.923724087119663,-0.0295179210274532,-0.38318564048186,0,0,0,false,false
80,-0.924894291394751,-0.0288127046007327,-0.384126977074363,0,0,0,false,false
81,-0.92251512659503,-0.0262965150092775,-0.388416752711529,0,0,0,false,false
82,-0.92063162239937,-0.024426776906883,-0.387991151477157,0,0,0,false,false
83,-0.917050367261756,-0.0268322051551505,-0.386808075375156,0,0,0,false,false
84,-0.913768211603518,-0.0266368881718616,-0.388121899447823,0,0,0,false,false
85,-0.912225736253653,-0.0273022141400152,-0.388625628860728,0,0,0,false,false
86,-0.914581835288773,-0.0281122048732742,-0.388252962958909,0,0,0,false,false
87,-0.917286788215377,-0.0261593533585415,-0.388629227667311,0,0,0,false,false
88,-0.918478881207339,-0.02722405805485,-0.38566298006707,0,0,0,false,false
89,-0.91930844177025,-0.0291676225444716,-0.385702792334299,0,0,0,false,false
90,-0.916576896387009,-0.027391836239599,-0.388901996976848,0,0,0,false,false
91,-0.913422169523733,-0.02685546875,-0.390369438304389,0,0,0,false,false
92,-0.913283859276268,-0.0267129355133206,-0.389998668188912,0,0,0,false,false
93,-0.916468974107958,-0.024651753946393,-0.389249774425757,0,0,0,false,false
94,-0.918645156280593,-0.023936181098256,-0.39013671875,0,0,0,false,false
95,-0.920154117272632,-0.0243548180110217,-0.389914491389359,0,0,0,false,false
96,-0.919826577554856,-0.0254125382643592,-0.387828648916384,0,0,0,false,false
97,-0.919072770451488,-0.023193359375,-0.38916015625,0,0,0,false,false
98,-0.918935898778119,-0.0231712195014669,-0.389115876502934,0,0,0,false,false
99,-0.922578759420019,-0.0231234438830889,-0.388753953818772,0,0,0,false,false
100,-0.924820293984013,-0.02490234375,-0.390550426532601,0,0,0,false,false
101,-0.926725756790735,-0.0248805247975551,-0.392333984375,0,0,0,false,false
102,-0.925653385926578,-0.0247642803724275,-0.391960683420974,0,0,0,false,false
103,-0.922039427261732,-0.0266893659934967,-0.388487917974057,0,0,0,false,false
104,-0.919692933718062,-0.0283576728173677,-0.391569548758658,0,0,0,false,false
105,-0.918716249290089,-0.0292538411103014,-0.390456480953798,0,0,0,false,false
106,-0.917177644639269,-0.0288626806730553,-0.387618755727791,0,0,0,false,false
107,-0.915491533577103,-0.0296069130236468,-0.387726185406803,0,0,0,false,false
108,-0.914677490945364,-0.0295979288217644,-0.391002008390749,0,0,0,false,false
109,-0.915973388434879,-0.0267901847651742,-0.391441479081713,0,0,0,false,false
110,-0.91552734375,-0.02587890625,-0.392010203723673,0,0,0,false,false
111,-0.915536991616161,-0.0261061246459186,-0.39248437310403,0,0,0,false,false
112,-0.915970930548952,-0.0293722116040237,-0.388991672443447,0,0,0,false,false
113,-0.917438746575014,-0.0301899931500289,-0.390839697404644,0,0,0,false,false
114,-0.917136719314932,-0.029296875,-0.392990676770071,0,0,0,false,false
115,-0.919450079347505,-0.0294002904984517,-0.391173886424481,0,0,0,false,false
116,-0.920660685001893,-0.0305086010409509,-0.389634976504582,0,0,0,false,false
117,-0.921426190033416,-0.0300269790904558,-0.394551602790452,0,0,0,false,false
118,-0.919475990203217,-0.0277581650127947,-0.391716792666767,0,0,0,false,false
119,-0.922607421875,-0.0277943342139486,-0.391257210374243,0,0,0,false,false
120,-0.922362278908829,-0.0298454396503719,-0.390889569205514,0,0,0,false,false
121,-0.919677734375,-0.0279734867821171,-0.391093067494675,0,0,0,false,false
122,-0.919617464249377,-0.0303172142951518,-0.390983482426166,0,0,0,false,false
123,-0.918132368758626,-0.0310280651707166,-0.39273804793655,0,0,0,false,false
124,-0.915929627050766,-0.0286914992102174,-0.393520031346652,0,0,0,false,false
125,-0.914975259103346,-0.0307533551953646,-0.394310837832022,0,0,0,false,false
126,-0.916983275260744,-0.031494140625,-0.392005402388158,0,0,0,false,false
127,-0.916539697047031,-0.031749094644536,-0.393759604429687,0,0,0,false,false
128,-0.914873369265626,-0.0346470636403316,-0.393330158722657,0,0,0,false,false
129,-0.91569992927236,-0.0339737049308126,-0.393416178665083,0,0,0,false,false
130,-0.914374775381481,-0.0328518689505213,-0.391904428210938,0,0,0,false,false
131,-0.913291424520562,-0.0341910223067641,-0.392548940434386,0,0,0,false,false
132,-0.911919580466938,-0.031513541109853,-0.391474223570064,0,0,0,false,false
133,-0.913522249390152,-0.0317189172040373,-0.389064398767814,0,0,0,false,false
134,-0.915996260954037,-0.0315554954278937,-0.391690157149252,0,0,0,false,false
135,-0.915886624924265,-0.0325778612234748,-0.392534414251837,0,0,0,false,false
136,-0.917102249905611,-0.0330165206087147,-0.389202648983494,0,0,0,false,false
137,-0.915678283197643,-0.0331652350244886,-0.390490034901849,0,0,0,false,false
138,-0.919089170091924,-0.0328462493274042,-0.392467163682383,0,0,0,false,false
139,-0.921830624830789,-0.0343289247714332,-0.389888005877914,0,0,0,false,false
140,-0.920619895420544,-0.0332693567154294,-0.387791049770252,0,0,0,false,false
141,-0.918765368749504,-0.0350588070412129,-0.389282709883476,0,0,0,false,false
142,-0.918212890625,-0.0380473945090185,-0.38957417846633,0,0,0,false,false
143,-0.918212890625,-0.0398647219592933,-0.388783053953529,0,0,0,false,false
144,-0.91813863159133,-0.0400311945008189,-0.39013671875,0,0,0,false,false
145,-0.917324353307801,-0.0395199500651417,-0.390229367877941,0,0,0,false,false
146,-0.918869773530872,-0.0370855336500259,-0.391228889962044,0,0,0,false,false
147,-0.919323651472274,-0.0397582744490913,-0.389276819528977,0,0,0,false,false
148,-0.918131817249274,-0.0395240636240322,-0.388970371374758,0,0,0,false,false
149,-0.920038930710958,-0.0421472608616194,-0.389557673640849,0,0,0,false,false
150,-0.918097478170977,-0.0397674506660406,-0.388645157374032,0,0,0,false,false
151,-0.917632363946943,-0.0371396642665604,-0.391357421875,0,0,0,false,false
