Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.968384116797312,-0.04443359375,-0.0216233634304308,0,0,0,false,false
1,-0.970322490469264,-0.0447370384911635,-0.0197141011518195,0,0,0,false,false
2,-0.969088226269166,-0.0454302393726498,-0.0173659232665002,0,0,0,false,false
3,-0.968148932592207,-0.0438882611995024,-0.019287109375,0,0,0,false,false
4,-0.968233506217784,-0.0447682984251959,-0.0190171992590203,0,0,0,false,false
5,-0.968905374184398,-0.0450343438866754,-0.0181214514500681,0,0,0,false,false
6,-0.968402064646649,-0.0457918985164474,-0.018310546875,0,0,0,false,false
7,-0.968326289508889,-0.0457181921003027,-0.0184123519459403,0,0,0,false,false
8,-0.96920684329647,-0.0428234702992546,-0.0195034418085972,0,0,0,false,false
9,-0.969977710730008,-0.044043528564519,-0.0212592263810745,0,0,0,false,false
10,-0.96923828125,-0.0461879312034102,-0.0213098843118299,0,0,0,false,false
11,-0.96923828125,-0.0463805427911536,-0.0200844245985162,0,0,0,false,false
12,-0.969678288588579,-0.0444336138230844,-0.0224307611250645,0,0,0,false,false
13,-0.970628046286544,-0.0445725163311475,-0.0216340733673233,0,0,0,false,false
14,-0.970050732368585,-0.0455837255309644,-0.0192101301355847,0,0,0,false,false
15,-0.970091496060653,-0.0445236938563075,-0.0190629305373702,0,0,0,false,false
16,-0.967809928448856,-0.0435470263717189,-0.0210866288909882,0,0,0,false,false
17,-0.968348025300141,-0.04443359375,-0.0215745588457309,0,0,0,false,false
18,-0.968902465865833,-0.0449186381071389,-0.0221350816057823,0,0,0,false,false
19,-0.968208007305189,-0.0460017696855804,-0.0221747723331921,0,0,0,false,false
20,-0.968486674053726,-0.045654296875,-0.0207629374626082,0,0,0,false,false
21,-0.970123986978746,-0.045706508975678,-0.0217521786214862,0,0,0,false,false
22,-0.969368115162769,-0.0459772805556478,-0.0206511206536834,0,0,0,false,false
23,-0.968617630139041,-0.0464212814763142,-0.020263671875,0,0,0,false,false
24,-0.969113813342507,-0.046875,-0.0206436431046919,0,0,0,false,false
25,-0.969918857839463,-0.0467445162991162,-0.0210214093981114,0,0,0,false,false
26,-0.968854450392972,-0.0451128654368936,-0.0203294994955355,0,0,0,false,false
27,-0.969562468888406,-0.043695821691867,-0.0215300241485795,0,0,0,false,false
28,-0.969315908066242,-0.0441085916739805,-0.0225103168936848,0,0,0,false,false
29,-0.967493536683657,-0.0445187064215558,-0.0227776943306402,0,0,0,false,false
30,-0.967598789556425,-0.045488360120222,-0.0206957144555826,0,0,0,false,false
31,-0.968938615817458,-0.0453347746392188,-0.0196696737732432,0,0,0,false,false
32,-0.969747163474636,-0.0453498555856472,-0.0189903226766475,0,0,0,false,false
33,-0.969624681171946,-0.0445350553808194,-0.0172975097894825,0,0,0,false,false
34,-0.968994140625,-0.0450476109422038,-0.0173058184279202,0,0,0,false,false
35,-0.969439136165539,-0.046142578125,-0.0193142167843781,0,0,0,false,false
36,-0.970163501364212,-0.0457808577516592,-0.0195502672767478,0,0,0,false,false
37,-0.96958817799285,-0.0455326376984536,-0.0182675130836041,0,0,0,false,false
38,-0.968845975989499,-0.0459573516989892,-0.0184529058882944,0,0,0,false,false
39,-0.968938050723882,-0.0448110690208954,-0.0205192662338586,0,0,0,false,false
40,-0.968898517163557,-0.0449503216850469,-0.0211990492899824,0,0,0,false,false
41,-0.968110581306615,-0.0457332868532435,-0.0209450649868183,0,0,0,false,false
42,-0.968408152760365,-0.0446294738779723,-0.021240234375,0,0,0,false,false
43,-0.968994140625,-0.0456183920107817,-0.021240234375,0,0,0,false,false
44,-0.968694187402825,-0.0469806739777106,-0.0206849120357348,0,0,0,false,false
45,-0.968822681893641,-0.0456314391783703,-0.0178634227131767,0,0,0,false,false
46,-0.96988632561293,-0.045010071494112,-0.0176269624950982,0,0,0,false,false
47,-0.969970703125,-0.0450257140930377,-0.0182122560056986,0,0,0,false,false
48,-0.968816392862556,-0.0450610783284142,-0.0174774795949785,0,0,0,false,false
49,-0.967873986281364,-0.0453460220396686,-0.0190054350202782,0,0,0,false,false
50,-0.968867044238601,-0.0455765191473437,-0.0193166377648958,0,0,0,false,false
51,-0.969592505341416,-0.0453836230976232,-0.0191800796741855,0,0,0,false,false
