Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.945948969429303,0.114365534901445,-0.258349822521873,0,0,0,false,false
1,-0.940908592031953,0.132160493155563,-0.269425852152454,0,0,0,false,false
2,-0.933873888702968,0.134238449723348,-0.277340345771309,0,0,0,false,false
3,-0.931234828391547,0.131194219484966,-0.278771718501728,0,0,0,false,false
4,-0.936890369587983,0.121439949705301,-0.27684827195082,0,0,0,false,false
5,-0.944546835989348,0.104574949005609,-0.269628829674956,0,0,0,false,false
6,-0.952226407478067,0.0888380994287732,-0.270131535843619,0,0,0,false,false
7,-0.961469495389609,0.0889008389471219,-0.269310681062586,0,0,0,false,false
8,-0.956571006218422,0.0921112063957971,-0.261151781381456,0,0,0,false,false
9,-0.944267707312226,0.10105791507867,-0.248835672956917,0,0,0,false,false
10,-0.94926843100844,0.103903072606836,-0.249161442339792,0,0,0,false,false
11,-0.966931883939715,0.110881393047825,-0.260046022008825,0,0,0,false,false
12,-0.986643825955412,0.120196398357305,-0.258540422790437,0,0,0,false,false
13,-1.00039728041874,0.120667248901319,-0.249483790671333,0,0,0,false,false
14,-1.01215462816227,0.11732352517906,-0.250601478399834,0,0,0,false,false
15,-1.01173264629286,0.117224444990703,-0.251388925385852,0,0,0,false,false
16,-1.00433810250181,0.123726803773896,-0.251899081725405,0,0,0,false,false
17,-0.996111123295859,0.128076205247211,-0.253720754866962,0,0,0,false,false
18,-0.987015042982185,0.129709733187957,-0.257762283144497,0,0,0,false,false
19,-0.979649863206925,0.129331255057713,-0.258698148038589,0,0,0,false,false
20,-0.97984418646021,0.129873337848474,-0.259933933471077,0,0,0,false,false
21,-0.978092384842759,0.127322927212012,-0.260931766403296,0,0,0,false,false
22,-0.977402363821046,0.118728302637052,-0.263058720941815,0,0,0,false,false
23,-0.979756860060862,0.119003642453592,-0.269876670172431,0,0,0,false,false
24,-0.98176206137866,0.117339688130785,-0.277585409369052,0,0,0,false,false
25,-0.979563445562458,0.108875030537903,-0.277790572748699,0,0,0,false,false
26,-0.969001219860625,0.0961773416988466,-0.272928413851816,0,0,0,false,false
27,-0.952970671263821,0.0865910384614254,-0.26895008926104,0,0,0,false,false
28,-0.941507025606049,0.0825582452536615,-0.267919060044318,0,0,0,false,false
29,-0.940446128707247,0.0837235008143389,-0.270466775619491,0,0,0,false,false
30,-0.947035926947427,0.0906061529119809,-0.275047639079955,0,0,0,false,false
31,-0.96096482260672,0.0969592483175521,-0.277039995991502,0,0,0,false,false
32,-0.967406896542538,0.0993102802517988,-0.275989769321513,0,0,0,false,false
33,-0.970442101075196,0.0987753778042663,-0.270285377420009,0,0,0,false,false
34,-0.971623003921707,0.0988886718929892,-0.261518924078981,0,0,0,false,false
35,-0.971415485645264,0.101994154255014,-0.256871606027772,0,0,0,false,false
36,-0.974315462996538,0.105398874165893,-0.256816280404529,0,0,0,false,false
37,-0.981217187418118,0.105813677954812,-0.260673699123013,0,0,0,false,false
38,-0.984368325770702,0.103284551573504,-0.265019482565109,0,0,0,false,false
39,-0.986565043376534,0.0981537993149444,-0.26761186218721,0,0,0,false,false
40,-0.985537751373245,0.0900883224729351,-0.267950830495883,0,0,0,false,false
41,-0.980073915863436,0.0809566020393258,-0.266858921068991,0,0,0,false,false
42,-0.977778611778007,0.0781974153151198,-0.265737532098693,0,0,0,false,false
43,-0.9775390625,0.0800392881587489,-0.266788674460006,0,0,0,false,false
44,-0.977432020011178,0.0847406610101973,-0.268283879642866,0,0,0,false,false
45,-0.975515654144,0.0879316162625265,-0.264628115991087,0,0,0,false,false
46,-0.971377674650075,0.0923969666977374,-0.263874748636438,0,0,0,false,false
47,-0.969021674419084,0.0989363134095567,-0.267758889020675,0,0,0,false,false
48,-0.96759954778087,0.104403127763759,-0.274054666509715,0,0,0,false,false
49,-0.967750977168476,0.104736714330417,-0.277241428190354,0,0,0,false,false
50,-0.970191274694356,0.102276257360895,-0.279234079048178,0,0,0,false,false
51,-0.973425861704996,0.0984243243132579,-0.281030385234884,0,0,0,false,false
52,-0.975484518435601,0.0963150756657284,-0.280660726993802,0,0,0,false,false
53,-0.974713951251983,0.0942755418591295,-0.277837172492663,0,0,0,false,false
54,-0.973037613382245,0.094130777485769,-0.276202780581975,0,0,0,false,false
55,-0.975468606429887,0.0955323774653089,-0.273936550915663,0,0,0,false,false
56,-0.977607751989568,0.0948773567445012,-0.274574876119203,0,0,0,false,false
57,-0.978013335579709,0.0946207078722068,-0.27758081397434,0,0,0,false,false
58,-0.975353081352615,0.0932892453579383,-0.275730332994485,0,0,0,false,false
59,-0.972925852394083,0.0868483289013584,-0.274715367429917,0,0,0,false,false
60,-0.973777116834081,0.0823378749988664,-0.275700386317845,0,0,0,false,false
61,-0.975775096771998,0.0811113545936618,-0.27745704259526,0,0,0,false,false
62,-0.975069732092858,0.0762756771513342,-0.277077775586136,0,0,0,false,false
63,-0.9732340056581,0.0744144329863268,-0.275044706171261,0,0,0,false,false
64,-0.969483630295476,0.073974609375,-0.27661234442371,0,0,0,false,false
65,-0.964098066186022,0.0741191196585745,-0.277210411068341,0,0,0,false,false
66,-0.959757087707304,0.0765681715457633,-0.27275885155476,0,0,0,false,false
67,-0.955930947513756,0.0831185473838655,-0.271131309558577,0,0,0,false,false
68,-0.953338295268171,0.0922206710098983,-0.267321928344501,0,0,0,false,false
69,-0.960660384846283,0.101285027117489,-0.264500238187192,0,0,0,false,false
70,-0.970430086685525,0.112240321687613,-0.266473982030173,0,0,0,false,false
71,-0.976468844437751,0.116377587579469,-0.270319069970564,0,0,0,false,false
72,-0.982762168260801,0.114416546053146,-0.27217601709765,0,0,0,false,false
73,-0.985107421875,0.109124542546607,-0.272547213286596,0,0,0,false,false
74,-0.985264301141839,0.102787316396255,-0.269534509629814,0,0,0,false,false
75,-0.987370452961988,0.0949328173542497,-0.26761104616497,0,0,0,false,false
76,-0.987408127311108,0.0883255997264459,-0.267917345912895,0,0,0,false,false
77,-0.983602689208742,0.0858087180791525,-0.265716824517765,0,0,0,false,false
78,-0.980191632072775,0.0835741753141466,-0.26732241186768,0,0,0,false,false
79,-0.979064475551129,0.0826114413473643,-0.267117096366978,0,0,0,false,false
80,-0.980434422916693,0.0806015371509835,-0.268558556875944,0,0,0,false,false
81,-0.979528909073357,0.0743078269334587,-0.271667985478458,0,0,0,false,false
82,-0.980705156125036,0.0732310344032164,-0.2727025354516,0,0,0,false,false
83,-0.979769430155271,0.0676742989976569,-0.272367856233907,0,0,0,false,false
84,-0.971643350987369,0.0664529992580997,-0.269536644506767,0,0,0,false,false
85,-0.965390875111572,0.0720285465859109,-0.270054181501769,0,0,0,false,false
86,-0.959975518681438,0.0832743668015718,-0.27045434816806,0,0,0,false,false
87,-0.961420707922794,0.0974919317372949,-0.265182378694853,0,0,0,false,false
88,-0.960693359375,0.106925638572598,-0.271719444386317,0,0,0,false,false
89,-0.960700304708323,0.111227728796574,-0.269781137841233,0,0,0,false,false
90,-0.96521289732796,0.116060033839408,-0.273022179339073,0,0,0,false,false
91,-0.973708251490603,0.120183424228378,-0.276610719450054,0,0,0,false,false
92,-0.978027247977712,0.126469895517197,-0.275390625,0,0,0,false,false
93,-0.973647818880372,0.12743751625734,-0.275390625,0,0,0,false,false
94,-0.971952646435003,0.127929482203907,-0.274199965079552,0,0,0,false,false
95,-0.96998287318476,0.118629517511992,-0.270090956761288,0,0,0,false,false
96,-0.969726902478128,0.110152269165119,-0.267826469631814,0,0,0,false,false
97,-0.972505717766868,0.101615115063592,-0.268517904596401,0,0,0,false,false
98,-0.976597756886277,0.0957731388371573,-0.269525583921588,0,0,0,false,false
99,-0.980443215227065,0.0952658334190602,-0.26750470772808,0,0,0,false,false
100,-0.977821519717067,0.0888098196229236,-0.263927330152876,0,0,0,false,false
101,-0.979275385411948,0.0840874867302269,-0.260294990719892,0,0,0,false,false
102,-0.986431943459272,0.0798494321150524,-0.260459521208935,0,0,0,false,false
103,-0.986572265625,0.0778688527818894,-0.262683621875546,0,0,0,false,false
104,-0.98576262818865,0.0742845332796293,-0.265076431124443,0,0,0,false,false
105,-0.981879074191721,0.0720643091694751,-0.268644273351786,0,0,0,false,false
106,-0.979076802276512,0.0777659765510667,-0.271649419044732,0,0,0,false,false
107,-0.976679572273324,0.0876972193565428,-0.274099745726063,0,0,0,false,false
108,-0.973610787677019,0.102731953209053,-0.273939613169892,0,0,0,false,false
109,-0.970273053903721,0.114647361039658,-0.27392578125,0,0,0,false,false
110,-0.969125420794698,0.119237873978688,-0.27410016357145,0,0,0,false,false
111,-0.968298562196009,0.121031187619559,-0.277549458288732,0,0,0,false,false
112,-0.96826171875,0.120201824383165,-0.281213534939566,0,0,0,false,false
113,-0.966515540044317,0.12062117019606,-0.287341118229771,0,0,0,false,false
114,-0.964630040711359,0.125047917686311,-0.289474294941253,0,0,0,false,false
115,-0.963445559479761,0.12548828125,-0.289387083526055,0,0,0,false,false
116,-0.96337890625,0.122130533696697,-0.288482728381491,0,0,0,false,false
117,-0.964079760809998,0.116060001288312,-0.284349863181238,0,0,0,false,false
118,-0.965253995022608,0.108595226429007,-0.277549253705749,0,0,0,false,false
119,-0.967090772157105,0.102201332732432,-0.272489060268738,0,0,0,false,false
120,-0.966057455387316,0.100144152610446,-0.271628664498143,0,0,0,false,false
121,-0.969352916172841,0.0992152152757145,-0.270255232551554,0,0,0,false,false
