Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.970416288696532,0.076269839386266,-0.0214973349666115,0,0,0,false,false
1,-0.970629891628818,0.0753924582989001,-0.0155377538865986,0,0,0,false,false
2,-0.974011822882112,0.0758896296984127,-0.012072025943285,0,0,0,false,false
3,-0.973918100798814,0.0754282499997502,-0.0134036916247676,0,0,0,false,false
4,-0.972816549620508,0.0756316582778682,-0.0128545173445136,0,0,0,false,false
5,-0.972540574379448,0.077392578125,-0.0146395983233528,0,0,0,false,false
6,-0.973646471130886,0.0770456179616827,-0.0156629783217595,0,0,0,false,false
7,-0.974810312194963,0.0764481427001616,-0.0128228011832332,0,0,0,false,false
8,-0.975348605709487,0.0777399856642202,-0.0126314861523309,0,0,0,false,false
9,-0.976060030985437,0.0775509212901475,-0.0134565954838053,0,0,0,false,false
10,-0.975666397744157,0.076525229229027,-0.0130193040008483,0,0,0,false,false
11,-0.974779193372766,0.0779999325808504,-0.0141277896494012,0,0,0,false,false
12,-0.975949330314849,0.0780866257645323,-0.014864218690789,0,0,0,false,false
13,-0.975134302668789,0.0758061222940014,-0.0138953481570923,0,0,0,false,false
14,-0.9761251430283,0.0748995943222307,-0.0143286475058633,0,0,0,false,false
15,-0.977924764460565,0.0762849150364028,-0.0146951489896413,0,0,0,false,false
16,-0.977759436376489,0.0747495428768994,-0.0158136157969634,0,0,0,false,false
17,-0.976210728743893,0.074018126466852,-0.0155116627605867,0,0,0,false,false
18,-0.975078112290682,0.0754316537258455,-0.0160854473719564,0,0,0,false,false
19,-0.975091507902142,0.0737531744511748,-0.0171814712047625,0,0,0,false,false
20,-0.975105769476347,0.0708466574238329,-0.0167491835116268,0,0,0,false,false
21,-0.97412109375,0.0705448764195867,-0.0182066417717589,0,0,0,false,false
22,-0.974609653633858,0.0727534882992137,-0.0185116982762651,0,0,0,false,false
23,-0.975421681504472,0.0716997024888203,-0.017757004472368,0,0,0,false,false
24,-0.976179028644486,0.0723434006412329,-0.0170952506006506,0,0,0,false,false
25,-0.97810371017785,0.072860355360751,-0.0173954010054283,0,0,0,false,false
26,-0.977783203125,0.0741245187620179,-0.0165208337312008,0,0,0,false,false
27,-0.977783203125,0.073486328125,-0.0159751680329142,0,0,0,false,false
28,-0.977681546101091,0.073239833363821,-0.0163695817167219,0,0,0,false,false
29,-0.976820444858837,0.0704239291358306,-0.0187993280269209,0,0,0,false,false
30,-0.975127771901364,0.0679160634181546,-0.0181926736807181,0,0,0,false,false
31,-0.973473705993025,0.068787065821977,-0.0156469828340353,0,0,0,false,false
32,-0.974060122814148,0.0712114294287523,-0.0157564405764159,0,0,0,false,false
33,-0.97607421875,0.071392011307929,-0.0152266434738673,0,0,0,false,false
34,-0.976320396389695,0.0706481046076568,-0.0151988623143523,0,0,0,false,false
35,-0.977767283925637,0.0734498800212717,-0.0153687744765002,0,0,0,false,false
36,-0.977884603373697,0.0751222592168262,-0.0166459530689502,0,0,0,false,false
37,-0.976132579669582,0.0733655416076097,-0.015727867727125,0,0,0,false,false
38,-0.975899064010996,0.0729087864774749,-0.0151410498354499,0,0,0,false,false
39,-0.976203583351173,0.0740185743687286,-0.0165191923299649,0,0,0,false,false
40,-0.975975811146984,0.0740271077807013,-0.0160247305824168,0,0,0,false,false
41,-0.975190692439459,0.0728757734319652,-0.0180959538039028,0,0,0,false,false
42,-0.975682576727817,0.0730455189704223,-0.017265865592949,0,0,0,false,false
43,-0.976088754031527,0.0740410501458374,-0.0135404238666123,0,0,0,false,false
44,-0.973584342989026,0.0724424711774255,-0.0146700450184653,0,0,0,false,false
45,-0.972463047298575,0.0718444338550447,-0.0160643968780309,0,0,0,false,false
46,-0.974028520208661,0.0746619357303197,-0.0141948780263684,0,0,0,false,false
47,-0.974967954018581,0.0744054600381846,-0.0141189855365754,0,0,0,false,false
48,-0.972955199652128,0.0723250914143594,-0.0138350145665214,0,0,0,false,false
49,-0.97075858152895,0.0728679213712016,-0.0128061489311012,0,0,0,false,false
50,-0.969618381291197,0.0738719032667766,-0.0125580672300365,0,0,0,false,false
51,-0.970390716500423,0.0759188051861557,-0.0127654864467254,0,0,0,false,false
52,-0.96995982031511,0.0771815711230031,-0.0123395657420122,0,0,0,false,false
53,-0.971645406996278,0.0774373092350773,-0.0122964934701546,0,0,0,false,false
54,-0.973153552978104,0.0774799728187361,-0.0135481427115563,0,0,0,false,false
55,-0.972311981333125,0.0773097576014952,-0.012380074131644,0,0,0,false,false
56,-0.973023722104359,0.078125,-0.00966099224662662,0,0,0,false,false
57,-0.973314522709626,0.0793318066183155,-0.00752934778848113,0,0,0,false,false
58,-0.97473610187252,0.080810546875,-0.00818844103082808,0,0,0,false,false
59,-0.975830078125,0.080810546875,-0.00895457821121307,0,0,0,false,false
60,-0.975605116458399,0.081147989374902,-0.00667337719726372,0,0,0,false,false
61,-0.975468602533635,0.0814299265197236,-0.00653762838165864,0,0,0,false,false
62,-0.977099130070964,0.081298828125,-0.00686436642630533,0,0,0,false,false
63,-0.979558487351311,0.0822193051051975,-0.00563963650817328,0,0,0,false,false
64,-0.979633077817026,0.0823779097336792,-0.00567124601350302,0,0,0,false,false
65,-0.979947254096212,0.0811813617642552,-0.00757043976287324,0,0,0,false,false
66,-0.979762897671579,0.0794720269147153,-0.008544921875,0,0,0,false,false
67,-0.977419058871542,0.077969043446315,-0.00889895238945889,0,0,0,false,false
68,-0.976475400925643,0.0782751189846474,-0.00868175747707401,0,0,0,false,false
69,-0.976318359375,0.0782098137607958,-0.00889562867022382,0,0,0,false,false
70,-0.976680140437518,0.0773164534599999,-0.00928325024997555,0,0,0,false,false
