Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.92270273211035,-0.127845405998514,-0.366260077074901,0,0,0,false,false
1,-0.923083149650942,-0.126481363795768,-0.366699640886623,0,0,0,false,false
2,-0.920444307001089,-0.122833288449675,-0.366933008632293,0,0,0,false,false
3,-0.919677734375,-0.117669893781756,-0.369900896581628,0,0,0,false,false
4,-0.918215302445787,-0.112076960038605,-0.370344708680361,0,0,0,false,false
5,-0.920733357508908,-0.111570035620716,-0.36824948911594,0,0,0,false,false
6,-0.928594374626226,-0.112060546875,-0.36611675022935,0,0,0,false,false
7,-0.929447398220955,-0.113954982416998,-0.366698031043046,0,0,0,false,false
8,-0.930992343486825,-0.116475924973457,-0.36971728771283,0,0,0,false,false
9,-0.930863910014261,-0.12226018625405,-0.370799032770919,0,0,0,false,false
10,-0.921498958064584,-0.124379619538425,-0.370268350792412,0,0,0,false,false
11,-0.91278001938883,-0.119220086631925,-0.37006669288117,0,0,0,false,false
12,-0.912356782250759,-0.117396648117269,-0.371162027855021,0,0,0,false,false
13,-0.913463601765675,-0.11817370484879,-0.37158203125,0,0,0,false,false
14,-0.915683849707651,-0.116831172047783,-0.371321095931354,0,0,0,false,false
15,-0.915876318677058,-0.115033756632113,-0.368108187744404,0,0,0,false,false
16,-0.914494638555843,-0.114077387312316,-0.366541768296849,0,0,0,false,false
17,-0.915462090002973,-0.116802585867178,-0.367610975665165,0,0,0,false,false
18,-0.916115537981065,-0.117886890867459,-0.367569458104913,0,0,0,false,false
19,-0.917534284367694,-0.118776242894713,-0.366575741661452,0,0,0,false,false
20,-0.920709102466717,-0.117273285774561,-0.364606723976552,0,0,0,false,false
21,-0.921517794868545,-0.115818346325701,-0.361135737039341,0,0,0,false,false
22,-0.92297331406415,-0.120241264650533,-0.36121475217721,0,0,0,false,false
23,-0.922690267748742,-0.125709574367798,-0.36181640625,0,0,0,false,false
24,-0.919999130541941,-0.126176707329442,-0.360375724147208,0,0,0,false,false
25,-0.921097797044128,-0.128422266585428,-0.359518864946202,0,0,0,false,false
26,-0.922555811135675,-0.12952720822722,-0.358678225661,0,0,0,false,false
27,-0.921174004351234,-0.127328016587962,-0.356953825832481,0,0,0,false,false
28,-0.92102606613926,-0.123184598887109,-0.355721640282379,0,0,0,false,false
29,-0.921388728789806,-0.122974188447091,-0.354744959256808,0,0,0,false,false
30,-0.92096379815938,-0.123149508625107,-0.354353777827139,0,0,0,false,false
31,-0.922132410388078,-0.118799107015643,-0.353926240504001,0,0,0,false,false
