Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.960373031891357,-0.000333779616057391,-0.163063611835895,0,0,0,false,false
1,-0.961034571631356,-0.00683583432572884,-0.162363707099992,0,0,0,false,false
2,-0.961361398104192,-0.0103832745185031,-0.163669385460563,0,0,0,false,false
3,-0.962395130916171,-0.0115059359948842,-0.161628508291127,0,0,0,false,false
4,-0.963555713026988,-0.0130308887013964,-0.162906883371092,0,0,0,false,false
5,-0.961535605333656,-0.015569648285787,-0.16177741158641,0,0,0,false,false
6,-0.959147376047388,-0.0163315085636948,-0.162273924740277,0,0,0,false,false
7,-0.957153957865157,-0.0155154736395184,-0.161834516835389,0,0,0,false,false
8,-0.957192416105931,-0.0117860348845865,-0.160067793427843,0,0,0,false,false
9,-0.95854165564013,-0.00903520264592448,-0.159912109375,0,0,0,false,false
10,-0.961156156435468,-0.00629944108126833,-0.162718970550522,0,0,0,false,false
11,-0.961657249268597,-0.00957064696788094,-0.161576640289485,0,0,0,false,false
12,-0.961023663161112,-0.0127651452129323,-0.163980006445562,0,0,0,false,false
13,-0.9609375,-0.0110871177885269,-0.165335430100961,0,0,0,false,false
14,-0.961580771401922,-0.00476947631871616,-0.16642129487453,0,0,0,false,false
15,-0.961669921875,-0.000295850252399183,-0.164582630468076,0,0,0,false,false
16,-0.961990030021668,0.00361761308772734,-0.163055151253882,0,0,0,false,false
17,-0.964000415308154,0.00006834281171903,-0.162290062959145,0,0,0,false,false
18,-0.964692102130241,0.00139066257969358,-0.161222403487556,0,0,0,false,false
19,-0.969005405814635,0.00329955858563265,-0.1589155934405,0,0,0,false,false
20,-0.970185928264909,0.000986432814259357,-0.159391491550691,0,0,0,false,false
21,-0.968753205428313,-0.00344515394225087,-0.160587355792105,0,0,0,false,false
22,-0.962885532709768,-0.0101676318442779,-0.162076479643675,0,0,0,false,false
23,-0.96105716533562,-0.0115923980964624,-0.162871441975183,0,0,0,false,false
24,-0.955904749175656,-0.0121635841186682,-0.165172932958688,0,0,0,false,false
25,-0.94991893211809,-0.0112439979795429,-0.165694111007646,0,0,0,false,false
26,-0.949764295483461,-0.00782548656428611,-0.168091852215061,0,0,0,false,false
27,-0.952119290017598,-0.0039420982197943,-0.164453556525975,0,0,0,false,false
28,-0.958004229844089,-0.000961556100618324,-0.162893044245668,0,0,0,false,false
29,-0.963446067715287,-0.00415638757929764,-0.163465316591397,0,0,0,false,false
30,-0.9638671875,-0.00823937893707184,-0.159487666983752,0,0,0,false,false
31,-0.96170987595758,-0.00813074035664912,-0.158463094708047,0,0,0,false,false
32,-0.959357651929754,-0.008056640625,-0.159067718425961,0,0,0,false,false
33,-0.958098671873716,-0.0103256001083332,-0.158106646071421,0,0,0,false,false
34,-0.959242117634589,-0.0101766018250262,-0.157027074877028,0,0,0,false,false
35,-0.95947265625,-0.00978709090562788,-0.154827155277955,0,0,0,false,false
36,-0.962557128277616,-0.0114693602252046,-0.155305336618904,0,0,0,false,false
37,-0.967548910219121,-0.0141716515934856,-0.155740953395628,0,0,0,false,false
38,-0.967410603738738,-0.0155324125755614,-0.154763222321446,0,0,0,false,false
39,-0.964696178736094,-0.0132797897718457,-0.152795543513387,0,0,0,false,false
40,-0.963548619471804,-0.00543116795481122,-0.15699467884922,0,0,0,false,false
41,-0.962853507213928,-0.00751473701076272,-0.160432452072059,0,0,0,false,false
42,-0.961795260034747,-0.0116050837786456,-0.158623911291048,0,0,0,false,false
43,-0.961669921875,-0.0093901649182766,-0.158404613992043,0,0,0,false,false
44,-0.961053335778695,-0.0000501331517910094,-0.158045439175615,0,0,0,false,false
45,-0.959020010937254,0.00873956351844857,-0.15936280901928,0,0,0,false,false
46,-0.960541342460081,0.00810588362349385,-0.159239080426424,0,0,0,false,false
47,-0.960737825865934,0.00487719935203752,-0.156275631926733,0,0,0,false,false
48,-0.960693359375,0.00145795126249918,-0.159165426105494,0,0,0,false,false
49,-0.962253525884039,-0.0028902427148619,-0.160821288439906,0,0,0,false,false
50,-0.963968226275546,-0.000448062264466355,-0.159304721749382,0,0,0,false,false
51,-0.963518233624699,-0.00212763732595371,-0.161307924876203,0,0,0,false,false
52,-0.964010704378552,-0.00989308956434766,-0.161732890534451,0,0,0,false,false
53,-0.965151071081817,-0.0205281939613973,-0.159915117330707,0,0,0,false,false
54,-0.967430222878293,-0.0253460205820434,-0.155700290960486,0,0,0,false,false
55,-0.9739713088963,-0.0296798705887642,-0.152403991291769,0,0,0,false,false
56,-0.976223512792728,-0.0362576958534001,-0.151187315384281,0,0,0,false,false
57,-0.974324324049673,-0.0439929352165417,-0.149275496306608,0,0,0,false,false
58,-0.971758517808152,-0.0435595556700972,-0.147676349242914,0,0,0,false,false
59,-0.971280053114737,-0.0421156753302841,-0.147309475702233,0,0,0,false,false
60,-0.969809263884556,-0.0431494788009455,-0.144711219078507,0,0,0,false,false
61,-0.966735243553603,-0.0390311923119264,-0.142934732909762,0,0,0,false,false
62,-0.964158757580336,-0.0337078326614687,-0.143782071749679,0,0,0,false,false
63,-0.960754435016692,-0.0292667556169546,-0.140164642575017,0,0,0,false,false
64,-0.957689680273823,-0.027271133084719,-0.1348670771708,0,0,0,false,false
65,-0.957056766060627,-0.0257592712843691,-0.13339117687982,0,0,0,false,false
66,-0.960825890437787,-0.0227080613920624,-0.130752390972038,0,0,0,false,false
67,-0.968449974267524,-0.0200526294023143,-0.128821676759198,0,0,0,false,false
68,-0.971202128415551,-0.0212837121807671,-0.128662109375,0,0,0,false,false
