Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.92431640625,-0.0238243984636952,-0.31944245508769,0,0,0,false,false
1,-0.923821055674841,-0.0263475884058046,-0.316430404352102,0,0,0,false,false
2,-0.922335827292887,-0.0281703644701075,-0.316162109375,0,0,0,false,false
3,-0.921599051796995,-0.0277766633333175,-0.316501156481673,0,0,0,false,false
4,-0.91910462841974,-0.0271388717439473,-0.316650390625,0,0,0,false,false
5,-0.917353091716677,-0.0286976761450988,-0.315104232211057,0,0,0,false,false
6,-0.919563718098158,-0.0298575717372168,-0.314799001716763,0,0,0,false,false
7,-0.924259720477562,-0.0305791203294134,-0.31494140625,0,0,0,false,false
8,-0.927060844614323,-0.0326929304943829,-0.31494140625,0,0,0,false,false
9,-0.928792652565208,-0.032319898344892,-0.315294696912043,0,0,0,false,false
10,-0.931236530844831,-0.0348282749477384,-0.314006760963631,0,0,0,false,false
11,-0.938805532384788,-0.035888671875,-0.315200571602858,0,0,0,false,false
12,-0.943696563547395,-0.0379355690059246,-0.316131395243762,0,0,0,false,false
13,-0.943066062517702,-0.0402977788046303,-0.31387266118349,0,0,0,false,false
14,-0.938674121915858,-0.0398120881327286,-0.312772983453592,0,0,0,false,false
15,-0.933065464569786,-0.0383911113070954,-0.314579787254084,0,0,0,false,false
16,-0.930815337624429,-0.0356768195787673,-0.314446531375654,0,0,0,false,false
17,-0.929398582229686,-0.03515625,-0.31460416211658,0,0,0,false,false
18,-0.929386217651039,-0.0348944571134713,-0.316698656055327,0,0,0,false,false
19,-0.928611089570074,-0.0336521593805942,-0.316586159856365,0,0,0,false,false
20,-0.925943254757172,-0.0297762607055008,-0.314370867422929,0,0,0,false,false
21,-0.920942963819124,-0.0300883304947596,-0.314727107653094,0,0,0,false,false
22,-0.921123512357019,-0.0309466462343849,-0.31494140625,0,0,0,false,false
23,-0.920424582053749,-0.029658868000249,-0.316480824964001,0,0,0,false,false
24,-0.92058092361051,-0.0300684275857815,-0.315841811593182,0,0,0,false,false
25,-0.92257236702485,-0.0317027257113048,-0.315068403399583,0,0,0,false,false
26,-0.925078199858192,-0.0321346908493138,-0.314631660030843,0,0,0,false,false
27,-0.926190280994466,-0.0365822315509112,-0.313032249030517,0,0,0,false,false
28,-0.926124822888883,-0.0374642155789494,-0.314269539698402,0,0,0,false,false
29,-0.925408944024774,-0.0357759486837949,-0.316061231905575,0,0,0,false,false
30,-0.927289448036367,-0.0315554649407763,-0.317088810238755,0,0,0,false,false
31,-0.927596418689311,-0.0312068862258406,-0.318855178370049,0,0,0,false,false
32,-0.925649891758007,-0.0298737475585169,-0.319091796875,0,0,0,false,false
33,-0.926103948016375,-0.0281347733174913,-0.32071443052266,0,0,0,false,false
34,-0.928011025851992,-0.0271722719324778,-0.319265810211518,0,0,0,false,false
35,-0.927813038135936,-0.029466947923043,-0.317286331218497,0,0,0,false,false
36,-0.928763996704509,-0.0335554040201973,-0.318786066602214,0,0,0,false,false
37,-0.926678517383076,-0.0350780857220892,-0.319091796875,0,0,0,false,false
38,-0.92721034281926,-0.0326645533638632,-0.320960569352103,0,0,0,false,false
39,-0.927938024850123,-0.0359662301658134,-0.319396498372584,0,0,0,false,false
40,-0.926683882540445,-0.037772330629203,-0.317949925438663,0,0,0,false,false
41,-0.925375127102967,-0.0355237493259971,-0.318523081048065,0,0,0,false,false
42,-0.926985605008552,-0.0364680963446765,-0.321019920296113,0,0,0,false,false
43,-0.926396657869637,-0.0377109277356251,-0.320475191950973,0,0,0,false,false
44,-0.928042095582623,-0.0380700222748453,-0.31680063883582,0,0,0,false,false
45,-0.931091614470355,-0.0380859375,-0.317175677056385,0,0,0,false,false
46,-0.933225022423939,-0.0391617043001381,-0.317750496608358,0,0,0,false,false
47,-0.930593369056319,-0.0382271517413462,-0.318757724590046,0,0,0,false,false
48,-0.926421940132175,-0.0396037308554502,-0.318121875689596,0,0,0,false,false
49,-0.925651800949556,-0.037024833228979,-0.316746847614025,0,0,0,false,false
50,-0.924630816051613,-0.036440146392165,-0.316650390625,0,0,0,false,false
51,-0.922174048143743,-0.0354798630139359,-0.318668303281206,0,0,0,false,false
