Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.899587088328831,0.144209515478315,-0.324314642741965,0,0,0,false,false
1,-0.903555063447709,0.144904131857391,-0.32220011188275,0,0,0,false,false
2,-0.90478515625,0.145938688961986,-0.321434161858048,0,0,0,false,false
3,-0.90478515625,0.144928404122308,-0.32273198507407,0,0,0,false,false
4,-0.90527080527234,0.146240234375,-0.323222978319848,0,0,0,false,false
5,-0.905761440116142,0.145425967901904,-0.320578550873304,0,0,0,false,false
6,-0.905225398090646,0.143844825765853,-0.31707142260324,0,0,0,false,false
7,-0.908072095046787,0.144315161124971,-0.315582435895839,0,0,0,false,false
8,-0.909164646158549,0.14578655600688,-0.318189408969526,0,0,0,false,false
9,-0.90905533598972,0.146643922659254,-0.319294975175594,0,0,0,false,false
10,-0.911178440141915,0.146907535142931,-0.32026568015575,0,0,0,false,false
11,-0.909996738741737,0.149143882296807,-0.322688104454826,0,0,0,false,false
12,-0.904533183319665,0.150095194169832,-0.324016193551306,0,0,0,false,false
13,-0.901204909227561,0.149667906732693,-0.32415467458904,0,0,0,false,false
14,-0.898088497811652,0.148791493208253,-0.323892188247199,0,0,0,false,false
15,-0.896928469044694,0.147830913414708,-0.323135478562951,0,0,0,false,false
16,-0.898978100288455,0.146214730728826,-0.322498929700256,0,0,0,false,false
17,-0.900900339147616,0.14512740838428,-0.323095614411342,0,0,0,false,false
18,-0.903448034710362,0.14599262069528,-0.324406702060203,0,0,0,false,false
19,-0.906624137738215,0.147678672575959,-0.326120862667501,0,0,0,false,false
20,-0.908856820235519,0.150447283482838,-0.32551563967226,0,0,0,false,false
21,-0.910593200829853,0.155276920325711,-0.324306706201266,0,0,0,false,false
22,-0.910833919798645,0.157715953174797,-0.322893545578937,0,0,0,false,false
23,-0.908947420919381,0.158345818917564,-0.322221350625555,0,0,0,false,false
24,-0.905669205430997,0.159342767853385,-0.32325790075705,0,0,0,false,false
25,-0.902316867842566,0.159278021764789,-0.323048061525881,0,0,0,false,false
26,-0.899827667437238,0.159084007041255,-0.323002029771053,0,0,0,false,false
27,-0.898045770485379,0.160245182620206,-0.324462890625,0,0,0,false,false
28,-0.897164942679558,0.161042178885854,-0.324408297674711,0,0,0,false,false
29,-0.897640239229648,0.162274379148753,-0.323556534392527,0,0,0,false,false
30,-0.900385058085038,0.162841796875,-0.323464300940514,0,0,0,false,false
31,-0.900958330680635,0.163250653694365,-0.323845721366771,0,0,0,false,false
32,-0.900698967602967,0.163612797639688,-0.321541037723694,0,0,0,false,false
33,-0.900628739609517,0.164056951776264,-0.32080078125,0,0,0,false,false
34,-0.898028335075185,0.163946070635088,-0.320276923630458,0,0,0,false,false
35,-0.896562489528773,0.161533319753129,-0.319685581625998,0,0,0,false,false
36,-0.897348684557529,0.161010797298738,-0.318761858567063,0,0,0,false,false
37,-0.900354487835612,0.160705153385936,-0.31750139855471,0,0,0,false,false
38,-0.903625711256325,0.160029913521992,-0.319281785858574,0,0,0,false,false
39,-0.906447839311303,0.158378104036968,-0.320372303875374,0,0,0,false,false
40,-0.907829387805681,0.158443651625632,-0.317860719143693,0,0,0,false,false
41,-0.907958029009594,0.161755308404642,-0.316075138567105,0,0,0,false,false
42,-0.90710871325467,0.165179933170688,-0.31591796875,0,0,0,false,false
43,-0.906538409289047,0.16650390625,-0.316041783470421,0,0,0,false,false
44,-0.904827326417131,0.16650390625,-0.317857715002973,0,0,0,false,false
45,-0.901080558378737,0.168102521516122,-0.320772559179088,0,0,0,false,false
46,-0.89853349945471,0.170436490088044,-0.321204055991438,0,0,0,false,false
47,-0.897412309995992,0.170944209710397,-0.320950775128732,0,0,0,false,false
48,-0.897058547064287,0.172295685431537,-0.319793649283372,0,0,0,false,false
49,-0.897558120454474,0.17475517004429,-0.318361714322335,0,0,0,false,false
50,-0.897605153345949,0.177514021457969,-0.317127124749949,0,0,0,false,false
51,-0.898038068781574,0.177401384343426,-0.315988405410034,0,0,0,false,false
52,-0.898453003869172,0.17626953125,-0.316515400421523,0,0,0,false,false
53,-0.898201023818447,0.174851329106981,-0.31677744954672,0,0,0,false,false
54,-0.900554955257214,0.172728737110147,-0.316882712505673,0,0,0,false,false
55,-0.901734384273026,0.170758473246655,-0.319701650708966,0,0,0,false,false
