Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.986517772281053,0.218725589812651,-0.205768411609483,0,0,0,false,false
1,-0.983681780946217,0.219708453741425,-0.196318740577853,0,0,0,false,false
2,-0.983898024153135,0.2163850078466,-0.190914215533132,0,0,0,false,false
3,-0.989773454424149,0.210351194178516,-0.197273630692041,0,0,0,false,false
4,-0.995473747400465,0.201618131569645,-0.214919417478442,0,0,0,false,false
5,-1.00707002742759,0.199292404044573,-0.238244992275972,0,0,0,false,false
6,-1.01383759636345,0.207106919729504,-0.26175386729791,0,0,0,false,false
7,-1.01133974729757,0.215118544841143,-0.267037652271003,0,0,0,false,false
8,-1.0057877918595,0.215145615449681,-0.271999749787534,0,0,0,false,false
9,-0.987379292634593,0.215857218491957,-0.282046239883349,0,0,0,false,false
10,-0.959327170690754,0.226140343708122,-0.274240646853859,0,0,0,false,false
11,-0.93819186029721,0.245434111613454,-0.261822603280214,0,0,0,false,false
12,-0.938293987698598,0.260241052076537,-0.260408837476015,0,0,0,false,false
13,-0.950000162127218,0.267604592421834,-0.253093375420069,0,0,0,false,false
14,-0.972389659909737,0.265249677447701,-0.256609655594396,0,0,0,false,false
15,-0.998603855248942,0.254264652222073,-0.291499816660097,0,0,0,false,false
16,-1.01668294638659,0.227685219638893,-0.332564319613452,0,0,0,false,false
17,-1.0132839537571,0.191190520171479,-0.359003223274481,0,0,0,false,false
18,-0.990143969093612,0.160848528237309,-0.362008475320644,0,0,0,false,false
19,-0.948227061218087,0.141878763481125,-0.350684635151363,0,0,0,false,false
20,-0.899376080277662,0.126126401831953,-0.315816069822763,0,0,0,false,false
21,-0.855856561754773,0.113969032544955,-0.271061135284134,0,0,0,false,false
22,-0.821711470966273,0.0994305980881562,-0.21353756733898,0,0,0,false,false
23,-0.816531249930824,0.0840484051789807,-0.163632309898097,0,0,0,false,false
24,-0.834402626462797,0.0653052094353177,-0.139853165528959,0,0,0,false,false
25,-0.880270321466979,0.0422119064251979,-0.137029319706432,0,0,0,false,false
26,-0.932892261570567,0.0187997714552138,-0.14098265536094,0,0,0,false,false
27,-0.989447547029446,0.0105361744479323,-0.157823410829308,0,0,0,false,false
28,-1.06341165709678,0.0191693458856539,-0.185674835958548,0,0,0,false,false
29,-1.10374557802713,0.0268133761222571,-0.176499556445066,0,0,0,false,false
30,-1.08050615831286,0.0333653739210993,-0.133839774373824,0,0,0,false,false
31,-1.041253567875,0.0321080691518853,-0.126449728726339,0,0,0,false,false
32,-1.04714877594115,0.00978511845440566,-0.142091642202183,0,0,0,false,false
33,-1.05210014638461,-0.0349387856361458,-0.158988248356973,0,0,0,false,false
34,-1.05061946834783,-0.0652609264723436,-0.155764655043486,0,0,0,false,false
35,-1.05866132064285,-0.0579380608751981,-0.17289256175779,0,0,0,false,false
36,-1.05663821642284,-0.0273165468721017,-0.17925427255637,0,0,0,false,false
37,-1.03480932139706,0.00982183639139635,-0.165683230442771,0,0,0,false,false
38,-1.01110054750678,0.0401331368149203,-0.138338209814696,0,0,0,false,false
39,-0.993035096310706,0.0541784857737265,-0.104214933750007,0,0,0,false,false
40,-0.99291128569576,0.0545009514513085,-0.094174151020023,0,0,0,false,false
41,-0.994349553202192,0.0481656580257821,-0.10961746567784,0,0,0,false,false
42,-0.980726777129739,0.0414537615104602,-0.124740323104357,0,0,0,false,false
43,-0.969696707605888,0.0423981160830749,-0.120969772338867,0,0,0,false,false
44,-0.976761118995218,0.0510352643997491,-0.122397574552694,0,0,0,false,false
45,-0.97910608155971,0.0516431395487539,-0.126681458932766,0,0,0,false,false
46,-0.972450777299743,0.0469643369153661,-0.12975367827525,0,0,0,false,false
47,-0.974510212089664,0.0360491360352233,-0.138134840093596,0,0,0,false,false
48,-0.97716419707327,0.0240828155623868,-0.144035134479881,0,0,0,false,false
49,-0.977483779436721,0.0154361549145,-0.147410375553771,0,0,0,false,false
50,-0.974171841280872,0.00804620134562448,-0.154182120105813,0,0,0,false,false
51,-0.965538786232443,0.00811691532918857,-0.154520276006399,0,0,0,false,false
52,-0.966219807447157,0.0137166021854678,-0.15127553799307,0,0,0,false,false
53,-0.964950495578957,0.0193170476258583,-0.147722623770988,0,0,0,false,false
54,-0.955681609001872,0.02089750007074,-0.147501237686215,0,0,0,false,false
55,-0.945586885443945,0.0189680954313732,-0.152982962713009,0,0,0,false,false
56,-0.939075367362828,0.0161740557782475,-0.152634574620013,0,0,0,false,false
57,-0.935664209602079,0.0119217479132414,-0.140798588009628,0,0,0,false,false
58,-0.926561619482345,0.0107263737066751,-0.141291396292581,0,0,0,false,false
59,-0.919883104226499,0.0162142010472744,-0.144216018293934,0,0,0,false,false
60,-0.924065291803155,0.0207242129527488,-0.137139283396968,0,0,0,false,false
61,-0.932295553333392,0.0248822351455097,-0.122760081364712,0,0,0,false,false
62,-0.937107565144211,0.0309642646120851,-0.121419841338357,0,0,0,false,false
63,-0.946765856428831,0.0387100029066934,-0.127233294652302,0,0,0,false,false
64,-0.971990318208265,0.0456476205125852,-0.131364842587822,0,0,0,false,false
65,-1.00480059363666,0.0447119034028641,-0.129591652091449,0,0,0,false,false
66,-1.03009088446786,0.0413500640825755,-0.120277445207718,0,0,0,false,false
67,-1.05934042563022,0.0386373224580088,-0.111286263521223,0,0,0,false,false
68,-1.09457794455477,0.0328148875757084,-0.0964204764788314,0,0,0,false,false
69,-1.11562800099785,0.0224185009846124,-0.0832202414739306,0,0,0,false,false
70,-1.11803548041273,0.0161823628683804,-0.0861756963106163,0,0,0,false,false
71,-1.10460741045486,0.0181252327992386,-0.092186981358157,0,0,0,false,false
72,-1.07622936189116,0.0297923922216007,-0.0876708065903526,0,0,0,false,false
73,-1.05406571215031,0.0488478928678074,-0.0709676070200282,0,0,0,false,false
74,-1.03519219279842,0.0603074411293491,-0.0534312134952835,0,0,0,false,false
75,-1.00650895056201,0.0648478451575428,-0.0476647262019234,0,0,0,false,false
76,-0.972438150843998,0.0738305084062245,-0.0505216202853575,0,0,0,false,false
77,-0.962297549107298,0.0913461660554267,-0.0683696359212798,0,0,0,false,false
78,-0.96682840919259,0.0959667347375685,-0.0878875292168338,0,0,0,false,false
79,-0.982313154364328,0.0829398545372382,-0.089909524860232,0,0,0,false,false
80,-0.994479851419253,0.0682445812855514,-0.0944955457360551,0,0,0,false,false
81,-1.00694053364855,0.0668758205172445,-0.130944702683955,0,0,0,false,false
82,-1.01031914939844,0.0938640244779048,-0.347997361811225,0,0,0,false,false
83,-1.27207206357849,0.287652806298938,-1.33337419041854,0,0,0,false,false
84,-2.47998676474868,0.952811168367321,-1.70781143058299,0,0,0,false,false
85,-2.15960932008988,1.15373967992854,-0.568429939337586,0,0,0,false,false
86,-0.609221602874078,0.873573215519377,0.111858758076625,0,0,0,false,false
87,-0.59630402447611,0.830224357579549,0.105570932419986,0,0,0,false,false
88,-0.779270733468128,0.587239984609377,-0.00707898107255655,0,0,0,false,false
89,-0.779676609039749,0.0721914574522353,-0.145299283605825,0,0,0,false,false
90,-0.700862084255252,-0.124673297802332,-0.380209093650943,0,0,0,false,false
91,-0.593551362188725,-0.21490957204292,-0.417858096157426,0,0,0,false,false
92,-0.473807003288106,-0.241812187099949,-0.268916583613234,0,0,0,false,false
93,-0.387378397214163,-0.217909997999894,-0.122528464628694,0,0,0,false,false
94,-0.339912213809369,-0.236002009702647,-0.0234119618831115,0,0,0,false,false
95,-0.337105799617459,-0.24034983737761,-0.000282435456597453,0,0,0,false,false
96,-0.380850671422037,-0.212064547944851,-0.0376654715007405,0,0,0,false,false
97,-0.469991042945915,-0.1927832389764,-0.132182309254315,0,0,0,false,false
98,-0.719894029118345,-0.188226478576642,-0.287607162074234,0,0,0,false,false
99,-1.68096898242887,-0.172824749006259,-0.432244986633101,0,0,0,false,false
100,-2.24701761593188,-0.036561032097894,-0.38099109794396,0,0,0,false,false
101,-1.34324537279945,0.260193327156056,-0.131194478127529,0,0,0,false,false
