Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.931647445294724,-0.0691166562532326,-0.334446596056116,0,0,0,false,false
1,-0.934625117495463,-0.0664206465984782,-0.333082391792097,0,0,0,false,false
2,-0.936564924599102,-0.0654296875,-0.332731444075408,0,0,0,false,false
3,-0.936720816374391,-0.0650153413522147,-0.334216840469749,0,0,0,false,false
4,-0.933499260008133,-0.0637797927542611,-0.333988593790341,0,0,0,false,false
5,-0.931790786381598,-0.0635464263902059,-0.330710808407612,0,0,0,false,false
6,-0.93147934160768,-0.0613073102887607,-0.330275703460466,0,0,0,false,false
7,-0.932028216220961,-0.0602377607909211,-0.329954066795446,0,0,0,false,false
8,-0.932611532683204,-0.0598419017759965,-0.333253255551237,0,0,0,false,false
9,-0.934000149193653,-0.0606022999355436,-0.337762431565062,0,0,0,false,false
10,-0.934819724594573,-0.0629339672452926,-0.341260224513608,0,0,0,false,false
11,-0.933012659735956,-0.0634765625,-0.341737660774625,0,0,0,false,false
12,-0.932511056153687,-0.062692385568601,-0.339140292496017,0,0,0,false,false
13,-0.930611703086124,-0.0607553623215377,-0.339595360962359,0,0,0,false,false
14,-0.929591811819507,-0.0633546762224771,-0.341240742269686,0,0,0,false,false
15,-0.929331031196756,-0.0629582098208334,-0.342254430680084,0,0,0,false,false
16,-0.928579716885206,-0.0599913085168388,-0.341690368165302,0,0,0,false,false
17,-0.928005641267038,-0.0579485476157985,-0.343017578125,0,0,0,false,false
18,-0.928631225810936,-0.0549873231942124,-0.343341065909406,0,0,0,false,false
19,-0.926518232217558,-0.0538644909612989,-0.344456066078304,0,0,0,false,false
20,-0.92517529784216,-0.0533855622662573,-0.343882593299593,0,0,0,false,false
21,-0.923611938987516,-0.052937993522293,-0.342188689528147,0,0,0,false,false
22,-0.922591527964654,-0.0572157678898703,-0.34134436560594,0,0,0,false,false
23,-0.924167808221272,-0.0602788552663027,-0.340077299389896,0,0,0,false,false
24,-0.922108718887963,-0.0593941879654515,-0.338215132718247,0,0,0,false,false
25,-0.919759721981606,-0.0566216703301952,-0.339762999106873,0,0,0,false,false
26,-0.921193457775162,-0.0556907438001693,-0.341960791862853,0,0,0,false,false
27,-0.923138469642292,-0.0537229833564433,-0.339313154649544,0,0,0,false,false
28,-0.922664582648929,-0.0523621562192977,-0.337940841899822,0,0,0,false,false
29,-0.923769963075989,-0.052308248969094,-0.337870069299702,0,0,0,false,false
30,-0.922990756074619,-0.0541961901931193,-0.335970528477224,0,0,0,false,false
31,-0.922241926721934,-0.0540557213275757,-0.335599259936395,0,0,0,false,false
32,-0.923619091443802,-0.0570589364297722,-0.338128316955588,0,0,0,false,false
33,-0.924464979250594,-0.0550359379135712,-0.338585554096132,0,0,0,false,false
34,-0.923144624862428,-0.0549235122672286,-0.336444500178158,0,0,0,false,false
35,-0.924032431735876,-0.0562167419542264,-0.334205438241978,0,0,0,false,false
36,-0.926731696658984,-0.0539243437917108,-0.332103190105289,0,0,0,false,false
37,-0.929785795643822,-0.057509385337264,-0.334533143587848,0,0,0,false,false
38,-0.933921918265755,-0.0586606341892107,-0.335982709857204,0,0,0,false,false
39,-0.935166415485513,-0.0573027477490981,-0.336193568958834,0,0,0,false,false
40,-0.932284439808109,-0.0590325034342547,-0.335269663759796,0,0,0,false,false
41,-0.93189295731244,-0.0582448425605511,-0.335811686676833,0,0,0,false,false
42,-0.930139714670569,-0.0565594085610837,-0.336657363476144,0,0,0,false,false
43,-0.927564254639405,-0.0545077322609849,-0.338044823532724,0,0,0,false,false
44,-0.925714975338734,-0.0506923225745568,-0.337824350338734,0,0,0,false,false
45,-0.92616090242698,-0.0502907110087575,-0.338623046875,0,0,0,false,false
46,-0.924778518111228,-0.0486001732738658,-0.338361481391526,0,0,0,false,false
47,-0.925737655752754,-0.047607421875,-0.337245391619491,0,0,0,false,false
48,-0.925558982750153,-0.0474856265160616,-0.337603179514515,0,0,0,false,false
49,-0.925975824034553,-0.0463189286749263,-0.33757410044071,0,0,0,false,false
50,-0.927449084321113,-0.0460779447161104,-0.338282101028979,0,0,0,false,false
51,-0.929627870777285,-0.0480537595581261,-0.337478914240554,0,0,0,false,false
52,-0.931110265120895,-0.0480198770164192,-0.337561967073161,0,0,0,false,false
53,-0.931033536028993,-0.0484538776397363,-0.340072346943456,0,0,0,false,false
54,-0.932773298563026,-0.046630859375,-0.34122188887685,0,0,0,false,false
55,-0.934123219544362,-0.0465378448657682,-0.344012281729003,0,0,0,false,false
56,-0.931477016173801,-0.0457342807561924,-0.344646578618808,0,0,0,false,false
57,-0.930805974255391,-0.0455716619929922,-0.344688068074764,0,0,0,false,false
58,-0.929926819245137,-0.04638671875,-0.34326171875,0,0,0,false,false
59,-0.931025514054852,-0.0464659313457843,-0.342865655771079,0,0,0,false,false
60,-0.930042735756164,-0.0467540372364838,-0.340839039915388,0,0,0,false,false
61,-0.929327114125081,-0.0451969328758924,-0.341398126497903,0,0,0,false,false
62,-0.927456830497699,-0.0426868679837872,-0.342546812998718,0,0,0,false,false
63,-0.926267078728979,-0.040771484375,-0.339711015396063,0,0,0,false,false
64,-0.924842601806704,-0.0406482352440958,-0.337895565727796,0,0,0,false,false
65,-0.925784427514764,-0.0390868949512941,-0.340576171875,0,0,0,false,false
66,-0.927734375,-0.0380735569348252,-0.340878168851357,0,0,0,false,false
67,-0.927818498451504,-0.0401434884599756,-0.342960719078081,0,0,0,false,false
68,-0.92924281237648,-0.0413158244335679,-0.343197211535555,0,0,0,false,false
69,-0.931773327755673,-0.0419921875,-0.342128565587522,0,0,0,false,false
70,-0.93285375512759,-0.0422837098015542,-0.340837921322648,0,0,0,false,false
71,-0.933216928148159,-0.044373244975803,-0.341340226880997,0,0,0,false,false
72,-0.931834181519263,-0.044677734375,-0.341917895923949,0,0,0,false,false
73,-0.931206778451851,-0.0446428885368391,-0.338592241330306,0,0,0,false,false
74,-0.932396754578609,-0.0437046681510405,-0.33971421833091,0,0,0,false,false
75,-0.935732547665399,-0.0414265240323297,-0.337751211314659,0,0,0,false,false
