Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.98291015625,-0.0524771205739569,0.055327019340553,0,0,0,false,false
1,-0.983879103095368,-0.0543209437247985,0.05482068748498,0,0,0,false,false
2,-0.9854903442903,-0.0553018229961207,0.0537769555162662,0,0,0,false,false
3,-0.986078657453649,-0.0535298815761914,0.0537549332955585,0,0,0,false,false
4,-0.988519684828965,-0.0498993002990716,0.0526558887890227,0,0,0,false,false
5,-0.990982388371793,-0.048658071722147,0.0492010316292347,0,0,0,false,false
6,-0.990049685121615,-0.0472135497156486,0.0449244675671618,0,0,0,false,false
7,-0.989403173449233,-0.0480503430911931,0.0408394958477733,0,0,0,false,false
8,-0.989415732416359,-0.0507672279437064,0.0405580996447195,0,0,0,false,false
9,-0.988456863731196,-0.0521780281032919,0.0425885492409997,0,0,0,false,false
10,-0.98602779165647,-0.0543702351217625,0.0407267563453383,0,0,0,false,false
11,-0.985599146903071,-0.0541506427230041,0.0395018450829982,0,0,0,false,false
12,-0.986021162580324,-0.0536136073126306,0.0389085172158807,0,0,0,false,false
13,-0.985500537711394,-0.0536184570159984,0.0363000262150758,0,0,0,false,false
14,-0.984158836546117,-0.0530508703944731,0.0376422738348637,0,0,0,false,false
15,-0.984060733956458,-0.0501124710970878,0.0400597586967246,0,0,0,false,false
16,-0.986832479924505,-0.0489760204437626,0.0388042486873738,0,0,0,false,false
17,-0.987424979082091,-0.0487306626981778,0.0399145009566327,0,0,0,false,false
18,-0.984713866529138,-0.047818369108425,0.041259765625,0,0,0,false,false
19,-0.98130553380314,-0.0487383302914217,0.0432255291048482,0,0,0,false,false
20,-0.980657713616901,-0.0497549605131751,0.0450651530736402,0,0,0,false,false
21,-0.982232597352172,-0.0498046875,0.045166015625,0,0,0,false,false
22,-0.982760609636306,-0.0490569544315282,0.0457642020797774,0,0,0,false,false
23,-0.982961852581062,-0.0502685841846045,0.0444035437106511,0,0,0,false,false
24,-0.984863610717163,-0.0519003942141554,0.0430162102722062,0,0,0,false,false
25,-0.985502636693223,-0.0512498551142832,0.0432695892042867,0,0,0,false,false
26,-0.984768864678952,-0.0527386762578629,0.04345703125,0,0,0,false,false
27,-0.982770558916697,-0.050788712980634,0.0449648241758886,0,0,0,false,false
28,-0.982632228272557,-0.0517065863511949,0.0455954415682953,0,0,0,false,false
29,-0.981041817948595,-0.0531626624040966,0.0466233420988813,0,0,0,false,false
30,-0.978550075415785,-0.0514112813793049,0.046603996536569,0,0,0,false,false
31,-0.979183524847001,-0.0523013174533346,0.0478146523236681,0,0,0,false,false
32,-0.979126628352125,-0.0529638902814759,0.0482965745435614,0,0,0,false,false
33,-0.980403487560724,-0.0525486604556099,0.045914381074801,0,0,0,false,false
34,-0.983399281228778,-0.0529484034858919,0.0455201108542563,0,0,0,false,false
35,-0.983593740207893,-0.052923269257,0.0464314249555143,0,0,0,false,false
36,-0.98140371974454,-0.0509584608124087,0.0455567910909983,0,0,0,false,false
37,-0.979463968736105,-0.0496603473981221,0.0456890666314298,0,0,0,false,false
38,-0.980788102655173,-0.0518021948982802,0.0452185446568961,0,0,0,false,false
39,-0.981581711934303,-0.0540998954264754,0.0449860395538699,0,0,0,false,false
40,-0.981150651793588,-0.0550650465447915,0.0433136622045872,0,0,0,false,false
41,-0.980770040147179,-0.0557939040806424,0.0427776955026847,0,0,0,false,false
42,-0.981146423505875,-0.0552334796458273,0.045166933319743,0,0,0,false,false
43,-0.982947988646351,-0.0543082157645336,0.0440512152249831,0,0,0,false,false
