Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.9879635117315,0.0613002260910925,-0.164228606262529,0,0,0,false,false
1,-0.988995013326405,0.0622278715521074,-0.163414271844557,0,0,0,false,false
2,-0.988052213880033,0.0607966032496679,-0.159727224713228,0,0,0,false,false
3,-0.989654117633865,0.0616735520384636,-0.163069406445138,0,0,0,false,false
4,-0.991917493875,0.0661590873611639,-0.161238969113361,0,0,0,false,false
5,-0.989992938723098,0.0656074849965315,-0.1591116116255,0,0,0,false,false
6,-0.990225182140584,0.0634533069437992,-0.158461054914124,0,0,0,false,false
7,-0.989266064108987,0.0631925838232727,-0.159897669059273,0,0,0,false,false
8,-0.990234375,0.06103515625,-0.158213331594727,0,0,0,false,false
9,-0.990223692516857,0.0610450666886995,-0.15966665332373,0,0,0,false,false
10,-0.987742553429941,0.0635434077227206,-0.159427761618633,0,0,0,false,false
11,-0.986779539084556,0.0649929230941604,-0.161211702713146,0,0,0,false,false
12,-0.985548899557093,0.06640625,-0.16437006791179,0,0,0,false,false
13,-0.983354501940922,0.0664035687974769,-0.166061316260025,0,0,0,false,false
14,-0.981652533752069,0.064697265625,-0.168211729553623,0,0,0,false,false
15,-0.979469176472314,0.0646959131612644,-0.166986907884993,0,0,0,false,false
16,-0.9780285610547,0.0620121286170438,-0.166748165050951,0,0,0,false,false
17,-0.984143755545401,0.0639679575415534,-0.167236211016212,0,0,0,false,false
18,-0.986325377803961,0.0644523261101564,-0.164794929208992,0,0,0,false,false
19,-0.98998993814173,0.0666501824457777,-0.166015493428924,0,0,0,false,false
20,-0.989032404069327,0.065186174625,-0.164327411623435,0,0,0,false,false
21,-0.985109695465461,0.065424780765678,-0.162616525025857,0,0,0,false,false
22,-0.986561924747842,0.065917472509919,-0.161621830607294,0,0,0,false,false
23,-0.98681619478924,0.0656743156260803,-0.163813971865277,0,0,0,false,false
24,-0.98681640625,0.065673828125,-0.161707331681485,0,0,0,false,false
25,-0.987789255668767,0.0649768918817238,-0.157969470259213,0,0,0,false,false
26,-0.985362991283325,0.0634819168281769,-0.158885115141556,0,0,0,false,false
27,-0.988263952039832,0.064932757269916,-0.160578347226916,0,0,0,false,false
28,-0.987822979865217,0.0625177350366883,-0.161859755817901,0,0,0,false,false
29,-0.987123776463474,0.0641940146511034,-0.161139228095956,0,0,0,false,false
30,-0.983962100976803,0.0627598276923828,-0.164514178092773,0,0,0,false,false
31,-0.983401020843061,0.0637088383915774,-0.16411542827208,0,0,0,false,false
32,-0.983612028504198,0.0625171403589307,-0.161410889106637,0,0,0,false,false
33,-0.986142074482315,0.0638942743799924,-0.162097610463107,0,0,0,false,false
34,-0.988170782640837,0.06444855348667,-0.160431513588051,0,0,0,false,false
35,-0.98924643052852,0.0642139859553174,-0.162552642027144,0,0,0,false,false
36,-0.986395044921875,0.0665105874224505,-0.159585090929129,0,0,0,false,false
37,-0.987755748056478,0.0673734199652913,-0.158700280001726,0,0,0,false,false
38,-0.986895701602138,0.0664645934290632,-0.162015146121959,0,0,0,false,false
39,-0.986394859736373,0.0662014017456274,-0.160452098515474,0,0,0,false,false
40,-0.985234364116406,0.0646792247076328,-0.164102163933759,0,0,0,false,false
41,-0.984211837233488,0.0620765066309298,-0.1647873291811,0,0,0,false,false
42,-0.983653578421926,0.0643574520400159,-0.162683761913986,0,0,0,false,false
43,-0.985045318822402,0.0639855447675328,-0.163439825618181,0,0,0,false,false
44,-0.984010794420707,0.0646637817050549,-0.164414101322592,0,0,0,false,false
45,-0.983411539900659,0.064697265625,-0.165728483600971,0,0,0,false,false
46,-0.98594247830142,0.0644911633660112,-0.164615102192537,0,0,0,false,false
