Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.925666253133424,0.137951901949795,-0.309795458048667,0,0,0,false,false
1,-0.925373279545293,0.138591564204707,-0.311407618673415,0,0,0,false,false
2,-0.925943632198424,0.136741664406225,-0.309571447154728,0,0,0,false,false
3,-0.924267130489634,0.134869062300444,-0.312353098738958,0,0,0,false,false
4,-0.919866169951006,0.135413205913583,-0.312404191094266,0,0,0,false,false
5,-0.919263148684126,0.134836904344748,-0.311153429335383,0,0,0,false,false
6,-0.91465904611772,0.131658716712948,-0.3113515879493,0,0,0,false,false
7,-0.9140625,0.130369567971695,-0.314557094640691,0,0,0,false,false
8,-0.910507150335248,0.128500273523894,-0.31463395991064,0,0,0,false,false
9,-0.906708202651944,0.125259308125315,-0.309729063459775,0,0,0,false,false
10,-0.905393493957619,0.123846559081921,-0.309428274701622,0,0,0,false,false
11,-0.905100941188332,0.125052106056168,-0.310230026641159,0,0,0,false,false
12,-0.903954769049662,0.125244140625,-0.308821413533498,0,0,0,false,false
13,-0.90380859375,0.125876827263706,-0.309859123277411,0,0,0,false,false
14,-0.90380859375,0.125345634589211,-0.307745191410442,0,0,0,false,false
15,-0.905278911147953,0.127134548708083,-0.309263454958083,0,0,0,false,false
16,-0.905308063049914,0.12728961701756,-0.308522737124568,0,0,0,false,false
17,-0.906260946271647,0.126129272759835,-0.308975943772688,0,0,0,false,false
18,-0.906720266351175,0.124698363297779,-0.308768072128844,0,0,0,false,false
19,-0.905429937036223,0.121544402269339,-0.307502376590261,0,0,0,false,false
20,-0.904443186488681,0.120865973101053,-0.306032695959689,0,0,0,false,false
21,-0.903856688877448,0.121675784152013,-0.306940921596266,0,0,0,false,false
22,-0.905454888404589,0.121414598211353,-0.306808976688701,0,0,0,false,false
23,-0.90473694160009,0.12236266777491,-0.305965227432533,0,0,0,false,false
24,-0.905050254354006,0.122354267848099,-0.304173205492321,0,0,0,false,false
25,-0.905921088037173,0.122454700232786,-0.304362751619965,0,0,0,false,false
26,-0.905802450335132,0.124818348867935,-0.30314907614486,0,0,0,false,false
27,-0.906918673802005,0.125103643692624,-0.299940942157101,0,0,0,false,false
28,-0.909178936878405,0.123475267070232,-0.303192512011001,0,0,0,false,false
29,-0.908138667015924,0.122603630927857,-0.303955078125,0,0,0,false,false
30,-0.905141705816015,0.124801258074569,-0.302950512001537,0,0,0,false,false
31,-0.90541801572861,0.126020050392702,-0.304183956672763,0,0,0,false,false
32,-0.907021470619452,0.127024690562974,-0.305343440106493,0,0,0,false,false
33,-0.906829396510543,0.129551803991355,-0.303537722165224,0,0,0,false,false
34,-0.907847891033396,0.130679647219114,-0.301230406661666,0,0,0,false,false
35,-0.910334524976833,0.131493603157798,-0.303572820954852,0,0,0,false,false
36,-0.910053216205367,0.131461882238252,-0.305318084570126,0,0,0,false,false
37,-0.911089881385125,0.127787627232657,-0.304045854529854,0,0,0,false,false
38,-0.910558354763049,0.126953125,-0.30501633578298,0,0,0,false,false
39,-0.909434332563757,0.127148133777408,-0.305576802748589,0,0,0,false,false
40,-0.908696310442142,0.127197265625,-0.307245234999738,0,0,0,false,false
41,-0.907029957534642,0.127670697624185,-0.304326295708584,0,0,0,false,false
42,-0.906931163133491,0.128378815982206,-0.303938096265473,0,0,0,false,false
43,-0.905638051676,0.130973908738095,-0.30482103412186,0,0,0,false,false
44,-0.905829584743911,0.132904780894946,-0.304260694111623,0,0,0,false,false
45,-0.908442191272894,0.130191112588008,-0.30353173315381,0,0,0,false,false
46,-0.908935546875,0.12939453125,-0.306192886671709,0,0,0,false,false
47,-0.909509282356826,0.128258950645296,-0.307451673052925,0,0,0,false,false
48,-0.911061776174751,0.131838474499803,-0.308987107068621,0,0,0,false,false
49,-0.912768480358328,0.134922966034252,-0.307891450248739,0,0,0,false,false
50,-0.915145912440164,0.137517922627328,-0.305886313127915,0,0,0,false,false
51,-0.915269534329684,0.136389179371722,-0.3056640625,0,0,0,false,false
52,-0.913561436966461,0.131855095932723,-0.304744839114039,0,0,0,false,false
53,-0.912924765586535,0.129145210348098,-0.303316245556122,0,0,0,false,false
54,-0.91239746491095,0.130262756226627,-0.302360209160587,0,0,0,false,false
55,-0.911284821376735,0.132658231378776,-0.302614269918251,0,0,0,false,false
56,-0.910077426822209,0.133207820467672,-0.301817157356017,0,0,0,false,false
57,-0.910459846919439,0.134609744864799,-0.301909529196638,0,0,0,false,false
58,-0.909554898861758,0.134476388781378,-0.303440389104524,0,0,0,false,false
59,-0.910123528650266,0.132486481074253,-0.304574573418328,0,0,0,false,false
60,-0.911259024944616,0.134066976571532,-0.30342311007948,0,0,0,false,false
61,-0.909038744247282,0.1346460239326,-0.304057688953178,0,0,0,false,false
62,-0.908561098883245,0.133595615609045,-0.304058331224763,0,0,0,false,false
63,-0.907265687973918,0.134191855172551,-0.30238478432715,0,0,0,false,false
64,-0.908161352288472,0.133898427701696,-0.302949440766658,0,0,0,false,false
65,-0.907628082189218,0.13074722455994,-0.305573817050165,0,0,0,false,false
66,-0.9072265625,0.129670627898868,-0.30636359783979,0,0,0,false,false
67,-0.903895153978261,0.129886124194068,-0.303766425015733,0,0,0,false,false
68,-0.903463404046672,0.131058111458804,-0.302851758578543,0,0,0,false,false
69,-0.903429956049268,0.130149898332702,-0.303611129226687,0,0,0,false,false
70,-0.901955457958356,0.126863538969245,-0.304355150881473,0,0,0,false,false
71,-0.903179282842287,0.128122230299487,-0.303406162734371,0,0,0,false,false
72,-0.905860381636971,0.127186520825639,-0.303978507017504,0,0,0,false,false
73,-0.905906976758008,0.127054939676783,-0.307408297987935,0,0,0,false,false
74,-0.906481050212968,0.127717966959582,-0.309794704583589,0,0,0,false,false
75,-0.907413755853135,0.129359997442951,-0.307506334926699,0,0,0,false,false
76,-0.909160133087702,0.132092490825827,-0.310389624988225,0,0,0,false,false
77,-0.90966796875,0.131936359454707,-0.312464684035656,0,0,0,false,false
