Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.953125,0.078125,-0.296875,0,0,0,false,false
1,-0.953125,0.078125,-0.296875,0,0,0,false,false
2,-0.953125,0.078125,-0.296875,0,0,0,false,false
3,-0.953125,0.078125,-0.296875,0,0,0,false,false
4,-0.953125,0.078125,-0.296875,0,0,0,false,false
5,-0.953125,0.078125,-0.296875,0,0,0,false,false
6,-0.953125,0.078125,-0.296875,0,0,0,false,false
7,-0.953125,0.078125,-0.296875,0,0,0,false,false
8,-0.953125,0.078125,-0.296875,0,0,0,false,false
9,-0.953125,0.078125,-0.296875,0,0,0,false,false
10,-0.953125,0.078125,-0.296875,0,0,0,false,false
11,-0.953404634928633,0.078125,-0.296875,0,0,0,false,false
12,-0.96875,0.078125,-0.296875,0,0,0,false,false
13,-0.96875,0.078125,-0.296875,0,0,0,false,false
14,-0.96875,0.078125,-0.296875,0,0,0,false,false
15,-0.968723848666451,0.0780988486664507,-0.296875,0,0,0,false,false
16,-0.953125,0.0625,-0.296875,0,0,0,false,false
17,-0.953125,0.0625,-0.296875,0,0,0,false,false
18,-0.968736817206148,0.0781118172061485,-0.296875,0,0,0,false,false
19,-0.96875,0.0625461506832913,-0.296875,0,0,0,false,false
20,-0.953219649442233,0.078030350557767,-0.296875,0,0,0,false,false
21,-0.953125,0.078125,-0.312345674368443,0,0,0,false,false
22,-0.968510198645613,0.078125,-0.3125,0,0,0,false,false
23,-0.95345472933503,0.078125,-0.3125,0,0,0,false,false
24,-0.953125,0.0629467429924802,-0.3125,0,0,0,false,false
25,-0.953125,0.0775518479869535,-0.3125,0,0,0,false,false
26,-0.953125,0.078125,-0.3125,0,0,0,false,false
27,-0.953125,0.078125,-0.3125,0,0,0,false,false
28,-0.953125,0.078125,-0.3125,0,0,0,false,false
29,-0.967540432476819,0.078125,-0.3125,0,0,0,false,false
30,-0.954524709266767,0.078125,-0.3125,0,0,0,false,false
31,-0.953125,0.078125,-0.3125,0,0,0,false,false
32,-0.953125,0.078125,-0.3125,0,0,0,false,false
33,-0.953125,0.078125,-0.3125,0,0,0,false,false
34,-0.953125,0.078125,-0.3125,0,0,0,false,false
35,-0.953125,0.0650115278327674,-0.3125,0,0,0,false,false
36,-0.953125,0.0625,-0.3125,0,0,0,false,false
37,-0.953125,0.0625,-0.3125,0,0,0,false,false
38,-0.953125,0.0625,-0.3125,0,0,0,false,false
39,-0.953125,0.0625,-0.3125,0,0,0,false,false
40,-0.953125,0.0625,-0.3125,0,0,0,false,false
41,-0.953125,0.0625,-0.3125,0,0,0,false,false
42,-0.953125,0.0737184239258039,-0.3125,0,0,0,false,false
43,-0.953125,0.078125,-0.3125,0,0,0,false,false
44,-0.953125,0.078125,-0.301884345443984,0,0,0,false,false
45,-0.953125,0.078125,-0.307182398482279,0,0,0,false,false
46,-0.953125,0.078125,-0.3125,0,0,0,false,false
47,-0.953125,0.0684227012294345,-0.3125,0,0,0,false,false
48,-0.953125,0.0718840072910043,-0.3125,0,0,0,false,false
49,-0.9440744366575,0.0690744366575004,-0.3125,0,0,0,false,false
50,-0.946217498103765,0.0625,-0.3125,0,0,0,false,false
51,-0.953125,0.0625,-0.3125,0,0,0,false,false
52,-0.953125,0.0625,-0.320579580839184,0,0,0,false,false
53,-0.945382253640466,0.0625,-0.328125,0,0,0,false,false
54,-0.9375,0.0625,-0.32070762539294,0,0,0,false,false
55,-0.9375,0.0625,-0.3125,0,0,0,false,false
56,-0.9375,0.0625,-0.3125,0,0,0,false,false
57,-0.943969866916973,0.0689698669169727,-0.3125,0,0,0,false,false
58,-0.946975218658892,0.0719752186588921,-0.3125,0,0,0,false,false
59,-0.943322928647443,0.0683229286474427,-0.306677071352557,0,0,0,false,false
60,-0.953125,0.078125,-0.302392863032375,0,0,0,false,false
61,-0.953125,0.078125,-0.307292965006563,0,0,0,false,false
62,-0.953125,0.078125,-0.301775297494071,0,0,0,false,false
63,-0.957723152881243,0.078125,-0.3125,0,0,0,false,false
64,-0.964448896498083,0.078125,-0.3125,0,0,0,false,false
65,-0.953125,0.0741015767252253,-0.3125,0,0,0,false,false
66,-0.956849299831632,0.0662242998316317,-0.3125,0,0,0,false,false
67,-0.965304449765397,0.0746794497653972,-0.3125,0,0,0,false,false
68,-0.953125,0.0625,-0.3125,0,0,0,false,false
69,-0.953125,0.0625,-0.3125,0,0,0,false,false
70,-0.953125,0.0651539385595508,-0.315153938559551,0,0,0,false,false
71,-0.953125,0.078125,-0.325718378470238,0,0,0,false,false
72,-0.955293418509195,0.078125,-0.314668418509195,0,0,0,false,false
73,-0.966810168155184,0.078125,-0.328125,0,0,0,false,false
74,-0.953125,0.0764036361164101,-0.328125,0,0,0,false,false
75,-0.953125,0.0625,-0.326596999757942,0,0,0,false,false
76,-0.953125,0.0638304655402031,-0.3125,0,0,0,false,false
77,-0.953125,0.0769826062379399,-0.31364239376206,0,0,0,false,false
78,-0.953125,0.0625,-0.328125,0,0,0,false,false
79,-0.953125,0.0625,-0.328125,0,0,0,false,false
80,-0.953125,0.0625,-0.328125,0,0,0,false,false
81,-0.953125,0.0630266869020519,-0.328125,0,0,0,false,false
82,-0.953125,0.078125,-0.327718773422599,0,0,0,false,false
83,-0.953125,0.078125,-0.3125,0,0,0,false,false
84,-0.953125,0.078125,-0.312703729277021,0,0,0,false,false
85,-0.953125,0.078125,-0.328125,0,0,0,false,false
86,-0.953125,0.078125,-0.328049551812433,0,0,0,false,false
87,-0.953125,0.078125,-0.312533031052125,0,0,0,false,false
88,-0.953125,0.078125,-0.328125,0,0,0,false,false
89,-0.953125,0.078125,-0.328125,0,0,0,false,false
90,-0.953125,0.078125,-0.312510256892135,0,0,0,false,false
91,-0.953125,0.078125,-0.328086945539248,0,0,0,false,false
92,-0.953125,0.078125,-0.31258287568524,0,0,0,false,false
93,-0.953125,0.0626442384776486,-0.3125,0,0,0,false,false
94,-0.953125,0.0625,-0.3125,0,0,0,false,false
95,-0.953125,0.0625,-0.3125,0,0,0,false,false
96,-0.953125,0.077702447207259,-0.3125,0,0,0,false,false
97,-0.953125,0.078125,-0.3125,0,0,0,false,false
98,-0.953125,0.078125,-0.3125,0,0,0,false,false
99,-0.953125,0.0633285349985101,-0.3125,0,0,0,false,false
100,-0.953125,0.077130255218806,-0.3125,0,0,0,false,false
101,-0.953125,0.078125,-0.3125,0,0,0,false,false
102,-0.953125,0.078125,-0.3125,0,0,0,false,false
103,-0.953125,0.078125,-0.326567863694994,0,0,0,false,false
104,-0.953125,0.078125,-0.314251935040509,0,0,0,false,false
105,-0.953125,0.078125,-0.3125,0,0,0,false,false
106,-0.953125,0.078125,-0.3125,0,0,0,false,false
107,-0.953125,0.078125,-0.3125,0,0,0,false,false
108,-0.940203281849993,0.078125,-0.3125,0,0,0,false,false
109,-0.95019137611613,0.078125,-0.3125,0,0,0,false,false
110,-0.953125,0.078125,-0.3125,0,0,0,false,false
111,-0.953125,0.0659849483453361,-0.3125,0,0,0,false,false
112,-0.953125,0.0743465735968489,-0.300653426403151,0,0,0,false,false
113,-0.953125,0.0665578238080966,-0.308442176191903,0,0,0,false,false
114,-0.953125,0.0737891025768676,-0.3125,0,0,0,false,false
115,-0.953125,0.078125,-0.3125,0,0,0,false,false
116,-0.953125,0.0674302147299178,-0.3125,0,0,0,false,false
117,-0.953125,0.072882385372172,-0.3125,0,0,0,false,false
118,-0.953125,0.078125,-0.3125,0,0,0,false,false
119,-0.953125,0.078125,-0.3125,0,0,0,false,false
120,-0.953125,0.078125,-0.3125,0,0,0,false,false
121,-0.953125,0.078125,-0.3125,0,0,0,false,false
122,-0.953125,0.078125,-0.3125,0,0,0,false,false
123,-0.953125,0.0696743504560494,-0.3125,0,0,0,false,false
124,-0.953125,0.0706498880837807,-0.3125,0,0,0,false,false
125,-0.953125,0.078125,-0.3125,0,0,0,false,false
126,-0.953125,0.078125,-0.3125,0,0,0,false,false
127,-0.953125,0.078125,-0.3125,0,0,0,false,false
128,-0.953125,0.078125,-0.3125,0,0,0,false,false
129,-0.953125,0.078125,-0.3125,0,0,0,false,false
130,-0.953125,0.0719068292639011,-0.3125,0,0,0,false,false
131,-0.953125,0.068400072762639,-0.3125,0,0,0,false,false
132,-0.953125,0.078125,-0.3125,0,0,0,false,false
133,-0.953125,0.078125,-0.3125,0,0,0,false,false
134,-0.953125,0.078125,-0.3125,0,0,0,false,false
135,-0.953125,0.078125,-0.3125,0,0,0,false,false
136,-0.953125,0.078125,-0.3125,0,0,0,false,false
137,-0.953125,0.078125,-0.3125,0,0,0,false,false
138,-0.953125,0.078125,-0.3125,0,0,0,false,false
139,-0.953125,0.078125,-0.3125,0,0,0,false,false
140,-0.953125,0.078125,-0.3125,0,0,0,false,false
141,-0.953125,0.0751592187302088,-0.3125,0,0,0,false,false
142,-0.953125,0.065208072577912,-0.3125,0,0,0,false,false
143,-0.953125,0.075648624494142,-0.3125,0,0,0,false,false
144,-0.953125,0.0647355172227621,-0.3125,0,0,0,false,false
145,-0.953125,0.078125,-0.3125,0,0,0,false,false
146,-0.954904477156584,0.078125,-0.3125,0,0,0,false,false
