Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.966042151472193,-0.0627333798924192,-0.271234658961798,0,0,0,false,false
1,-0.963136553168569,-0.0601282769382541,-0.270509357258658,0,0,0,false,false
2,-0.96337890625,-0.0559096910045353,-0.271047449266352,0,0,0,false,false
3,-0.963384841181957,-0.0564545686403951,-0.27436466936156,0,0,0,false,false
4,-0.964942964394169,-0.0596090022767815,-0.27892709998416,0,0,0,false,false
5,-0.967569526688308,-0.0601015272593488,-0.280568394347668,0,0,0,false,false
6,-0.968005700526113,-0.0615206450801799,-0.281242553547146,0,0,0,false,false
7,-0.965754603417761,-0.0607384164403718,-0.279165524827727,0,0,0,false,false
8,-0.964850081033458,-0.0593277546333645,-0.275196296266048,0,0,0,false,false
9,-0.965812768169666,-0.0595475098320045,-0.271127719117769,0,0,0,false,false
10,-0.963752751695007,-0.0559139611821405,-0.269537604427085,0,0,0,false,false
11,-0.961187771233674,-0.0574606788580192,-0.271353458621265,0,0,0,false,false
12,-0.962717222869552,-0.0595694591643542,-0.274401831629776,0,0,0,false,false
13,-0.964098278650032,-0.0593112001916824,-0.271351280117605,0,0,0,false,false
14,-0.960514024434753,-0.0588049141569342,-0.268430302105811,0,0,0,false,false
15,-0.956547509048705,-0.0575402632776791,-0.266128725905256,0,0,0,false,false
16,-0.957548611161946,-0.0554014641347022,-0.26936528829004,0,0,0,false,false
17,-0.9580078125,-0.0551593946570396,-0.270481212750533,0,0,0,false,false
18,-0.958042421552964,-0.0543851763098873,-0.264241957956452,0,0,0,false,false
19,-0.96434017840294,-0.051409292115866,-0.261740608653604,0,0,0,false,false
20,-0.961670417096165,-0.0495269582416182,-0.267015036320739,0,0,0,false,false
21,-0.961961721603892,-0.0490881758969163,-0.270095902504258,0,0,0,false,false
22,-0.967274249656681,-0.0519971057501916,-0.271232448383683,0,0,0,false,false
23,-0.965087890625,-0.0510345488999663,-0.269514563208489,0,0,0,false,false
24,-0.965098057040324,-0.0538227760591894,-0.26926032417372,0,0,0,false,false
25,-0.967038778938017,-0.0561511436334319,-0.266767210622519,0,0,0,false,false
26,-0.966270612073529,-0.0556259099839659,-0.265385476358058,0,0,0,false,false
27,-0.965043052432882,-0.0537317139237617,-0.266338953942767,0,0,0,false,false
28,-0.964112477803531,-0.0581010314984551,-0.262454620910594,0,0,0,false,false
29,-0.964351229424892,-0.056299486175323,-0.263179605519651,0,0,0,false,false
30,-0.962551204007285,-0.0526333261941553,-0.261649267489398,0,0,0,false,false
31,-0.958830576499146,-0.05078125,-0.259405541310526,0,0,0,false,false
32,-0.955060771355012,-0.0507945681079719,-0.255879060966644,0,0,0,false,false
33,-0.954824579424869,-0.0545191042302359,-0.260243020172187,0,0,0,false,false
34,-0.954592116411806,-0.0559782084440083,-0.257570632036806,0,0,0,false,false
35,-0.955619394152625,-0.0581474191975836,-0.258600972186398,0,0,0,false,false
36,-0.957878211552661,-0.0588343976350062,-0.260770730542219,0,0,0,false,false
37,-0.96260187348994,-0.0575769511441162,-0.261258183919553,0,0,0,false,false
38,-0.968537120312793,-0.056640625,-0.26277489055643,0,0,0,false,false
39,-0.969026805665686,-0.0566443676247675,-0.265868615837421,0,0,0,false,false
40,-0.971266247344536,-0.0576171875,-0.265612563996182,0,0,0,false,false
41,-0.973141768935074,-0.0576130440276109,-0.265137603754456,0,0,0,false,false
42,-0.972145530438865,-0.0561186862832978,-0.265374849805953,0,0,0,false,false
43,-0.971683030412924,-0.0554399793525471,-0.263137133890961,0,0,0,false,false
44,-0.972649550872132,-0.0612785558186849,-0.262217917332785,0,0,0,false,false
45,-0.970704799781967,-0.0607570566321434,-0.265369973292215,0,0,0,false,false
46,-0.97118792071897,-0.0580578885886839,-0.262218769980642,0,0,0,false,false
47,-0.969411339974645,-0.0570878555277122,-0.266426394794204,0,0,0,false,false
48,-0.966796875,-0.0553690710008457,-0.267845836453098,0,0,0,false,false
49,-0.966780858602426,-0.0539170407612115,-0.268307695940034,0,0,0,false,false
50,-0.960050441323294,-0.0529343621294918,-0.266515290237378,0,0,0,false,false
51,-0.956305803791602,-0.0507260377731246,-0.261964947654608,0,0,0,false,false
52,-0.959272698840959,-0.0493042343703684,-0.263503013864214,0,0,0,false,false
53,-0.960191376928833,-0.0490574553277463,-0.268367476873385,0,0,0,false,false
54,-0.955084020374796,-0.0478579004957395,-0.269598032939722,0,0,0,false,false
55,-0.957275390625,-0.0508347479461021,-0.274759081789967,0,0,0,false,false
56,-0.957268427188002,-0.0520134242509832,-0.277188907994881,0,0,0,false,false
57,-0.954332708323027,-0.0522582472534258,-0.281112724942001,0,0,0,false,false
58,-0.954107201448087,-0.0532590276339171,-0.284488955969842,0,0,0,false,false
59,-0.957893991236218,-0.0550082113901918,-0.286199507456987,0,0,0,false,false
60,-0.962877006730493,-0.0597052648251967,-0.289060064513962,0,0,0,false,false
61,-0.957262835303971,-0.06396484375,-0.288092142720457,0,0,0,false,false
62,-0.957035726890489,-0.0639627212901143,-0.29207864345152,0,0,0,false,false
63,-0.959770617623435,-0.06298828125,-0.294723916842241,0,0,0,false,false
64,-0.961178348706375,-0.0629858198649716,-0.295947396112605,0,0,0,false,false
65,-0.958928306668606,-0.0609668013671837,-0.29858345481624,0,0,0,false,false
66,-0.956982604980997,-0.0575051603321917,-0.298344275117055,0,0,0,false,false
67,-0.955322652102399,-0.0524904276136995,-0.300524744419502,0,0,0,false,false
68,-0.955841931652425,-0.0527484113237136,-0.293912449658899,0,0,0,false,false
69,-0.961171289679403,-0.0554888460804325,-0.293213346163285,0,0,0,false,false
70,-0.955036090444456,-0.0581163320275641,-0.293450211786774,0,0,0,false,false
71,-0.954112044333297,-0.0583664137777828,-0.289798068923612,0,0,0,false,false
72,-0.960204305937766,-0.0620088094216263,-0.293067122743466,0,0,0,false,false
73,-0.959717216985457,-0.0592631624203342,-0.298583703086048,0,0,0,false,false
74,-0.959960108408798,-0.0568860234449957,-0.298334035280283,0,0,0,false,false
75,-0.95894807631273,-0.0576154875982432,-0.298086387353158,0,0,0,false,false
76,-0.955738814624453,-0.0561261391266995,-0.297078301979218,0,0,0,false,false
77,-0.952637903613755,-0.0551784367537483,-0.292481275836028,0,0,0,false,false
78,-0.954415167293309,-0.057398446007855,-0.293752187814752,0,0,0,false,false
79,-0.96068136465504,-0.0581033520347129,-0.299406739253201,0,0,0,false,false
80,-0.952392578125,-0.0566415034612438,-0.302483788278327,0,0,0,false,false
81,-0.952392899786928,-0.0578975645331102,-0.297609478494807,0,0,0,false,false
82,-0.952634383109016,-0.0606068223647343,-0.299843116536271,0,0,0,false,false
83,-0.950683888277563,-0.0637196120064898,-0.301550436156551,0,0,0,false,false
84,-0.951187780025368,-0.0622211766819066,-0.303505763901867,0,0,0,false,false
85,-0.952634848207289,-0.0603034453489325,-0.305478975023635,0,0,0,false,false
86,-0.950920187653355,-0.0615598536733092,-0.310332083549945,0,0,0,false,false
87,-0.950672593263129,-0.0657020668413827,-0.311278347760425,0,0,0,false,false
88,-0.947512407582983,-0.0666688474889515,-0.310302830901172,0,0,0,false,false
