Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.910369684003869,0.098391239915364,-0.385750412401781,0,0,0,false,false
1,-0.911619609664539,0.101069876899241,-0.385508369200206,0,0,0,false,false
2,-0.909668834829678,0.0983898627345566,-0.382569592146322,0,0,0,false,false
3,-0.91015625,0.09912109375,-0.384033203125,0,0,0,false,false
4,-0.912376870417227,0.0998660991921588,-0.385740548948498,0,0,0,false,false
5,-0.914302884556322,0.1020979069787,-0.381350185950094,0,0,0,false,false
6,-0.911606252770213,0.104002292329952,-0.383049509819045,0,0,0,false,false
7,-0.911378305217667,0.103524166889711,-0.380019836907006,0,0,0,false,false
8,-0.911918510185551,0.104974642706856,-0.378178446723121,0,0,0,false,false
9,-0.913923517506432,0.103923447687993,-0.378953951478918,0,0,0,false,false
10,-0.914993422203434,0.102783203125,-0.379796662159846,0,0,0,false,false
11,-0.911378193822905,0.10277998841618,-0.383767680309128,0,0,0,false,false
12,-0.909323153098663,0.102498210934919,-0.382472011769902,0,0,0,false,false
13,-0.908496762543927,0.102135327748514,-0.381879374685613,0,0,0,false,false
14,-0.905956621880789,0.105570674853636,-0.384142771246852,0,0,0,false,false
15,-0.905703891897386,0.107421875,-0.386659675465546,0,0,0,false,false
16,-0.9052734375,0.1076493579724,-0.38433098136902,0,0,0,false,false
17,-0.905323519386266,0.112838867026247,-0.38106124773303,0,0,0,false,false
18,-0.905871943584517,0.114719767483581,-0.380137133927904,0,0,0,false,false
19,-0.904500378020555,0.114179868351782,-0.380459823963083,0,0,0,false,false
20,-0.907164748336645,0.11319542649942,-0.381267156422008,0,0,0,false,false
21,-0.908018736220061,0.108429851824293,-0.381756592089186,0,0,0,false,false
22,-0.911030835675334,0.107673541285072,-0.381144390224434,0,0,0,false,false
23,-0.915458833231227,0.105953061369755,-0.381722753994667,0,0,0,false,false
24,-0.917148130857701,0.102925705232523,-0.381867713735301,0,0,0,false,false
25,-0.917677687679528,0.0998973926562746,-0.38063311714604,0,0,0,false,false
26,-0.918087760022853,0.0992164816844018,-0.381253818791071,0,0,0,false,false
27,-0.916308209681819,0.10074808535965,-0.382791750531444,0,0,0,false,false
28,-0.914744211898937,0.102442347175532,-0.382019980243933,0,0,0,false,false
29,-0.915397638039485,0.102098931531512,-0.38035105795262,0,0,0,false,false
