Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.9375,-0.015625,-0.203125,0,0,0,false,false
1,-0.944609313594343,-0.015625,-0.203125,0,0,0,false,false
2,-0.946879852480154,-0.00937985248015356,-0.203125,0,0,0,false,false
3,-0.9375,-0.00538697920569906,-0.203125,0,0,0,false,false
4,-0.9375,-0.015625,-0.203125,0,0,0,false,false
5,-0.9375,-0.015625,-0.203125,0,0,0,false,false
6,-0.940539644218965,-0.015625,-0.203125,0,0,0,false,false
7,-0.950772321300184,-0.015625,-0.203125,0,0,0,false,false
8,-0.9375,-0.015625,-0.203125,0,0,0,false,false
9,-0.9375,-0.015625,-0.203125,0,0,0,false,false
10,-0.938251585941411,-0.015625,-0.203125,0,0,0,false,false
11,-0.952729798805412,-0.015625,-0.203125,0,0,0,false,false
12,-0.937647090647845,-0.015625,-0.203125,0,0,0,false,false
13,-0.953107655629992,-0.015625,-0.203125,0,0,0,false,false
14,-0.937514067310337,-0.015625,-0.203125,0,0,0,false,false
15,-0.9375,-0.015625,-0.203125,0,0,0,false,false
16,-0.9375,-0.015625,-0.203125,0,0,0,false,false
17,-0.9375,-0.015625,-0.203125,0,0,0,false,false
18,-0.9375,-0.015625,-0.203125,0,0,0,false,false
19,-0.9375,-0.015625,-0.203125,0,0,0,false,false
20,-0.9375,-0.015625,-0.203125,0,0,0,false,false
21,-0.9375,-0.015625,-0.203125,0,0,0,false,false
22,-0.9375,-0.015625,-0.203125,0,0,0,false,false
23,-0.9375,-0.015625,-0.203125,0,0,0,false,false
24,-0.947802999628132,-0.015625,-0.203125,0,0,0,false,false
25,-0.943691039206829,-0.015625,-0.203125,0,0,0,false,false
26,-0.9375,-0.015625,-0.203125,0,0,0,false,false
27,-0.9375,-0.015625,-0.203125,0,0,0,false,false
28,-0.9375,-0.015625,-0.203125,0,0,0,false,false
29,-0.9375,-0.015625,-0.209068764447167,0,0,0,false,false
30,-0.9375,-0.015625,-0.21875,0,0,0,false,false
31,-0.9375,-0.015625,-0.214461835112347,0,0,0,false,false
32,-0.9375,-0.015625,-0.203125,0,0,0,false,false
33,-0.9375,-0.015625,-0.203125,0,0,0,false,false
34,-0.939642106984291,-0.015625,-0.203125,0,0,0,false,false
35,-0.953125,-0.015625,-0.203125,0,0,0,false,false
36,-0.952092685380031,-0.015625,-0.204157314619969,0,0,0,false,false
37,-0.9375,-0.015625,-0.21875,0,0,0,false,false
