Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.974371797868578,0.0666517033237156,-0.020016632508721,0,0,0,false,false
1,-0.975339665927418,0.0671376064012092,-0.0185578839213725,0,0,0,false,false
2,-0.973392330765072,0.0647408160871966,-0.0187905753938197,0,0,0,false,false
3,-0.97458043141261,0.0634776460391542,-0.0192677812913462,0,0,0,false,false
4,-0.975801973013716,0.0681090860426484,-0.0224478985195931,0,0,0,false,false
5,-0.977268297708495,0.066895724792944,-0.0226973902687414,0,0,0,false,false
6,-0.978759011518819,0.0688461513681833,-0.0246446149576892,0,0,0,false,false
7,-0.977539785034503,0.068359664013801,-0.0251463487235147,0,0,0,false,false
8,-0.97802713112522,0.0695610175235671,-0.0246684077058865,0,0,0,false,false
9,-0.97387820990247,0.0717768362786319,-0.0214852509261119,0,0,0,false,false
10,-0.976073978090779,0.0681156354737013,-0.0219684334812881,0,0,0,false,false
11,-0.972666738088321,0.0722653103762999,-0.0231846910139683,0,0,0,false,false
12,-0.971191427667942,0.072265625,-0.0261229823580533,0,0,0,false,false
13,-0.972412109375,0.066162109375,-0.024169921875,0,0,0,false,false
14,-0.973635584081086,0.0659179998919863,-0.023192178977815,0,0,0,false,false
15,-0.974365178741364,0.0676356058600899,-0.0229493866867258,0,0,0,false,false
16,-0.973633072896749,0.0693357192715419,-0.0258941266614456,0,0,0,false,false
17,-0.975843736099663,0.0678713894623459,-0.0276004692828626,0,0,0,false,false
18,-0.976806594815596,0.0688475499376102,-0.0285637089382713,0,0,0,false,false
19,-0.976556121986489,0.0686042381595026,-0.0268558830974173,0,0,0,false,false
20,-0.975077405568436,0.0698222204753684,-0.028103560553941,0,0,0,false,false
21,-0.974121889515824,0.0673743678413275,-0.0303074194691036,0,0,0,false,false
22,-0.974852216606982,0.0671392142905725,-0.0317376340571209,0,0,0,false,false
23,-0.973353939570132,0.0678950238994536,-0.0312519381988533,0,0,0,false,false
24,-0.971927029653813,0.0693359375,-0.0324699356459222,0,0,0,false,false
25,-0.973632239962484,0.0693339148826859,-0.0317088158476137,0,0,0,false,false
26,-0.973393379763604,0.0680827114856913,-0.0302826263910094,0,0,0,false,false
