Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.970634219204224,0.18555067571236,-0.245098992932065,0,0,0,false,false
1,-0.97094595660222,0.187954332840733,-0.24367271279556,0,0,0,false,false
2,-0.969508252796717,0.183580241626604,-0.244076061936057,0,0,0,false,false
3,-0.969482421875,0.182047287820614,-0.247012491921141,0,0,0,false,false
4,-0.96876957243999,0.179009875222742,-0.24623373036138,0,0,0,false,false
5,-0.970498662773926,0.176286760533855,-0.243478819758266,0,0,0,false,false
6,-0.971958636690811,0.174001470942943,-0.243408203125,0,0,0,false,false
7,-0.974626184807893,0.172874848720253,-0.244109392707121,0,0,0,false,false
8,-0.980304071968526,0.1728515625,-0.243908246633839,0,0,0,false,false
9,-0.984260625284522,0.172248049817001,-0.246662966959502,0,0,0,false,false
10,-0.984375,0.171322308087558,-0.246597152639434,0,0,0,false,false
11,-0.984928453134576,0.169525563028968,-0.248399015482678,0,0,0,false,false
12,-0.987387286357732,0.169989118215649,-0.2473685888851,0,0,0,false,false
13,-0.985542228292073,0.171705146893701,-0.245465005262038,0,0,0,false,false
14,-0.979935201593735,0.172063073498941,-0.24730357179857,0,0,0,false,false
15,-0.974267069014008,0.172657429695143,-0.249458326396111,0,0,0,false,false
16,-0.970489115020814,0.174135143976166,-0.250668664674307,0,0,0,false,false
17,-0.96998337807537,0.176847685655318,-0.248137645449972,0,0,0,false,false
18,-0.974429911529661,0.177789752650569,-0.246818508768707,0,0,0,false,false
19,-0.97509765625,0.17949156379575,-0.245347179092838,0,0,0,false,false
20,-0.973201768186476,0.179479674684626,-0.242493426352886,0,0,0,false,false
21,-0.970342632689148,0.180469207894199,-0.24330991920732,0,0,0,false,false
22,-0.965166358210451,0.180523426028789,-0.246642726883926,0,0,0,false,false
23,-0.963992013666169,0.179134001333654,-0.246426480644098,0,0,0,false,false
24,-0.96324239160591,0.176281355135269,-0.245264585250061,0,0,0,false,false
25,-0.964866016562644,0.174350933179058,-0.243340170231681,0,0,0,false,false
26,-0.97094297718546,0.171920206097211,-0.242602261003309,0,0,0,false,false
27,-0.977168840395821,0.169482903264306,-0.240869145702757,0,0,0,false,false
28,-0.983730514710266,0.169932905581365,-0.242016009564531,0,0,0,false,false
29,-0.990193054407949,0.16980023459347,-0.244539157830175,0,0,0,false,false
30,-0.992505660949462,0.170037908519751,-0.243792524440746,0,0,0,false,false
31,-0.990984886109199,0.16857277928342,-0.244116308165702,0,0,0,false,false
32,-0.987422368119588,0.168702476457429,-0.243863297864453,0,0,0,false,false
33,-0.987499978366778,0.16964432791679,-0.24454135711915,0,0,0,false,false
34,-0.986624634161271,0.170839584319515,-0.247011397467632,0,0,0,false,false
35,-0.98426691251879,0.170648984298084,-0.249922496789856,0,0,0,false,false
36,-0.97927885767826,0.171193632153166,-0.249843467401098,0,0,0,false,false
37,-0.972255968413335,0.174472939825423,-0.250618649379085,0,0,0,false,false
38,-0.966243725148553,0.17750498490102,-0.251220703125,0,0,0,false,false
39,-0.96232492439575,0.178790344561496,-0.248923897417001,0,0,0,false,false
40,-0.961669921875,0.180041438643903,-0.244384115348308,0,0,0,false,false
41,-0.962780978754232,0.1828256775759,-0.240830380294767,0,0,0,false,false
42,-0.965684713761015,0.186580346742511,-0.239990234375,0,0,0,false,false
43,-0.966822395023993,0.190872037310716,-0.240084574837473,0,0,0,false,false
44,-0.967839016636044,0.191826764028787,-0.240477225259944,0,0,0,false,false
45,-0.968855777219511,0.187772393359714,-0.24104374982175,0,0,0,false,false
46,-0.968994140625,0.182031881067159,-0.240378725294115,0,0,0,false,false
47,-0.968246400161869,0.178656967461049,-0.238449549705416,0,0,0,false,false
48,-0.967661016501249,0.175390829818455,-0.238401127444283,0,0,0,false,false
49,-0.9698172187868,0.172417013887312,-0.238625700043827,0,0,0,false,false
50,-0.977172094029635,0.168754309852743,-0.237379226581192,0,0,0,false,false
51,-0.986672540118365,0.168190429488729,-0.23794326780201,0,0,0,false,false
52,-0.99369553617237,0.171802265545307,-0.241154509850663,0,0,0,false,false
53,-0.994786936896038,0.175547455397292,-0.243734398596968,0,0,0,false,false
54,-0.992262884330444,0.179031049509042,-0.24637870580147,0,0,0,false,false
55,-0.988623088180587,0.180077693076027,-0.249004060814056,0,0,0,false,false
56,-0.983672430703686,0.179931640625,-0.250542586956721,0,0,0,false,false
57,-0.979401081222,0.179292101764207,-0.251403387546044,0,0,0,false,false
58,-0.977090779480867,0.178768843482324,-0.254733826498257,0,0,0,false,false
59,-0.976737885912385,0.181616838380227,-0.254876840708894,0,0,0,false,false
60,-0.977743247683304,0.184123468417755,-0.252688920542866,0,0,0,false,false
61,-0.978193994490537,0.18477465849268,-0.250271111828975,0,0,0,false,false
62,-0.976480210332425,0.184091616506207,-0.248779296875,0,0,0,false,false
63,-0.970993057452607,0.181842025441275,-0.248675760630059,0,0,0,false,false
64,-0.966634819812566,0.17851904241503,-0.248145694761803,0,0,0,false,false
65,-0.964599609375,0.175084153200629,-0.247162861068397,0,0,0,false,false
66,-0.963744929841198,0.174401209553356,-0.244712461374651,0,0,0,false,false
67,-0.960576115359275,0.173279241232704,-0.24401685361668,0,0,0,false,false
68,-0.960568317949613,0.169830199239778,-0.244355171984552,0,0,0,false,false
69,-0.963700745200421,0.168755867207552,-0.243900494119402,0,0,0,false,false
70,-0.968459983915494,0.169786109596325,-0.24247915951233,0,0,0,false,false
71,-0.975185916717372,0.172851145629457,-0.240369880520876,0,0,0,false,false
72,-0.981939249384932,0.173705309298108,-0.238938895902993,0,0,0,false,false
73,-0.985851098867989,0.172260130396323,-0.241170207897124,0,0,0,false,false
74,-0.986256470429467,0.174531018700776,-0.241250485827327,0,0,0,false,false
75,-0.983248966699418,0.179319845085033,-0.240882873535156,0,0,0,false,false
76,-0.980195193578719,0.182728690739259,-0.244286082449077,0,0,0,false,false
77,-0.975840719019752,0.187830716069603,-0.242454955278476,0,0,0,false,false
78,-0.973920060552732,0.191553504786138,-0.239774679133096,0,0,0,false,false
79,-0.973055436403626,0.193874270042081,-0.240746881076986,0,0,0,false,false
80,-0.970760040105994,0.1953125,-0.24357377330828,0,0,0,false,false
81,-0.969586469656717,0.195045384609303,-0.242919921875,0,0,0,false,false
82,-0.971221269512188,0.190251510571383,-0.243117554823599,0,0,0,false,false
83,-0.97198683856923,0.184802923626153,-0.24668985362685,0,0,0,false,false
84,-0.969988922924193,0.179855856337547,-0.249563313978744,0,0,0,false,false
85,-0.97000338233567,0.176740445931109,-0.250410127404755,0,0,0,false,false
86,-0.967092643222422,0.169847002383066,-0.248539717110404,0,0,0,false,false
87,-0.968779627866245,0.162999037313021,-0.2466079364747,0,0,0,false,false
88,-0.971776376070192,0.159209951008315,-0.24251654129044,0,0,0,false,false
89,-0.977927224001096,0.160663652146362,-0.242025574192758,0,0,0,false,false
90,-0.981354957511917,0.164602410045805,-0.244850761058983,0,0,0,false,false
91,-0.978089718168077,0.170106589250373,-0.246546771712449,0,0,0,false,false
92,-0.977127404628944,0.172834396453049,-0.248686018144118,0,0,0,false,false
93,-0.98274969529443,0.171465874692627,-0.249671652071602,0,0,0,false,false
94,-0.990643172160985,0.169200921343989,-0.245644455552438,0,0,0,false,false
95,-0.994489185159327,0.170830727195665,-0.248039279103349,0,0,0,false,false
96,-0.995329215292541,0.176391729517116,-0.246997493404706,0,0,0,false,false
97,-0.989428585034481,0.183922951831665,-0.245610142793852,0,0,0,false,false
98,-0.981405023079884,0.190420025240802,-0.246331418699105,0,0,0,false,false
99,-0.974615820252816,0.195971771267526,-0.244879455985749,0,0,0,false,false
100,-0.965388459590707,0.201455851408104,-0.247313016387438,0,0,0,false,false
101,-0.95595894378199,0.202636400088937,-0.246094074812769,0,0,0,false,false
102,-0.947991984630754,0.20092527865153,-0.247560264434946,0,0,0,false,false
103,-0.943115650566922,0.19656478381558,-0.249511515611426,0,0,0,false,false
104,-0.947419590826621,0.191955091505811,-0.249274225928296,0,0,0,false,false
105,-0.955118427392722,0.188802542935764,-0.247855768271914,0,0,0,false,false
106,-0.962854574403763,0.185619582893765,-0.244394552622914,0,0,0,false,false
107,-0.971236518461479,0.184086747781697,-0.244384765625,0,0,0,false,false
108,-0.973960446700004,0.18408203125,-0.245536442773733,0,0,0,false,false
109,-0.977601599378396,0.180687254005951,-0.246756978098446,0,0,0,false,false
110,-0.979833426454154,0.176176466731286,-0.24779355009425,0,0,0,false,false
111,-0.981909310914659,0.169187065669824,-0.247171927564512,0,0,0,false,false
112,-0.980426121683393,0.164456640867927,-0.242291259134564,0,0,0,false,false
113,-0.97764115779354,0.160025574541141,-0.2421875,0,0,0,false,false
114,-0.973006145938211,0.159671088167605,-0.239352582274607,0,0,0,false,false
115,-0.979236749390268,0.163796253364615,-0.240452012419929,0,0,0,false,false
116,-0.994272371560461,0.166811922165844,-0.245808377297889,0,0,0,false,false
117,-1.00673307319405,0.170997340753593,-0.24843047776496,0,0,0,false,false
118,-1.00653603222283,0.175873143123826,-0.24873868500681,0,0,0,false,false
119,-0.996660594937605,0.179488277940809,-0.24916519508439,0,0,0,false,false
120,-0.984655518392539,0.186077932275983,-0.250415121312837,0,0,0,false,false
121,-0.975715205854019,0.192976543909964,-0.247043846542777,0,0,0,false,false
122,-0.965256737927685,0.194799360695051,-0.245880544533559,0,0,0,false,false
123,-0.958028431526384,0.196588267015491,-0.246013939645295,0,0,0,false,false
124,-0.955431256603782,0.199718466216048,-0.248363159524608,0,0,0,false,false
125,-0.956378159430109,0.199635661044676,-0.249333301616385,0,0,0,false,false
126,-0.958992935341991,0.195696593422209,-0.250908399918383,0,0,0,false,false
127,-0.957512226074863,0.192034515047961,-0.251743362925585,0,0,0,false,false
128,-0.953694363999448,0.186171189339542,-0.254091736959468,0,0,0,false,false
