Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.0024067464561,0.090525779345456,-0.0464109544947851,0,0,0,false,false
1,-1.0012915551072,0.0883832291655987,-0.0473016346099052,0,0,0,false,false
2,-0.999635424978677,0.0821503967506745,-0.0486438533330888,0,0,0,false,false
3,-0.996028145950452,0.0735981373458436,-0.0486953341881454,0,0,0,false,false
4,-0.993506498048229,0.0666610802906196,-0.0459089210677645,0,0,0,false,false
5,-0.996286557776209,0.0599384140401133,-0.0446813605672919,0,0,0,false,false
6,-0.999570212875999,0.0590219240074785,-0.0436781551430913,0,0,0,false,false
7,-1.00381690078662,0.0655104218003101,-0.0468638716582623,0,0,0,false,false
8,-1.008544921875,0.0770955702893285,-0.046586801911754,0,0,0,false,false
9,-1.00841128490228,0.0790444061060466,-0.0464035243592247,0,0,0,false,false
10,-1.00510756702257,0.0766639030794158,-0.0464837395844913,0,0,0,false,false
11,-1.00145115447296,0.068469704092725,-0.0436242408280878,0,0,0,false,false
12,-0.995903870075482,0.0643725437451825,-0.0426599651745257,0,0,0,false,false
13,-0.991739917422487,0.0692262334957598,-0.0464758666981236,0,0,0,false,false
14,-0.991306236021348,0.078291693083436,-0.0488885755262579,0,0,0,false,false
15,-0.994118847098626,0.083951873089245,-0.0493703506854201,0,0,0,false,false
16,-0.998434363219359,0.0843570811501371,-0.05224609375,0,0,0,false,false
17,-0.998640266500946,0.0831007560828503,-0.0523255396780309,0,0,0,false,false
18,-0.997270600759574,0.0855039236742345,-0.05322265625,0,0,0,false,false
19,-1.00111079586126,0.0895516837254008,-0.0533242961446515,0,0,0,false,false
20,-1.00323958192384,0.0919576787359869,-0.0542947779784097,0,0,0,false,false
21,-0.999985898025785,0.0892670088284359,-0.0510997636115551,0,0,0,false,false
22,-0.997864385261936,0.0806016999933268,-0.04833984375,0,0,0,false,false
23,-0.99715905709833,0.0711658604176816,-0.0481649647306121,0,0,0,false,false
24,-0.99676047974549,0.0660366088694846,-0.0464299648100302,0,0,0,false,false
25,-0.998512442792573,0.0693231036320919,-0.0472726754041866,0,0,0,false,false
26,-0.998335889792022,0.0773237361463877,-0.0485132410638066,0,0,0,false,false
27,-0.999839949000816,0.0826485665958993,-0.0508473937846556,0,0,0,false,false
28,-1.00438536264233,0.0830466926749051,-0.0513418708970264,0,0,0,false,false
29,-1.005615234375,0.0740796160336211,-0.0535147158664078,0,0,0,false,false
30,-1.00523697013781,0.0650305143222771,-0.0501157987468931,0,0,0,false,false
31,-1.00042547388979,0.0645835328178225,-0.0473920033169695,0,0,0,false,false
32,-0.999150863035758,0.0717101015953244,-0.0468151210940919,0,0,0,false,false
33,-1.00008703635068,0.0810301896359288,-0.0464777964864597,0,0,0,false,false
34,-0.997967759966134,0.0856724644320493,-0.0458658665302796,0,0,0,false,false
35,-0.997333270223777,0.0818420091027831,-0.0487543149635349,0,0,0,false,false
36,-0.998771516688585,0.0800753900886261,-0.0511020812085513,0,0,0,false,false
37,-0.989712900157918,0.0849651173969488,-0.054056283933042,0,0,0,false,false
38,-0.985377974652359,0.0907087406977112,-0.0510934917623525,0,0,0,false,false
39,-0.984485493428096,0.0900688581241117,-0.0523623522393274,0,0,0,false,false
40,-0.996047179212104,0.0917850357532726,-0.0535762712416506,0,0,0,false,false
41,-1.00381588293206,0.0910703905984335,-0.0503613602200136,0,0,0,false,false
42,-1.00684312104353,0.0850810313603543,-0.0428334487607232,0,0,0,false,false
43,-1.00966214692553,0.0812339753302089,-0.0384728008920763,0,0,0,false,false
44,-1.01036539452098,0.0821741078889447,-0.035400390625,0,0,0,false,false
45,-1.00828264161817,0.0786422860327475,-0.0355459729589456,0,0,0,false,false
46,-1.00544556450517,0.0781984740659944,-0.0380519153253491,0,0,0,false,false
47,-1.00208051468136,0.0817661036051598,-0.0422226928231864,0,0,0,false,false
48,-0.997722405468534,0.0783180412571269,-0.0455029066886977,0,0,0,false,false
49,-0.992735813311483,0.0763330810247945,-0.0470180988265296,0,0,0,false,false
50,-0.988257431764988,0.0767425266274525,-0.0523410984634744,0,0,0,false,false
51,-0.985089254223094,0.0693070444487928,-0.0566113028424122,0,0,0,false,false
52,-0.982675823854853,0.0658281919634183,-0.0527064061629369,0,0,0,false,false
53,-0.991603836954604,0.0692169648204711,-0.0530639968247001,0,0,0,false,false
54,-1.00654538320083,0.0807020804036711,-0.0578756292650344,0,0,0,false,false
55,-1.01060185549828,0.0919885745640156,-0.0543875674667406,0,0,0,false,false
56,-1.009765625,0.092912962942328,-0.0491077192286666,0,0,0,false,false
57,-1.00893106143725,0.0874935309919009,-0.0468541475338084,0,0,0,false,false
58,-0.999659067286139,0.0858028570909658,-0.0492320537271026,0,0,0,false,false
59,-0.992644406313316,0.0860730004272594,-0.0478439977611362,0,0,0,false,false
60,-0.990482453774214,0.0814424059498482,-0.050537109375,0,0,0,false,false
61,-0.994019041355275,0.0762919867532073,-0.0513215871186311,0,0,0,false,false
62,-0.998994874969659,0.0749525565172419,-0.0575153004625725,0,0,0,false,false
63,-1.00244339607872,0.0781408637397404,-0.0583093882998247,0,0,0,false,false
64,-1.00558611954583,0.080810546875,-0.0543007204226387,0,0,0,false,false
65,-1.00696137188103,0.0804840914336135,-0.0564931361986021,0,0,0,false,false
66,-1.00856343652748,0.0765210602496501,-0.0601878990578143,0,0,0,false,false
67,-1.00877143142481,0.0707790560399446,-0.0584292061606225,0,0,0,false,false
68,-0.99987016860449,0.0643067260797625,-0.0552561187121008,0,0,0,false,false
69,-0.994007066400088,0.0621412776995552,-0.0532110530261488,0,0,0,false,false
70,-0.991654014638799,0.0638802318694925,-0.05224609375,0,0,0,false,false
71,-0.99451798021844,0.0636494619503839,-0.0524293570395487,0,0,0,false,false
72,-0.998015301443007,0.0662430695434409,-0.0548354859140202,0,0,0,false,false
73,-0.998174555482535,0.0694241639788952,-0.0564770002896572,0,0,0,false,false
74,-0.996976377179026,0.0698577372200877,-0.0534883376179682,0,0,0,false,false
75,-0.995921461731029,0.0702206453119914,-0.0540391210972514,0,0,0,false,false
76,-0.995513468340157,0.0677603945708375,-0.0551307818820072,0,0,0,false,false
77,-0.995983502194061,0.0695912002011561,-0.0551136687025301,0,0,0,false,false
78,-1.00185227148797,0.0712101414003616,-0.0556400524102001,0,0,0,false,false
79,-1.00689379182188,0.069374514483491,-0.0527344215519249,0,0,0,false,false
80,-1.00760863934244,0.0693975687026978,-0.05157271027565,0,0,0,false,false
81,-0.998242214963958,0.0746868279874515,-0.0555479812530301,0,0,0,false,false
82,-0.990794691077155,0.0821878229580713,-0.0505343252373928,0,0,0,false,false
83,-0.990868445911034,0.0785619273314236,-0.0451250350309607,0,0,0,false,false
84,-0.996714503708547,0.0691432711575886,-0.0489979000330537,0,0,0,false,false
85,-0.999234892707986,0.07392702226916,-0.0551074404365878,0,0,0,false,false
86,-1.00140757720818,0.0799015669077765,-0.052618777054762,0,0,0,false,false
87,-1.00652126044495,0.0757142722547921,-0.0443438110895267,0,0,0,false,false
88,-1.00791657431722,0.0716292713915146,-0.0437914681922943,0,0,0,false,false
89,-1.00402465290848,0.0718308761855035,-0.0506624802629094,0,0,0,false,false
90,-0.998761661748313,0.0786543034684478,-0.0539638577883499,0,0,0,false,false
91,-0.995830642528184,0.0818387222921498,-0.0507490037743089,0,0,0,false,false
92,-0.994329171215357,0.0818555237955015,-0.0501472448007121,0,0,0,false,false
93,-0.992421634043683,0.0745300512623936,-0.0536293681571881,0,0,0,false,false
94,-0.995823891605483,0.061212310091391,-0.0557846670487164,0,0,0,false,false
95,-0.995048161113108,0.0542823839861328,-0.0579271482658894,0,0,0,false,false
96,-0.99466605587935,0.0600580768271209,-0.0584321658452852,0,0,0,false,false
97,-1.00105302928163,0.0661659829878324,-0.0587937666342358,0,0,0,false,false
98,-1.00256316925458,0.0812340262129074,-0.0618099205435993,0,0,0,false,false
99,-1.00247693061829,0.100996273089535,-0.0668153854516836,0,0,0,false,false
100,-1.00024103781819,0.102622366953172,-0.061053660449549,0,0,0,false,false
101,-0.999161238675825,0.0903118216580498,-0.0496540935068937,0,0,0,false,false
102,-1.00123785279019,0.0804311252590275,-0.048823911661284,0,0,0,false,false
