Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.0,-0.20781131952076,-0.21406368047924,0,0,0,false,false
1,-1.0,-0.203125,-0.21875,0,0,0,false,false
2,-0.991349483826771,-0.211775516173229,-0.21875,0,0,0,false,false
3,-0.991829786777982,-0.211295213222018,-0.21875,0,0,0,false,false
4,-1.0,-0.203125,-0.212484144001028,0,0,0,false,false
5,-1.0,-0.203125,-0.203125,0,0,0,false,false
6,-1.0,-0.203125,-0.203125,0,0,0,false,false
7,-1.0,-0.203125,-0.206129176583397,0,0,0,false,false
8,-1.0,-0.203125,-0.21875,0,0,0,false,false
9,-1.0,-0.203125,-0.21875,0,0,0,false,false
10,-1.0,-0.203125,-0.21875,0,0,0,false,false
11,-1.0,-0.203125,-0.21875,0,0,0,false,false
12,-1.0,-0.203125,-0.218714835255559,0,0,0,false,false
13,-1.0,-0.203125,-0.203153320499619,0,0,0,false,false
14,-1.0,-0.203125,-0.218496552847109,0,0,0,false,false
15,-1.0,-0.203125,-0.21875,0,0,0,false,false
16,-1.0,-0.203125,-0.21875,0,0,0,false,false
17,-1.0,-0.203125,-0.205176520766327,0,0,0,false,false
18,-1.0,-0.203125,-0.215786930444542,0,0,0,false,false
19,-1.0,-0.203125,-0.21875,0,0,0,false,false
20,-1.0,-0.203125,-0.21875,0,0,0,false,false
21,-1.0,-0.203125,-0.21875,0,0,0,false,false
22,-1.0,-0.211362230287353,-0.21875,0,0,0,false,false
23,-1.0,-0.21875,-0.21875,0,0,0,false,false
24,-1.0,-0.21875,-0.21875,0,0,0,false,false
25,-1.0,-0.21399396476833,-0.21875,0,0,0,false,false
26,-1.0,-0.206797109721718,-0.21875,0,0,0,false,false
27,-1.0,-0.21875,-0.21875,0,0,0,false,false
28,-1.0,-0.216928673319863,-0.21875,0,0,0,false,false
29,-1.0,-0.203125,-0.21875,0,0,0,false,false
30,-1.0,-0.203125,-0.21875,0,0,0,false,false
31,-1.0,-0.203292697837854,-0.21875,0,0,0,false,false
32,-1.0,-0.21875,-0.218745759205741,0,0,0,false,false
33,-1.0,-0.21875,-0.203205314670314,0,0,0,false,false
34,-1.0,-0.203495680876277,-0.203125,0,0,0,false,false
35,-1.0,-0.203125,-0.203125,0,0,0,false,false
36,-1.0,-0.203125,-0.217218342373553,0,0,0,false,false
37,-1.0,-0.203125,-0.21875,0,0,0,false,false
38,-1.0,-0.203125,-0.21875,0,0,0,false,false
39,-1.0,-0.214417781364991,-0.21875,0,0,0,false,false
40,-1.0,-0.208556386007061,-0.208556386007061,0,0,0,false,false
41,-1.0,-0.203125,-0.212153096008972,0,0,0,false,false
42,-1.0,-0.203125,-0.21875,0,0,0,false,false
43,-1.0,-0.209766207116361,-0.212108792883639,0,0,0,false,false
44,-1.0,-0.213254293551477,-0.208620706448523,0,0,0,false,false
45,-1.0,-0.203125,-0.21875,0,0,0,false,false
46,-1.0,-0.203125,-0.21542756581036,0,0,0,false,false
47,-1.0,-0.203125,-0.205516279980411,0,0,0,false,false
48,-1.0,-0.203125,-0.217190295193832,0,0,0,false,false
49,-1.0,-0.203125,-0.204017332051624,0,0,0,false,false
50,-1.0,-0.203125,-0.218358042201443,0,0,0,false,false
51,-1.0,-0.20320895184371,-0.20320895184371,0,0,0,false,false
52,-1.0,-0.218746562757519,-0.218746562757519,0,0,0,false,false
53,-1.0,-0.203282884199735,-0.21875,0,0,0,false,false
54,-1.0,-0.203125,-0.21875,0,0,0,false,false
55,-1.0,-0.217674149700791,-0.204200850299209,0,0,0,false,false
56,-1.0,-0.21875,-0.216955401035156,0,0,0,false,false
57,-1.0,-0.205788002275154,-0.21875,0,0,0,false,false
58,-1.0,-0.203125,-0.21875,0,0,0,false,false
59,-1.0,-0.214056164269667,-0.21875,0,0,0,false,false
60,-1.0,-0.21875,-0.21875,0,0,0,false,false
61,-1.0,-0.21875,-0.21875,0,0,0,false,false
62,-0.992567555067373,-0.21875,-0.21875,0,0,0,false,false
63,-0.990618870865246,-0.21875,-0.21875,0,0,0,false,false
64,-1.0,-0.21875,-0.21875,0,0,0,false,false
65,-1.0,-0.21875,-0.21875,0,0,0,false,false
66,-1.0,-0.215750894879047,-0.21875,0,0,0,false,false
67,-1.0,-0.205208017324477,-0.21875,0,0,0,false,false
68,-1.0,-0.21744584615791,-0.21875,0,0,0,false,false
69,-1.0,-0.203125,-0.21875,0,0,0,false,false
70,-1.0,-0.203390591306265,-0.21875,0,0,0,false,false
71,-1.0,-0.21875,-0.21875,0,0,0,false,false
72,-1.0,-0.21875,-0.21875,0,0,0,false,false
73,-1.0,-0.21875,-0.21875,0,0,0,false,false
74,-1.0,-0.21875,-0.21875,0,0,0,false,false
75,-0.985676833048643,-0.21875,-0.21875,0,0,0,false,false
76,-0.984375,-0.205208017324477,-0.21875,0,0,0,false,false
77,-0.997013887770377,-0.215763887770377,-0.21875,0,0,0,false,false
78,-1.0,-0.21875,-0.21875,0,0,0,false,false
79,-1.0,-0.21875,-0.21875,0,0,0,false,false
80,-1.0,-0.21875,-0.21875,0,0,0,false,false
81,-1.0,-0.21875,-0.21875,0,0,0,false,false
82,-1.0,-0.21875,-0.21875,0,0,0,false,false
83,-1.0,-0.212887032542277,-0.21875,0,0,0,false,false
84,-1.0,-0.203125,-0.21403545417986,0,0,0,false,false
85,-1.0,-0.203125,-0.206764603395055,0,0,0,false,false
86,-1.0,-0.203125,-0.21875,0,0,0,false,false
87,-1.0,-0.203125,-0.21875,0,0,0,false,false
88,-1.0,-0.203125,-0.21875,0,0,0,false,false
89,-1.0,-0.203649104474081,-0.21875,0,0,0,false,false
90,-1.0,-0.21875,-0.21875,0,0,0,false,false
91,-0.999996562757519,-0.21875,-0.21875,0,0,0,false,false
92,-0.98445895184371,-0.21875,-0.21875,0,0,0,false,false
93,-0.999622511621895,-0.21875,-0.21875,0,0,0,false,false
94,-1.0,-0.21875,-0.21875,0,0,0,false,false
95,-1.0,-0.204673388537092,-0.21875,0,0,0,false,false
96,-1.0,-0.216375342657045,-0.21875,0,0,0,false,false
97,-1.0,-0.206441873637169,-0.21875,0,0,0,false,false
98,-1.0,-0.203125,-0.21875,0,0,0,false,false
99,-1.0,-0.203125,-0.21875,0,0,0,false,false
100,-1.0,-0.203125,-0.21875,0,0,0,false,false
101,-1.0,-0.203125,-0.21875,0,0,0,false,false
102,-1.0,-0.203125,-0.21875,0,0,0,false,false
103,-1.0,-0.208599248979815,-0.21875,0,0,0,false,false
104,-1.0,-0.214404538812041,-0.21875,0,0,0,false,false
105,-1.0,-0.203125,-0.21875,0,0,0,false,false
106,-1.0,-0.203125,-0.21875,0,0,0,false,false
107,-1.0,-0.203125,-0.21875,0,0,0,false,false
108,-1.0,-0.204004658586449,-0.21875,0,0,0,false,false
109,-1.0,-0.21875,-0.21875,0,0,0,false,false
110,-1.0,-0.21875,-0.21875,0,0,0,false,false
111,-1.0,-0.21875,-0.21875,0,0,0,false,false
112,-1.0,-0.21875,-0.21875,0,0,0,false,false
113,-1.0,-0.203649104474081,-0.21875,0,0,0,false,false
114,-1.0,-0.203125,-0.204212920734531,0,0,0,false,false
115,-1.0,-0.203125,-0.216928673319863,0,0,0,false,false
116,-1.0,-0.216065087136943,-0.21875,0,0,0,false,false
117,-1.0,-0.21875,-0.21875,0,0,0,false,false
