Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.964029378802073,-0.0529509146267272,-0.136691149001727,0,0,0,false,false
1,-0.962944350711264,-0.0521923819254131,-0.136279444612645,0,0,0,false,false
2,-0.963111430955482,-0.0535915635197038,-0.137649441001658,0,0,0,false,false
3,-0.961373931305848,-0.0548868006253628,-0.136034071840077,0,0,0,false,false
4,-0.955537233197945,-0.0555072486060288,-0.138469370405381,0,0,0,false,false
5,-0.95395998155874,-0.0553984878504164,-0.139685090469259,0,0,0,false,false
6,-0.95216555684535,-0.0570113476441836,-0.139427701005406,0,0,0,false,false
7,-0.962381371971126,-0.0562538992266249,-0.14124556700416,0,0,0,false,false
8,-0.964098069257697,-0.0555008154170575,-0.13965724069416,0,0,0,false,false
9,-0.947309855725818,-0.0545424021000517,-0.13645762623266,0,0,0,false,false
10,-0.941429590623875,-0.0540472673683381,-0.135646961030739,0,0,0,false,false
11,-0.957033325018312,-0.0508330146478482,-0.136915336296732,0,0,0,false,false
12,-0.96991267609519,-0.0524130636327153,-0.135790631398615,0,0,0,false,false
13,-0.972262099418167,-0.0530739600833408,-0.135743612118711,0,0,0,false,false
14,-0.966849061128616,-0.0539348975975855,-0.133765504451009,0,0,0,false,false
15,-0.962966825698973,-0.0524152998380897,-0.133092932256978,0,0,0,false,false
16,-0.960954229381884,-0.0445621205297908,-0.133759838259687,0,0,0,false,false
17,-0.96003338899698,-0.0433847055287437,-0.130771763998263,0,0,0,false,false
18,-0.964339756653012,-0.0483667826350233,-0.129707276200838,0,0,0,false,false
19,-0.965771532815262,-0.0489958388030841,-0.127988801809061,0,0,0,false,false
20,-0.962767254435441,-0.047928777686294,-0.127908729479937,0,0,0,false,false
21,-0.959393010100739,-0.045815853606774,-0.130439892441331,0,0,0,false,false
22,-0.955137583634291,-0.0449507811860384,-0.126551532530457,0,0,0,false,false
23,-0.954225939335302,-0.048144646284206,-0.127878568113524,0,0,0,false,false
24,-0.989639590970311,-0.0520652001195326,-0.136058106629634,0,0,0,false,false
25,-1.00253874513101,-0.0533300042845438,-0.129043511315758,0,0,0,false,false
26,-0.980730636466118,-0.0509631303846789,-0.124433910285117,0,0,0,false,false
27,-0.959222241147168,-0.0466522715700014,-0.125161123800056,0,0,0,false,false
28,-0.956844213704016,-0.0449144546122702,-0.124841819345898,0,0,0,false,false
29,-0.966150287793461,-0.0415619372823003,-0.125712825803261,0,0,0,false,false
30,-0.969298368865898,-0.0407611070634583,-0.126079495401248,0,0,0,false,false
31,-0.970859873912858,-0.0454961937594126,-0.125166829460663,0,0,0,false,false
32,-0.971302203508364,-0.0497337947603902,-0.12483046550745,0,0,0,false,false
33,-0.967729730501613,-0.0531791112670917,-0.124285982403749,0,0,0,false,false
34,-0.966264724731445,-0.0549105130709135,-0.124838829040527,0,0,0,false,false
35,-0.968161150368143,-0.057229713868384,-0.126201930010982,0,0,0,false,false
36,-0.968975467560554,-0.0567425623046243,-0.125782545395522,0,0,0,false,false
37,-0.968507803544713,-0.0509538100795258,-0.124500395218537,0,0,0,false,false
38,-0.96788694732033,-0.048306242709827,-0.123497092124472,0,0,0,false,false
39,-0.971388416732317,-0.048127024832314,-0.123018915112915,0,0,0,false,false
40,-0.972793304474475,-0.0502600669223275,-0.124231882741492,0,0,0,false,false
41,-0.972382692625825,-0.0511561697171625,-0.124128491894873,0,0,0,false,false
42,-0.97405182679492,-0.0534922840133977,-0.125188883334113,0,0,0,false,false
43,-0.97398435332595,-0.0558902953536007,-0.125937396065097,0,0,0,false,false
44,-0.971745643287854,-0.0575518472058822,-0.12646484375,0,0,0,false,false
45,-0.973429366681413,-0.0544640841624379,-0.12689860961498,0,0,0,false,false
46,-0.979704629516352,-0.0520477930581468,-0.129452876304443,0,0,0,false,false
47,-0.980978181489235,-0.0458423350229203,-0.125824792917408,0,0,0,false,false
48,-0.957464868305256,-0.0421786515679159,-0.120910777908899,0,0,0,false,false
49,-0.950694556288925,-0.0474062803659453,-0.124435331113821,0,0,0,false,false
50,-0.962083843955947,-0.0523794898642095,-0.126931933381727,0,0,0,false,false
51,-0.97420379834599,-0.0588047292886201,-0.129066717227737,0,0,0,false,false
52,-0.976570431215631,-0.0646403977641018,-0.130940845486124,0,0,0,false,false
53,-0.976961473087027,-0.0710046365822088,-0.128557794049562,0,0,0,false,false
54,-0.975873507921904,-0.06950318070906,-0.12737508464233,0,0,0,false,false
55,-0.975341796875,-0.0610576865461745,-0.132415613940905,0,0,0,false,false
56,-0.973562817510708,-0.0524339493179654,-0.131955923856145,0,0,0,false,false
57,-0.960477736526813,-0.0455103181893211,-0.127966726496403,0,0,0,false,false
58,-0.96118800594104,-0.0464495202657573,-0.133415424890734,0,0,0,false,false
59,-0.96388972996553,-0.0474612776081842,-0.134049686027296,0,0,0,false,false
60,-0.970148762490132,-0.0584815916848977,-0.128030429304271,0,0,0,false,false
61,-0.977368355677697,-0.0679160043070572,-0.127196121268219,0,0,0,false,false
62,-0.974320278686737,-0.072418767808361,-0.124381278461095,0,0,0,false,false
63,-0.971494492734055,-0.0674788809469218,-0.12647136680817,0,0,0,false,false
64,-0.972294277146033,-0.0635424220748019,-0.129588950302711,0,0,0,false,false
65,-0.972558409047739,-0.0607328616113824,-0.1318359375,0,0,0,false,false
66,-0.970186270504965,-0.0593059069569533,-0.13186081257855,0,0,0,false,false
67,-0.966650556566046,-0.0611474530657887,-0.131991272188027,0,0,0,false,false
68,-0.967473314371868,-0.0589269148618996,-0.130625747481452,0,0,0,false,false
69,-0.965266607089318,-0.056497850369426,-0.130047922898894,0,0,0,false,false
70,-0.958308547968077,-0.0540960246695033,-0.132394221732031,0,0,0,false,false
71,-0.960131404167008,-0.0545445154111129,-0.133070411127924,0,0,0,false,false
72,-0.96730448575927,-0.0462845609052451,-0.131198076874234,0,0,0,false,false
73,-0.972770016537787,-0.0491813458365399,-0.135293038181494,0,0,0,false,false
74,-0.96923735889934,-0.0529444475562346,-0.13574766265572,0,0,0,false,false
75,-0.960611432891122,-0.0553470253192946,-0.133325968418863,0,0,0,false,false
76,-0.951405305751485,-0.053411759375787,-0.133934773104976,0,0,0,false,false
77,-0.943828660824021,-0.0506691050227737,-0.134867018848279,0,0,0,false,false
78,-0.950852312668937,-0.0546847185431088,-0.135438333392149,0,0,0,false,false
79,-0.967833502838085,-0.0624425672442885,-0.136268634585311,0,0,0,false,false
80,-0.972597458493986,-0.0636518141061575,-0.133716441946813,0,0,0,false,false
81,-0.967130670854593,-0.0704690093429424,-0.133716984524798,0,0,0,false,false
82,-0.976036241398464,-0.0712339757638667,-0.135162434487804,0,0,0,false,false
83,-0.961447636157065,-0.0678464241255858,-0.128247300789906,0,0,0,false,false
84,-0.954713046269823,-0.0703179274988396,-0.13042027170087,0,0,0,false,false
85,-0.962232342539356,-0.0659895878425787,-0.132991662178826,0,0,0,false,false
86,-0.965887710157744,-0.06340379089803,-0.126305413611722,0,0,0,false,false
87,-0.95976046921637,-0.0573555714891434,-0.130564007815496,0,0,0,false,false
88,-0.959657648459849,-0.0569154404967395,-0.129954381711873,0,0,0,false,false
89,-0.969802915840815,-0.0623405537230351,-0.131577862004809,0,0,0,false,false
90,-0.976875254494697,-0.0643734855968059,-0.132568359375,0,0,0,false,false
91,-0.976725888652305,-0.063248126886996,-0.132444203832405,0,0,0,false,false
92,-0.96970708919193,-0.0633870215146988,-0.129871979518301,0,0,0,false,false
93,-0.966330707808644,-0.0612822615798608,-0.12905569239507,0,0,0,false,false
94,-0.965528163337496,-0.0597866808257208,-0.13134765625,0,0,0,false,false
95,-0.965120668629664,-0.0583639665896375,-0.131247155747538,0,0,0,false,false
96,-0.960846139276294,-0.0583602533349875,-0.129818857480181,0,0,0,false,false
97,-0.958026019210666,-0.0526248267910495,-0.132763381850169,0,0,0,false,false
98,-0.959151231620752,-0.0500994367218251,-0.131432265554143,0,0,0,false,false
99,-0.964217333591539,-0.0513922158082134,-0.130562320843558,0,0,0,false,false
100,-0.964734033491197,-0.0520871383165536,-0.130396315281681,0,0,0,false,false
101,-0.96579169572938,-0.0523663428492443,-0.130859375,0,0,0,false,false
102,-0.964641149536301,-0.0500607483183345,-0.130859375,0,0,0,false,false
103,-0.962682241094292,-0.05029296875,-0.130847669564467,0,0,0,false,false
104,-0.961731205479232,-0.0502143905376496,-0.130671361669536,0,0,0,false,false
105,-0.963902162887444,-0.0486076096794846,-0.1318359375,0,0,0,false,false
106,-0.965522019688855,-0.0497933801572092,-0.131825204547186,0,0,0,false,false
107,-0.964020547384146,-0.0524584721203857,-0.131591796875,0,0,0,false,false
108,-0.963623046875,-0.0534411441325138,-0.131765719495426,0,0,0,false,false
109,-0.963593244246787,-0.0518882552609426,-0.135642845405958,0,0,0,false,false
110,-0.962890625,-0.0479139990714904,-0.133343786549554,0,0,0,false,false
111,-0.962849003725162,-0.0502748033144654,-0.134910104071547,0,0,0,false,false
112,-0.961624150510558,-0.0519015379390479,-0.135616010552984,0,0,0,false,false
