Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.859375,-0.03125,0.40625,0,0,0,false,false
1,-0.859375,-0.03125,0.40625,0,0,0,false,false
2,-0.859375,-0.03125,0.40625,0,0,0,false,false
3,-0.859375,-0.03125,0.406614600260064,0,0,0,false,false
4,-0.859375,-0.03125,0.421746834730379,0,0,0,false,false
5,-0.859375,-0.03125,0.406261129426937,0,0,0,false,false
6,-0.859375,-0.03125,0.4218521070617,0,0,0,false,false
7,-0.859375,-0.03125,0.421875,0,0,0,false,false
8,-0.859375,-0.03125,0.406660929459403,0,0,0,false,false
9,-0.859375,-0.03125,0.40625,0,0,0,false,false
10,-0.859375,-0.03125,0.40625,0,0,0,false,false
11,-0.859375,-0.03125,0.40625,0,0,0,false,false
12,-0.859375,-0.03125,0.40625,0,0,0,false,false
13,-0.859375,-0.0187332472160672,0.40625,0,0,0,false,false
14,-0.859375,-0.0273860082513098,0.40625,0,0,0,false,false
15,-0.859375,-0.03125,0.417213615851388,0,0,0,false,false
16,-0.859375,-0.03125,0.411732563787768,0,0,0,false,false
17,-0.859375,-0.0219496161736802,0.40625,0,0,0,false,false
18,-0.859375,-0.0240263406934487,0.40625,0,0,0,false,false
19,-0.859375,-0.03125,0.40625,0,0,0,false,false
20,-0.859375,-0.03125,0.40625,0,0,0,false,false
21,-0.859375,-0.03125,0.40625,0,0,0,false,false
22,-0.859375,-0.03125,0.40625,0,0,0,false,false
23,-0.859375,-0.03125,0.40625,0,0,0,false,false
24,-0.859375,-0.03125,0.40625,0,0,0,false,false
25,-0.859375,-0.03125,0.40625,0,0,0,false,false
26,-0.859375,-0.03125,0.40625,0,0,0,false,false
27,-0.859375,-0.03125,0.40625,0,0,0,false,false
28,-0.859375,-0.03125,0.40625,0,0,0,false,false
29,-0.859375,-0.03125,0.40625,0,0,0,false,false
30,-0.859375,-0.03125,0.40625,0,0,0,false,false
31,-0.859375,-0.03125,0.40625,0,0,0,false,false
32,-0.859375,-0.03125,0.40625,0,0,0,false,false
33,-0.859375,-0.03125,0.40625,0,0,0,false,false
34,-0.859375,-0.03125,0.40625,0,0,0,false,false
35,-0.859375,-0.03125,0.40625,0,0,0,false,false
36,-0.859375,-0.03125,0.420891999597318,0,0,0,false,false
37,-0.859375,-0.03125,0.421875,0,0,0,false,false
38,-0.859375,-0.03125,0.408323973200345,0,0,0,false,false
39,-0.859375,-0.03125,0.40625,0,0,0,false,false
40,-0.847222651958583,-0.03125,0.40625,0,0,0,false,false
41,-0.855148205137868,-0.03125,0.417648205137868,0,0,0,false,false
42,-0.859375,-0.03125,0.41127918722326,0,0,0,false,false
43,-0.859375,-0.03125,0.40625,0,0,0,false,false
44,-0.859375,-0.03125,0.40625,0,0,0,false,false
45,-0.859375,-0.03125,0.414232653819238,0,0,0,false,false
46,-0.859375,-0.03125,0.414764329544403,0,0,0,false,false
47,-0.859375,-0.03125,0.40625,0,0,0,false,false
48,-0.859375,-0.03125,0.40625,0,0,0,false,false
49,-0.859375,-0.0267347444508578,0.40625,0,0,0,false,false
50,-0.859375,-0.019350548451478,0.409975548451478,0,0,0,false,false
51,-0.859375,-0.03125,0.418877221864108,0,0,0,false,false
52,-0.859375,-0.03125,0.40625,0,0,0,false,false
53,-0.859375,-0.03125,0.40625,0,0,0,false,false
54,-0.859375,-0.03125,0.40625,0,0,0,false,false
55,-0.858664655670558,-0.03125,0.40625,0,0,0,false,false
56,-0.844122143119061,-0.03125,0.40625,0,0,0,false,false
57,-0.859375,-0.03125,0.40625,0,0,0,false,false
58,-0.859375,-0.03125,0.40625,0,0,0,false,false
59,-0.859375,-0.03125,0.40625,0,0,0,false,false
60,-0.859375,-0.03125,0.40625,0,0,0,false,false
61,-0.859375,-0.03125,0.40625,0,0,0,false,false
62,-0.859375,-0.03125,0.421102405258084,0,0,0,false,false
63,-0.859375,-0.03125,0.407481926716258,0,0,0,false,false
64,-0.859375,-0.03125,0.40625,0,0,0,false,false
65,-0.859375,-0.03125,0.40625,0,0,0,false,false
66,-0.859375,-0.03125,0.40625,0,0,0,false,false
67,-0.859375,-0.03125,0.40625,0,0,0,false,false
68,-0.859375,-0.03125,0.40625,0,0,0,false,false
69,-0.859375,-0.03125,0.40625,0,0,0,false,false
70,-0.850071764268791,-0.03125,0.40625,0,0,0,false,false
71,-0.852173947961541,-0.0228260520384585,0.40625,0,0,0,false,false
72,-0.859375,-0.0231539457384436,0.413778945738444,0,0,0,false,false
73,-0.859375,-0.024602099368828,0.415227099368828,0,0,0,false,false
74,-0.859375,-0.0213961202828923,0.40625,0,0,0,false,false
75,-0.859375,-0.03125,0.40625,0,0,0,false,false
76,-0.859375,-0.03125,0.40625,0,0,0,false,false
77,-0.859375,-0.03125,0.40625,0,0,0,false,false
78,-0.859375,-0.03125,0.40625,0,0,0,false,false
79,-0.859375,-0.03125,0.40625,0,0,0,false,false
80,-0.859375,-0.03125,0.40625,0,0,0,false,false
81,-0.859375,-0.03125,0.40625,0,0,0,false,false
82,-0.859375,-0.03125,0.40625,0,0,0,false,false
83,-0.859375,-0.03125,0.40625,0,0,0,false,false
84,-0.859375,-0.03125,0.40625,0,0,0,false,false
85,-0.859375,-0.03125,0.40625,0,0,0,false,false
86,-0.859375,-0.03125,0.40625,0,0,0,false,false
87,-0.859375,-0.03125,0.40625,0,0,0,false,false
88,-0.859375,-0.0162168275574776,0.40625,0,0,0,false,false
89,-0.859375,-0.0302415657822474,0.40625,0,0,0,false,false
90,-0.859375,-0.03125,0.40625,0,0,0,false,false
91,-0.859375,-0.03125,0.40625,0,0,0,false,false
92,-0.859375,-0.03125,0.40625,0,0,0,false,false
93,-0.859375,-0.03125,0.40625,0,0,0,false,false
94,-0.859375,-0.03125,0.40625,0,0,0,false,false
95,-0.859375,-0.03125,0.40625,0,0,0,false,false
96,-0.859375,-0.03125,0.40625,0,0,0,false,false
97,-0.859375,-0.03125,0.40625,0,0,0,false,false
98,-0.859375,-0.03125,0.40625,0,0,0,false,false
99,-0.859375,-0.03125,0.40625,0,0,0,false,false
100,-0.859375,-0.03125,0.40625,0,0,0,false,false
101,-0.859375,-0.03125,0.40625,0,0,0,false,false
102,-0.859375,-0.03125,0.40625,0,0,0,false,false
103,-0.859375,-0.03125,0.40625,0,0,0,false,false
104,-0.859375,-0.03125,0.40625,0,0,0,false,false
105,-0.859375,-0.03125,0.40625,0,0,0,false,false
106,-0.859375,-0.03125,0.40625,0,0,0,false,false
107,-0.859375,-0.03125,0.40625,0,0,0,false,false
108,-0.859375,-0.03125,0.40625,0,0,0,false,false
109,-0.859375,-0.03125,0.40625,0,0,0,false,false
110,-0.859375,-0.03125,0.40625,0,0,0,false,false
111,-0.859375,-0.03125,0.406261108022494,0,0,0,false,false
112,-0.859375,-0.03125,0.42185013720633,0,0,0,false,false
113,-0.859375,-0.03125,0.406412410131588,0,0,0,false,false
114,-0.859375,-0.03125,0.40625,0,0,0,false,false
115,-0.859375,-0.03125,0.40625,0,0,0,false,false
116,-0.859375,-0.03125,0.40625,0,0,0,false,false
117,-0.859375,-0.03125,0.420069153382997,0,0,0,false,false
118,-0.859375,-0.03125,0.395499306957417,0,0,0,false,false
119,-0.859375,-0.03125,0.403136443023239,0,0,0,false,false
120,-0.859375,-0.03125,0.40625,0,0,0,false,false
121,-0.859375,-0.03125,0.40625,0,0,0,false,false
122,-0.859375,-0.03125,0.40625,0,0,0,false,false
123,-0.859375,-0.03125,0.40625,0,0,0,false,false
124,-0.859375,-0.03125,0.414640593571919,0,0,0,false,false
125,-0.859375,-0.03125,0.414379758023743,0,0,0,false,false
126,-0.859375,-0.03125,0.412863062847026,0,0,0,false,false
127,-0.859375,-0.03125,0.416125836548521,0,0,0,false,false
128,-0.859375,-0.03125,0.40625,0,0,0,false,false
129,-0.859375,-0.03125,0.40625,0,0,0,false,false
130,-0.859375,-0.03125,0.40625,0,0,0,false,false
131,-0.859375,-0.03125,0.40625,0,0,0,false,false
132,-0.859375,-0.03125,0.40625,0,0,0,false,false
133,-0.859375,-0.03125,0.40625,0,0,0,false,false
134,-0.859375,-0.03125,0.40625,0,0,0,false,false
135,-0.859375,-0.03125,0.40625,0,0,0,false,false
136,-0.859375,-0.03125,0.40625,0,0,0,false,false
137,-0.859375,-0.03125,0.406302495695677,0,0,0,false,false
138,-0.859375,-0.03125,0.421874300321222,0,0,0,false,false
139,-0.859375,-0.03125,0.406328968721032,0,0,0,false,false
140,-0.859375,-0.03125,0.421595259805948,0,0,0,false,false
141,-0.859375,-0.03125,0.40685122951933,0,0,0,false,false
142,-0.859375,-0.03125,0.40625,0,0,0,false,false
143,-0.859375,-0.03125,0.420358823369215,0,0,0,false,false
144,-0.859375,-0.03125,0.408356062552839,0,0,0,false,false
145,-0.859375,-0.03125,0.40625,0,0,0,false,false
146,-0.859375,-0.03125,0.40625,0,0,0,false,false
147,-0.859375,-0.0199131648876528,0.40625,0,0,0,false,false
148,-0.859375,-0.0261647600452234,0.40625,0,0,0,false,false
149,-0.859375,-0.03125,0.40625,0,0,0,false,false
150,-0.859375,-0.03125,0.40625,0,0,0,false,false
151,-0.859375,-0.03125,0.40625,0,0,0,false,false
152,-0.859375,-0.03125,0.40625,0,0,0,false,false
153,-0.859375,-0.03125,0.412418818130215,0,0,0,false,false
154,-0.859375,-0.03125,0.416574621534257,0,0,0,false,false
155,-0.859375,-0.03125,0.40625,0,0,0,false,false
156,-0.859375,-0.03125,0.40625,0,0,0,false,false
157,-0.859375,-0.03125,0.40625,0,0,0,false,false
158,-0.859375,-0.03125,0.40625,0,0,0,false,false
159,-0.859375,-0.03125,0.40625,0,0,0,false,false
160,-0.859375,-0.03125,0.40625,0,0,0,false,false
161,-0.859375,-0.03125,0.406948905830115,0,0,0,false,false
162,-0.859375,-0.03125,0.421525269688069,0,0,0,false,false
163,-0.859375,-0.03125,0.40625,0,0,0,false,false
164,-0.859375,-0.03125,0.40625,0,0,0,false,false
165,-0.859375,-0.03125,0.40625,0,0,0,false,false
166,-0.859375,-0.03125,0.40625,0,0,0,false,false
167,-0.859375,-0.03125,0.40625,0,0,0,false,false
168,-0.859375,-0.03125,0.40625,0,0,0,false,false
169,-0.859375,-0.03125,0.40625,0,0,0,false,false
170,-0.859375,-0.03125,0.40625,0,0,0,false,false
171,-0.859375,-0.03125,0.419437846521292,0,0,0,false,false
172,-0.859375,-0.03125,0.409363556976761,0,0,0,false,false
173,-0.859375,-0.03125,0.40625,0,0,0,false,false
174,-0.859375,-0.03125,0.40625,0,0,0,false,false
175,-0.859375,-0.03125,0.40625,0,0,0,false,false
176,-0.859375,-0.03125,0.40625,0,0,0,false,false
177,-0.859375,-0.03125,0.40625,0,0,0,false,false
178,-0.859375,-0.03125,0.413744627436645,0,0,0,false,false
179,-0.859375,-0.03125,0.415269687534915,0,0,0,false,false
180,-0.85366072696153,-0.03125,0.40625,0,0,0,false,false
181,-0.848622185149589,-0.03125,0.40625,0,0,0,false,false
182,-0.859375,-0.03125,0.40625,0,0,0,false,false
183,-0.859375,-0.03125,0.40625,0,0,0,false,false
184,-0.859375,-0.03125,0.40625,0,0,0,false,false
185,-0.859375,-0.03125,0.40625,0,0,0,false,false
186,-0.859375,-0.03125,0.40625,0,0,0,false,false
187,-0.859375,-0.03125,0.40625,0,0,0,false,false
188,-0.859375,-0.03125,0.40625,0,0,0,false,false
189,-0.859375,-0.03125,0.40625,0,0,0,false,false
190,-0.859375,-0.03125,0.40625,0,0,0,false,false
191,-0.859375,-0.03125,0.40625,0,0,0,false,false
