Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.015625,0.015625,-0.20762210874799,0,0,0,false,false
1,-1.01179559886925,0.015625,-0.21875,0,0,0,false,false
2,-1.00322090539576,0.015625,-0.215529094604238,0,0,0,false,false
3,-1.015625,0.015625,-0.203125,0,0,0,false,false
4,-1.015625,0.015625,-0.203125,0,0,0,false,false
5,-1.01721510043873,0.0172151004387313,-0.203125,0,0,0,false,false
6,-1.03125,0.03125,-0.203125,0,0,0,false,false
7,-1.03125,0.03125,-0.203125,0,0,0,false,false
8,-1.03077651748745,0.03125,-0.203125,0,0,0,false,false
9,-1.015625,0.03125,-0.203125,0,0,0,false,false
10,-1.01554859384934,0.03125,-0.203125,0,0,0,false,false
11,-1.0,0.03125,-0.203129415420044,0,0,0,false,false
12,-1.0,0.03125,-0.218728796925037,0,0,0,false,false
13,-1.0,0.03125,-0.203988372940662,0,0,0,false,false
14,-1.01531406439463,0.0159359356053693,-0.187710357673832,0,0,0,false,false
15,-1.015625,0.030677512469159,-0.202552512469159,0,0,0,false,false
16,-1.015625,0.03125,-0.203125,0,0,0,false,false
17,-1.015625,0.03125,-0.203125,0,0,0,false,false
18,-1.015625,0.0451192957342385,-0.203125,0,0,0,false,false
19,-1.015625,0.0335266644727902,-0.203125,0,0,0,false,false
20,-1.015625,0.03125,-0.203125,0,0,0,false,false
21,-1.00345003133626,0.021376933690465,-0.215299968663737,0,0,0,false,false
22,-1.0,0.00290932853671848,-0.21875,0,0,0,false,false
23,-1.0,0.0108754345839602,-0.21875,0,0,0,false,false
24,-1.01017757988113,0.015625,-0.21875,0,0,0,false,false
25,-1.015625,0.015625,-0.209293947915709,0,0,0,false,false
26,-1.015625,0.0243493909163515,-0.211849390916351,0,0,0,false,false
27,-1.015625,0.03125,-0.21875,0,0,0,false,false
28,-1.015625,0.03125,-0.21875,0,0,0,false,false
29,-1.015625,0.0246991515572564,-0.21875,0,0,0,false,false
30,-1.015625,0.015625,-0.224571983768304,0,0,0,false,false
31,-1.015625,0.015625,-0.234375,0,0,0,false,false
32,-1.01116961314886,0.0111696131488648,-0.234375,0,0,0,false,false
33,-1.00378952787128,0.0,-0.234375,0,0,0,false,false
34,-1.015625,0.0,-0.237539443742058,0,0,0,false,false
35,-1.015625,0.0,-0.25,0,0,0,false,false
36,-1.015625,0.0,-0.25,0,0,0,false,false
37,-1.015625,0.0,-0.25,0,0,0,false,false
38,-1.0167550766775,-0.000776420770358709,-0.25,0,0,0,false,false
39,-1.03125,-0.0176955070859217,-0.25,0,0,0,false,false
40,-1.03125,-0.0329769059420108,-0.25,0,0,0,false,false
41,-1.03139817515197,-0.046655377093556,-0.25,0,0,0,false,false
42,-1.04746866506761,-0.03125,-0.25,0,0,0,false,false
43,-1.06260732566472,-0.0312478279851775,-0.25,0,0,0,false,false
44,-1.07810667214207,-0.0156523787635977,-0.25,0,0,0,false,false
45,-1.06342982787569,-0.015625,-0.264695172124311,0,0,0,false,false
46,-1.0482304372826,-0.015625,-0.279894562717402,0,0,0,false,false
47,-1.0316590072046,-0.0020344034566232,-0.296465992795405,0,0,0,false,false
48,-1.03125,0.0127326451042516,-0.296875,0,0,0,false,false
49,-1.0455341812932,0.0447485711203296,-0.311159181293198,0,0,0,false,false
50,-1.046875,0.046875,-0.3125,0,0,0,false,false
51,-1.046875,0.0579910901602545,-0.339088015022803,0,0,0,false,false
52,-1.05734945797787,0.0760886640583767,-0.34375,0,0,0,false,false
53,-1.07334307992203,0.068297507312784,-0.34375,0,0,0,false,false
54,-1.08848075048733,0.0533015386380324,-0.34375,0,0,0,false,false
55,-1.10591467415075,0.0178981647935386,-0.326689883232264,0,0,0,false,false
56,-1.10148502874191,-0.0208734810791916,-0.293726393223356,0,0,0,false,false
57,-1.08558289034743,-0.0399672715797711,-0.262008452265344,0,0,0,false,false
58,-1.06252680124953,-0.0624731987504664,-0.238914241591122,0,0,0,false,false
59,-1.02711773481683,-0.0939327930323823,-0.234375,0,0,0,false,false
60,-1.02098497417731,-0.127890437654428,-0.234375,0,0,0,false,false
61,-1.03988833059084,-0.135841109064382,-0.234375,0,0,0,false,false
62,-1.04110644606663,-0.11700437300862,-0.234375,0,0,0,false,false
63,-1.03125,-0.109375,-0.229318416512823,0,0,0,false,false
64,-1.02687050645815,-0.104995506458146,-0.21875,0,0,0,false,false
65,-1.015625,-0.09375,-0.216095762957061,0,0,0,false,false
66,-1.01875198972877,-0.0906230102712309,-0.197716804836597,0,0,0,false,false
67,-1.02947597819864,-0.078125,-0.1875,0,0,0,false,false
68,-1.01234012507966,-0.078125,-0.185512302920169,0,0,0,false,false
69,-0.994994848584536,-0.078125,-0.172916714770895,0,0,0,false,false
70,-0.96563200973662,-0.078125,-0.190026257932835,0,0,0,false,false
71,-0.951176343694587,-0.078125,-0.205149826995055,0,0,0,false,false
72,-0.935258707703357,-0.078125,-0.220423502566475,0,0,0,false,false
73,-0.904051557863515,-0.078125,-0.234375,0,0,0,false,false
74,-0.875,-0.0780872015950927,-0.234431360121603,0,0,0,false,false
75,-0.875,-0.0624234855061107,-0.25,0,0,0,false,false
76,-0.875,-0.0468963565206298,-0.25,0,0,0,false,false
77,-0.875,-0.046875,-0.265475935688662,0,0,0,false,false
78,-0.889111136844209,-0.046875,-0.265625,0,0,0,false,false
79,-0.903858479993013,-0.0618619296111978,-0.225067372132967,0,0,0,false,false
80,-0.93368290132886,-0.0625,-0.179734730139623,0,0,0,false,false
81,-0.95040476857463,-0.0748334525607093,-0.116488192098426,0,0,0,false,false
82,-0.967467230058817,-0.089366807214824,-0.0967607652509609,0,0,0,false,false
83,-0.96875,-0.131285598433238,-0.0819738485346634,0,0,0,false,false
84,-0.96875,-0.151579663655764,-0.0645860418749835,0,0,0,false,false
85,-0.992893959712863,-0.178693692316483,-0.0625,0,0,0,false,false
86,-1.0,-0.200521801444485,-0.0739312189335795,0,0,0,false,false
87,-0.992296158435447,-0.195803341200564,-0.078125,0,0,0,false,false
88,-0.966710437675986,-0.160412686818828,-0.0710495012728962,0,0,0,false,false
89,-0.93544445651833,-0.117934202655769,-0.0473789256476067,0,0,0,false,false
90,-0.90600316481344,-0.109375,0.00251546753515337,0,0,0,false,false
91,-0.86527127320642,-0.109375,0.0521877966381618,0,0,0,false,false
92,-0.83351384597033,-0.12367648444032,0.0214386355790769,0,0,0,false,false
93,-0.854346726573209,-0.123691717068768,-1.09803807543826,0,0,0,false,false
94,-1.46156641468002,0.108214029290368,-2.11675913723368,0,0,0,false,false
95,-3.00861117368643,1.27976970349677,-0.543428235341529,0,0,0,false,false
96,-2.65658422862716,2.15307501525486,0.302263718772389,0,0,0,false,false
97,-0.580949944931052,1.21458954995564,-0.0226401452090843,0,0,0,false,false
98,-0.523777990297518,0.116942326251219,-0.324874586125799,0,0,0,false,false
99,-0.317699780328933,-0.319001809165668,-0.352222386567251,0,0,0,false,false
100,-0.243800512675731,-0.801483996970962,-0.248250551611162,0,0,0,false,false
101,-0.433145379657476,-1.046875,-0.0661944286872423,0,0,0,false,false
102,-0.89488162652639,-1.02931080316563,0.0146709615104243,0,0,0,false,false
103,-1.16539466520221,-0.625636434711497,-0.0272053862691192,0,0,0,false,false
104,-0.950753507753603,-0.304812157182259,-0.237137842959225,0,0,0,false,false
105,-0.813529309911486,-0.107769017138643,-0.396515972819269,0,0,0,false,false
106,-0.941657129984552,0.21228314019527,-0.453949001528525,0,0,0,false,false
107,-1.06260432671997,0.437553721039195,-0.468749815364337,0,0,0,false,false
108,-1.15254120715511,0.46871495009231,-0.363467206686128,0,0,0,false,false
109,-1.33934973774133,0.334219976205466,-0.188848370940824,0,0,0,false,false
110,-1.37466961357855,0.27245645584297,-0.200865588842521,0,0,0,false,false
111,-1.17248698689065,0.170066585260832,-0.257459206205432,0,0,0,false,false
112,-0.929737288203229,0.0590505007454143,-0.325333836545777,0,0,0,false,false
113,-0.831975002709695,0.00244347060875728,-0.328125,0,0,0,false,false
114,-0.852814271866585,0.0,-0.316473778125429,0,0,0,false,false
115,-0.873551298114386,0.0211554275534572,-0.298565465771719,0,0,0,false,false
116,-0.875,0.0712869455450647,-0.296875,0,0,0,false,false
117,-0.875,0.078125,-0.308894409246827,0,0,0,false,false
118,-0.910138884633979,0.0615836413820899,-0.29287394510649,0,0,0,false,false
119,-0.985621193255893,0.0106126887890138,-0.268727427504218,0,0,0,false,false
120,-1.06953824087204,-0.0640243904803925,-0.265625,0,0,0,false,false
121,-1.10583650241102,-0.127911669835866,-0.265625,0,0,0,false,false
122,-1.109375,-0.135370027487585,-0.274190297919428,0,0,0,false,false
123,-1.109375,-0.0993091213499362,-0.28125,0,0,0,false,false
124,-1.109375,-0.0260185933516404,-0.288332453956091,0,0,0,false,false
125,-1.10554118443603,0.0479763690366299,-0.296875,0,0,0,false,false
126,-1.07575506570508,0.0873499972676153,-0.296875,0,0,0,false,false
127,-1.03849926141621,0.09375,-0.291933826544024,0,0,0,false,false
128,-1.03125,0.0967972788122415,-0.28125,0,0,0,false,false
129,-1.03125,0.115314461464101,-0.277618673554476,0,0,0,false,false
130,-1.02823445905048,0.125,-0.268640540949515,0,0,0,false,false
131,-1.015625,0.122567154517931,-0.278817154517931,0,0,0,false,false
132,-1.01371929536173,0.109375,-0.265625,0,0,0,false,false
133,-1.0,0.109375,-0.265625,0,0,0,false,false
134,-0.998978561623218,0.107973577658541,-0.265625,0,0,0,false,false
135,-0.984375,0.0740841267524728,-0.265625,0,0,0,false,false
136,-0.984758337615223,0.045015044024276,-0.265625,0,0,0,false,false
137,-1.0,0.0303060441833304,-0.265625,0,0,0,false,false
138,-1.00002803649934,0.0151391200533767,-0.265625,0,0,0,false,false
139,-1.01560976358653,2.95996095862894e-8,-0.265625,0,0,0,false,false
140,-1.03121818395773,0.0,-0.250047452684997,0,0,0,false,false
141,-1.03125,0.0,-0.25,0,0,0,false,false
142,-1.01602467470594,0.0,-0.23477467470594,0,0,0,false,false
143,-1.015625,0.0,-0.249312300852468,0,0,0,false,false
144,-1.00104561525004,0.0,-0.25,0,0,0,false,false
145,-1.01416035058135,0.0,-0.235839649418646,0,0,0,false,false
146,-1.015625,0.0136846076947405,-0.24805960769474,0,0,0,false,false
147,-1.015625,0.015625,-0.25,0,0,0,false,false
148,-1.015625,0.0282107503628162,-0.25,0,0,0,false,false
149,-1.015625,0.03125,-0.25,0,0,0,false,false
150,-1.015625,0.03125,-0.261328321944814,0,0,0,false,false
151,-1.015625,0.0206090021360679,-0.254984002136068,0,0,0,false,false
152,-1.00568923676606,0.015625,-0.25,0,0,0,false,false
153,-1.0,0.00639321057611588,-0.25,0,0,0,false,false
154,-1.0,0.0,-0.25,0,0,0,false,false
155,-0.99224455285984,0.0,-0.25,0,0,0,false,false
156,-0.984375,0.0,-0.242985784310087,0,0,0,false,false
157,-0.984375,0.0,-0.240655933195184,0,0,0,false,false
158,-0.989954061438607,0.00406229577184733,-0.25,0,0,0,false,false
159,-1.0,0.0227956202259443,-0.25,0,0,0,false,false
160,-1.0,0.03125,-0.25,0,0,0,false,false
161,-1.0035664964712,0.0348164964712002,-0.25,0,0,0,false,false
162,-1.015625,0.046875,-0.25,0,0,0,false,false
163,-1.015625,0.046875,-0.25,0,0,0,false,false
164,-1.01749966976005,0.0455728916170239,-0.25,0,0,0,false,false
165,-1.03125,0.0283724327650515,-0.25,0,0,0,false,false
166,-1.03026617657452,0.0129261992699562,-0.250983823425483,0,0,0,false,false
167,-1.015625,0.0,-0.265625,0,0,0,false,false
168,-1.015625,0.0,-0.265625,0,0,0,false,false
169,-1.01547094400116,0.0,-0.265625,0,0,0,false,false
170,-1.00003420976863,0.0,-0.265625,0,0,0,false,false
171,-1.0156238925388,0.0,-0.265625,0,0,0,false,false
172,-1.015625,0.0,-0.265625,0,0,0,false,false
173,-1.015625,0.0,-0.265625,0,0,0,false,false
174,-1.015625,0.0,-0.265625,0,0,0,false,false
175,-1.015625,0.0149067256193249,-0.265625,0,0,0,false,false
176,-1.015625,0.015625,-0.265625,0,0,0,false,false
177,-1.00149278098612,0.015625,-0.265625,0,0,0,false,false
178,-1.01364083424188,0.015625,-0.265625,0,0,0,false,false
179,-1.015625,0.015625,-0.265625,0,0,0,false,false
180,-1.015625,0.015625,-0.265625,0,0,0,false,false
181,-1.015625,0.015625,-0.265625,0,0,0,false,false
182,-1.015625,0.0268912511267025,-0.265625,0,0,0,false,false
