Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.87554778851954,0.0517578125,-0.233543506875873,0,0,0,false,false
1,-0.871056953191584,0.0535740752374518,-0.222854597906603,0,0,0,false,false
2,-0.860448456857219,0.0535286668537682,-0.220516354406841,0,0,0,false,false
3,-0.86791472833197,0.0527191789501353,-0.222498964819112,0,0,0,false,false
4,-0.884821624703828,0.0502704529675438,-0.205485827456957,0,0,0,false,false
5,-0.895991039810413,0.040719712321849,-0.185244836490692,0,0,0,false,false
6,-0.901708416974362,0.0210996006846954,-0.16638433260143,0,0,0,false,false
7,-0.904910067343004,0.00467723355676409,-0.158266043357909,0,0,0,false,false
8,-0.902095903630581,-0.0125647350763541,-0.152395541458949,0,0,0,false,false
9,-0.909833792064831,-0.0352402052580138,-0.145976327648773,0,0,0,false,false
10,-0.922231988249658,-0.0560258169949929,-0.132594729384407,0,0,0,false,false
11,-0.92878706622518,-0.0779363038012753,-0.122670252244074,0,0,0,false,false
12,-0.934311843090789,-0.0922023022751835,-0.109341722240594,0,0,0,false,false
13,-0.929854434976564,-0.10276701396264,-0.093218899680054,0,0,0,false,false
14,-0.931511151538684,-0.115930440581758,-0.0767079596731812,0,0,0,false,false
15,-0.935448302147241,-0.133659512740006,-0.0593036572721371,0,0,0,false,false
16,-0.948006093812384,-0.152298621154522,-0.0405008563802531,0,0,0,false,false
17,-0.957833552730663,-0.168649222636491,-0.0303032379153873,0,0,0,false,false
18,-0.952469362072176,-0.168767146580444,-0.0293141226330797,0,0,0,false,false
19,-0.940724598025096,-0.151024789586679,-0.0295199368616661,0,0,0,false,false
20,-0.923999645497853,-0.112554231330689,-0.021302452399435,0,0,0,false,false
21,-0.922145761521305,-0.0600061632103844,-0.0215232521496383,0,0,0,false,false
22,-0.931222025390487,-0.0128685302717343,-0.0314957629284381,0,0,0,false,false
23,-0.954545252520592,0.0241881650206928,-0.0413140913658942,0,0,0,false,false
24,-0.974687591833545,0.0456810467592797,-0.0440328370648215,0,0,0,false,false
25,-0.998974082447642,0.0315402895985617,-0.0469395137594214,0,0,0,false,false
26,-1.01121148948102,-0.0172851897766138,-0.0457914203585702,0,0,0,false,false
27,-1.02724882512535,-0.0880303129909473,-0.0855485163030466,0,0,0,false,false
28,-1.03514399866284,-0.143316159906742,-0.102191749436333,0,0,0,false,false
29,-1.03901024581811,-0.192099738000318,-0.223662459285004,0,0,0,false,false
30,-1.19799288266061,-0.191301863073103,-0.724136906544406,0,0,0,false,false
31,-1.51673633932864,-0.222146637313536,-0.759137348873127,0,0,0,false,false
32,-1.40047006651281,-0.323846298399274,-0.418749912855762,0,0,0,false,false
33,-1.18158644675539,-0.378120211619882,-0.398232782916118,0,0,0,false,false
34,-1.03588542668724,-0.273950322547646,-0.422426494116165,0,0,0,false,false
35,-1.03078807170536,-0.0840963743279405,-0.540143357236743,0,0,0,false,false
