Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.00269721528194,0.0223707227203903,0.0683038497554857,0,0,0,false,false
1,-1.00264148247679,0.0191731397323648,0.066162109375,0,0,0,false,false
2,-0.999820018385251,0.0191422093689884,0.0675356343509536,0,0,0,false,false
3,-0.998023187679907,0.018378062133261,0.0684092476046555,0,0,0,false,false
4,-0.998358775203147,0.0167259419335785,0.0664480495591092,0,0,0,false,false
5,-1.00296929817859,0.0162026270381939,0.0651184140859582,0,0,0,false,false
6,-1.01063059478555,0.0145234573952944,0.0625180535955501,0,0,0,false,false
7,-1.01593243653404,0.0147353448509617,0.0569444492541175,0,0,0,false,false
8,-1.01670871143931,0.0201468315062663,0.0541473576874011,0,0,0,false,false
9,-1.01623111801321,0.0226174493054316,0.0551517707866853,0,0,0,false,false
10,-1.01657402236651,0.021688705951958,0.059225669602693,0,0,0,false,false
11,-1.01849760224649,0.0195743818490025,0.0596658991574294,0,0,0,false,false
12,-1.02014984580448,0.0165218952738825,0.0565431837582003,0,0,0,false,false
13,-1.02228011433961,0.01356682457607,0.0534863475960142,0,0,0,false,false
14,-1.02290061312512,0.0133129135800794,0.0534696639897664,0,0,0,false,false
15,-1.02249045591454,0.01264478668712,0.054929208239814,0,0,0,false,false
16,-1.01727793901767,0.012342999236046,0.0523786094145142,0,0,0,false,false
17,-1.01530359774245,0.0162507693480557,0.0484419383174913,0,0,0,false,false
18,-1.0191583573666,0.0213798770659765,0.045342190264837,0,0,0,false,false
19,-1.02202580328617,0.0263276016449124,0.0442706602917552,0,0,0,false,false
20,-1.0227046742598,0.0287728886202585,0.0431882809249539,0,0,0,false,false
21,-1.01609853725624,0.0295457499464758,0.0474568146012143,0,0,0,false,false
22,-1.00956154283279,0.0320251914058553,0.0545913915026106,0,0,0,false,false
23,-1.00106154865716,0.0392950560309776,0.0557441572747626,0,0,0,false,false
24,-0.991887505628816,0.048550692553457,0.0474632514483027,0,0,0,false,false
25,-0.98471801085233,0.0562652863393285,0.0414658839432047,0,0,0,false,false
26,-0.976659905763078,0.0609261439430178,0.0481666241114335,0,0,0,false,false
27,-0.967244795073308,0.0658795633319171,0.057048890728467,0,0,0,false,false
28,-0.955254477627834,0.0723751157725155,0.0612809988740266,0,0,0,false,false
29,-0.943634851418873,0.0767595904200453,0.0668675405509071,0,0,0,false,false
30,-0.938506123091863,0.0775176185062672,0.0787436718547121,0,0,0,false,false
31,-0.941572595965581,0.0826049616739782,0.0900840444792059,0,0,0,false,false
32,-0.944504875294455,0.0891415153149702,0.0967446714000307,0,0,0,false,false
33,-0.948973420173101,0.0951686407409108,0.103634251186458,0,0,0,false,false
34,-0.948489146733643,0.102609273315071,0.10646270552662,0,0,0,false,false
35,-0.95751953125,0.10595703125,0.107177734375,0,0,0,false,false
36,-0.991230662184279,0.103093535108556,0.104012536257735,0,0,0,false,false
37,-1.01998504587167,0.094069534445023,0.10375998024128,0,0,0,false,false
38,-1.02551809374507,0.0792434749963821,0.106916048187162,0,0,0,false,false
39,-1.02728209656174,0.0656008026214833,0.105483189945305,0,0,0,false,false
40,-1.02801238491442,0.0610672488545105,0.108113081017215,0,0,0,false,false
41,-1.02918699216253,0.0668885055546038,0.106920198486315,0,0,0,false,false
42,-1.0303566789628,0.0709918749872768,0.0911638035802088,0,0,0,false,false
43,-1.0327894883122,0.0734379922187549,0.0623872276606817,0,0,0,false,false
44,-1.03808082943642,0.0646974255917729,0.0430295992073129,0,0,0,false,false
45,-1.04822718481643,0.0440116564407198,0.0389044939278693,0,0,0,false,false
46,-1.06258760721129,0.0159605244711215,0.0455854224637344,0,0,0,false,false
47,-1.06957334073673,-0.00683727406079788,0.0477950766596494,0,0,0,false,false
48,-1.06369572542075,-0.0252931735169818,0.0400164600944621,0,0,0,false,false
49,-1.04767497596301,-0.0307947829155839,0.0374583945010521,0,0,0,false,false
50,-1.03066680370152,-0.0267537700631827,0.0353034465081432,0,0,0,false,false
51,-1.01708003566726,-0.0150232166957998,0.0314577306810602,0,0,0,false,false
52,-1.00878646626616,-0.00571265290674791,0.0282485356638182,0,0,0,false,false
53,-1.00339701045427,0.00340975972702349,0.0231553884488684,0,0,0,false,false
54,-1.00334197451155,0.00796495731246032,0.0136687483188697,0,0,0,false,false
55,-1.00687346931764,0.00700503746183215,0.00569405160198312,0,0,0,false,false
56,-1.01071352990024,0.00644425808064977,0.00140517350453451,0,0,0,false,false
57,-1.01255238691957,0.00207813833903141,0.00140872670043981,0,0,0,false,false
58,-1.01356494062503,-0.0115085412505385,0.00229340543912317,0,0,0,false,false
59,-1.01524464503752,-0.0247488435901102,0.00408992782153141,0,0,0,false,false
