Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.989968386688267,-0.0969001993409975,-0.0329622585946356,0,0,0,false,false
1,-0.990477733965552,-0.0986161482445671,-0.0353934149355514,0,0,0,false,false
2,-0.989018119760243,-0.0988692810736008,-0.034183394071036,0,0,0,false,false
3,-0.992177843727894,-0.0991205957182129,-0.0349098810045139,0,0,0,false,false
4,-0.991226207648081,-0.0986608861006893,-0.0344506406237596,0,0,0,false,false
5,-0.99096714797299,-0.0952243863732499,-0.0319890340976349,0,0,0,false,false
6,-0.991196606766337,-0.0976243007488839,-0.0327126153795139,0,0,0,false,false
7,-0.994131650748977,-0.0981438213017504,-0.03247149095549,0,0,0,false,false
8,-0.993911160056246,-0.0972115160321665,-0.0346608641634768,0,0,0,false,false
9,-0.9912196253457,-0.0952200602517088,-0.03466796875,0,0,0,false,false
10,-0.993644449764974,-0.0954581949764974,-0.0310177003525387,0,0,0,false,false
11,-0.992214949245875,-0.095458984375,-0.031005859375,0,0,0,false,false
12,-0.991700063942446,-0.0966236282286146,-0.0317357740653066,0,0,0,false,false
13,-0.992875505172188,-0.0991141867683932,-0.0315078203941209,0,0,0,false,false
14,-0.99413765062021,-0.098391332168865,-0.0305613945479347,0,0,0,false,false
15,-0.991220986191802,-0.0988648925176011,-0.0288130510400362,0,0,0,false,false
16,-0.994860486010248,-0.0991206241903339,-0.029295200218033,0,0,0,false,false
17,-0.99438663322796,-0.0957161982207207,-0.029296875,0,0,0,false,false
18,-0.995357578059264,-0.0966321334972613,-0.0285672656743021,0,0,0,false,false
19,-0.993415703256472,-0.0986269584454923,-0.0290508593421319,0,0,0,false,false
20,-0.994805865124651,-0.0986328125,-0.0266676041675135,0,0,0,false,false
21,-0.997307391398935,-0.0991192187171319,-0.0256498938512486,0,0,0,false,false
22,-0.996604544341587,-0.0981482813157362,-0.0253910686933447,0,0,0,false,false
23,-0.996094944919658,-0.0988739900836099,-0.0258499916992972,0,0,0,false,false
24,-0.998039374868528,-0.0976917191636616,-0.0278109279007779,0,0,0,false,false
25,-0.995421598784927,-0.0969255717473418,-0.0280757621872552,0,0,0,false,false
26,-0.994386814181598,-0.0973932910171419,-0.0271035679487503,0,0,0,false,false
27,-0.996086462479922,-0.0978989938040757,-0.027327914765224,0,0,0,false,false
28,-0.994634855923612,-0.0954689004976865,-0.028803202664718,0,0,0,false,false
29,-0.99462890625,-0.0964018128931319,-0.02880859375,0,0,0,false,false
30,-0.994142711285298,-0.0971336396943165,-0.0251621315147384,0,0,0,false,false
31,-0.995552143898952,-0.0983847430393855,-0.0275007595775957,0,0,0,false,false
32,-0.996822659326511,-0.0969304031333092,-0.0295354537960909,0,0,0,false,false
33,-0.994638788349773,-0.0978567372048996,-0.0278768066254,0,0,0,false,false
34,-0.995843860982343,-0.0991170269706305,-0.0271421461132914,0,0,0,false,false
35,-0.99464976043222,-0.0984283337004479,-0.0249110267444952,0,0,0,false,false
36,-0.994400370415215,-0.0969292358181132,-0.027738161263853,0,0,0,false,false
