Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.987101329121781,-0.0885553921886088,-0.0988936761575603,0,0,0,false,false
1,-0.985798885786297,-0.0894604730224446,-0.10021077912934,0,0,0,false,false
2,-0.98162620970407,-0.0900446183368348,-0.0983167364888253,0,0,0,false,false
3,-0.98345171795801,-0.090087890625,-0.0960970834670436,0,0,0,false,false
4,-0.984054264402189,-0.08924714801331,-0.095947265625,0,0,0,false,false
5,-0.986457513858769,-0.08960605331926,-0.0957374850262602,0,0,0,false,false
6,-0.986441363084168,-0.090856613708993,-0.0961716130710099,0,0,0,false,false
7,-0.986154792340303,-0.0942942539539269,-0.0990042518874225,0,0,0,false,false
8,-0.98554018996472,-0.0960973346516774,-0.098660993268515,0,0,0,false,false
9,-0.984691353445276,-0.0944135130531896,-0.0975083931353685,0,0,0,false,false
10,-0.987551468380261,-0.0918263261897334,-0.0979248868098468,0,0,0,false,false
11,-0.987408143935993,-0.0913747916039647,-0.0988325372843899,0,0,0,false,false
12,-0.990027563272742,-0.0906645117771671,-0.10082162016594,0,0,0,false,false
13,-0.987397442791292,-0.0914050535260832,-0.102649445491519,0,0,0,false,false
14,-0.983670024554903,-0.0937468777238081,-0.102000735380207,0,0,0,false,false
15,-0.988767731221014,-0.0929471970289617,-0.101580460227966,0,0,0,false,false
16,-0.99112521766778,-0.0938193636498158,-0.102481868373689,0,0,0,false,false
17,-0.991035838571047,-0.0920982414976966,-0.103449808393521,0,0,0,false,false
18,-0.990798024997862,-0.0908819411946525,-0.102394499239161,0,0,0,false,false
19,-0.990080127751077,-0.0869867427955315,-0.0979399727417832,0,0,0,false,false
20,-0.990408069780322,-0.081784509995108,-0.097412109375,0,0,0,false,false
21,-0.990328822385896,-0.0799261706900208,-0.0982475235037918,0,0,0,false,false
22,-0.988973951262105,-0.079833984375,-0.0979252727527398,0,0,0,false,false
23,-0.987306174665834,-0.0823377908720395,-0.0951018094494765,0,0,0,false,false
24,-0.986611441211221,-0.0879368233257831,-0.0948756074180858,0,0,0,false,false
25,-0.987217929940549,-0.0937947436035615,-0.0962290266275653,0,0,0,false,false
26,-0.98917815728813,-0.0950622788617968,-0.0979993064318576,0,0,0,false,false
27,-0.991530360801042,-0.0957559397733642,-0.0940862642086603,0,0,0,false,false
28,-0.992745384184366,-0.0968169406791478,-0.0918305762712065,0,0,0,false,false
29,-0.993364746765829,-0.0958401182587475,-0.0906689136093212,0,0,0,false,false
30,-0.991108205832199,-0.0945746415907404,-0.0930730849197062,0,0,0,false,false
31,-0.987817832111492,-0.094482421875,-0.0944279388125068,0,0,0,false,false
32,-0.987548828125,-0.095418906531444,-0.0983295691059265,0,0,0,false,false
33,-0.986303416830757,-0.0999915042090333,-0.0970088361836355,0,0,0,false,false
34,-0.986388119076297,-0.0988648654665087,-0.0981083723466182,0,0,0,false,false
35,-0.988208759691411,-0.0957452696116799,-0.0998956552550254,0,0,0,false,false
36,-0.990248054330543,-0.0967027629892787,-0.100323944188943,0,0,0,false,false
37,-0.990705265687805,-0.0956792153404357,-0.0974377003776832,0,0,0,false,false
38,-0.989893470507147,-0.0962335608730424,-0.0972171231455875,0,0,0,false,false
39,-0.99039311626904,-0.0965971812325119,-0.100767218198708,0,0,0,false,false
40,-0.992291334771773,-0.0988802348645774,-0.097794319967877,0,0,0,false,false
41,-0.993345538930615,-0.103748381086098,-0.0992382044345749,0,0,0,false,false
42,-0.99113168495832,-0.103834134481058,-0.0983346242224312,0,0,0,false,false
43,-0.993500457469249,-0.104380634215913,-0.0970156687245652,0,0,0,false,false
44,-0.994593654158821,-0.102008713136349,-0.0977516529128837,0,0,0,false,false
45,-0.992756363533595,-0.10176931760032,-0.097900390625,0,0,0,false,false
46,-0.991470703652334,-0.0993346223481598,-0.0987342124952264,0,0,0,false,false
47,-0.989946262800906,-0.0960922568545977,-0.100633508718978,0,0,0,false,false
48,-0.987977413549476,-0.0952518831408775,-0.100004175788769,0,0,0,false,false
49,-0.987999376040863,-0.0974853239494969,-0.102536810406224,0,0,0,false,false
50,-0.987722052835605,-0.097074488288769,-0.101952987873711,0,0,0,false,false
51,-0.986655670118965,-0.0977494572884534,-0.100799921606931,0,0,0,false,false
52,-0.985411648899489,-0.0965636909503762,-0.0999282784852906,0,0,0,false,false
53,-0.984241353619702,-0.095743893519686,-0.102530535680241,0,0,0,false,false
54,-0.981958254616112,-0.0976060921530084,-0.101378290008639,0,0,0,false,false
55,-0.984575297172382,-0.0986572692400214,-0.102047736897733,0,0,0,false,false
56,-0.984901497255366,-0.100989142857855,-0.102519957273101,0,0,0,false,false
57,-0.98486328125,-0.100701415292956,-0.101300242657917,0,0,0,false,false
