Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.991698377124871,0.161897670440678,-0.177060437211113,0,0,0,false,false
1,-0.98838534457027,0.163774145219895,-0.178539629403368,0,0,0,false,false
2,-0.986993561835202,0.163318847099681,-0.178618017496512,0,0,0,false,false
3,-0.986851786062876,0.159755044465739,-0.177187529809134,0,0,0,false,false
4,-0.9873046875,0.158294663096676,-0.174894088098558,0,0,0,false,false
5,-0.987574590521941,0.15835729795102,-0.175003017194537,0,0,0,false,false
6,-0.9875943618462,0.159177169563361,-0.178133429506109,0,0,0,false,false
7,-0.987685656149571,0.160176937780542,-0.178167248439609,0,0,0,false,false
8,-0.988860520004683,0.157852750544417,-0.177807644880349,0,0,0,false,false
9,-0.986486317641128,0.156958795738836,-0.177252772461209,0,0,0,false,false
10,-0.984209956310038,0.157065784480635,-0.177411332163293,0,0,0,false,false
11,-0.984309471450865,0.156515923235318,-0.17777700832475,0,0,0,false,false
12,-0.98718495819717,0.152893862962832,-0.176656553015149,0,0,0,false,false
13,-0.989635506430439,0.152961043027462,-0.17583288867251,0,0,0,false,false
14,-0.990966796875,0.15361591578075,-0.175544154636139,0,0,0,false,false
15,-0.990966796875,0.152761341338824,-0.177326114618201,0,0,0,false,false
16,-0.990894073980036,0.156148826218753,-0.176135148318134,0,0,0,false,false
17,-0.991221407470063,0.157470703125,-0.176221341608066,0,0,0,false,false
18,-0.992431640625,0.157470703125,-0.177436563221338,0,0,0,false,false
19,-0.992032023621521,0.157265034407062,-0.178561825171482,0,0,0,false,false
20,-0.989744214289697,0.156171178493894,-0.178457667893004,0,0,0,false,false
21,-0.98876953125,0.156005468652246,-0.176872393276608,0,0,0,false,false
22,-0.989244274203762,0.157397659051302,-0.17786256295595,0,0,0,false,false
23,-0.991895707481915,0.157710999269837,-0.182197206378779,0,0,0,false,false
24,-0.993857269727335,0.157224372332525,-0.184223353034038,0,0,0,false,false
25,-0.993691004292197,0.157855973378212,-0.186649991144149,0,0,0,false,false
26,-0.990231634084987,0.156606412542058,-0.186418971233544,0,0,0,false,false
27,-0.991387467544879,0.15561152969211,-0.183579389318028,0,0,0,false,false
28,-0.991950410987713,0.156408869950195,-0.181428631586545,0,0,0,false,false
29,-0.992401677453704,0.155752492198602,-0.181077115693267,0,0,0,false,false
30,-0.991977742027765,0.157135632258708,-0.180613753707274,0,0,0,false,false
31,-0.991754567889582,0.155123024711735,-0.179576940157627,0,0,0,false,false
32,-0.994671563324228,0.154836572421462,-0.180034472967923,0,0,0,false,false
33,-0.99677819767048,0.155836557241963,-0.181941279034318,0,0,0,false,false
34,-0.996953954887937,0.154948104277365,-0.1804584878641,0,0,0,false,false
35,-0.997954872509094,0.154547122118195,-0.182085365673962,0,0,0,false,false
36,-0.99438843032133,0.154205946456057,-0.182108145070962,0,0,0,false,false
37,-0.993865890904356,0.156005859375,-0.181249878571969,0,0,0,false,false
38,-0.994831687124593,0.156125647666673,-0.182530450121744,0,0,0,false,false
39,-0.994950180960237,0.15786849617358,-0.181430274529135,0,0,0,false,false
40,-0.996385540846283,0.160594845770432,-0.184035135821079,0,0,0,false,false
41,-0.993799183556928,0.161192035766238,-0.183351498529666,0,0,0,false,false
42,-0.991506103587247,0.159250814940969,-0.182841585842614,0,0,0,false,false
43,-0.992080882489246,0.157510526027559,-0.184953071614971,0,0,0,false,false
44,-0.992204442247635,0.156077820407007,-0.185723196196276,0,0,0,false,false
45,-0.989232527464843,0.155991766381693,-0.185532782006693,0,0,0,false,false
46,-0.987313605158778,0.157407438554056,-0.186666613983479,0,0,0,false,false
47,-0.988983170098145,0.157226436089844,-0.183016088034832,0,0,0,false,false
48,-0.988947344426659,0.158935546875,-0.181640625,0,0,0,false,false
49,-0.991551629109518,0.158598673275227,-0.182117862599679,0,0,0,false,false
50,-0.993272690833639,0.156186392850913,-0.185711113403247,0,0,0,false,false
51,-0.992311350435536,0.158173981711901,-0.184628851351552,0,0,0,false,false
52,-0.993820975388809,0.158616496978283,-0.184131970764478,0,0,0,false,false
53,-0.994650469612479,0.158292405500262,-0.184475049321354,0,0,0,false,false
54,-0.995758871981817,0.160923266159084,-0.183820593482958,0,0,0,false,false
55,-0.994894883162112,0.15656949525463,-0.185971005519463,0,0,0,false,false
56,-0.994867152206475,0.157934864295931,-0.184921706493749,0,0,0,false,false
57,-0.990613252855865,0.159180280800583,-0.184096472505288,0,0,0,false,false
58,-0.988712355249994,0.160081036988874,-0.182396329042237,0,0,0,false,false
59,-0.991341715875461,0.159244810656408,-0.181662889717307,0,0,0,false,false
60,-0.991690109205032,0.161024868102811,-0.182219744585046,0,0,0,false,false
61,-0.991373233927703,0.162859216577226,-0.183257450338082,0,0,0,false,false
62,-0.990667366443857,0.159774619805194,-0.187137757778156,0,0,0,false,false
63,-0.990502482310945,0.161361876884379,-0.187442788373613,0,0,0,false,false
64,-0.991382491014572,0.160738790875072,-0.18653262157088,0,0,0,false,false
65,-0.993186278693799,0.159367796883049,-0.186805629099114,0,0,0,false,false
66,-0.994470131858957,0.159206552182499,-0.186932331554479,0,0,0,false,false
67,-0.990446820965007,0.159987140294438,-0.184934877746052,0,0,0,false,false
68,-0.98931734072916,0.160436515423035,-0.184169524897711,0,0,0,false,false
69,-0.991091318862443,0.16071720417779,-0.183036318979014,0,0,0,false,false
70,-0.991644554178036,0.161985298299901,-0.187251921080173,0,0,0,false,false
71,-0.990277344876299,0.163009519870776,-0.186906635207095,0,0,0,false,false
72,-0.992102530111129,0.164507732263415,-0.18511233593559,0,0,0,false,false
73,-0.993152313644528,0.16241726985139,-0.186724878252071,0,0,0,false,false
74,-0.992314501431669,0.160661976825187,-0.184989898120766,0,0,0,false,false
75,-0.990612814151048,0.158078085366665,-0.184513305296906,0,0,0,false,false
76,-0.989639917572307,0.157119043394042,-0.183767365728076,0,0,0,false,false
77,-0.988105543297876,0.156016428039593,-0.183148533955852,0,0,0,false,false
78,-0.98585044988719,0.157112212566828,-0.185250669550536,0,0,0,false,false
79,-0.98690474997117,0.15917703872299,-0.18237881137411,0,0,0,false,false
80,-0.988447277946994,0.158917325231023,-0.183212918665688,0,0,0,false,false
81,-0.991453761946566,0.158737083647495,-0.185785381057397,0,0,0,false,false
82,-0.991176665827136,0.163501784985424,-0.184682136320205,0,0,0,false,false
83,-0.98966853358665,0.165254723020403,-0.180682076487291,0,0,0,false,false
84,-0.988525390625,0.161822657734095,-0.18317843522275,0,0,0,false,false
85,-0.988540246786431,0.16135394141215,-0.184072210943532,0,0,0,false,false
86,-0.991272666776205,0.160854586380721,-0.182621141566405,0,0,0,false,false
87,-0.99218265163572,0.159674178186059,-0.183348914774799,0,0,0,false,false
88,-0.990689144266078,0.161124521235055,-0.183096882609307,0,0,0,false,false
89,-0.989995032647184,0.158696847046855,-0.182864564509016,0,0,0,false,false
90,-0.99195388204012,0.160899313581054,-0.184078867775841,0,0,0,false,false
91,-0.992198162941404,0.161144953408185,-0.182373687361678,0,0,0,false,false
92,-0.993903295591935,0.16357421875,-0.183117384097026,0,0,0,false,false
93,-0.994140460968256,0.163573772570617,-0.183837185435374,0,0,0,false,false
94,-0.993402292852833,0.161855210019621,-0.181884837353338,0,0,0,false,false
95,-0.992430472538455,0.160644557564453,-0.18237298766748,0,0,0,false,false
96,-0.992188847720658,0.161621067435547,-0.18017584045752,0,0,0,false,false
97,-0.98925822088606,0.159912360424183,-0.180418198384528,0,0,0,false,false
98,-0.989496504790085,0.159912109375,-0.180658839825369,0,0,0,false,false
99,-0.992917434729355,0.163552487446257,-0.182842718233283,0,0,0,false,false
100,-0.991236874314151,0.164285755019721,-0.183593311586782,0,0,0,false,false
101,-0.990272111178313,0.166231449223449,-0.181156854032458,0,0,0,false,false
102,-0.986580099224788,0.166991241229436,-0.181617536812614,0,0,0,false,false
103,-0.989977966430664,0.165584066327059,-0.183830949961414,0,0,0,false,false
104,-0.987072965747118,0.163894210667616,-0.18198276389537,0,0,0,false,false
105,-0.988434996341381,0.161430982315585,-0.178237907154993,0,0,0,false,false
