Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.969007655079692,-0.03857421875,-0.0398107462836505,0,0,0,false,false
1,-0.96966142082476,-0.0383138128000686,-0.0399088595250343,0,0,0,false,false
2,-0.970140735678767,-0.0387443331437816,-0.0409640762157823,0,0,0,false,false
3,-0.96939225048516,-0.0383772934883856,-0.0427668670735978,0,0,0,false,false
4,-0.969543934877759,-0.03759765625,-0.0400150462962963,0,0,0,false,false
5,-0.970349522855098,-0.0388005414094616,-0.0387089745743158,0,0,0,false,false
6,-0.97134467664516,-0.0405773275766255,-0.0400657930090634,0,0,0,false,false
7,-0.971491923572702,-0.0404134985795045,-0.0408188936556266,0,0,0,false,false
8,-0.970694996674913,-0.038106489980677,-0.0433639374512205,0,0,0,false,false
9,-0.969544266631588,-0.0388207938289277,-0.0430004591330892,0,0,0,false,false
10,-0.970088782789635,-0.040659785174369,-0.0413736743545857,0,0,0,false,false
11,-0.971386936662452,-0.0394322282184716,-0.041687856324402,0,0,0,false,false
12,-0.972190981196014,-0.0371841558792435,-0.0419921875,0,0,0,false,false
13,-0.971594197076814,-0.0384607169864588,-0.0405417487623102,0,0,0,false,false
14,-0.969818574422424,-0.0377903460565055,-0.0399399041813967,0,0,0,false,false
15,-0.970518049864614,-0.0389882434405471,-0.0404696313732257,0,0,0,false,false
16,-0.970348109517381,-0.0399107083943907,-0.0387389590900703,0,0,0,false,false
17,-0.968713935204358,-0.0387618290740604,-0.0378978867761179,0,0,0,false,false
18,-0.967714102320307,-0.0390284351389768,-0.0376317211110232,0,0,0,false,false
19,-0.968341284583782,-0.039306640625,-0.0393424306660795,0,0,0,false,false
20,-0.970652605901284,-0.0386903659206993,-0.0403451020288018,0,0,0,false,false
21,-0.970878217885704,-0.0387431714866083,-0.0370041125056625,0,0,0,false,false
22,-0.969105096967942,-0.0392545279608979,-0.0385246287424645,0,0,0,false,false
23,-0.968831926446308,-0.0387314118022642,-0.0388625723633256,0,0,0,false,false
24,-0.970339768898887,-0.0381338163635891,-0.0385630985149015,0,0,0,false,false
25,-0.971339082234637,-0.0395269668766669,-0.038818359375,0,0,0,false,false
26,-0.970468513389334,-0.038993825144112,-0.0391531814199067,0,0,0,false,false
27,-0.970295587319041,-0.0385536575680834,-0.0407822474873171,0,0,0,false,false
28,-0.969640167000443,-0.0397006355045012,-0.0411606939582074,0,0,0,false,false
29,-0.969867221444859,-0.0396305955919372,-0.0396225375731405,0,0,0,false,false
30,-0.971572802949195,-0.0389227556351773,-0.0372341919530271,0,0,0,false,false
31,-0.970754061919922,-0.0391525782907364,-0.0383711015069176,0,0,0,false,false
32,-0.970551570655105,-0.0388015502673419,-0.0399091451220633,0,0,0,false,false
33,-0.970024526709456,-0.0397617657584513,-0.0391908146368205,0,0,0,false,false
34,-0.970579323940985,-0.040112650836803,-0.0400122253923788,0,0,0,false,false
35,-0.970089378729157,-0.0403822172583372,-0.0398410342333255,0,0,0,false,false
