Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.973633878271911,-0.0849872174265005,-0.140371452158587,0,0,0,false,false
1,-0.975929848335284,-0.0853539474447931,-0.137740429281875,0,0,0,false,false
2,-0.981075756957961,-0.0830604396401488,-0.134896419407038,0,0,0,false,false
3,-0.981394869436638,-0.0825060286821723,-0.134723256628448,0,0,0,false,false
4,-0.980571954477956,-0.088020346837862,-0.138204265977627,0,0,0,false,false
5,-0.984630626771034,-0.0897432766334107,-0.132279272445261,0,0,0,false,false
6,-0.98987814887525,-0.0902651735988773,-0.129940416493265,0,0,0,false,false
7,-0.986052993890442,-0.087699878622169,-0.132670689565407,0,0,0,false,false
8,-0.982391476424533,-0.0847444840544762,-0.138817118424572,0,0,0,false,false
9,-0.980334630329201,-0.0858587642563387,-0.140369300103096,0,0,0,false,false
10,-0.972210857843569,-0.0878526257369338,-0.140295827151312,0,0,0,false,false
11,-0.970458984375,-0.0932765819660073,-0.144221941161205,0,0,0,false,false
12,-0.970393482881534,-0.095703125,-0.145189366335384,0,0,0,false,false
13,-0.969018863241213,-0.0956281903096151,-0.146976985667474,0,0,0,false,false
14,-0.970163928736228,-0.0936656193658863,-0.149245431286335,0,0,0,false,false
15,-0.972056855093638,-0.0931018165099517,-0.151854940158106,0,0,0,false,false
16,-0.972635749252069,-0.0906336257157681,-0.152907269011642,0,0,0,false,false
17,-0.97219255918544,-0.0893963832916094,-0.14823022313083,0,0,0,false,false
18,-0.973312608178543,-0.0880081842743648,-0.146936544121331,0,0,0,false,false
19,-0.974441112324795,-0.0908203125,-0.143196932070039,0,0,0,false,false
20,-0.968465625981253,-0.090824268468889,-0.141029153887736,0,0,0,false,false
21,-0.965650837913632,-0.0912176877922419,-0.140457443759747,0,0,0,false,false
22,-0.967474210492924,-0.0939841509329175,-0.137492609775516,0,0,0,false,false
23,-0.966109874113624,-0.0933977405179847,-0.136483622014073,0,0,0,false,false
24,-0.968287703411604,-0.0923789295135272,-0.136631436902135,0,0,0,false,false
25,-0.970972082163553,-0.0963199283284381,-0.134294772754966,0,0,0,false,false
26,-0.973147020499955,-0.099086686337664,-0.134740264536118,0,0,0,false,false
27,-0.975323202557004,-0.100467900545048,-0.13410729820736,0,0,0,false,false
28,-0.977311960237273,-0.10143573259367,-0.136905226654372,0,0,0,false,false
29,-0.979578394083487,-0.102287117866383,-0.137931448494736,0,0,0,false,false
30,-0.979868403926311,-0.101694349699027,-0.137871414365797,0,0,0,false,false
31,-0.976604629656872,-0.09966126751589,-0.143003625567041,0,0,0,false,false
32,-0.978398282687171,-0.0979542583609456,-0.14111328125,0,0,0,false,false
33,-0.979339639353634,-0.0959305752008908,-0.141171849843806,0,0,0,false,false
34,-0.979974147304288,-0.0925795684534082,-0.14305182067323,0,0,0,false,false
35,-0.979328070969538,-0.0886414964996732,-0.142624714237804,0,0,0,false,false
36,-0.975681601915645,-0.0897237064304217,-0.145293019094881,0,0,0,false,false
37,-0.97478681808388,-0.0908029687323362,-0.14830215612395,0,0,0,false,false
38,-0.974407967636427,-0.09005194805503,-0.151327356360974,0,0,0,false,false
39,-0.976110883874734,-0.0898632751945335,-0.149970517631656,0,0,0,false,false
40,-0.976398368461175,-0.0905631550786443,-0.153573556660982,0,0,0,false,false
41,-0.978659171203729,-0.0901389263394171,-0.155727851630942,0,0,0,false,false
42,-0.979882678676966,-0.0919823584636065,-0.157510797792407,0,0,0,false,false
43,-0.981541037965877,-0.0889273218257179,-0.157659041756254,0,0,0,false,false
44,-0.982145794502509,-0.0876523486685367,-0.153650274243594,0,0,0,false,false
45,-0.9806755219061,-0.0878606093877962,-0.148768158819083,0,0,0,false,false
46,-0.980543390723497,-0.0853951694756274,-0.14504723009335,0,0,0,false,false
47,-0.983608092515598,-0.0813495090395987,-0.143517528136549,0,0,0,false,false
48,-0.980246393508703,-0.0801830449015754,-0.143321113748375,0,0,0,false,false
49,-0.972054731059303,-0.0880922942757772,-0.143781012205408,0,0,0,false,false
50,-0.9698503134912,-0.0961210214461252,-0.141752243780749,0,0,0,false,false
51,-0.975565475253279,-0.102042989504124,-0.134245585058742,0,0,0,false,false
52,-0.973665570745999,-0.10120781979005,-0.13216491929912,0,0,0,false,false
53,-0.97058080653545,-0.0989801914723065,-0.130463904840737,0,0,0,false,false
54,-0.969744960051878,-0.0975280480681145,-0.1289441179474,0,0,0,false,false
55,-0.970669112428516,-0.09619140625,-0.131767353012584,0,0,0,false,false
56,-0.968716428738189,-0.0962023991254603,-0.133248308714878,0,0,0,false,false
57,-0.968542825985184,-0.0969524773116866,-0.130407907284825,0,0,0,false,false
58,-0.971638404233692,-0.0971575122052707,-0.133810034702884,0,0,0,false,false
59,-0.9736328125,-0.0964092862498846,-0.137093523103321,0,0,0,false,false
60,-0.973643167099109,-0.0961573751022418,-0.138311922879809,0,0,0,false,false
61,-0.974697672125429,-0.0954339058187823,-0.140519487690997,0,0,0,false,false
62,-0.975787720237553,-0.0951803126796448,-0.142255966751583,0,0,0,false,false
63,-0.972283558763538,-0.0938350355449379,-0.144833386938741,0,0,0,false,false
64,-0.971194513824171,-0.0898966006543675,-0.145251915939879,0,0,0,false,false
65,-0.971765490526134,-0.0881448221767732,-0.143941314292302,0,0,0,false,false
66,-0.975627128672419,-0.0894763167962883,-0.142584911732898,0,0,0,false,false
67,-0.979959165370432,-0.0916058261000853,-0.143357606714314,0,0,0,false,false
68,-0.982532577166331,-0.0920118804864464,-0.144168383593533,0,0,0,false,false
69,-0.983581391530646,-0.0878021824515435,-0.148431501309933,0,0,0,false,false
70,-0.97762402231737,-0.0821746760846261,-0.14733903637307,0,0,0,false,false
71,-0.97587376967283,-0.0812008466920363,-0.144298381951712,0,0,0,false,false
72,-0.969921487226509,-0.0790332620445619,-0.145857349485902,0,0,0,false,false
73,-0.96619679697242,-0.0783870341529856,-0.147455825063433,0,0,0,false,false
74,-0.965103392305169,-0.080078125,-0.146985437341418,0,0,0,false,false
75,-0.967422626936047,-0.0800878799934698,-0.148180817240539,0,0,0,false,false
76,-0.96947317460145,-0.0819261113513557,-0.1458122125627,0,0,0,false,false
77,-0.968523857147154,-0.0853722774316368,-0.141484097551682,0,0,0,false,false
78,-0.971602634310508,-0.0880437884825488,-0.140023746016671,0,0,0,false,false
79,-0.974365234375,-0.0905642014775993,-0.136720718228617,0,0,0,false,false
80,-0.974351204226949,-0.0885361864886364,-0.13130075366035,0,0,0,false,false
81,-0.972659127320609,-0.0870523182277925,-0.130869066017196,0,0,0,false,false
82,-0.973451864592268,-0.08438604222068,-0.13236167456602,0,0,0,false,false
83,-0.975983392938339,-0.0832657238974476,-0.1328125,0,0,0,false,false
84,-0.97954891280103,-0.0851913616654666,-0.132804910970107,0,0,0,false,false
85,-0.980295219100804,-0.0832641943102941,-0.131291098184336,0,0,0,false,false
86,-0.983419022726546,-0.0866162576394439,-0.130386884424195,0,0,0,false,false
87,-0.983635327833802,-0.0916925401842249,-0.133912341750175,0,0,0,false,false
88,-0.982434385283958,-0.0937488304305183,-0.135970482209151,0,0,0,false,false
89,-0.98460718427979,-0.0932122519324363,-0.132763064274629,0,0,0,false,false
90,-0.982422861734527,-0.0894931048737399,-0.132038309231573,0,0,0,false,false
91,-0.982968193072525,-0.0875954921240063,-0.130860526958753,0,0,0,false,false
92,-0.989395170861843,-0.0866236459730604,-0.131103515625,0,0,0,false,false
93,-0.991730833381194,-0.0851318352389053,-0.131105438552014,0,0,0,false,false
94,-0.992178223064504,-0.0826623525739677,-0.132158909509119,0,0,0,false,false
95,-0.988647370386412,-0.0797731810348316,-0.137726225316835,0,0,0,false,false
96,-0.985183530518809,-0.0785604527078244,-0.138230350105625,0,0,0,false,false
97,-0.978017439149789,-0.076904296875,-0.145791103174643,0,0,0,false,false
98,-0.970931380644915,-0.0769141849720538,-0.155076607895846,0,0,0,false,false
99,-0.970724351294624,-0.0806401477531814,-0.162345999488169,0,0,0,false,false
100,-0.980725603895065,-0.0823240225618287,-0.157778341631918,0,0,0,false,false
101,-0.987785807436957,-0.083737059226901,-0.149189729875407,0,0,0,false,false
102,-0.982198128380412,-0.0817270211115074,-0.142530725506868,0,0,0,false,false
103,-0.96918012462605,-0.07958984375,-0.141590964978457,0,0,0,false,false
104,-0.960404014560363,-0.0795858951764208,-0.141341799236581,0,0,0,false,false
105,-0.95945672170867,-0.0765862884350854,-0.138373004178657,0,0,0,false,false
106,-0.958960743463249,-0.0736690113431999,-0.136723781279983,0,0,0,false,false
