Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.898333373239484,-0.146723349271471,0.423304469542411,0,0,0,false,false
1,-0.8972374220402,-0.1465410942043,0.423095703125,0,0,0,false,false
2,-0.898188308878591,-0.149130294295624,0.423156309081903,0,0,0,false,false
3,-0.8979801564978,-0.146585278067764,0.425976853059494,0,0,0,false,false
4,-0.899373658528731,-0.145520516714363,0.422925780113636,0,0,0,false,false
5,-0.89748110012402,-0.146268734830689,0.421635352413907,0,0,0,false,false
6,-0.898412820658453,-0.146537853269404,0.4222376136081,0,0,0,false,false
7,-0.897236540348238,-0.147640911836977,0.425043892256691,0,0,0,false,false
8,-0.898168156094975,-0.144538690115702,0.424819809468015,0,0,0,false,false
9,-0.896992361240065,-0.145399312784681,0.425458289414741,0,0,0,false,false
10,-0.897925106388927,-0.147946476425601,0.421638774326023,0,0,0,false,false
11,-0.896769111839422,-0.147672601678639,0.422468957786589,0,0,0,false,false
12,-0.89896139873462,-0.147216796875,0.424038574143345,0,0,0,false,false
13,-0.899169921875,-0.147192731530961,0.422406598869271,0,0,0,false,false
14,-0.899155790941679,-0.146010224683321,0.424494602519504,0,0,0,false,false
15,-0.898451630933321,-0.146714898071616,0.421167354151799,0,0,0,false,false
16,-0.899167756569921,-0.145679741619107,0.423281584215897,0,0,0,false,false
17,-0.898874041469529,-0.14502194937184,0.425273065479046,0,0,0,false,false
18,-0.897728075064848,-0.145298162584438,0.423716101493197,0,0,0,false,false
19,-0.89892118186203,-0.14606024530543,0.42257484838063,0,0,0,false,false
20,-0.898681640625,-0.146714744387114,0.422380659937556,0,0,0,false,false
21,-0.898677159683894,-0.146022979396637,0.423656191243926,0,0,0,false,false
22,-0.898444861717439,-0.1474295095595,0.424365240886696,0,0,0,false,false
23,-0.899271126859569,-0.145754989418918,0.424786728676857,0,0,0,false,false
24,-0.900867640450281,-0.146017182843255,0.423846048764424,0,0,0,false,false
25,-0.900119988862492,-0.146205252684918,0.424791569366219,0,0,0,false,false
26,-0.899850985068129,-0.144342672365735,0.424102184158473,0,0,0,false,false
