Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.9375,-0.0163571846649018,-0.234375,0,0,0,false,false
1,-0.9375,-0.03125,-0.234375,0,0,0,false,false
2,-0.9375,-0.0311026298074889,-0.234375,0,0,0,false,false
3,-0.9375,-0.015625,-0.234375,0,0,0,false,false
4,-0.9375,-0.015625,-0.234375,0,0,0,false,false
5,-0.9375,-0.015625,-0.234375,0,0,0,false,false
6,-0.9375,-0.015625,-0.234375,0,0,0,false,false
7,-0.9375,-0.015625,-0.234375,0,0,0,false,false
8,-0.9375,-0.0301072583716839,-0.234375,0,0,0,false,false
9,-0.9375,-0.0172879687150534,-0.234375,0,0,0,false,false
10,-0.9375,-0.015625,-0.221002789927135,0,0,0,false,false
11,-0.9375,-0.015625,-0.231445075902828,0,0,0,false,false
12,-0.9375,-0.015625,-0.234375,0,0,0,false,false
13,-0.9375,-0.015625,-0.234375,0,0,0,false,false
14,-0.9375,-0.0260143717557971,-0.234375,0,0,0,false,false
15,-0.9375,-0.0216795536183135,-0.234375,0,0,0,false,false
16,-0.9375,-0.015625,-0.234375,0,0,0,false,false
17,-0.9375,-0.015625,-0.242198844381742,0,0,0,false,false
18,-0.9375,-0.0225865243340106,-0.243038475665989,0,0,0,false,false
19,-0.9375,-0.03125,-0.234375,0,0,0,false,false
20,-0.9375,-0.03125,-0.234375,0,0,0,false,false
21,-0.9375,-0.03125,-0.229914686349536,0,0,0,false,false
22,-0.9375,-0.03125,-0.222436279244215,0,0,0,false,false
23,-0.940453179260751,-0.03125,-0.231421820739249,0,0,0,false,false
24,-0.95083909536703,-0.03125,-0.21875,0,0,0,false,false
25,-0.9375,-0.03125,-0.220442416487861,0,0,0,false,false
26,-0.938667931788451,-0.03125,-0.233207068211549,0,0,0,false,false
27,-0.952403111811448,-0.03125,-0.219471888188552,0,0,0,false,false
28,-0.9375,-0.03125,-0.234375,0,0,0,false,false
29,-0.9375,-0.03125,-0.234375,0,0,0,false,false
30,-0.9375,-0.0312326556299922,-0.234375,0,0,0,false,false
31,-0.9375,-0.0156406635281876,-0.234375,0,0,0,false,false
32,-0.922017242147995,-0.0311077578520051,-0.234375,0,0,0,false,false
33,-0.937119530355818,-0.03125,-0.234375,0,0,0,false,false
34,-0.9375,-0.03125,-0.234375,0,0,0,false,false
35,-0.923032407407407,-0.03125,-0.234375,0,0,0,false,false
36,-0.93582233349933,-0.03125,-0.234375,0,0,0,false,false
37,-0.92416090463297,-0.03125,-0.234375,0,0,0,false,false
38,-0.934559989089497,-0.03125,-0.234375,0,0,0,false,false
39,-0.9375,-0.03125,-0.234375,0,0,0,false,false
40,-0.9375,-0.03125,-0.234375,0,0,0,false,false
41,-0.9375,-0.03125,-0.234375,0,0,0,false,false
42,-0.9375,-0.03125,-0.234375,0,0,0,false,false
43,-0.9375,-0.03125,-0.234375,0,0,0,false,false
44,-0.9375,-0.03125,-0.234375,0,0,0,false,false
45,-0.9375,-0.03125,-0.227423948587584,0,0,0,false,false
46,-0.9375,-0.03125,-0.224839501147723,0,0,0,false,false
47,-0.9375,-0.03125,-0.234375,0,0,0,false,false
48,-0.9375,-0.03125,-0.234375,0,0,0,false,false
49,-0.9375,-0.0349228577532201,-0.234375,0,0,0,false,false
50,-0.9375,-0.0439218207392491,-0.234375,0,0,0,false,false
51,-0.9375,-0.03125,-0.234375,0,0,0,false,false
52,-0.9375,-0.03125,-0.234375,0,0,0,false,false
53,-0.9375,-0.03125,-0.234375,0,0,0,false,false
54,-0.9375,-0.0319718881885517,-0.234375,0,0,0,false,false
55,-0.9375,-0.0464945303558177,-0.234375,0,0,0,false,false
56,-0.9375,-0.03125,-0.234375,0,0,0,false,false
57,-0.9375,-0.03125,-0.234375,0,0,0,false,false
58,-0.9375,-0.03125,-0.234375,0,0,0,false,false
59,-0.9375,-0.03125,-0.234375,0,0,0,false,false
60,-0.9375,-0.03125,-0.234375,0,0,0,false,false
61,-0.9375,-0.03125,-0.234375,0,0,0,false,false
62,-0.9375,-0.03125,-0.234375,0,0,0,false,false
63,-0.9375,-0.03125,-0.234375,0,0,0,false,false
64,-0.9375,-0.03125,-0.234375,0,0,0,false,false
65,-0.9375,-0.043908657545267,-0.234375,0,0,0,false,false
66,-0.9375,-0.0349424730636779,-0.234375,0,0,0,false,false
67,-0.9375,-0.03125,-0.234375,0,0,0,false,false
68,-0.9375,-0.03125,-0.234375,0,0,0,false,false
69,-0.9375,-0.0407633013330618,-0.234375,0,0,0,false,false
70,-0.9375,-0.0382236422126503,-0.234375,0,0,0,false,false
71,-0.9375,-0.03125,-0.234375,0,0,0,false,false
72,-0.9375,-0.03125,-0.234375,0,0,0,false,false
73,-0.9375,-0.03125,-0.234375,0,0,0,false,false
74,-0.9375,-0.03125,-0.234375,0,0,0,false,false
75,-0.9375,-0.03125,-0.234375,0,0,0,false,false
76,-0.9375,-0.0349032750260983,-0.234375,0,0,0,false,false
77,-0.9375,-0.0439450759028278,-0.234375,0,0,0,false,false
78,-0.9375,-0.03125,-0.234375,0,0,0,false,false
79,-0.9375,-0.03125,-0.234375,0,0,0,false,false
80,-0.9375,-0.03125,-0.234375,0,0,0,false,false
81,-0.9375,-0.0319603443294418,-0.234375,0,0,0,false,false
82,-0.9375,-0.046875,-0.234739600260064,0,0,0,false,false
83,-0.9375,-0.0467419680959841,-0.249866968095984,0,0,0,false,false
84,-0.9375,-0.03125,-0.234389094425255,0,0,0,false,false
85,-0.9375,-0.03125,-0.249982622220778,0,0,0,false,false
86,-0.9375,-0.03125,-0.234517512574379,0,0,0,false,false
87,-0.9375,-0.03125,-0.234375,0,0,0,false,false
88,-0.9375,-0.0461441646496765,-0.234375,0,0,0,false,false
89,-0.9375,-0.0324200538076003,-0.234375,0,0,0,false,false
90,-0.9375,-0.03125,-0.234375,0,0,0,false,false
91,-0.9375,-0.03125,-0.234375,0,0,0,false,false
92,-0.9375,-0.03125,-0.234375,0,0,0,false,false
93,-0.9375,-0.03125,-0.234375,0,0,0,false,false
94,-0.9375,-0.03125,-0.234375,0,0,0,false,false
95,-0.9375,-0.03125,-0.234375,0,0,0,false,false
96,-0.9375,-0.03125,-0.234375,0,0,0,false,false
97,-0.9375,-0.03125,-0.234375,0,0,0,false,false
98,-0.9375,-0.03125,-0.234375,0,0,0,false,false
99,-0.9375,-0.0381680407532789,-0.241293040753279,0,0,0,false,false
100,-0.9375,-0.046875,-0.25,0,0,0,false,false
101,-0.9375,-0.0416741210004013,-0.244799121000401,0,0,0,false,false
102,-0.9375,-0.03125,-0.234375,0,0,0,false,false
103,-0.9375,-0.03125,-0.234375,0,0,0,false,false
104,-0.9375,-0.03125,-0.234375,0,0,0,false,false
105,-0.9375,-0.03125,-0.234375,0,0,0,false,false
106,-0.9375,-0.03125,-0.234375,0,0,0,false,false
107,-0.9375,-0.03125,-0.234375,0,0,0,false,false
108,-0.9375,-0.03125,-0.234375,0,0,0,false,false
109,-0.9375,-0.03125,-0.234375,0,0,0,false,false
110,-0.9375,-0.03125,-0.234375,0,0,0,false,false
111,-0.9375,-0.03125,-0.234375,0,0,0,false,false
112,-0.9375,-0.03125,-0.234375,0,0,0,false,false
113,-0.9375,-0.03125,-0.234375,0,0,0,false,false
114,-0.9375,-0.03125,-0.234375,0,0,0,false,false
115,-0.9375,-0.03125,-0.234375,0,0,0,false,false
116,-0.9375,-0.03125,-0.248819385403216,0,0,0,false,false
117,-0.9375,-0.03125,-0.236067416487861,0,0,0,false,false
118,-0.9375,-0.03125,-0.247697469677068,0,0,0,false,false
119,-0.9248596100198,-0.03125,-0.2373596100198,0,0,0,false,false
