Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.939238435141609,-0.015380859375,-0.306557748978891,0,0,0,false,false
1,-0.937720181278824,-0.0154966815271541,-0.307155678045411,0,0,0,false,false
2,-0.936435931967824,-0.0149334129767412,-0.308232021288083,0,0,0,false,false
3,-0.936623987843883,-0.0147993501342806,-0.308741797876718,0,0,0,false,false
4,-0.936782659683253,-0.0157939086207053,-0.307364088249401,0,0,0,false,false
5,-0.937201283932254,-0.0156988202208045,-0.305662895823677,0,0,0,false,false
6,-0.938576603618638,-0.0151801009107129,-0.306555556828879,0,0,0,false,false
7,-0.940129186744273,-0.014147072050351,-0.308231417859955,0,0,0,false,false
8,-0.940460612166658,-0.0125687344776036,-0.309656832637094,0,0,0,false,false
9,-0.939128662417426,-0.01220703125,-0.308690996222127,0,0,0,false,false
10,-0.939525507344209,-0.0120948985311582,-0.308494374063418,0,0,0,false,false
11,-0.939308756818302,-0.0126336070708871,-0.309814453125,0,0,0,false,false
12,-0.937509692458689,-0.0133165088474418,-0.310259355235233,0,0,0,false,false
13,-0.937255859375,-0.01318359375,-0.310347580365708,0,0,0,false,false
14,-0.93659393521824,-0.013955838599553,-0.309814453125,0,0,0,false,false
15,-0.936237788309188,-0.014892578125,-0.310364226011052,0,0,0,false,false
16,-0.938594604657684,-0.0143447605065769,-0.3096108304421,0,0,0,false,false
17,-0.939372752833563,-0.0138058666928626,-0.307983206373781,0,0,0,false,false
18,-0.938154481491261,-0.0149119024891065,-0.309769456529068,0,0,0,false,false
19,-0.938395087363129,-0.0145400887697843,-0.309434947783633,0,0,0,false,false
20,-0.938343980164314,-0.0137842687644757,-0.307643063789487,0,0,0,false,false
21,-0.937255859375,-0.0147613401331319,-0.309106604442732,0,0,0,false,false
22,-0.937433146558987,-0.0160241556451416,-0.3097886143558,0,0,0,false,false
23,-0.93789463000688,-0.0165695791635666,-0.310797213488304,0,0,0,false,false
24,-0.937779207342054,-0.0151416726451189,-0.311203537162739,0,0,0,false,false
25,-0.936487108326511,-0.0142676520993088,-0.311321679415648,0,0,0,false,false
26,-0.936529772187296,-0.0144106315622965,-0.31011205901838,0,0,0,false,false
27,-0.936868769650717,-0.0152634239140339,-0.309265512260246,0,0,0,false,false
28,-0.936553593452949,-0.013629488698847,-0.312250401335566,0,0,0,false,false
29,-0.937946429247677,-0.0125818625001784,-0.310930384944604,0,0,0,false,false
30,-0.93750363751339,-0.0132972243918702,-0.309462562934951,0,0,0,false,false
31,-0.936894238621859,-0.0138951175792546,-0.309888544116628,0,0,0,false,false
32,-0.937607704278547,-0.0136831544059316,-0.310837587934538,0,0,0,false,false
33,-0.938726328925327,-0.012894995635603,-0.314387512865673,0,0,0,false,false
34,-0.939429128863947,-0.0140953928356853,-0.314674394019783,0,0,0,false,false
35,-0.938919187188653,-0.0151325092715736,-0.314099744138866,0,0,0,false,false
36,-0.940195411931676,-0.0157654162327689,-0.313676648344922,0,0,0,false,false
37,-0.94051282277458,-0.0154528723180457,-0.311504454569369,0,0,0,false,false
38,-0.939269220607766,-0.0142890468267435,-0.307536513002788,0,0,0,false,false
39,-0.939768672470911,-0.0136016325598522,-0.306597441555228,0,0,0,false,false
40,-0.94091796875,-0.012939453125,-0.306684939662869,0,0,0,false,false
41,-0.94091796875,-0.0125412512719429,-0.307375584285702,0,0,0,false,false
