Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.976663340144328,0.15892643467444,-0.237203847355672,0,0,0,false,false
1,-0.976083113815155,0.154459307157086,-0.237784073684845,0,0,0,false,false
2,-0.977477665712681,0.154296875,-0.236389521787319,0,0,0,false,false
3,-0.975713963940688,0.154108111529079,-0.237719892591365,0,0,0,false,false
4,-0.972304122470892,0.152649065692823,-0.235262786586375,0,0,0,false,false
5,-0.973159009905483,0.150022539564807,-0.233222785767718,0,0,0,false,false
6,-0.97458959737682,0.150982732778,-0.234508899407523,0,0,0,false,false
7,-0.976458100674712,0.151307851664416,-0.236923510477853,0,0,0,false,false
8,-0.9765625,0.152266522230303,-0.237060546875,0,0,0,false,false
9,-0.976045565736672,0.154983139520622,-0.236873933056509,0,0,0,false,false
10,-0.974068567935677,0.15710301484854,-0.236592226439542,0,0,0,false,false
11,-0.973876953125,0.156384575168128,-0.237634557562554,0,0,0,false,false
12,-0.973457853136569,0.153840739128085,-0.235278368819411,0,0,0,false,false
13,-0.976778577882493,0.153863603882105,-0.235276494685496,0,0,0,false,false
14,-0.977989646928956,0.156129544434554,-0.232704149782655,0,0,0,false,false
15,-0.977125318549112,0.155692306949912,-0.232607969479636,0,0,0,false,false
16,-0.976479276895346,0.156470658801005,-0.235116807226161,0,0,0,false,false
17,-0.975399322687179,0.158250329765407,-0.238082686624433,0,0,0,false,false
18,-0.972445325636583,0.159532149072436,-0.240235285608846,0,0,0,false,false
19,-0.972398264554608,0.15883601041927,-0.238957798221407,0,0,0,false,false
20,-0.972961299270384,0.158146614446413,-0.237652924914722,0,0,0,false,false
21,-0.973914084578113,0.156463754842585,-0.240367053248056,0,0,0,false,false
22,-0.975340627758121,0.156824222299697,-0.242527448128486,0,0,0,false,false
23,-0.973249458850191,0.157432262815034,-0.241816117111485,0,0,0,false,false
24,-0.970343210916564,0.156629002526326,-0.24267749979367,0,0,0,false,false
25,-0.966427722285044,0.158552299601867,-0.247139581803317,0,0,0,false,false
26,-0.965681454507115,0.158022868341335,-0.246684570149551,0,0,0,false,false
27,-0.966745685546251,0.155668333971278,-0.246046067082293,0,0,0,false,false
28,-0.96805706310488,0.155140272061011,-0.247943907814887,0,0,0,false,false
29,-0.970573472050769,0.15414326243482,-0.245806058810477,0,0,0,false,false
30,-0.972084280325334,0.150782123171066,-0.243896484375,0,0,0,false,false
31,-0.973753089831705,0.150768223561815,-0.243809138343692,0,0,0,false,false
32,-0.975427560065073,0.153438251016823,-0.243062616651002,0,0,0,false,false
33,-0.976473389208399,0.153260248339715,-0.242917986061296,0,0,0,false,false
34,-0.976730766212092,0.153051201468619,-0.244939347109909,0,0,0,false,false
35,-0.976058615923519,0.153737080286895,-0.246855772110686,0,0,0,false,false
36,-0.974452109199293,0.152125090410085,-0.245867810114346,0,0,0,false,false
37,-0.974224605765656,0.151201519606288,-0.245011901447381,0,0,0,false,false
38,-0.973433280251922,0.153622789223727,-0.24688028025194,0,0,0,false,false
39,-0.97180077353446,0.153053753972923,-0.249820535690536,0,0,0,false,false
40,-0.971211609525456,0.151202094201303,-0.250783945448081,0,0,0,false,false
41,-0.971739013507674,0.151180621478617,-0.249298735460582,0,0,0,false,false
42,-0.974899623251805,0.151804694148335,-0.249247844915256,0,0,0,false,false
43,-0.976058673852094,0.15234375,-0.250364726359568,0,0,0,false,false
44,-0.976763311027134,0.152624105910859,-0.249931657300689,0,0,0,false,false
45,-0.976516127108701,0.154419662659915,-0.249615295316285,0,0,0,false,false
46,-0.972782446954677,0.156938357780636,-0.248148021171544,0,0,0,false,false
47,-0.969525805581956,0.158705291914103,-0.248496462176697,0,0,0,false,false
48,-0.968470098625875,0.158527884308412,-0.250740224482552,0,0,0,false,false
49,-0.969579316077588,0.157667802356787,-0.251840695865806,0,0,0,false,false
50,-0.970569552676654,0.159298656347575,-0.251564259243243,0,0,0,false,false
51,-0.971348571742726,0.158250693850356,-0.25079300091739,0,0,0,false,false
52,-0.972610348757271,0.157562082926868,-0.252852128476977,0,0,0,false,false
53,-0.97492311375119,0.159081834461451,-0.253797821504409,0,0,0,false,false
54,-0.97397468053883,0.16100388115288,-0.252888338404342,0,0,0,false,false
55,-0.972997312916958,0.158857441560992,-0.252009035107526,0,0,0,false,false
56,-0.971166064181747,0.157828298842412,-0.251730029573148,0,0,0,false,false
57,-0.971880728828327,0.157063967694438,-0.252278119727239,0,0,0,false,false
58,-0.970062097313128,0.157244273575043,-0.253759808480218,0,0,0,false,false
59,-0.969504131006108,0.156213029353315,-0.253891198541792,0,0,0,false,false
