Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-1.01389083248767,0.163125118161271,-0.186131790684066,0,0,0,false,false
1,-1.01813872193201,0.164665831492271,-0.184646995718921,0,0,0,false,false
2,-1.01838449003679,0.161950798429485,-0.186383800850706,0,0,0,false,false
3,-1.01502107144641,0.159839072121666,-0.186147973053832,0,0,0,false,false
4,-1.00319319568327,0.152479910900226,-0.184343679861168,0,0,0,false,false
5,-0.989258935698723,0.143177369255582,-0.185477785290563,0,0,0,false,false
6,-0.975946889058577,0.133476988586399,-0.192035241748165,0,0,0,false,false
7,-0.960009937712353,0.128356686993367,-0.194007870413157,0,0,0,false,false
8,-0.952788421703162,0.12814160563835,-0.192360147195829,0,0,0,false,false
9,-0.948359579354423,0.129471495947819,-0.189773559570313,0,0,0,false,false
10,-0.940017869241064,0.129961317963209,-0.190002681096085,0,0,0,false,false
11,-0.937060310134564,0.131163768964267,-0.186730481511857,0,0,0,false,false
12,-0.937579068158035,0.130221775457764,-0.179260483820173,0,0,0,false,false
13,-0.942914587971766,0.132293051046571,-0.175846148055591,0,0,0,false,false
14,-0.943006907919482,0.135884469730963,-0.179605813643127,0,0,0,false,false
15,-0.938002386241387,0.133215986280834,-0.183549709628562,0,0,0,false,false
16,-0.932620030072073,0.124073153319409,-0.185625807175692,0,0,0,false,false
17,-0.930056194733646,0.120480211268252,-0.183728276468929,0,0,0,false,false
18,-0.920348610431583,0.122342658658382,-0.18122891638576,0,0,0,false,false
19,-0.914716153206565,0.125653239271317,-0.174836820196718,0,0,0,false,false
20,-0.911894483568819,0.130162296594472,-0.172313620329131,0,0,0,false,false
21,-0.908167952143298,0.132223875013363,-0.1699672047045,0,0,0,false,false
22,-0.902360111266702,0.128608683720348,-0.171185557952243,0,0,0,false,false
23,-0.895665479301571,0.132765725347992,-0.175187830639657,0,0,0,false,false
24,-0.892485508358321,0.133914892731184,-0.178125239549427,0,0,0,false,false
25,-0.895541743534066,0.134591457752937,-0.18270451039474,0,0,0,false,false
26,-0.899658203125,0.137798150143363,-0.184473391062782,0,0,0,false,false
27,-0.899409013793524,0.14060046639332,-0.182023204142487,0,0,0,false,false
28,-0.897873447146657,0.139491878792342,-0.183045465984513,0,0,0,false,false
29,-0.904401713415893,0.135166767599371,-0.18164849870649,0,0,0,false,false
30,-0.911767470063646,0.13506234801793,-0.17959346086519,0,0,0,false,false
31,-0.921353982471533,0.135268752718454,-0.181736997455136,0,0,0,false,false
32,-0.934131149071251,0.130032204675048,-0.183672471501759,0,0,0,false,false
33,-0.941810907846195,0.120598972956614,-0.186914323419203,0,0,0,false,false
34,-0.945891884813695,0.116840467685733,-0.188773809981994,0,0,0,false,false
35,-0.948215891534985,0.112537568703426,-0.192748180910895,0,0,0,false,false
36,-0.949476661127925,0.108834136165182,-0.195674769928053,0,0,0,false,false
37,-0.947515222412328,0.105369547605393,-0.194261508645409,0,0,0,false,false
38,-0.951888520706261,0.104832828404596,-0.194115696291354,0,0,0,false,false
39,-0.955871939339796,0.112770478733171,-0.194739335382227,0,0,0,false,false
40,-0.96121094822425,0.125052228121207,-0.196599346825441,0,0,0,false,false
41,-0.970327802696107,0.13024939076193,-0.201033479287689,0,0,0,false,false
42,-0.979408441246924,0.131709577816873,-0.203871812670274,0,0,0,false,false
43,-0.981499610586899,0.13330078125,-0.207077185245692,0,0,0,false,false
44,-0.971410073036352,0.133178091648767,-0.210616193478956,0,0,0,false,false
45,-0.958304039513018,0.129852364398309,-0.209791603715283,0,0,0,false,false
46,-0.94757650071913,0.124398809733216,-0.21036563215692,0,0,0,false,false
47,-0.936852440423869,0.121569768360084,-0.205570665499734,0,0,0,false,false
48,-0.935115547726522,0.1192552481016,-0.204685780207157,0,0,0,false,false
49,-0.937698903995914,0.119068952601669,-0.2041886577623,0,0,0,false,false
50,-0.947483976871175,0.1220482717746,-0.206968595279085,0,0,0,false,false
51,-0.949560327819931,0.12285308514839,-0.210965237965939,0,0,0,false,false
52,-0.945311467654579,0.123186875292216,-0.204268697269424,0,0,0,false,false
53,-0.938559813982941,0.126697803077735,-0.192797404884998,0,0,0,false,false
54,-0.925392175020314,0.13394664439004,-0.181265604570094,0,0,0,false,false
55,-0.910021475650165,0.130440365500065,-0.174388465407708,0,0,0,false,false
56,-0.90519598878714,0.123668564125072,-0.175494590239296,0,0,0,false,false
57,-0.910507234485118,0.135603318085082,-0.175205298352263,0,0,0,false,false
