Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.859375,0.0,-0.464767322621427,0,0,0,false,false
1,-0.859375,0.0,-0.46875,0,0,0,false,false
2,-0.859375,0.0,-0.457933867145477,0,0,0,false,false
3,-0.859375,0.0,-0.463519562916022,0,0,0,false,false
4,-0.859375,-0.00996031166568653,-0.46875,0,0,0,false,false
5,-0.859375,-0.015625,-0.46875,0,0,0,false,false
6,-0.859375,-0.00654622203321613,-0.46875,0,0,0,false,false
7,-0.859375,-0.00862020157642988,-0.46875,0,0,0,false,false
8,-0.859375,-0.015625,-0.476909107419622,0,0,0,false,false
9,-0.859375,-0.015625,-0.476666612512304,0,0,0,false,false
10,-0.859375,-0.015625,-0.46875,0,0,0,false,false
11,-0.859375,-0.015625,-0.46875,0,0,0,false,false
12,-0.859375,-0.015625,-0.46875,0,0,0,false,false
13,-0.859375,-0.015625,-0.46875,0,0,0,false,false
14,-0.859375,-0.015625,-0.46875,0,0,0,false,false
15,-0.8644438171801,-0.015625,-0.46875,0,0,0,false,false
16,-0.875,-0.015625,-0.464112538558083,0,0,0,false,false
17,-0.870776650942416,-0.015625,-0.453125,0,0,0,false,false
18,-0.859375,-0.015625,-0.453125,0,0,0,false,false
19,-0.859375,-0.015625,-0.453125,0,0,0,false,false
20,-0.862440379218444,-0.015625,-0.453125,0,0,0,false,false
21,-0.875,-0.015625,-0.453125,0,0,0,false,false
22,-0.875,-0.015625,-0.453125,0,0,0,false,false
23,-0.875,-0.015625,-0.453125,0,0,0,false,false
24,-0.875,-0.0139072396896322,-0.454842760310368,0,0,0,false,false
25,-0.875,0.0,-0.46875,0,0,0,false,false
26,-0.875,-0.00117027882898604,-0.46875,0,0,0,false,false
27,-0.875926331089979,-0.0146986689100212,-0.46875,0,0,0,false,false
28,-0.889910020568435,0.0,-0.46875,0,0,0,false,false
29,-0.875,0.0,-0.46875,0,0,0,false,false
30,-0.875,0.0,-0.46875,0,0,0,false,false
31,-0.874768713417621,0.0,-0.468518713417621,0,0,0,false,false
32,-0.859375,-0.000123598713820924,-0.453248598713821,0,0,0,false,false
33,-0.859375,-0.015625,-0.46875,0,0,0,false,false
34,-0.859375,-0.015625,-0.468742346192657,0,0,0,false,false
35,-0.859375,-0.015625,-0.453126138232474,0,0,0,false,false
36,-0.859375,-0.015625,-0.468719767412949,0,0,0,false,false
37,-0.859375,-0.015625,-0.453214761786999,0,0,0,false,false
38,-0.859375,-0.015625,-0.453125,0,0,0,false,false
39,-0.859375,-0.015625,-0.453125,0,0,0,false,false
40,-0.874548234862202,-0.000451765137798011,-0.453125,0,0,0,false,false
41,-0.860008947875812,-0.0149910521241881,-0.453125,0,0,0,false,false
42,-0.874155387607681,-0.015625,-0.453125,0,0,0,false,false
43,-0.875,-0.015625,-0.453125,0,0,0,false,false
44,-0.875,-0.015625,-0.453125,0,0,0,false,false
45,-0.875,-0.00159846158196854,-0.453125,0,0,0,false,false
46,-0.875,0.0,-0.439403110723377,0,0,0,false,false
47,-0.875,0.0,-0.450909435186676,0,0,0,false,false
48,-0.875,0.0,-0.453125,0,0,0,false,false
49,-0.875,0.0,-0.453125,0,0,0,false,false
50,-0.875,0.0,-0.453125,0,0,0,false,false
51,-0.875,0.0,-0.453125,0,0,0,false,false
52,-0.875,0.0,-0.453125,0,0,0,false,false
53,-0.875,0.0,-0.453125,0,0,0,false,false
54,-0.875,0.0,-0.453125,0,0,0,false,false
55,-0.875,0.0,-0.453125,0,0,0,false,false
56,-0.875,0.0,-0.453125,0,0,0,false,false
57,-0.865566894952518,-0.00943310504748233,-0.453125,0,0,0,false,false
58,-0.859375,-0.015625,-0.444137666831234,0,0,0,false,false
59,-0.859375,-0.00707383719828995,-0.44605116280171,0,0,0,false,false
60,-0.859375,-0.00810165031721696,-0.453125,0,0,0,false,false
61,-0.859375,-0.015625,-0.453125,0,0,0,false,false
62,-0.859375,-0.015625,-0.453125,0,0,0,false,false
63,-0.866104258379067,-0.015625,-0.453125,0,0,0,false,false
64,-0.875,-0.015625,-0.453125,0,0,0,false,false
65,-0.875,-0.015625,-0.453125,0,0,0,false,false
66,-0.875,-0.015625,-0.453125,0,0,0,false,false
67,-0.875,-0.0106567359211157,-0.453125,0,0,0,false,false
68,-0.875,0.0,-0.453125,0,0,0,false,false
69,-0.875,-0.00414032862808813,-0.453125,0,0,0,false,false
70,-0.875,-0.015625,-0.44937873910139,0,0,0,false,false
71,-0.875,-0.0122732725051892,-0.440851727494811,0,0,0,false,false
72,-0.872022932529547,-0.0029770674704526,-0.453125,0,0,0,false,false
73,-0.862023403170525,-0.0129765968294747,-0.453125,0,0,0,false,false
74,-0.875,0.0,-0.453125,0,0,0,false,false
75,-0.875,-0.00196655544066484,-0.453125,0,0,0,false,false
76,-0.875,-0.0139673235483855,-0.453125,0,0,0,false,false
77,-0.875,0.0,-0.453125,0,0,0,false,false
78,-0.875,0.0,-0.453125,0,0,0,false,false
79,-0.875,0.0,-0.453125,0,0,0,false,false
80,-0.875,0.0,-0.453125,0,0,0,false,false
81,-0.875,0.0,-0.453125,0,0,0,false,false
82,-0.875,0.0,-0.453125,0,0,0,false,false
83,-0.875,0.0,-0.453125,0,0,0,false,false
84,-0.875,0.0,-0.453125,0,0,0,false,false
85,-0.875,-0.0000376833636855259,-0.453125,0,0,0,false,false
86,-0.875,-0.015625,-0.453125,0,0,0,false,false
87,-0.875,-0.015625,-0.453125,0,0,0,false,false
88,-0.859412683363685,-0.015625,-0.453125,0,0,0,false,false
89,-0.874894065815723,-0.015625,-0.453125,0,0,0,false,false
90,-0.875,-0.015625,-0.453125,0,0,0,false,false
91,-0.85971498455486,-0.015625,-0.453125,0,0,0,false,false
92,-0.874497166910394,-0.015625,-0.453125,0,0,0,false,false
93,-0.875,-0.015625,-0.453125,0,0,0,false,false
94,-0.875,-0.015625,-0.453125,0,0,0,false,false
95,-0.875,-0.00113184710231803,-0.453125,0,0,0,false,false
96,-0.875,0.0,-0.453125,0,0,0,false,false
97,-0.875,-0.0139493388393994,-0.453125,0,0,0,false,false
98,-0.86135397949501,-0.015625,-0.453125,0,0,0,false,false
99,-0.872700180806457,-0.00229981919354293,-0.453125,0,0,0,false,false
100,-0.875,-0.0129812672929312,-0.453125,0,0,0,false,false
101,-0.875,-0.015625,-0.453125,0,0,0,false,false
102,-0.875,-0.015625,-0.453125,0,0,0,false,false
103,-0.875,-0.015625,-0.453125,0,0,0,false,false
104,-0.875,-0.015625,-0.441674740688087,0,0,0,false,false
105,-0.875,-0.00459485999426828,-0.448530140005732,0,0,0,false,false
106,-0.875,0.0,-0.453125,0,0,0,false,false
107,-0.875,0.0,-0.453125,0,0,0,false,false
108,-0.875,0.0,-0.453125,0,0,0,false,false
109,-0.875,0.0,-0.453125,0,0,0,false,false
110,-0.875,0.0,-0.453125,0,0,0,false,false
111,-0.875,0.0,-0.453125,0,0,0,false,false
112,-0.875,0.0,-0.453125,0,0,0,false,false
113,-0.875,-0.00751208508235136,-0.453125,0,0,0,false,false
114,-0.875,-0.00857418172129869,-0.453125,0,0,0,false,false
115,-0.875,-0.00659192536913602,-0.453125,0,0,0,false,false
116,-0.868853456317713,-0.015625,-0.453125,0,0,0,false,false
117,-0.859375,-0.015625,-0.453125,0,0,0,false,false
118,-0.859375,-0.015625,-0.453125,0,0,0,false,false
119,-0.859375,-0.015625,-0.457984969507321,0,0,0,false,false
120,-0.863821574460477,-0.0111784255395231,-0.464303425539523,0,0,0,false,false
121,-0.875,-0.00403039545879567,-0.457155395458796,0,0,0,false,false
122,-0.871353669551664,-0.015625,-0.46875,0,0,0,false,false
123,-0.862630330909594,-0.015625,-0.46875,0,0,0,false,false
124,-0.875,-0.015625,-0.46875,0,0,0,false,false
125,-0.875,-0.0131051254565905,-0.46623012545659,0,0,0,false,false
126,-0.875,0.0,-0.453125,0,0,0,false,false
127,-0.875,0.0,-0.455012377680383,0,0,0,false,false
128,-0.873416205007091,0.0,-0.46875,0,0,0,false,false
129,-0.859375,0.0,-0.46875,0,0,0,false,false
130,-0.859375,0.0,-0.46875,0,0,0,false,false
131,-0.859375,0.0,-0.46875,0,0,0,false,false
132,-0.859375,0.0,-0.468125872192665,0,0,0,false,false
133,-0.859375,-0.000442505726868414,-0.453567505726868,0,0,0,false,false
134,-0.859375,-0.015625,-0.46875,0,0,0,false,false
135,-0.859375,-0.015625,-0.46875,0,0,0,false,false
136,-0.859456911994703,-0.015625,-0.468668088005297,0,0,0,false,false
137,-0.874974205261728,-0.015625,-0.453150794738272,0,0,0,false,false
138,-0.859375,-0.0156245896951886,-0.46875,0,0,0,false,false
139,-0.859375,-0.0000115708451976382,-0.46875,0,0,0,false,false
140,-0.859375,0.0,-0.46875,0,0,0,false,false
141,-0.859375,-0.0154872949601018,-0.46875,0,0,0,false,false
142,-0.859375,-0.000237959594983749,-0.46875,0,0,0,false,false
143,-0.874622066110535,0.0,-0.453502933889465,0,0,0,false,false
144,-0.859923074954903,0.0,-0.453125,0,0,0,false,false
145,-0.859375,0.0,-0.453125,0,0,0,false,false
146,-0.859375,0.0,-0.453125,0,0,0,false,false
147,-0.844959256011772,0.0144157439882279,-0.453125,0,0,0,false,false
148,-0.84375,0.015625,-0.453125,0,0,0,false,false
149,-0.84375,0.00176338655467672,-0.453125,0,0,0,false,false
150,-0.857308049537391,0.0,-0.466683049537391,0,0,0,false,false
151,-0.859375,0.0,-0.46875,0,0,0,false,false
152,-0.859375,0.0,-0.46875,0,0,0,false,false
153,-0.871891533334361,0.0,-0.456233466665639,0,0,0,false,false
154,-0.875,0.0121367814483494,-0.465261781448349,0,0,0,false,false
155,-0.863262548300544,0.015625,-0.445275096601088,0,0,0,false,false
156,-0.859375,0.015625,-0.4375,0,0,0,false,false
157,-0.859375,0.0265698356804134,-0.4375,0,0,0,false,false
158,-0.859375,0.03125,-0.447999070579422,0,0,0,false,false
159,-0.869437737523933,0.0413127375239326,-0.443062262476067,0,0,0,false,false
160,-0.875,0.046875,-0.4375,0,0,0,false,false
161,-0.884192860062932,0.046875,-0.4375,0,0,0,false,false
162,-0.890625,0.0381398620852326,-0.428764862085233,0,0,0,false,false
163,-0.890625,0.03125,-0.421875,0,0,0,false,false
164,-0.890625,0.03125,-0.421875,0,0,0,false,false
165,-0.890625,0.03125,-0.421875,0,0,0,false,false
166,-0.883666196253897,0.03125,-0.421875,0,0,0,false,false
167,-0.881500558262198,0.03125,-0.421875,0,0,0,false,false
168,-0.890625,0.03125,-0.421875,0,0,0,false,false
169,-0.890625,0.03125,-0.421875,0,0,0,false,false
170,-0.885482296868029,0.0363927031319714,-0.432160406263943,0,0,0,false,false
171,-0.875,0.046875,-0.44838059432983,0,0,0,false,false
172,-0.875,0.0425472253842406,-0.4375,0,0,0,false,false
173,-0.875,0.03125,-0.441428205313129,0,0,0,false,false
174,-0.875,0.03125,-0.453125,0,0,0,false,false
175,-0.875,0.03125,-0.453125,0,0,0,false,false
176,-0.872212107419208,0.028462107419208,-0.453125,0,0,0,false,false
177,-0.859375,0.015625,-0.453125,0,0,0,false,false
178,-0.859375,0.015625,-0.453125,0,0,0,false,false
179,-0.859375,0.015625,-0.454919069615297,0,0,0,false,false
180,-0.859375,0.0141280388155834,-0.46875,0,0,0,false,false
181,-0.859375,0.0,-0.46875,0,0,0,false,false
182,-0.858389495476729,0.0,-0.46875,0,0,0,false,false
183,-0.844517827649159,0.0,-0.46875,0,0,0,false,false
184,-0.858808332298987,0.000566667701013083,-0.46875,0,0,0,false,false
185,-0.844151596218276,0.015625,-0.46875,0,0,0,false,false
186,-0.859375,0.015625,-0.46875,0,0,0,false,false
187,-0.859375,0.015625,-0.46875,0,0,0,false,false
188,-0.859435893860189,0.015625,-0.468810893860189,0,0,0,false,false
189,-0.875,0.0156119206241714,-0.484375,0,0,0,false,false
190,-0.875,0.0,-0.484375,0,0,0,false,false
191,-0.875,0.0,-0.484375,0,0,0,false,false
192,-0.875,0.0,-0.484375,0,0,0,false,false
193,-0.875,0.0,-0.484375,0,0,0,false,false
194,-0.875,0.0,-0.469026426777869,0,0,0,false,false
195,-0.890207259923171,0.0,-0.46875,0,0,0,false,false
196,-0.875595083752729,0.0,-0.483779916247271,0,0,0,false,false
197,-0.875,0.0148340832963549,-0.484375,0,0,0,false,false
198,-0.875,0.015625,-0.469759618968407,0,0,0,false,false
199,-0.86063706568356,0.0299879343164397,-0.46875,0,0,0,false,false
200,-0.859375,0.03125,-0.46875,0,0,0,false,false
201,-0.859375,0.017449963448937,-0.46875,0,0,0,false,false
202,-0.859375,0.015625,-0.46875,0,0,0,false,false
203,-0.846234886821516,0.015625,-0.46875,0,0,0,false,false
204,-0.84375,0.00284265184307065,-0.46875,0,0,0,false,false
205,-0.856190584992366,0.0,-0.481190584992366,0,0,0,false,false
206,-0.859375,0.0,-0.484375,0,0,0,false,false
207,-0.859375,-0.0116560117859631,-0.484375,0,0,0,false,false
208,-0.859375,-0.00438342456165139,-0.495616575438349,0,0,0,false,false
209,-0.859375,-0.010816132854523,-0.5,0,0,0,false,false
210,-0.859375,-0.00520847243643964,-0.5,0,0,0,false,false
211,-0.859375,-0.00998262255338035,-0.5,0,0,0,false,false
212,-0.868908397866997,-0.0060916021330034,-0.509533397866997,0,0,0,false,false
213,-0.865921222033216,0.0,-0.515625,0,0,0,false,false
214,-0.859375,-0.00862020157642988,-0.515625,0,0,0,false,false
215,-0.859375,-0.015625,-0.515625,0,0,0,false,false
216,-0.859375,-0.015625,-0.515625,0,0,0,false,false
217,-0.85396340293147,-0.00835582283693831,-0.515625,0,0,0,false,false
218,-0.834824442979992,0.0,-0.515625,0,0,0,false,false
219,-0.828125,0.0,-0.515625,0,0,0,false,false
220,-0.828125,0.0,-0.515625,0,0,0,false,false
221,-0.833633877196593,0.0,-0.510116122803407,0,0,0,false,false
222,-0.84375,0.0,-0.5,0,0,0,false,false
223,-0.84375,0.0,-0.5,0,0,0,false,false
224,-0.84375,0.00423704623594855,-0.5,0,0,0,false,false
225,-0.84375,0.0117981980305208,-0.496173198030521,0,0,0,false,false
226,-0.84375,0.0,-0.48781635422979,0,0,0,false,false
227,-0.84375,0.0,-0.5,0,0,0,false,false
228,-0.84375,0.0,-0.5,0,0,0,false,false
229,-0.84375,0.0,-0.497618987230334,0,0,0,false,false
230,-0.84375,-0.00204700107619601,-0.486422001076196,0,0,0,false,false
231,-0.84375,-0.015625,-0.5,0,0,0,false,false
232,-0.84375,-0.015625,-0.5,0,0,0,false,false
233,-0.84375,-0.015625,-0.5,0,0,0,false,false
234,-0.84375,-0.015625,-0.5,0,0,0,false,false
235,-0.844475414554419,-0.0163504145544189,-0.5,0,0,0,false,false
236,-0.858845235082003,-0.03125,-0.5,0,0,0,false,false
237,-0.84375,-0.03125,-0.5,0,0,0,false,false
238,-0.84375,-0.03125,-0.5,0,0,0,false,false
239,-0.84375,-0.0313782194147313,-0.500128219414731,0,0,0,false,false
240,-0.84375,-0.0468234765471887,-0.515625,0,0,0,false,false
241,-0.843741146693894,-0.0312588533061061,-0.515625,0,0,0,false,false
242,-0.82812663474979,-0.0468733652502098,-0.515625,0,0,0,false,false
243,-0.828125,-0.0312780800335478,-0.515625,0,0,0,false,false
244,-0.828125,-0.03125,-0.515625,0,0,0,false,false
245,-0.843571122524756,-0.03125,-0.515625,0,0,0,false,false
246,-0.84375,-0.0159289145530722,-0.515625,0,0,0,false,false
247,-0.828576765137798,-0.015625,-0.515625,0,0,0,false,false
248,-0.843116052124188,-0.015625,-0.530616052124188,0,0,0,false,false
249,-0.84375,-0.015625,-0.53125,0,0,0,false,false
250,-0.829194019537545,-0.015625,-0.53125,0,0,0,false,false
