Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.953125,0.15625,-0.28125,0,0,0,false,false
1,-0.953125,0.15625,-0.28125,0,0,0,false,false
2,-0.953125,0.156170569961298,-0.28125,0,0,0,false,false
3,-0.953125,0.140625,-0.28125,0,0,0,false,false
4,-0.953125,0.140611791159995,-0.28125,0,0,0,false,false
5,-0.953125,0.125,-0.28125,0,0,0,false,false
6,-0.953125,0.125,-0.28125,0,0,0,false,false
7,-0.968731754591903,0.125,-0.28125,0,0,0,false,false
8,-0.96875,0.125,-0.265674239879259,0,0,0,false,false
9,-0.953219834563458,0.125,-0.281155165436542,0,0,0,false,false
10,-0.953125,0.125,-0.28125,0,0,0,false,false
11,-0.953125,0.140408572245526,-0.265841427754474,0,0,0,false,false
12,-0.937800949697888,0.140625,-0.280949050302112,0,0,0,false,false
13,-0.952726060510226,0.125398939489774,-0.28125,0,0,0,false,false
14,-0.938001581749341,0.125,-0.266126581749341,0,0,0,false,false
15,-0.9375,0.125,-0.28063723338577,0,0,0,false,false
16,-0.9375,0.125,-0.28125,0,0,0,false,false
17,-0.9375,0.139734895776813,-0.28125,0,0,0,false,false
18,-0.9375,0.140625,-0.266660203191995,0,0,0,false,false
19,-0.951926338521061,0.140625,-0.265625,0,0,0,false,false
20,-0.953125,0.154889500710746,-0.265625,0,0,0,false,false
21,-0.967204623359873,0.142170376640127,-0.265625,0,0,0,false,false
22,-0.96875,0.140625,-0.265625,0,0,0,false,false
23,-0.96875,0.140625,-0.265625,0,0,0,false,false
24,-0.95524743481485,0.140625,-0.265625,0,0,0,false,false
25,-0.953125,0.153925358812666,-0.278925358812666,0,0,0,false,false
26,-0.953125,0.15625,-0.28125,0,0,0,false,false
27,-0.953125,0.15625,-0.28125,0,0,0,false,false
28,-0.953125,0.15625,-0.28125,0,0,0,false,false
29,-0.953125,0.15625,-0.28125,0,0,0,false,false
30,-0.953125,0.15625,-0.28125,0,0,0,false,false
31,-0.941230705491343,0.15625,-0.28125,0,0,0,false,false
32,-0.9375,0.15625,-0.28125,0,0,0,false,false
33,-0.9375,0.144891318756411,-0.269891318756411,0,0,0,false,false
34,-0.948597093435105,0.140625,-0.265625,0,0,0,false,false
35,-0.942278156253304,0.140625,-0.265625,0,0,0,false,false
36,-0.9375,0.140625,-0.276188541171551,0,0,0,false,false
37,-0.9375,0.140625,-0.270973500671759,0,0,0,false,false
38,-0.9375,0.140625,-0.265625,0,0,0,false,false
39,-0.9375,0.140625,-0.265625,0,0,0,false,false
40,-0.9375,0.140625,-0.275057811855434,0,0,0,false,false
41,-0.9375,0.140625,-0.28125,0,0,0,false,false
42,-0.946358100109861,0.140625,-0.28125,0,0,0,false,false
43,-0.953125,0.140625,-0.28125,0,0,0,false,false
44,-0.953125,0.140625,-0.28125,0,0,0,false,false
45,-0.953125,0.140625,-0.28125,0,0,0,false,false
46,-0.960821015268184,0.140625,-0.28125,0,0,0,false,false
47,-0.96875,0.148041589667321,-0.28125,0,0,0,false,false
48,-0.963455694249649,0.149123314402288,-0.274123314402288,0,0,0,false,false
49,-0.944176462510391,0.140625,-0.265625,0,0,0,false,false
50,-0.9375,0.134065743311907,-0.265625,0,0,0,false,false
51,-0.9375,0.131263827130724,-0.271888827130724,0,0,0,false,false
52,-0.941864252322982,0.140625,-0.275285601675667,0,0,0,false,false
53,-0.961043843630212,0.134941177754208,-0.265625,0,0,0,false,false
54,-0.963334770481673,0.125,-0.265625,0,0,0,false,false
55,-0.953125,0.119864172302289,-0.265625,0,0,0,false,false
56,-0.948260096226265,0.114239903773735,-0.265625,0,0,0,false,false
57,-0.942084426237767,0.125,-0.265625,0,0,0,false,false
58,-0.953125,0.125,-0.265625,0,0,0,false,false
59,-0.953125,0.129078537931303,-0.265625,0,0,0,false,false
60,-0.953125,0.140625,-0.265625,0,0,0,false,false
61,-0.953125,0.140625,-0.265625,0,0,0,false,false
62,-0.953125,0.140625,-0.265625,0,0,0,false,false
63,-0.953125,0.140625,-0.265625,0,0,0,false,false
64,-0.955970929665889,0.140625,-0.265625,0,0,0,false,false
65,-0.96875,0.140625,-0.265625,0,0,0,false,false
66,-0.96875,0.140625,-0.265625,0,0,0,false,false
67,-0.96875,0.140625,-0.265625,0,0,0,false,false
68,-0.96875,0.140625,-0.265625,0,0,0,false,false
69,-0.96875,0.140625,-0.265625,0,0,0,false,false
70,-0.96875,0.139522643915196,-0.265625,0,0,0,false,false
71,-0.967336266605853,0.121661413665661,-0.265625,0,0,0,false,false
72,-0.954352311331313,0.109375,-0.265625,0,0,0,false,false
73,-0.967679501036879,0.108304501036879,-0.265625,0,0,0,false,false
74,-0.953125,0.09375,-0.265625,0,0,0,false,false
75,-0.953125,0.09375,-0.265625,0,0,0,false,false
76,-0.953777416377095,0.0944024163770948,-0.266277416377095,0,0,0,false,false
77,-0.96875,0.109375,-0.280722308048325,0,0,0,false,false
78,-0.96875,0.109375,-0.266049175500908,0,0,0,false,false
79,-0.96875,0.109375,-0.28125,0,0,0,false,false
80,-0.96875,0.109375,-0.28125,0,0,0,false,false
81,-0.96875,0.109375,-0.281415380504109,0,0,0,false,false
82,-0.96875,0.109267612782448,-0.296875,0,0,0,false,false
83,-0.96875,0.0938117326895155,-0.296875,0,0,0,false,false
84,-0.96875,0.109375,-0.296875,0,0,0,false,false
85,-0.96875,0.109369436433759,-0.296869436433759,0,0,0,false,false
86,-0.96875,0.0937500462868281,-0.281250046286828,0,0,0,false,false
87,-0.96875,0.09375,-0.296866023761103,0,0,0,false,false
88,-0.953155710614599,0.09375,-0.296875,0,0,0,false,false
89,-0.953125,0.09375,-0.281318493773063,0,0,0,false,false
90,-0.953125,0.0782414002614237,-0.28125,0,0,0,false,false
91,-0.953125,0.078125,-0.28125,0,0,0,false,false
92,-0.953125,0.078125,-0.28125,0,0,0,false,false
93,-0.953125,0.0628371158945473,-0.296537884105453,0,0,0,false,false
94,-0.968309983018166,0.0625,-0.296875,0,0,0,false,false
95,-0.96875,0.0625,-0.296875,0,0,0,false,false
96,-0.96875,0.0625,-0.296875,0,0,0,false,false
97,-0.96875,0.0625,-0.296875,0,0,0,false,false
98,-0.96875,0.0625,-0.296875,0,0,0,false,false
99,-0.96875,0.0625,-0.296875,0,0,0,false,false
100,-0.96875,0.0625,-0.296875,0,0,0,false,false
101,-0.96875,0.0766892562662542,-0.296875,0,0,0,false,false
102,-0.96875,0.078125,-0.296875,0,0,0,false,false
103,-0.96875,0.078125,-0.296875,0,0,0,false,false
104,-0.96875,0.078125,-0.310492236305021,0,0,0,false,false
105,-0.96875,0.0647226638006098,-0.3125,0,0,0,false,false
106,-0.96875,0.0625,-0.3125,0,0,0,false,false
