Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.91663742878202,0.127350792661299,-0.34488857921268,0,0,0,false,false
1,-0.91687398131802,0.128763802822351,-0.34458206909951,0,0,0,false,false
2,-0.918836381876782,0.131517465850453,-0.345486460262346,0,0,0,false,false
3,-0.921234035466823,0.135930079803352,-0.349127020577601,0,0,0,false,false
4,-0.920621418909516,0.13804444739725,-0.351103104281563,0,0,0,false,false
5,-0.916634386570116,0.140680861142914,-0.352422112956209,0,0,0,false,false
6,-0.915647564575214,0.141372217773288,-0.352547668698643,0,0,0,false,false
7,-0.915041281957208,0.140989361389827,-0.349857462324436,0,0,0,false,false
8,-0.91446089646682,0.140890141671265,-0.348706870280369,0,0,0,false,false
9,-0.915363071366206,0.136661964934808,-0.349423719165352,0,0,0,false,false
10,-0.918300707636235,0.131844589355018,-0.348844406400034,0,0,0,false,false
11,-0.921030713855598,0.12992281471943,-0.348028377436886,0,0,0,false,false
12,-0.921304802431274,0.129768136362437,-0.348074501973452,0,0,0,false,false
13,-0.92078291282001,0.1298828125,-0.346241077028538,0,0,0,false,false
14,-0.920162153070388,0.128358019977891,-0.342868297383535,0,0,0,false,false
15,-0.919310510073629,0.125999523842006,-0.341511428351561,0,0,0,false,false
16,-0.9189453125,0.127225468308045,-0.342290002443086,0,0,0,false,false
17,-0.918120906353047,0.127318760554063,-0.343531513335874,0,0,0,false,false
18,-0.917923250025745,0.127160029710397,-0.344343286816329,0,0,0,false,false
19,-0.918971643094082,0.127605525741113,-0.345961839176741,0,0,0,false,false
20,-0.91876184876094,0.126302439937667,-0.344782665915169,0,0,0,false,false
21,-0.918862021444923,0.123486710938298,-0.34068702612178,0,0,0,false,false
22,-0.920585895841629,0.122014524995623,-0.338092321963492,0,0,0,false,false
23,-0.920995512160789,0.120550411013342,-0.338180260451611,0,0,0,false,false
24,-0.923161122540618,0.116322696469054,-0.338812405938909,0,0,0,false,false
25,-0.926947643389918,0.11214962261332,-0.338265892918381,0,0,0,false,false
26,-0.924910219348704,0.109631392338937,-0.339863577667168,0,0,0,false,false
27,-0.923775912399233,0.109437266617123,-0.340604842261815,0,0,0,false,false
28,-0.925523349722939,0.10859595925243,-0.340641728985966,0,0,0,false,false
29,-0.925869178719127,0.105592122193092,-0.340183124642973,0,0,0,false,false
30,-0.925975569474631,0.101888464931017,-0.336907596906412,0,0,0,false,false
31,-0.927984632338898,0.10107421875,-0.335292493098365,0,0,0,false,false
32,-0.931447929212937,0.100050255993543,-0.338667577030389,0,0,0,false,false
33,-0.933158239249849,0.0981288007241027,-0.34162378937927,0,0,0,false,false
34,-0.932364443029449,0.0957700741306289,-0.339498153527047,0,0,0,false,false
35,-0.931993570494684,0.0916093329108865,-0.338817132731842,0,0,0,false,false
36,-0.932832381415903,0.0869758219376931,-0.342000244772666,0,0,0,false,false
37,-0.931418384407957,0.0865190574934086,-0.342848869690796,0,0,0,false,false
38,-0.932194822420718,0.0821235565404261,-0.3427734375,0,0,0,false,false
39,-0.932175512077575,0.0762977365651409,-0.338829995227309,0,0,0,false,false
40,-0.932357813921451,0.0749819167214327,-0.337591864775806,0,0,0,false,false
41,-0.93460646608623,0.073305000280925,-0.338287293103987,0,0,0,false,false
42,-0.941125568285628,0.0713149783291304,-0.337602285910928,0,0,0,false,false
43,-0.944367170809899,0.0723467829819444,-0.336871923586355,0,0,0,false,false
44,-0.943767806399228,0.0734150675638615,-0.334640740598011,0,0,0,false,false
45,-0.941785565770149,0.0733058122751096,-0.336544001052764,0,0,0,false,false
