Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.990044778432343,-0.0903940916790191,-0.0243789894391177,0,0,0,false,false
1,-0.994332861683137,-0.0888671875,-0.0225496398826229,0,0,0,false,false
2,-0.995361328125,-0.089768119742664,-0.0196738373484671,0,0,0,false,false
3,-0.995026551140913,-0.0921048497926745,-0.0196915667492308,0,0,0,false,false
4,-0.994852090906058,-0.0930970229740217,-0.0204171761409134,0,0,0,false,false
5,-0.994114603559389,-0.0951108424844516,-0.0206816047113789,0,0,0,false,false
6,-0.993142718306247,-0.0956176870045426,-0.0229250746687835,0,0,0,false,false
7,-0.993074526542325,-0.0927269569829248,-0.0248141274705265,0,0,0,false,false
8,-0.993008874526858,-0.0910909422164272,-0.0251685628154282,0,0,0,false,false
9,-0.993408203125,-0.0904113577184257,-0.0251244501612926,0,0,0,false,false
10,-0.991858906306838,-0.0906640234253205,-0.0250586328246795,0,0,0,false,false
11,-0.990265674517334,-0.0900684765990384,-0.0248795312418803,0,0,0,false,false
12,-0.99237356524375,-0.0897860468436332,-0.0250138033897059,0,0,0,false,false
13,-0.992768406207625,-0.0929964090727671,-0.0237841381260621,0,0,0,false,false
14,-0.991809710942797,-0.0934166568747988,-0.0240023355118162,0,0,0,false,false
15,-0.991943359375,-0.0922799042434977,-0.0255109912487741,0,0,0,false,false
16,-0.992082432303398,-0.091776445778742,-0.026351056433879,0,0,0,false,false
17,-0.993073804781105,-0.0893861218426411,-0.0262201672057482,0,0,0,false,false
18,-0.99365234375,-0.0875299072242754,-0.0261391584286241,0,0,0,false,false
19,-0.994092846407817,-0.0889877780526682,-0.0264804290976366,0,0,0,false,false
20,-0.994342185948725,-0.089978131392231,-0.0246712948997932,0,0,0,false,false
21,-0.993783438866565,-0.0908313606109954,-0.0246335315246656,0,0,0,false,false
22,-0.993161353959015,-0.091825072204963,-0.02490234375,0,0,0,false,false
23,-0.993249335937911,-0.0905203389961418,-0.0256706583793829,0,0,0,false,false
24,-0.994456841613004,-0.0900625358014307,-0.026611328125,0,0,0,false,false
25,-0.994486100128132,-0.0901139779074654,-0.0257224970316253,0,0,0,false,false
26,-0.993617976514662,-0.090279751958746,-0.024145978100921,0,0,0,false,false
27,-0.993600169185069,-0.0901869327935059,-0.0236426049609844,0,0,0,false,false
28,-0.993595491643663,-0.0876104099202339,-0.0234375,0,0,0,false,false
29,-0.993790564562969,-0.0871298168371542,-0.0228933483200191,0,0,0,false,false
30,-0.99350920993723,-0.0890554693782725,-0.023413930570958,0,0,0,false,false
31,-0.990139202025941,-0.0908317724364912,-0.0240802741519747,0,0,0,false,false
32,-0.990600055080129,-0.0905905990345714,-0.0220906930873388,0,0,0,false,false
33,-0.992458869753736,-0.0887469973377916,-0.021728515625,0,0,0,false,false
34,-0.992957633189094,-0.0886364148210219,-0.0220187996758386,0,0,0,false,false
35,-0.992515477032789,-0.0893498314614514,-0.0236279257392819,0,0,0,false,false
36,-0.992023511483606,-0.0898811222698933,-0.0232249891434459,0,0,0,false,false
37,-0.992290445350224,-0.090087890625,-0.022971949659851,0,0,0,false,false
38,-0.991535953823141,-0.0895474027356572,-0.0248265807883618,0,0,0,false,false
39,-0.990500296584162,-0.0890030523292762,-0.0246864864934046,0,0,0,false,false
40,-0.989650771324346,-0.0899875213476437,-0.0253836448061292,0,0,0,false,false
41,-0.988714739643914,-0.0898145211164097,-0.0251030889821324,0,0,0,false,false
42,-0.989556974174545,-0.0865973273936384,-0.0234081487229077,0,0,0,false,false
43,-0.993282378597709,-0.0841810777366305,-0.0236237040168616,0,0,0,false,false
44,-0.994858626639092,-0.0829085873125063,-0.0225187164504628,0,0,0,false,false
45,-0.994690231781865,-0.0832681935126247,-0.0215398554680646,0,0,0,false,false
46,-0.992460042877621,-0.0880605880217779,-0.0228314635116018,0,0,0,false,false
47,-0.989939346122864,-0.093139630204142,-0.0265918393880525,0,0,0,false,false
48,-0.989611696639777,-0.0945633301161585,-0.0265765150553347,0,0,0,false,false
