Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking,Valid,Task
0,-0.971095202027199,0.133337275359394,-0.272726160862964,0,0,0,false,false
1,-0.973735469728508,0.133355649868687,-0.272458103456716,0,0,0,false,false
2,-0.975560905605434,0.135695716752216,-0.275645440015572,0,0,0,false,false
3,-0.975284360658161,0.136962890625,-0.27685546875,0,0,0,false,false
4,-0.971848809511043,0.136900223399882,-0.276499097936128,0,0,0,false,false
5,-0.971281970361308,0.136321234051463,-0.275027858026116,0,0,0,false,false
6,-0.972625169408599,0.136104280074886,-0.275616037962959,0,0,0,false,false
7,-0.971310769302314,0.136571596817214,-0.275073393081753,0,0,0,false,false
8,-0.972815119781926,0.1357421875,-0.273955149682602,0,0,0,false,false
9,-0.974254538180609,0.135487132159747,-0.275582723137911,0,0,0,false,false
10,-0.974991204989468,0.133400592006737,-0.274564692981947,0,0,0,false,false
11,-0.978019326401504,0.132898018657614,-0.272216088975721,0,0,0,false,false
12,-0.979746980465151,0.132450239506362,-0.271104811242814,0,0,0,false,false
13,-0.980540316228155,0.133461666304514,-0.274094116413537,0,0,0,false,false
14,-0.980500174475846,0.132108774966267,-0.272111116374596,0,0,0,false,false
15,-0.97756377954254,0.131386152751259,-0.269068303633816,0,0,0,false,false
16,-0.976567215814027,0.131715428864021,-0.272150956294175,0,0,0,false,false
17,-0.974961005534048,0.130195618781913,-0.270867869892983,0,0,0,false,false
18,-0.97412468086728,0.131404503112698,-0.270105002682961,0,0,0,false,false
19,-0.972173654584548,0.131488890283908,-0.268989925162623,0,0,0,false,false
20,-0.972494488496387,0.129010431954526,-0.268820009058903,0,0,0,false,false
21,-0.973714687401958,0.12841796875,-0.269262769089775,0,0,0,false,false
22,-0.97407345036868,0.1284366029766,-0.267817732606808,0,0,0,false,false
23,-0.971343940664861,0.129532451875144,-0.26450159653991,0,0,0,false,false
24,-0.967702829333583,0.131165503254112,-0.263673988461852,0,0,0,false,false
25,-0.967242808102963,0.131645326449944,-0.263994283540586,0,0,0,false,false
26,-0.966817011514875,0.132301775079645,-0.26752875055816,0,0,0,false,false
27,-0.968855362257286,0.130589721265287,-0.26953125,0,0,0,false,false
28,-0.970206377004855,0.130372165079225,-0.269538175734457,0,0,0,false,false
29,-0.968976466944062,0.130631016366818,-0.271074818169635,0,0,0,false,false
30,-0.968751645205328,0.131099402611681,-0.273270247601195,0,0,0,false,false
31,-0.969234451555984,0.129884910022289,-0.275387045253918,0,0,0,false,false
32,-0.965754541549418,0.131619016355176,-0.273437672817879,0,0,0,false,false
33,-0.960937630266479,0.133311753783465,-0.273930602865122,0,0,0,false,false
34,-0.962158170493247,0.135253870266346,-0.275878860993688,0,0,0,false,false
35,-0.960205910145578,0.133811818320758,-0.27587890625,0,0,0,false,false
36,-0.961855168368223,0.131106436720662,-0.275391318071703,0,0,0,false,false
37,-0.968208273370157,0.131833881789135,-0.275853914126546,0,0,0,false,false
38,-0.968956856994222,0.129648877018519,-0.278310216140113,0,0,0,false,false
39,-0.970362557331683,0.130366030354214,-0.277350501194381,0,0,0,false,false
40,-0.973607735410118,0.128783839532783,-0.281452827277592,0,0,0,false,false
41,-0.973417051340181,0.126326376126833,-0.279807656572574,0,0,0,false,false
42,-0.97170664900271,0.12525313844576,-0.28226486329392,0,0,0,false,false
43,-0.972100357364787,0.128763867099492,-0.284637227750776,0,0,0,false,false
44,-0.974077308843643,0.129389104624307,-0.282289377963118,0,0,0,false,false
45,-0.9732726927007,0.128480591272107,-0.283409932980572,0,0,0,false,false
46,-0.971719318930498,0.128207409039558,-0.282123428295948,0,0,0,false,false
47,-0.971874931605338,0.127773829727987,-0.281267739847425,0,0,0,false,false
48,-0.973050579187613,0.126048031694991,-0.283572547100762,0,0,0,false,false
49,-0.973339937732601,0.126798116027512,-0.282075485183556,0,0,0,false,false
50,-0.974370719871127,0.127760557123296,-0.283250239162431,0,0,0,false,false
51,-0.976562906728388,0.129118355265731,-0.284149957354755,0,0,0,false,false
52,-0.977509209625449,0.131465481194228,-0.283954244862938,0,0,0,false,false
53,-0.9775390625,0.131145324286333,-0.285721437229667,0,0,0,false,false
54,-0.975054556936723,0.131276450615763,-0.284976375963634,0,0,0,false,false
55,-0.971523941060608,0.132236644365232,-0.282702021731484,0,0,0,false,false
56,-0.970728569598658,0.131673227486174,-0.282293257614088,0,0,0,false,false
57,-0.9725487599287,0.134150111263078,-0.281181792518504,0,0,0,false,false
58,-0.979700779923149,0.135897121895785,-0.278136284245971,0,0,0,false,false
59,-0.978578626330933,0.135566300642985,-0.278510835326044,0,0,0,false,false
60,-0.979931933061438,0.136743383389828,-0.280048397255474,0,0,0,false,false
61,-0.978897791295618,0.135473966308669,-0.280498477523331,0,0,0,false,false
62,-0.978072261268978,0.132209883437973,-0.278974032741419,0,0,0,false,false
63,-0.980022497417178,0.132573882658672,-0.273955173934969,0,0,0,false,false
64,-0.978576314117687,0.135851975278021,-0.271033238159794,0,0,0,false,false
65,-0.974948125614155,0.136633645333094,-0.269338674046209,0,0,0,false,false
66,-0.971438501056502,0.137876044855065,-0.26695670898279,0,0,0,false,false
67,-0.96848376403333,0.139360969028662,-0.264033165142733,0,0,0,false,false
68,-0.964641203476567,0.140068063269438,-0.262877694432543,0,0,0,false,false
69,-0.96268882541823,0.137803653666982,-0.262287645087055,0,0,0,false,false
70,-0.959475457646852,0.134651032990995,-0.264849270985146,0,0,0,false,false
71,-0.957158628262401,0.134904733230213,-0.268930299361259,0,0,0,false,false
72,-0.954699458306847,0.137302987495959,-0.274117700834929,0,0,0,false,false
73,-0.94928444964054,0.140019549860829,-0.275806690593483,0,0,0,false,false
74,-0.948667158303692,0.144520282033515,-0.274696730019292,0,0,0,false,false
75,-0.948974609375,0.147808556314091,-0.273444055909788,0,0,0,false,false
76,-0.949648629157726,0.145300416025867,-0.272642613566287,0,0,0,false,false
77,-0.952058645952712,0.143798828125,-0.274129970648998,0,0,0,false,false
78,-0.957780931130906,0.143702542815839,-0.275298914834206,0,0,0,false,false
79,-0.962249590199433,0.14281619890596,-0.275633759701167,0,0,0,false,false
80,-0.965555729325351,0.142143494384137,-0.276538029588845,0,0,0,false,false
81,-0.966746124200268,0.142234256109124,-0.274978108081392,0,0,0,false,false
82,-0.966519351247511,0.140756580535184,-0.27437383178366,0,0,0,false,false
83,-0.964841855393808,0.139033897025617,-0.277227371398493,0,0,0,false,false
84,-0.965435672227945,0.140283435711422,-0.278458310360306,0,0,0,false,false
85,-0.969102697024569,0.141961589260384,-0.278853583095438,0,0,0,false,false
86,-0.971467176782901,0.141411300623614,-0.280708886783734,0,0,0,false,false
87,-0.970554066755294,0.137809560410252,-0.28173828125,0,0,0,false,false
88,-0.965715608538676,0.135634480456335,-0.282101209459212,0,0,0,false,false
89,-0.965867002004951,0.13620309075155,-0.280943108059141,0,0,0,false,false
90,-0.971911352074523,0.136902618985763,-0.279830096289431,0,0,0,false,false
91,-0.973815205199438,0.135584035048648,-0.28268436231676,0,0,0,false,false
92,-0.972980490996395,0.132956123866611,-0.284347855787323,0,0,0,false,false
93,-0.972006824398708,0.131201855645369,-0.284360488482493,0,0,0,false,false
94,-0.974336095824182,0.129171281869214,-0.283926927604246,0,0,0,false,false
95,-0.983540759154065,0.128466701218196,-0.283027548820268,0,0,0,false,false
96,-0.986976896987576,0.12978596891509,-0.280860687464844,0,0,0,false,false
97,-0.985746610838192,0.133809977256713,-0.277322524569464,0,0,0,false,false
98,-0.983245286278019,0.136013130975454,-0.275902698281515,0,0,0,false,false
99,-0.983900773815363,0.137802729523806,-0.275221624482891,0,0,0,false,false
100,-0.986423169268312,0.142059141141596,-0.273015607895421,0,0,0,false,false
101,-0.988523863658485,0.14396662283414,-0.268817883073823,0,0,0,false,false
102,-0.990234375,0.140926448115747,-0.264979138565844,0,0,0,false,false
103,-0.990867621018999,0.136936951991683,-0.262617179275812,0,0,0,false,false
104,-0.995956385203616,0.135545560020331,-0.261787403886299,0,0,0,false,false
105,-1.00110365836756,0.13415508378109,-0.260676643337293,0,0,0,false,false
106,-1.0012371068867,0.132873167532609,-0.256133537419538,0,0,0,false,false
107,-0.99615681873695,0.132184397538031,-0.253731918716421,0,0,0,false,false
108,-0.990833521434745,0.13070352533886,-0.249229255193005,0,0,0,false,false
109,-0.986301158667804,0.130341704805779,-0.248048424074053,0,0,0,false,false
110,-0.982478779231152,0.13084312207261,-0.245051281645899,0,0,0,false,false
111,-0.978689159956258,0.129476494695217,-0.243174747176988,0,0,0,false,false
112,-0.97552176901233,0.128821935664607,-0.240744398092174,0,0,0,false,false
113,-0.97412109375,0.128271214439208,-0.239371449605713,0,0,0,false,false
114,-0.97425699160213,0.129831415177426,-0.237765393844494,0,0,0,false,false
115,-0.976482602421931,0.129242411982743,-0.23555297040712,0,0,0,false,false
116,-0.979364075984377,0.128360919781572,-0.234898760310173,0,0,0,false,false
117,-0.976756514082744,0.127571909928056,-0.237841353857916,0,0,0,false,false
118,-0.970447385753387,0.12841796875,-0.236833508094938,0,0,0,false,false
119,-0.967272800349792,0.128278631063118,-0.240651102658864,0,0,0,false,false
120,-0.966076587813786,0.127274279769286,-0.243549658224286,0,0,0,false,false
121,-0.966501416850436,0.127759850622083,-0.242871918910047,0,0,0,false,false
122,-0.967751803277089,0.125049765029017,-0.247125782061752,0,0,0,false,false
123,-0.967529296875,0.123566322907069,-0.25289918604023,0,0,0,false,false
124,-0.967536391675925,0.124068307904959,-0.254122979476593,0,0,0,false,false
125,-0.968107791503905,0.124489247928021,-0.25317390308902,0,0,0,false,false
126,-0.973224361784467,0.126883965400542,-0.250699946282865,0,0,0,false,false
127,-0.974241030336278,0.125771622543613,-0.249523079364186,0,0,0,false,false
128,-0.971928033830601,0.126781860092609,-0.250176381481859,0,0,0,false,false
129,-0.972405200400441,0.127384295234651,-0.25320420867483,0,0,0,false,false
130,-0.979633528273803,0.130810665539302,-0.255588802994919,0,0,0,false,false
131,-0.983574002578255,0.1318359375,-0.261380802981323,0,0,0,false,false
132,-0.97897918656466,0.131808653327038,-0.262349427809079,0,0,0,false,false
133,-0.971927808924989,0.12931955714235,-0.265210451496982,0,0,0,false,false
