Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.31728282737016,-2.33187077062466,-1.80378080955545,0,0,0
1,-9.35774329695214,-2.25547446721577,-1.64306238669053,0,0,0
2,-9.41906173398029,-2.16906618271828,-1.61403760895668,0,0,0
3,-9.47565384478647,-2.0640919391849,-1.6958295766655,0,0,0
4,-9.52576850324807,-1.9342616556531,-1.79543245883735,0,0,0
5,-9.60238886182644,-1.80851424025542,-1.91367873759589,0,0,0
6,-9.69682902130373,-1.71121681668491,-2.04686760102759,0,0,0
7,-9.75102884324323,-1.65683202542083,-2.13764367816997,0,0,0
8,-9.80036958022921,-1.66900627608665,-2.20766699475468,0,0,0
9,-9.91966225329549,-1.723070012665,-2.30835099710012,0,0,0
10,-10.0577959759641,-1.82964494042524,-2.38457974647627,0,0,0
11,-10.1845863311511,-1.9825159379768,-2.42588790899055,0,0,0
12,-10.1829069332645,-2.13206467990267,-2.38069425550255,0,0,0
13,-9.9886245829887,-2.19920708871289,-2.27557522997161,0,0,0
14,-9.69819096017425,-2.1607761162695,-2.20067734840441,0,0,0
15,-9.44702476611945,-2.04394015631464,-2.10714765763734,0,0,0
16,-9.28395113755484,-1.91797458820127,-1.98919132948246,0,0,0
17,-9.24453915264865,-1.81358088444056,-1.91237703615652,0,0,0
18,-9.28732859665974,-1.73258987521598,-1.75091189331526,0,0,0
19,-9.33932293447767,-1.64999629656224,-1.59987574445909,0,0,0
20,-9.39340438980476,-1.5955192898913,-1.61477181973492,0,0,0
21,-9.49789554894472,-1.58037069812854,-1.72204247508738,0,0,0
22,-9.63395753040917,-1.58661725638587,-1.85021863134837,0,0,0
23,-9.77157090039655,-1.64199820270441,-1.96060745930884,0,0,0
24,-9.83001758525738,-1.74305360963568,-2.0307523764354,0,0,0
25,-9.83401784991104,-1.82760756767407,-2.0911196395117,0,0,0
26,-9.81555923804629,-1.88602358144151,-2.07925960676069,0,0,0
27,-9.7910111832873,-1.94759787283044,-2.047310633332,0,0,0
28,-9.73600546800459,-1.96508626642146,-2.00112413379268,0,0,0
29,-9.6396578026308,-1.95606132972379,-1.97789991888559,0,0,0
30,-9.53904224863489,-1.93203876483478,-1.98515099200224,0,0,0
31,-9.4760112238378,-1.87784291544349,-1.97084700679735,0,0,0
32,-9.46176483027639,-1.8153356697335,-1.94619657537157,0,0,0
33,-9.46715575598028,-1.75623259197825,-1.91339676682185,0,0,0
34,-9.48374575021652,-1.7174587023664,-1.90519242749685,0,0,0
35,-9.50744638877141,-1.71259710401757,-1.96548039753349,0,0,0
36,-9.53331365405114,-1.7206306970716,-2.02727895828103,0,0,0
37,-9.57059727546813,-1.72695255501521,-2.12926262045985,0,0,0
38,-9.62817426417124,-1.745769280161,-2.23575650183837,0,0,0
39,-9.68490371018077,-1.80905467570436,-2.27535073028806,0,0,0
40,-9.69337772748656,-1.89731553911529,-2.2159650953689,0,0,0
41,-9.65017595295854,-1.97950177315904,-2.18772834639475,0,0,0
42,-9.63303323344345,-2.02610972454803,-2.34770466467516,0,0,0
43,-9.63828774421418,-2.07278674426752,-2.36338947776909,0,0,0
44,-9.65206373363872,-2.09039212579055,-2.15662207896551,0,0,0
45,-9.64570660767822,-2.05264489354675,-1.97059128427874,0,0,0
46,-9.63696717444115,-2.00487697318453,-1.83958207664514,0,0,0
47,-9.63866937237409,-1.93675745637842,-1.71005976469333,0,0,0
48,-9.60612641149965,-1.87144097979933,-1.60131500406764,0,0,0
49,-9.54340371005974,-1.85972967319095,-1.67633769647585,0,0,0
50,-9.59230895041016,-1.85073607359878,-1.79468535854399,0,0,0
51,-9.72451238090402,-1.8002483377491,-1.71151552714193,0,0,0
52,-9.77555092643905,-1.78345356498709,-1.65801177686506,0,0,0
53,-9.75059220463286,-1.77017379669374,-1.62224638562722,0,0,0
54,-9.69567474279147,-1.73785422755603,-1.58864501270144,0,0,0
55,-9.62712110747578,-1.65589958209008,-1.58248396241234,0,0,0
56,-9.5638196594344,-1.5837521189697,-1.63511303874089,0,0,0
57,-9.54622801937288,-1.54475384638272,-1.70124272580311,0,0,0
58,-9.54700476686538,-1.55472295104641,-1.73994367112968,0,0,0
59,-9.5459919822731,-1.56982763987729,-1.76376484580853,0,0,0
60,-9.52073581994309,-1.58385692058648,-1.80391326609939,0,0,0
61,-9.43165075457696,-1.65264714217558,-1.83956917157214,0,0,0
62,-9.38420873737888,-1.67225380919095,-1.89754043287295,0,0,0
63,-9.36760654835639,-1.67263927476841,-1.88338486366573,0,0,0
64,-9.37413339215779,-1.67761442533056,-1.82611501300679,0,0,0
65,-9.42442295875852,-1.66467201590272,-1.78898248187664,0,0,0
66,-9.50078266951858,-1.6415505003673,-1.80023318789483,0,0,0
67,-9.6040070083819,-1.61364127757346,-1.86285459615379,0,0,0
68,-9.69827003924554,-1.61136188403373,-1.95301106025177,0,0,0
